vocab_name,value_code,label_ja,definition,sort_order,deprecated,notes
\Sfit_level,\Sunknown,\S不明,\S根拠不足,\I10,\Sno,\S
\Sfit_level,\Sviable,\S利用可能,\S妥当な候補,\I4,\Sno,\S
\Simplementation_role,\Srepresentative,\S代表実装,\S代表例,\I1,\Sno,\S
\Smaintenance_status,\Sactive,\S活発,\S現行,\I1,\Sno,\S
\Smaintenance_status,\Sactive_docs_verified,\S文書更新確認,\S現行文書確認,\I2,\Sno,\S
\Smaintenance_status,\Slegacy,\Sレガシー,\S新規採用慎重,\I5,\Sno,\S
\Smaintenance_status,\Slimited_support,\S限定,\S保守限定,\I4,\Sno,\S
\Smaintenance_status,\Smature,\S成熟,\S安定,\I3,\Sno,\S
\Smaintenance_status,\Sunknown,\S不明,\S未確認,\I6,\Sno,\S
\Smethod_level,\Sfamily,\S手法ファミリー,\S上位概念,\I1,\Sno,\S
\Smethod_level,\Sgeneral_algorithm,\S一般アルゴリズム,\S理論上の手法,\I2,\Sno,\S
\Smethod_level,\Simplementation_alias,\S実装名,\SAPI固有名,\I4,\Sno,\S
\Smethod_level,\Svariant,\S具体的変種,\S一般手法の変種,\I3,\Sno,\S
\Spriority_level,\Scritical,\S最優先,\S安全・正確性,\I1,\Sno,\S
\Spriority_level,\Shigh,\S高,\S次期優先,\I2,\Sno,\S
\Spriority_level,\Slow,\S低,\S余力時,\I4,\Sno,\S
\Spriority_level,\Smedium,\S中,\S計画追加,\I3,\Sno,\S
\Srelation_type,\Shybrid_of,\S混合,\S複数手法,\I5,\Sno,\S
\Srelation_type,\Simplementation_alias_of,\S実装別名,\SAPI名,\I3,\Sno,\S
\Srelation_type,\Sis_a,\S上位概念,\S分類親子,\I1,\Sno,\S
\Srelation_type,\Srelated,\S関連,\S非階層関連,\I6,\Sno,\S
\Srelation_type,\Suses_subroutine,\S内部利用,\S部分問題に利用,\I4,\Sno,\S
\Srelation_type,\Svariant_of,\S変種,\S変種関係,\I2,\Sno,\S
\Srule_action_type,\Sask_followup,\S追加質問,\S分岐,\I7,\Sno,\S
\Srule_action_type,\Sdemote_method,\S手法降格,\S優先度を下げる,\I4,\Sno,\S
\Srule_action_type,\Sexclude_method,\S手法除外,\S非適合,\I5,\Sno,\S
\Srule_action_type,\Sexclude_problem,\S問題除外,\S候補から外す,\I2,\Sno,\S
\Srule_action_type,\Sinclude_problem,\S問題追加,\S候補に入れる,\I1,\Sno,\S
\Srule_action_type,\Spromote_method,\S手法昇格,\S優先度を上げる,\I3,\Sno,\S
\Srule_action_type,\Srecommend_alternative,\S代替推奨,\S専用法を示す,\I6,\Sno,\S
\Srule_action_type,\Swarn,\S警告,\S注意を出す,\I8,\Sno,\S
\Sseverity,\Scritical,\S重大,\S結果が無効になり得る,\I4,\Sno,\S
\Sseverity,\Shigh,\S高,\S信頼性を大きく損なう,\I3,\Sno,\S
\Sseverity,\Sinfo,\S情報,\S判断補助,\I1,\Sno,\S
\Sseverity,\Swarning,\S注意,\S品質低下の可能性,\I2,\Sno,\S
\Ssolution_scope,\Sanytime,\Sanytime,\S途中解を改善,\I7,\Sno,\S
\Ssolution_scope,\Sconvex_global,\S凸大域,\S凸性下の大域解,\I2,\Sno,\S
\Ssolution_scope,\Sfeasible_only,\S実行可能解,\S可行解優先,\I5,\Sno,\S
\Ssolution_scope,\Sglobal_candidate,\S大域候補,\S探索するが証明なし,\I3,\Sno,\S
\Ssolution_scope,\Sglobal_certificate,\S大域証明,\S証明・gapを提供,\I4,\Sno,\S
\Ssolution_scope,\Slocal,\S局所,\S局所停留点・局所解,\I1,\Sno,\S
\Ssolution_scope,\Spareto,\SPareto,\S非劣解集合,\I6,\Sno,\S
\Ssource_quality,\Shigh,\S高品質,\S権威ある二次情報,\I2,\Sno,\S
\Ssource_quality,\Sprimary,\S一次,\S直接一次情報,\I1,\Sno,\S
\Ssource_quality,\Ssupporting,\S補助,\S一次情報補完,\I3,\Sno,\S
\Ssource_type,\Sofficial_documentation,\S公式ドキュメント,\S公式API/マニュアル,\I1,\Sno,\S
\Ssource_type,\Sofficial_issue,\S公式Issue,\S公式議論,\I8,\Sno,\S
\Ssource_type,\Sofficial_repository,\S公式リポジトリ,\S公式コード,\I2,\Sno,\S
\Ssource_type,\Soriginal_paper,\S原著論文,\S手法原典,\I4,\Sno,\S
\Ssource_type,\Sstandard,\S標準・仕様,\S規格,\I7,\Sno,\S
\Ssource_type,\Stextbook,\S教科書,\S専門書,\I5,\Sno,\S
\Ssource_type,\Suniversity_material,\S大学資料,\S大学公開資料,\I6,\Sno,\S
\Ssource_type,\Svendor_manual,\Sベンダーマニュアル,\S商用公式資料,\I3,\Sno,\S
\Ssupport_level,\Semulated,\S変換で対応,\S変数変換等,\I3,\Sno,\S
\Ssupport_level,\Sexperimental,\S実験的,\S継続性注意,\I5,\Sno,\S
\Ssupport_level,\Snative,\Sネイティブ,\S直接対応,\I1,\Sno,\S
\Ssupport_level,\Snot_supported,\S非対応,\S利用不可,\I6,\Sno,\S
\Ssupport_level,\Spartial,\S部分対応,\S制限あり,\I4,\Sno,\S
\Ssupport_level,\Sunknown,\S不明,\S未確認,\I7,\Sno,\S
\Ssupport_level,\Svia_wrapper,\Sラッパー経由,\Sモデリング層経由,\I2,\Sno,\S
\Starget_type,\Simplementation,\S実装,\Sソフトウェア,\I3,\Sno,\S
\Starget_type,\Smethod,\S手法,\Sアルゴリズム,\I2,\Sno,\S
\Starget_type,\Sproblem,\S問題,\S問題アーキタイプ,\I1,\Sno,\S
\Struth_status,\Sconditional,\S条件付き,\S条件を満たす場合,\I3,\Sno,\S
\Struth_status,\Simplementation_dependent,\S実装依存,\S実装・設定で変動,\I6,\Sno,\S
\Struth_status,\Sno,\Sいいえ,\S確認済みの否定,\I2,\Sno,\S
\Struth_status,\Snot_applicable,\S該当なし,\S概念非該当,\I5,\Sno,\S
\Struth_status,\Sunknown,\S不明,\S根拠不足,\I4,\Sno,\S
\Struth_status,\Syes,\Sはい,\S確認済みの肯定,\I1,\Sno,\S
\Svalidation_result,\Sfail,\S不合格,\S修正必要,\I3,\Sno,\S
\Svalidation_result,\Spartial,\S一部合格,\S追加条件必要,\I2,\Sno,\S
\Svalidation_result,\Spass,\S合格,\S矛盾なし,\I1,\Sno,\S
