case_alternative_map_id,case_id,alternative_id,sequence,rationale,source_ids,confidence,last_verified
\SCAM0029,\SEC018,\SALT_FEASIBILITY,\I1,\Sschedulingでの事前確認: 可行解探索を独立,\SS022;S053;S079;S005;S016;S021;S024;S025;S028;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0030,\SEC018,\SALT_DYNAMIC_PROGRAMMING,\I2,\Sschedulingでの事前確認: 部分問題を再利用,\SS022;S053;S079;S005;S016;S021;S024;S025;S028;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0031,\SEC019,\SALT_GRAPH,\I1,\Sroutingでの事前確認: 多項式時間構造を利用,\SS023;S024;S054;S022;S053;S079;S055;S056,\Shigh,\S2026-07-13
\SCAM0032,\SEC019,\SALT_DYNAMIC_PROGRAMMING,\I2,\Sroutingでの事前確認: 部分問題を再利用,\SS023;S024;S054;S022;S053;S079;S055;S056,\Shigh,\S2026-07-13
\SCAM0033,\SEC020,\SALT_SPECIALIZED,\I1,\S最適制御・軌道最適化での事前確認: 保証・数値性・速度,\SS042;S043;S076;S050;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0034,\SEC020,\SALT_DECOMPOSITION,\I2,\S最適制御・軌道最適化での事前確認: memory/parallel性,\SS042;S043;S076;S050;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0035,\SEC021,\SALT_STAT_INFERENCE,\I1,\Sneural network学習での事前確認: point optimumだけでなく不確実性,\SS047;S048;S049;S070;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0036,\SEC021,\SALT_DECOMPOSITION,\I2,\Sneural network学習での事前確認: memory/parallel性,\SS047;S048;S049;S070;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0037,\SEC022,\SALT_SURROGATE,\I1,\Shyperparameter最適化での事前確認: 評価数削減,\SS034;S035;S037;S038;S036;S059;S069;S075;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0038,\SEC022,\SALT_STAT_INFERENCE,\I2,\Shyperparameter最適化での事前確認: point optimumだけでなく不確実性,\SS034;S035;S037;S038;S036;S059;S069;S075;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0039,\SEC023,\SALT_SPECIALIZED,\I1,\S解の厳密な証明が必要での事前確認: 保証・数値性・速度,\SS005;S016;S021;S024;S025;S028;S022;S053;S079;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0040,\SEC024,\SALT_FEASIBILITY,\I1,\S良い実行可能解を早く得ることが重要での事前確認: 可行解探索を独立,\SS023;S024;S054;S022;S053;S079;S055;S056,\Shigh,\S2026-07-13
\SCAM0041,\SEC024,\SALT_GRAPH,\I2,\S良い実行可能解を早く得ることが重要での事前確認: 多項式時間構造を利用,\SS023;S024;S054;S022;S053;S079;S055;S056,\Shigh,\S2026-07-13
\SCAM0042,\SEC025,\SALT_SPECIALIZED,\I1,\S反復MPCでの事前確認: 保証・数値性・速度,\SS012;S043;S076;S004;S010;S013;S014;S016;S055;S062;S054;S056,\Shigh,\S2026-07-13
\SCAM0043,\SEC026,\SALT_DECOMPOSITION,\I1,\SPDE制約付き最適化での事前確認: memory/parallel性,\SS017;S019;S056;S002;S057;S003;S054;S055,\Shigh,\S2026-07-13
\SCAM0044,\SEC026,\SALT_SPECIALIZED,\I2,\SPDE制約付き最適化での事前確認: 保証・数値性・速度,\SS017;S019;S056;S002;S057;S003;S054;S055,\Shigh,\S2026-07-13
\SCAM0045,\SEC027,\SALT_FEASIBILITY,\I1,\S評価失敗を伴うsimulationでの事前確認: 可行解探索を独立,\SS031;S035;S002;S018;S060;S063;S034;S036;S037;S038;S059;S069;S075;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0046,\SEC027,\SALT_SURROGATE,\I2,\S評価失敗を伴うsimulationでの事前確認: 評価数削減,\SS031;S035;S002;S018;S060;S063;S034;S036;S037;S038;S059;S069;S075;S054;S055;S056,\Shigh,\S2026-07-13
\SCAM0047,\SEC028,\SALT_ROOT,\I1,\S求根問題を最適化に見せた例での事前確認: スカラー目的化を避ける,\SS080;S056;S002;S003;S041;S054;S055,\Shigh,\S2026-07-13
\SCAM0048,\SEC028,\SALT_LEAST_SQUARES,\I2,\S求根問題を最適化に見せた例での事前確認: Jacobian・残差構造を保持,\SS080;S056;S002;S003;S041;S054;S055,\Shigh,\S2026-07-13
