feature_value_id,feature_id,value_code,label_ja,label_en,sort_order,definition,lower_bound,upper_bound,unit,conditions,notes
\SFV0021,\SF_CONVEXITY,\Squasiconvex,\S準凸,\SQuasiconvex,\I3,\S準凸,\S,\S,\S,\S,\S
\SFV0022,\SF_CONVEXITY,\Snonconvex,\S非凸,\SNonconvex,\I4,\S非凸,\S,\S,\S,\S,\S
\SFV0023,\SF_CONVEXITY,\Sunknown,\S不明,\SUnknown,\I5,\S不明,\S,\S,\S,\S,\S
\SFV0024,\SF_SMOOTHNESS,\Ssmooth,\S滑らか,\SSmooth,\I1,\S滑らか,\S,\S,\S,\S,\S
\SFV0025,\SF_SMOOTHNESS,\Spiecewise_smooth,\S区分的滑らか,\SPiecewise smooth,\I2,\S区分的滑らか,\S,\S,\S,\S,\S
\SFV0026,\SF_SMOOTHNESS,\Snonsmooth,\S非滑らか,\SNonsmooth,\I3,\S非滑らか,\S,\S,\S,\S,\S
\SFV0027,\SF_SMOOTHNESS,\Sdiscontinuous,\S不連続,\SDiscontinuous,\I4,\S不連続,\S,\S,\S,\S,\S
\SFV0028,\SF_SMOOTHNESS,\Sdiscrete_valued,\S離散値,\SDiscrete-valued,\I5,\S離散値,\S,\S,\S,\S,\S
\SFV0029,\SF_SMOOTHNESS,\Sunknown,\S不明,\SUnknown,\I6,\S不明,\S,\S,\S,\S,\S
\SFV0030,\SF_DERIVATIVE_ACCESS,\Sanalytic_gradient,\S解析勾配,\SAnalytic gradient,\I1,\S解析勾配,\S,\S,\S,\S,\S
\SFV0031,\SF_DERIVATIVE_ACCESS,\Sautomatic_differentiation,\S自動微分,\SAutomatic differentiation,\I2,\S自動微分,\S,\S,\S,\S,\S
\SFV0032,\SF_DERIVATIVE_ACCESS,\Snumerical_difference,\S数値微分,\SNumerical difference,\I3,\S数値微分,\S,\S,\S,\S,\S
\SFV0033,\SF_DERIVATIVE_ACCESS,\Sstochastic_gradient,\S確率勾配,\SStochastic gradient,\I4,\S確率勾配,\S,\S,\S,\S,\S
\SFV0034,\SF_DERIVATIVE_ACCESS,\Ssubgradient,\S劣勾配,\SSubgradient,\I5,\S劣勾配,\S,\S,\S,\S,\S
\SFV0035,\SF_DERIVATIVE_ACCESS,\Sjacobian,\SJacobian,\SJacobian,\I6,\SJacobian,\S,\S,\S,\S,\S
\SFV0036,\SF_DERIVATIVE_ACCESS,\Shessian_vector_product,\SHessian-vector積,\SHVP,\I7,\SHessian-vector積,\S,\S,\S,\S,\S
\SFV0037,\SF_DERIVATIVE_ACCESS,\Snone_available,\Sなし,\SNone,\I8,\Sなし,\S,\S,\S,\S,\S
\SFV0038,\SF_DERIVATIVE_ACCESS,\Snot_differentiable,\S微分不能,\SNot differentiable,\I9,\S微分不能,\S,\S,\S,\S,\S
\SFV0039,\SF_DERIVATIVE_ACCESS,\Sunreliable,\S不可信,\SUnreliable,\I10,\S不可信,\S,\S,\S,\S,\S
\SFV0040,\SF_DERIVATIVE_ACCESS,\Sunknown,\S不明,\SUnknown,\I11,\S不明,\S,\S,\S,\S,\S
\SFV0041,\SF_CONSTRAINT_CLASS,\Sunconstrained,\S制約なし,\SUnconstrained,\I1,\S制約なし,\S,\S,\S,\S,\S
\SFV0042,\SF_CONSTRAINT_CLASS,\Sbounds,\S上下限,\SBounds,\I2,\S上下限,\S,\S,\S,\S,\S
\SFV0043,\SF_CONSTRAINT_CLASS,\Slinear,\S線形,\SLinear,\I3,\S線形,\S,\S,\S,\S,\S
\SFV0044,\SF_CONSTRAINT_CLASS,\Snonlinear,\S非線形,\SNonlinear,\I4,\S非線形,\S,\S,\S,\S,\S
\SFV0045,\SF_CONSTRAINT_CLASS,\Smixed,\S混合,\SMixed,\I5,\S混合,\S,\S,\S,\S,\S
\SFV0046,\SF_CONSTRAINT_CLASS,\Slogical,\S論理,\SLogical,\I6,\S論理,\S,\S,\S,\S,\S
\SFV0047,\SF_CONSTRAINT_CLASS,\Scombinatorial,\S組合せ,\SCombinatorial,\I7,\S組合せ,\S,\S,\S,\S,\S
\SFV0048,\SF_CONSTRAINT_CLASS,\Sconic,\S錐,\SConic,\I8,\S錐,\S,\S,\S,\S,\S
\SFV0049,\SF_CONSTRAINT_CLASS,\Ssemidefinite,\S半正定値,\SSemidefinite,\I9,\S半正定値,\S,\S,\S,\S,\S
\SFV0050,\SF_CONSTRAINT_CLASS,\Smanifold,\S多様体,\SManifold,\I10,\S多様体,\S,\S,\S,\S,\S
\SFV0051,\SF_CONSTRAINT_CLASS,\Sdynamics,\S動力学,\SDynamics,\I11,\S動力学,\S,\S,\S,\S,\S
\SFV0052,\SF_CONSTRAINT_CLASS,\Simplicit,\S暗黙,\SImplicit,\I12,\S暗黙,\S,\S,\S,\S,\S
\SFV0053,\SF_DIMENSION_CONTEXT,\Svery_low,\S非常に低い,\SVery low,\I1,\S非常に低い,\S,\S,\S,\S,\S
\SFV0054,\SF_DIMENSION_CONTEXT,\Slow,\S低い,\SLow,\I2,\S低い,\S,\S,\S,\S,\S
\SFV0055,\SF_DIMENSION_CONTEXT,\Smedium,\S中,\SMedium,\I3,\S中,\S,\S,\S,\S,\S
\SFV0056,\SF_DIMENSION_CONTEXT,\Shigh,\S高い,\SHigh,\I4,\S高い,\S,\S,\S,\S,\S
\SFV0057,\SF_DIMENSION_CONTEXT,\Svery_high,\S非常に高い,\SVery high,\I5,\S非常に高い,\S,\S,\S,\S,\S
\SFV0058,\SF_DIMENSION_CONTEXT,\Shuge_sparse,\S巨大疎,\SHuge sparse,\I6,\S巨大疎,\S,\S,\S,\S,\S
\SFV0059,\SF_EVALUATION_COST,\Scheap,\S安価,\SCheap,\I1,\S安価,\S,\S,\S,\S,\S
\SFV0060,\SF_EVALUATION_COST,\Smoderate,\S中程度,\SModerate,\I2,\S中程度,\S,\S,\S,\S,\S
\SFV0061,\SF_EVALUATION_COST,\Sexpensive,\S高価,\SExpensive,\I3,\S高価,\S,\S,\S,\S,\S
\SFV0062,\SF_EVALUATION_COST,\Svery_expensive,\S非常に高価,\SVery expensive,\I4,\S非常に高価,\S,\S,\S,\S,\S
\SFV0063,\SF_NOISE_LEVEL,\Sdeterministic,\S決定論的,\SDeterministic,\I1,\S決定論的,\S,\S,\S,\S,\S
\SFV0064,\SF_NOISE_LEVEL,\Ssmall_noise,\S小ノイズ,\SSmall noise,\I2,\S小ノイズ,\S,\S,\S,\S,\S
\SFV0065,\SF_NOISE_LEVEL,\Smoderate_noise,\S中ノイズ,\SModerate noise,\I3,\S中ノイズ,\S,\S,\S,\S,\S
\SFV0066,\SF_NOISE_LEVEL,\Slarge_noise,\S大ノイズ,\SLarge noise,\I4,\S大ノイズ,\S,\S,\S,\S,\S
\SFV0067,\SF_NOISE_LEVEL,\Sunknown,\S不明,\SUnknown,\I5,\S不明,\S,\S,\S,\S,\S
\SFV0068,\SF_SOLUTION_GOAL,\Slocal_stationary,\S局所停留点,\SLocal stationary,\I1,\S局所停留点,\S,\S,\S,\S,\S
\SFV0069,\SF_SOLUTION_GOAL,\Sconvex_global,\S凸大域,\SConvex global,\I2,\S凸大域,\S,\S,\S,\S,\S
\SFV0070,\SF_SOLUTION_GOAL,\Sglobal_candidate,\S大域候補,\SGlobal candidate,\I3,\S大域候補,\S,\S,\S,\S,\S
\SFV0071,\SF_SOLUTION_GOAL,\Sglobal_proof,\S大域証明,\SGlobal proof,\I4,\S大域証明,\S,\S,\S,\S,\S
\SFV0072,\SF_SOLUTION_GOAL,\Soptimality_gap,\S最適性gap,\SOptimality gap,\I5,\S最適性gap,\S,\S,\S,\S,\S
\SFV0073,\SF_SOLUTION_GOAL,\Sfeasible_only,\S可行解優先,\SFeasible only,\I6,\S可行解優先,\S,\S,\S,\S,\S
\SFV0074,\SF_SOLUTION_GOAL,\Spareto_set,\SPareto集合,\SPareto set,\I7,\SPareto集合,\S,\S,\S,\S,\S
\SFV0075,\SF_SCALE_STRUCTURE,\Sdense,\S密,\SDense,\I1,\S密,\S,\S,\S,\S,\S
\SFV0076,\SF_SCALE_STRUCTURE,\Ssparse,\S疎,\SSparse,\I2,\S疎,\S,\S,\S,\S,\S
\SFV0077,\SF_SCALE_STRUCTURE,\Sblock,\Sブロック,\SBlock,\I3,\Sブロック,\S,\S,\S,\S,\S
\SFV0078,\SF_SCALE_STRUCTURE,\Sseparable,\S分離可能,\SSeparable,\I4,\S分離可能,\S,\S,\S,\S,\S
\SFV0079,\SF_SCALE_STRUCTURE,\Slow_rank,\S低ランク,\SLow rank,\I5,\S低ランク,\S,\S,\S,\S,\S
\SFV0080,\SF_EVALUATION_RELIABILITY,\Sreliable,\S安定,\SReliable,\I1,\S安定,\S,\S,\S,\S,\S
\SFV0081,\SF_EVALUATION_RELIABILITY,\Snondeterministic,\S非決定,\SNondeterministic,\I2,\S非決定,\S,\S,\S,\S,\S
\SFV0082,\SF_EVALUATION_RELIABILITY,\Soccasional_failure,\S時々失敗,\SOccasional failure,\I3,\S時々失敗,\S,\S,\S,\S,\S
\SFV0083,\SF_EVALUATION_RELIABILITY,\Sfrequent_failure,\S頻繁に失敗,\SFrequent failure,\I4,\S頻繁に失敗,\S,\S,\S,\S,\S
\SFV0084,\SF_EVALUATION_RELIABILITY,\Stimeout_possible,\Stimeoutあり,\STimeout possible,\I5,\Stimeoutあり,\S,\S,\S,\S,\S
\SFV0085,\SF_REPEATED_SOLVE,\Sone_off,\S単発,\SOne-off,\I1,\S単発,\S,\S,\S,\S,\S
\SFV0086,\SF_REPEATED_SOLVE,\Srepeated_similar,\S類似問題反復,\SRepeated similar,\I2,\S類似問題反復,\S,\S,\S,\S,\S
\SFV0087,\SF_REPEATED_SOLVE,\Sonline,\Sオンライン,\SOnline,\I3,\Sオンライン,\S,\S,\S,\S,\S
\SFV0088,\SF_REPEATED_SOLVE,\Sreal_time,\S実時間,\SReal-time,\I4,\S実時間,\S,\S,\S,\S,\S
\SFV0089,\SF_PARALLEL_BUDGET,\Sserial,\S逐次,\SSerial,\I1,\S逐次,\S,\S,\S,\S,\S
\SFV0090,\SF_PARALLEL_BUDGET,\Ssmall_parallel,\S小規模並列,\SSmall parallel,\I2,\S小規模並列,\S,\S,\S,\S,\S
\SFV0091,\SF_PARALLEL_BUDGET,\Smassive_parallel,\S大量並列,\SMassive parallel,\I3,\S大量並列,\S,\S,\S,\S,\S
\SFV0092,\SF_PARALLEL_BUDGET,\Sdistributed,\S分散,\SDistributed,\I4,\S分散,\S,\S,\S,\S,\S
\SFV0093,\SF_OBJECTIVE_FORM,\Sdiscrete,\S離散目的,\SDiscrete objective,\I8,\S離散構造・組合せ構造によって定義される目的。,\S,\S,\S,\Scombinatorial or discrete decision structure,\Sv0.2.0: existing case values were promoted from free text to controlled enum.
