view_id,case_id,scenario,first_method,first_method_id,second_method,second_method_id,why,check_before_use,common_failure,switch_condition,representative_implementations,additional_question,confidence,last_verified
\SBV011,\SEC011,\S凸二次計画問題,\Soperator-splitting QP,\SM_ADMM_QP,\Sactive-set QP,\SM_ACTIVE_SET_QP,\SOSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,\SPSD確認、求める精度、warm-start変化量。,\SADMM残差不均衡、stale warm start。,\S高精度/gap停滞ならconic IPMへ。,\SI_OSQP;I_CLARABEL;I_GUROBI,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV012,\SEC012,\S非凸二次計画問題,\S空間branch-and-bound,\SM_SPATIAL_BRANCH_BOUND,\Smulti-start局所最適化,\SM_MULTISTART,\S空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,\S変数bounds、quadratic structure、許容gap。,\S誤ってPSD扱い、weak relaxation、tree explosion。,\Sbounds強化/SDP・McCormick緩和を検討。,\SI_GUROBI;I_SCIP;I_MOSEK,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV013,\SEC013,\S非線形最小二乗問題,\SLevenberg–Marquardt法,\SM_LEVENBERG_MARQUARDT,\SGauss–Newton法,\SM_GAUSS_NEWTON,\S残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,\Srank、残差scale、robust loss、bounds。,\Srank deficiency、外れ値、悪い初期値。,\Sbounds/疎ならTRF、rank不良ならregularization。,\SI_SCIPY_LEAST_SQUARES_LM;I_CERES,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV014,\SEC014,\S外れ値を含むparameter推定,\SGauss–Newton法,\SM_GAUSS_NEWTON,\Sbundle法,\SM_BUNDLE,\Srobust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,\Soutlier model、loss scale、uncertainty。,\Ssquared loss支配、loss tuning bias。,\Sresidual diagnostics不良なら統計model再設計。,\SI_CERES;I_SCIPY_LEAST_SQUARES_TRF,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV015,\SEC015,\S単体上の最適化,\Smirror descent,\SM_MIRROR_DESCENT,\S射影勾配法,\SM_PROJECTED_GRADIENT,\Sentropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,\S境界解、sparsity、projection/prox cost。,\Szero成分、scale、projection誤差。,\Sprojectionが高価ならmirror/dual parameterization。,\SI_JAXOPT;I_CVXPY,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV016,\SEC016,\SSO(3)上の最適化,\SRiemann trust-region法,\SM_RIEMANNIAN_TRUST_REGION,\SRiemann勾配法,\SM_RIEMANNIAN_GRADIENT,\S多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,\Srepresentation、retraction、複数rotation、初期値。,\Sgimbal lock、orthogonality drift、局所解。,\Sclosed-form Wahba/eigen解が使えるならそちらを先に。,\SI_PYMANOPT;I_MANOPT_MATLAB;I_CERES,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV017,\SEC017,\S多目的最適化,\SNSGA-II,\SM_NSGA_II,\Sε-constraint法,\SM_EPSILON_CONSTRAINT,\SNSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,\S目的scale、reference point、評価budget、選好。,\Spoor coverage、hypervolume基準依存。,\S選好が明確になればscalarizationへ。,\SI_PYMOO;I_CVXPY,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV018,\SEC018,\Sscheduling,\SCP-SAT,\SM_CP_SAT,\Sbranch-and-cut,\SM_BRANCH_CUT,\Sglobal scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,\Shorizon、calendar、setup、soft constraints。,\Sweak propagation、symmetry、整数scale。,\Sbranches爆発ならglobal constraints/search strategy/model分解。,\SI_ORTOOLS_CPSAT;I_MINIZINC;I_CPLEX,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV019,\SEC019,\Srouting,\S組合せlocal search,\SM_LOCAL_SEARCH_COMBINATORIAL,\SCP-SAT,\SM_CP_SAT,\S大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,\Sfleet、distance metric、time windows、optimality requirement。,\S不可行初期route、局所停滞、metric誤り。,\S証明が必要/小規模ならMILP/branch-cutへ。,\SI_ORTOOLS_ROUTING;I_GUROBI,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV020,\SEC020,\S最適制御・軌道最適化,\Sdirect collocation,\SM_DIRECT_COLLOCATION,\Smultiple shooting,\SM_MULTIPLE_SHOOTING,\Sdynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,\Sintegrator、mesh、initial trajectory、realtime。,\Strajectory defect、mesh artifact、unstable rollout。,\Smesh refinementで解が変わるなら離散化を改善。,\SI_CASADI;I_ACADOS;I_DRAKE,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV021,\SEC021,\Sneural network学習,\SAdamW,\SM_ADAMW,\Smomentum SGD,\SM_MOMENTUM_SGD,\SGPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,\Sbatch、schedule、regularization、validation、memory。,\Soverfit、divergence、seed variance。,\Svalidation停滞・memory制約でoptimizer/scheduleを切替。,\SI_PYTORCH_OPTIM;I_TENSORFLOW_OPTIM;I_OPTAX,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV022,\SEC022,\Shyperparameter最適化,\STPE,\SM_TPE,\SHyperband/ASHA,\SM_HYPERBAND_ASHA,\Smixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,\Slearning curve、noise、failure、validation protocol。,\Searly stopping bias、data leakage、failed trials。,\Scurve非比較ならpruningを弱めBO/full-budgetへ。,\SI_OPTUNA;I_RAY_TUNE;I_SMAC3,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV023,\SEC023,\S解の厳密な証明が必要,\Sbranch-and-cut,\SM_BRANCH_CUT,\SCP-SAT,\SM_CP_SAT,\Sincumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,\S数値許容差、time、model correctness、license。,\Sstatus/gap誤読、Big-M、numerics。,\Sdeadlineでgap未達なら未証明として明示。,\SI_GUROBI;I_SCIP;I_HIGHS_NATIVE,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV024,\SEC024,\S良い実行可能解を早く得ることが重要,\S組合せlocal search,\SM_LOCAL_SEARCH_COMBINATORIAL,\SCP-SAT,\SM_CP_SAT,\Sanytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,\S最低品質、deadline、restart、可行性repair。,\S可行解なし、局所停滞、再現性。,\Sincumbent未生成ならconstructive heuristic/constraint relaxation。,\SI_ORTOOLS_ROUTING;I_ORTOOLS_CPSAT,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV025,\SEC025,\S反復MPC,\Soperator-splitting QP,\SM_ADMM_QP,\Sactive-set QP,\SM_ACTIVE_SET_QP,\Sfactorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,\Sdeadline worst-case、stability、solver failure fallback。,\Sstale warm start、残差未達、deadline miss。,\Scold fallbackとfeasible backup controllerを用意。,\SI_OSQP;I_ACADOS,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV026,\SEC026,\SPDE制約付き最適化,\SNewton-CG法,\SM_NEWTON_CG,\Strust-krylov,\SM_TRUST_KRYLOV,\Sadjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,\Sadjoint consistency、mesh independence、preconditioner。,\Sinner solve不安定、mesh dependence、bad gradient。,\Sadjoint check後、inexact Newton forcing/preconditioner改善。,\SI_PETSC_TAO;I_IPOPT,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV027,\SEC027,\S評価失敗を伴うsimulation,\Smesh adaptive direct search,\SM_MADS,\Srandom search,\SM_RANDOM_SEARCH,\Sfailure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,\Sfailure分類、安全領域、retry、determinism。,\Sfailure masking、可行率低、timeout bias。,\S可行率が低ければfeasibility classifier/phase-Iを先行。,\SI_NOMAD;I_NEVERGRAD,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
\SBV028,\SEC028,\S求根問題を最適化に見せた例,\SGauss–Newton法,\SM_GAUSS_NEWTON,\SLevenberg–Marquardt法,\SM_LEVENBERG_MARQUARDT,\Sまずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,\Ssquare/overdetermined、Jacobian、multiple roots、bounds。,\Snormal equation conditioning、局所root、rank deficiency。,\Sroot residualが下がらずrank不良ならregularization/model確認。,\SI_SCIPY_LEAST_SQUARES_TRF;I_CERES,\S変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,\Shigh,\S2026-07-13
