hierarchy_id,parent_method_id,child_method_id,relation_type,depth,is_primary_parent,rationale,source_ids,confidence,last_verified
\SMH0013,\SMF_CONSTRAINED_NLP,\SM_SQP,\Sis_a,\I1,\Syes,\SSequential quadratic programming is classified under Constrained nonlinear programming.,\SS017;S029;S030;S056;S064,\Shigh,\S2026-07-13
\SMH0014,\SMF_CONSTRAINED_NLP,\SM_SLSQP,\Sis_a,\I1,\Syes,\SSequential least-squares programming is classified under Constrained nonlinear programming.,\SS017;S029;S030;S056;S064;S002,\Shigh,\S2026-07-13
\SMH0015,\SMF_CONSTRAINED_NLP,\SM_INTERIOR_POINT_NLP,\Sis_a,\I1,\Syes,\SInterior-point NLP is classified under Constrained nonlinear programming.,\SS017;S029;S030;S056;S064,\Shigh,\S2026-07-13
\SMH0016,\SMF_CONSTRAINED_NLP,\SM_AUGMENTED_LAGRANGIAN,\Sis_a,\I1,\Syes,\SAugmented Lagrangian is classified under Constrained nonlinear programming.,\SS017;S029;S030;S056;S064;S018,\Shigh,\S2026-07-13
\SMH0017,\SMF_CONSTRAINED_NLP,\SM_PROJECTED_GRADIENT,\Sis_a,\I1,\Syes,\SProjected gradient is classified under Constrained nonlinear programming.,\SS017;S029;S030;S056;S064;S055;S066,\Shigh,\S2026-07-13
\SMH0018,\SMF_CONSTRAINED_NLP,\SM_ACTIVE_SET,\Sis_a,\I1,\Syes,\SActive-set method is classified under Constrained nonlinear programming.,\SS017;S029;S030;S056;S064;S012;S016,\Shigh,\S2026-07-13
\SMH0019,\SMF_COMPOSITE_CONVEX,\SM_PROX_GRADIENT,\Sis_a,\I1,\Syes,\SProximal gradient is classified under Convex composite and proximal optimization.,\SS055;S061;S066;S067,\Shigh,\S2026-07-13
\SMH0020,\SMF_COMPOSITE_CONVEX,\SM_FISTA,\Sis_a,\I1,\Syes,\SFast iterative shrinkage-thresholding algorithm is classified under Convex composite and proximal optimization.,\SS055;S061;S066;S067,\Shigh,\S2026-07-13
\SMH0021,\SMF_COMPOSITE_CONVEX,\SM_COORDINATE_DESCENT,\Sis_a,\I1,\Syes,\SCoordinate descent is classified under Convex composite and proximal optimization.,\SS055;S061;S066;S067;S056,\Shigh,\S2026-07-13
\SMH0022,\SMF_COMPOSITE_CONVEX,\SM_ADMM,\Sis_a,\I1,\Syes,\SAlternating direction method of multipliers is classified under Convex composite and proximal optimization.,\SS055;S061;S066;S067,\Shigh,\S2026-07-13
\SMH0023,\SMF_COMPOSITE_CONVEX,\SM_MIRROR_DESCENT,\Sis_a,\I1,\Syes,\SMirror descent is classified under Convex composite and proximal optimization.,\SS055;S061;S066;S067,\Shigh,\S2026-07-13
\SMH0024,\SMF_COMPOSITE_CONVEX,\SM_SUBGRADIENT,\Sis_a,\I1,\Syes,\SSubgradient method is classified under Convex composite and proximal optimization.,\SS055;S061;S066;S067,\Shigh,\S2026-07-13
\SMH0025,\SMF_COMPOSITE_CONVEX,\SM_BUNDLE,\Sis_a,\I1,\Syes,\SBundle method is classified under Convex composite and proximal optimization.,\SS055;S061;S066;S067;S056,\Shigh,\S2026-07-13
\SMH0026,\SMF_DFO_LOCAL,\SM_NELDER_MEAD,\Sis_a,\I1,\Syes,\SNelder-Mead simplex is classified under Local derivative-free optimization.,\SS002;S018;S031;S060;S063,\Shigh,\S2026-07-13
\SMH0027,\SMF_DFO_LOCAL,\SM_POWELL,\Sis_a,\I1,\Syes,\SPowell direction-set is classified under Local derivative-free optimization.,\SS002;S018;S031;S060;S063;S056,\Shigh,\S2026-07-13
\SMH0028,\SMF_DFO_LOCAL,\SM_PATTERN_SEARCH,\Sis_a,\I1,\Syes,\SPattern search is classified under Local derivative-free optimization.,\SS002;S018;S031;S060;S063,\Shigh,\S2026-07-13
\SMH0029,\SMF_DFO_LOCAL,\SM_MADS,\Sis_a,\I1,\Syes,\SMesh adaptive direct search is classified under Local derivative-free optimization.,\SS002;S018;S031;S060;S063,\Shigh,\S2026-07-13
\SMH0030,\SMF_DFO_LOCAL,\SM_COBYLA,\Sis_a,\I1,\Syes,\SConstrained optimization by linear approximation is classified under Local derivative-free optimization.,\SS002;S018;S031;S060;S063,\Shigh,\S2026-07-13
\SMH0031,\SMF_DFO_LOCAL,\SM_COBYQA,\Sis_a,\I1,\Syes,\SConstrained optimization by quadratic approximations is classified under Local derivative-free optimization.,\SS002;S018;S031;S060;S063,\Shigh,\S2026-07-13
\SMH0032,\SMF_DFO_LOCAL,\SM_SPSA,\Sis_a,\I1,\Syes,\SSimultaneous perturbation stochastic approximation is classified under Local derivative-free optimization.,\SS002;S018;S031;S060;S063;S056,\Shigh,\S2026-07-13
\SMH0033,\SMF_GLOBAL_SEARCH,\SM_MULTISTART,\Sis_a,\I1,\Syes,\SMulti-start local optimization is classified under Global search and multi-start.,\SS006;S007;S008;S009;S072;S073;S074;S056,\Shigh,\S2026-07-13
\SMH0034,\SMF_GLOBAL_SEARCH,\SM_BASIN_HOPPING,\Sis_a,\I1,\Syes,\SBasin-hopping is classified under Global search and multi-start.,\SS006;S007;S008;S009;S072;S073;S074;S001;S002,\Shigh,\S2026-07-13
\SMH0035,\SMF_GLOBAL_SEARCH,\SM_SHGO,\Sis_a,\I1,\Syes,\SSimplicial homology global optimization is classified under Global search and multi-start.,\SS006;S007;S008;S009;S072;S073;S074,\Shigh,\S2026-07-13
\SMH0036,\SMF_GLOBAL_SEARCH,\SM_DIRECT,\Sis_a,\I1,\Syes,\SDIviding RECTangles is classified under Global search and multi-start.,\SS006;S007;S008;S009;S072;S073;S074,\Shigh,\S2026-07-13
\SMH0037,\SMF_GLOBAL_SEARCH,\SM_DIFFERENTIAL_EVOLUTION,\Sis_a,\I1,\Syes,\SDifferential evolution is classified under Global search and multi-start.,\SS006;S007;S008;S009;S072;S073;S074,\Shigh,\S2026-07-13
\SMH0038,\SMF_GLOBAL_SEARCH,\SM_SIMULATED_ANNEALING,\Sis_a,\I1,\Syes,\SSimulated annealing is classified under Global search and multi-start.,\SS006;S007;S008;S009;S072;S073;S074,\Shigh,\S2026-07-13
\SMH0039,\SMF_EVOLUTIONARY,\SM_CMA_ES,\Sis_a,\I1,\Syes,\SCovariance matrix adaptation evolution strategy is classified under Evolutionary and population-based optimization.,\SS032;S033;S040;S058;S074,\Shigh,\S2026-07-13
\SMH0040,\SMF_EVOLUTIONARY,\SM_GENETIC_ALGORITHM,\Sis_a,\I1,\Syes,\SGenetic algorithm is classified under Evolutionary and population-based optimization.,\SS032;S033;S040;S058;S074,\Shigh,\S2026-07-13
\SMH0041,\SMF_EVOLUTIONARY,\SM_PARTICLE_SWARM,\Sis_a,\I1,\Syes,\SParticle swarm optimization is classified under Evolutionary and population-based optimization.,\SS032;S033;S040;S058;S074,\Shigh,\S2026-07-13
\SMH0042,\SMF_SURROGATE_HPO,\SM_BAYESIAN_OPT_GP,\Sis_a,\I1,\Syes,"\SGaussian-process Bayesian optimization is classified under Surrogate, Bayesian optimization, and HPO.",\SS034;S035;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SMH0043,\SMF_SURROGATE_HPO,\SM_TPE,\Sis_a,\I1,\Syes,"\STree-structured Parzen estimator is classified under Surrogate, Bayesian optimization, and HPO.",\SS034;S035;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SMH0044,\SMF_SURROGATE_HPO,\SM_SMAC_RF,\Sis_a,\I1,\Syes,"\SSMAC with random forest is classified under Surrogate, Bayesian optimization, and HPO.",\SS034;S035;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SMH0045,\SMF_SURROGATE_HPO,\SM_TURBO_SAASBO,\Sis_a,\I1,\Syes,"\STuRBO / SAASBO is classified under Surrogate, Bayesian optimization, and HPO.",\SS034;S035;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SMH0046,\SMF_SURROGATE_HPO,\SM_RANDOM_SEARCH,\Sis_a,\I1,\Syes,"\SRandom search is classified under Surrogate, Bayesian optimization, and HPO.",\SS034;S035;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SMH0047,\SMF_SURROGATE_HPO,\SM_HYPERBAND_ASHA,\Sis_a,\I1,\Syes,"\SHyperband / ASHA is classified under Surrogate, Bayesian optimization, and HPO.",\SS034;S035;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SMH0048,\SMF_SURROGATE_HPO,\SM_PBT,\Sis_a,\I1,\Syes,"\SPopulation-based training is classified under Surrogate, Bayesian optimization, and HPO.",\SS034;S035;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SMH0049,\SMF_LP_QP_CONIC,\SM_SIMPLEX,\Sis_a,\I1,\Syes,"\SPrimal simplex is classified under Linear, quadratic, and conic optimization.",\SS004;S010;S012;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SMH0050,\SMF_LP_QP_CONIC,\SM_DUAL_SIMPLEX,\Sis_a,\I1,\Syes,"\SDual simplex is classified under Linear, quadratic, and conic optimization.",\SS004;S010;S012;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SMH0051,\SMF_LP_QP_CONIC,\SM_BARRIER_LP_QP,\Sis_a,\I1,\Syes,"\SPrimal-dual barrier method is classified under Linear, quadratic, and conic optimization.",\SS004;S010;S012;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SMH0052,\SMF_LP_QP_CONIC,\SM_PDLP,\Sis_a,\I1,\Syes,"\SPrimal-dual hybrid gradient for LP is classified under Linear, quadratic, and conic optimization.",\SS004;S010;S012;S013;S014;S016;S055;S062;S078,\Shigh,\S2026-07-13
\SMH0053,\SMF_LP_QP_CONIC,\SM_ACTIVE_SET_QP,\Sis_a,\I1,\Syes,"\SActive-set QP is classified under Linear, quadratic, and conic optimization.",\SS004;S010;S012;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SMH0054,\SMF_LP_QP_CONIC,\SM_ADMM_QP,\Sis_a,\I1,\Syes,"\SADMM/operator-splitting QP is classified under Linear, quadratic, and conic optimization.",\SS004;S010;S012;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SMH0055,\SMF_LP_QP_CONIC,\SM_PRIMAL_DUAL_CONIC,\Sis_a,\I1,\Syes,"\SPrimal-dual conic interior-point is classified under Linear, quadratic, and conic optimization.",\SS004;S010;S012;S013;S014;S016;S055;S062;S028,\Shigh,\S2026-07-13
\SMH0056,\SMF_DISCRETE_EXACT,\SM_BRANCH_BOUND,\Sis_a,\I1,\Syes,\SBranch and bound is classified under Exact discrete and mixed-integer optimization.,\SS005;S016;S021;S024;S025;S028,\Shigh,\S2026-07-13
\SMH0057,\SMF_DISCRETE_EXACT,\SM_BRANCH_CUT,\Sis_a,\I1,\Syes,\SBranch and cut is classified under Exact discrete and mixed-integer optimization.,\SS005;S016;S021;S024;S025;S028,\Shigh,\S2026-07-13
\SMH0058,\SMF_DISCRETE_EXACT,\SM_OUTER_APPROX_MINLP,\Sis_a,\I1,\Syes,\SOuter approximation for MINLP is classified under Exact discrete and mixed-integer optimization.,\SS005;S016;S021;S024;S025;S028;S029,\Shigh,\S2026-07-13
\SMH0059,\SMF_DISCRETE_EXACT,\SM_SPATIAL_BRANCH_BOUND,\Sis_a,\I1,\Syes,\SSpatial branch and bound is classified under Exact discrete and mixed-integer optimization.,\SS005;S016;S021;S024;S025;S028,\Shigh,\S2026-07-13
\SMH0060,\SMF_CONSTRAINT_PROGRAMMING,\SM_CP_SEARCH,\Sis_a,\I1,\Syes,\SConstraint-programming search is classified under Constraint programming and SAT.,\SS022;S053,\Shigh,\S2026-07-13
\SMH0061,\SMF_CONSTRAINT_PROGRAMMING,\SM_CP_SAT,\Sis_a,\I1,\Syes,\SConstraint programming with SAT techniques is classified under Constraint programming and SAT.,\SS022;S053;S079,\Shigh,\S2026-07-13
\SMH0062,\SMF_CONSTRAINT_PROGRAMMING,\SM_CDCL_SAT,\Sis_a,\I1,\Syes,\SConflict-driven clause learning SAT is classified under Constraint programming and SAT.,\SS022;S053,\Shigh,\S2026-07-13
\SMH0063,\SMF_GRAPH_DP,\SM_DYNAMIC_PROGRAMMING,\Sis_a,\I1,\Syes,\SDynamic programming is classified under Graph algorithms and dynamic programming.,\SS054,\Shigh,\S2026-07-13
\SMH0064,\SMF_GRAPH_DP,\SM_NETWORK_SIMPLEX,\Sis_a,\I1,\Syes,\SNetwork simplex is classified under Graph algorithms and dynamic programming.,\SS054,\Shigh,\S2026-07-13
\SMH0065,\SMF_GRAPH_DP,\SM_HUNGARIAN,\Sis_a,\I1,\Syes,\SHungarian algorithm is classified under Graph algorithms and dynamic programming.,\SS054,\Shigh,\S2026-07-13
\SMH0066,\SMF_GRAPH_DP,\SM_DIJKSTRA_ASTAR,\Sis_a,\I1,\Syes,\SDijkstra / A* is classified under Graph algorithms and dynamic programming.,\SS054,\Shigh,\S2026-07-13
\SMH0067,\SMF_GRAPH_DP,\SM_LOCAL_SEARCH_COMBINATORIAL,\Sis_a,\I1,\Syes,\SCombinatorial local search is classified under Graph algorithms and dynamic programming.,\SS054;S023,\Shigh,\S2026-07-13
\SMH0068,\SMF_MULTI_OBJECTIVE,\SM_WEIGHTED_SUM,\Sis_a,\I1,\Syes,\SWeighted-sum scalarization is classified under Multi-objective optimization.,\SS039;S068;S055,\Shigh,\S2026-07-13
\SMH0069,\SMF_MULTI_OBJECTIVE,\SM_EPSILON_CONSTRAINT,\Sis_a,\I1,\Syes,\SEpsilon-constraint method is classified under Multi-objective optimization.,\SS039;S068;S055,\Shigh,\S2026-07-13
\SMH0070,\SMF_MULTI_OBJECTIVE,\SM_NSGA_II,\Sis_a,\I1,\Syes,\SNon-dominated sorting genetic algorithm II is classified under Multi-objective optimization.,\SS039;S068,\Shigh,\S2026-07-13
\SMH0071,\SMF_MULTI_OBJECTIVE,\SM_NSGA_III,\Sis_a,\I1,\Syes,\SReference-point based NSGA-III is classified under Multi-objective optimization.,\SS039;S068,\Shigh,\S2026-07-13
\SMH0072,\SMF_MULTI_OBJECTIVE,\SM_MOEA_D,\Sis_a,\I1,\Syes,\SMulti-objective evolutionary algorithm based on decomposition is classified under Multi-objective optimization.,\SS039;S068,\Shigh,\S2026-07-13
\SMH0073,\SMF_STOCHASTIC_ML,\SM_SGD,\Sis_a,\I1,\Syes,\SStochastic gradient descent is classified under Stochastic-gradient and ML optimization.,\SS047;S048;S049;S070,\Shigh,\S2026-07-13
\SMH0074,\SMF_STOCHASTIC_ML,\SM_MOMENTUM_SGD,\Sis_a,\I1,\Syes,\SSGD with momentum is classified under Stochastic-gradient and ML optimization.,\SS047;S048;S049;S070,\Shigh,\S2026-07-13
\SMH0075,\SMF_STOCHASTIC_ML,\SM_ADAM,\Sis_a,\I1,\Syes,\SAdaptive moment estimation is classified under Stochastic-gradient and ML optimization.,\SS047;S048;S049;S070,\Shigh,\S2026-07-13
\SMH0076,\SMF_STOCHASTIC_ML,\SM_ADAMW,\Sis_a,\I1,\Syes,\SAdam with decoupled weight decay is classified under Stochastic-gradient and ML optimization.,\SS047;S048;S049;S070,\Shigh,\S2026-07-13
\SMH0077,\SMF_OPTIMAL_CONTROL,\SM_DIRECT_SHOOTING,\Sis_a,\I1,\Syes,\SDirect shooting is classified under Optimal control and trajectory optimization.,\SS042;S043;S050;S076,\Shigh,\S2026-07-13
\SMH0078,\SMF_OPTIMAL_CONTROL,\SM_MULTIPLE_SHOOTING,\Sis_a,\I1,\Syes,\SDirect multiple shooting is classified under Optimal control and trajectory optimization.,\SS042;S043;S050;S076,\Shigh,\S2026-07-13
\SMH0079,\SMF_OPTIMAL_CONTROL,\SM_DIRECT_COLLOCATION,\Sis_a,\I1,\Syes,\SDirect collocation is classified under Optimal control and trajectory optimization.,\SS042;S043;S050;S076,\Shigh,\S2026-07-13
\SMH0080,\SMF_OPTIMAL_CONTROL,\SM_ILQR_DDP,\Sis_a,\I1,\Syes,\SIterative LQR / differential dynamic programming is classified under Optimal control and trajectory optimization.,\SS042;S043;S050;S076,\Shigh,\S2026-07-13
\SMH0081,\SMF_MANIFOLD,\SM_RIEMANNIAN_GRADIENT,\Sis_a,\I1,\Syes,\SRiemannian gradient descent is classified under Riemannian manifold optimization.,\SS044;S045;S071,\Shigh,\S2026-07-13
\SMH0082,\SMF_MANIFOLD,\SM_RIEMANNIAN_TRUST_REGION,\Sis_a,\I1,\Syes,\SRiemannian trust-region is classified under Riemannian manifold optimization.,\SS044;S045;S071,\Shigh,\S2026-07-13
\SMH_TRUST_REGION_REFLECTIVE,\SMF_TRUST_REGION,\SM_TRUST_REGION_REFLECTIVE,\Svariant_of,\I1,\Syes,\SBound-constrained nonlinear least-squares trust-region variant with interior scaling and reflected directions.,\SS003;S096,\Shigh,\S2026-07-16
