source_id,source_type,title,author_or_organization,publication_date,accessed_date,url,supported_claim,source_quality,notes,currentness_status
\SS015,\Sofficial_documentation,\SCVXOPT,\SCVXOPT,\S,\S2026-07-13,\Shttps://cvxopt.org/,\S凸最適化,\Sprimary,\S,\Sverified_current
\SS016,\Sofficial_documentation,\SHiGHS,\SHiGHS,\S,\S2026-07-13,\Shttps://highs.dev/,\SLP/MIP/QP,\Sprimary,\S,\Sverified_current
\SS017,\Sofficial_documentation,\SIpopt Documentation,\SCOIN-OR,\S,\S2026-07-13,\Shttps://coin-or.github.io/Ipopt/,\S大規模滑らかNLP,\Sprimary,\S,\Sverified_current
\SS018,\Sofficial_documentation,\SNLopt Documentation,\SNLopt,\S,\S2026-07-13,\Shttps://nlopt.readthedocs.io/en/latest/,\S局所・大域手法集,\Sprimary,\S,\Sverified_current
\SS019,\Sofficial_documentation,\SPETSc TAO,\SPETSc,\S,\S2026-07-13,\Shttps://petsc.org/release/overview/tao/,\S大規模並列最適化,\Sprimary,\S,\Sverified_current
\SS020,\Sofficial_documentation,\SPyomo Documentation,\SPyomo,\S,\S2026-07-13,\Shttps://pyomo.readthedocs.io/en/stable/,\S数理モデリング,\Sprimary,\S,\Sverified_current
\SS021,\Sofficial_documentation,\SSCIP Optimization Suite,\SSCIP,\S,\S2026-07-13,\Shttps://www.scipopt.org/doc/html/,\SMIP/MINLP,\Sprimary,\S,\Sverified_current
\SS022,\Sofficial_documentation,\SOR-Tools CP-SAT,\SGoogle,\S,\S2026-07-13,\Shttps://developers.google.com/optimization/cp/cp_solver,\SCP-SAT,\Sprimary,\S,\Sverified_current
\SS023,\Sofficial_documentation,\SOR-Tools Routing,\SGoogle,\S,\S2026-07-13,\Shttps://developers.google.com/optimization/routing,\Srouting,\Sprimary,\S,\Sverified_current
\SS024,\Svendor_manual,\SGurobi Optimizer Reference Manual,\SGurobi,\S,\S2026-07-13,\Shttps://docs.gurobi.com/projects/optimizer/en/current/,\SLP/QP/MIP/QCP,\Sprimary,\S,\Sverified_current
\SS025,\Svendor_manual,\SIBM CPLEX Documentation,\SIBM,\S,\S2026-07-13,\Shttps://www.ibm.com/docs/en/icos,\SLP/QP/MIP/CP,\Sprimary,\S,\Sverified_current
\SS026,\Sofficial_repository,\SCOIN-OR Cbc,\SCOIN-OR,\S,\S2026-07-13,\Shttps://github.com/coin-or/Cbc,\SMILP,\Sprimary,\S,\Sverified_current
\SS027,\Sofficial_documentation,\SGNU GLPK,\SGNU,\S,\S2026-07-13,\Shttps://www.gnu.org/software/glpk/,\SLP/MIP,\Sprimary,\S,\Sverified_current
\SS028,\Svendor_manual,\SMOSEK Python API,\SMOSEK,\S,\S2026-07-13,\Shttps://docs.mosek.com/latest/pythonapi/index.html,\SLP/QP/錐/SDP/MIP,\Sprimary,\S,\Sverified_current
\SS029,\Svendor_manual,\SKnitro User Manual,\SArtelys,\S,\S2026-07-13,\Shttps://www.artelys.com/app/docs/knitro/,\SNLP/MINLP,\Sprimary,\S,\Sverified_current
\SS030,\Sofficial_documentation,\SSNOPT,\SStanford CCoM,\S,\S2026-07-13,\Shttps://ccom.ucsd.edu/~optimizers/solvers/snopt/,\S疎SQP,\Sprimary,\S,\Sverified_current
\SS031,\Sofficial_documentation,\SNOMAD,\SGERAD,\S,\S2026-07-13,\Shttps://www.gerad.ca/en/software/nomad/,\SMADS/black-box constraints,\Sprimary,\S,\Sverified_current
\SS032,\Sofficial_documentation,\Spycma,\SCMA-ES community,\S,\S2026-07-13,\Shttps://cma-es.github.io/apidocs-pycma/,\SCMA-ES,\Sprimary,\S,\Sverified_current
\SS033,\Sofficial_documentation,\SNevergrad,\SMeta,\S,\S2026-07-13,\Shttps://facebookresearch.github.io/nevergrad/,\SDFO portfolio,\Sprimary,\S,\Sverified_current
\SS034,\Sofficial_documentation,\SOptuna,\SOptuna,\S,\S2026-07-13,\Shttps://optuna.readthedocs.io/en/stable/,\SHPO samplers/pruners,\Sprimary,\S,\Sverified_current
\SS035,\Sofficial_documentation,\SBoTorch,\SMeta/PyTorch,\S,\S2026-07-13,\Shttps://botorch.org/,\SBayesian optimization,\Sprimary,\S,\Sverified_current
\SS036,\Sofficial_documentation,\SAx,\SMeta,\S,\S2026-07-13,\Shttps://ax.dev/,\Sadaptive experimentation,\Sprimary,\S,\Sverified_current
\SS037,\Sofficial_documentation,\SSMAC3,\SAutoML.org,\S,\S2026-07-13,\Shttps://automl.github.io/SMAC3/latest/,\SRF surrogate HPO,\Sprimary,\S,\Sverified_current
\SS038,\Sofficial_documentation,\SRay Tune,\SRay,\S,\S2026-07-13,\Shttps://docs.ray.io/en/latest/tune/index.html,\Sdistributed HPO,\Sprimary,\S,\Sverified_current
\SS039,\Sofficial_documentation,\Spymoo,\Spymoo,\S,\S2026-07-13,\Shttps://pymoo.org/,\Smultiobjective/evolutionary,\Sprimary,\S,\Sverified_current
\SS040,\Sofficial_documentation,\SDEAP,\SDEAP,\S,\S2026-07-13,\Shttps://deap.readthedocs.io/en/master/,\Sevolution framework,\Sprimary,\S,\Sverified_current
\SS041,\Sofficial_documentation,\SCeres Solver,\SGoogle,\S,\S2026-07-13,\Shttps://ceres-solver.readthedocs.io/latest/,\Snonlinear least squares,\Sprimary,\S,\Sverified_current
\SS042,\Sofficial_documentation,\SCasADi,\SCasADi,\S,\S2026-07-13,\Shttps://web.casadi.org/docs/,\SAD/NLP/optimal control,\Sprimary,\S,\Sverified_current
\SS043,\Sofficial_documentation,\Sacados,\Sacados,\S,\S2026-07-13,\Shttps://docs.acados.org/,\Sreal-time optimal control,\Sprimary,\S,\Sverified_current
\SS044,\Sofficial_documentation,\SPymanopt,\SPymanopt,\S,\S2026-07-13,\Shttps://pymanopt.org/,\SRiemannian optimization,\Sprimary,\S,\Sverified_current
\SS045,\Sofficial_documentation,\SManopt,\SManopt,\S,\S2026-07-13,\Shttps://www.manopt.org/,\Smanifold optimization,\Sprimary,\S,\Sverified_current
\SS046,\Sofficial_documentation,\SJAXopt,\SGoogle,\S,\S2026-07-13,\Shttps://jaxopt.github.io/stable/,\Sdifferentiable optimization,\Sprimary,\S,\Sverified_current
\SS047,\Sofficial_documentation,\SOptax,\SGoogle DeepMind,\S,\S2026-07-13,\Shttps://optax.readthedocs.io/en/latest/,\SJAX optimizers,\Sprimary,\S,\Sverified_current
\SS048,\Sofficial_documentation,\Storch.optim,\SPyTorch,\S,\S2026-07-13,\Shttps://docs.pytorch.org/docs/stable/optim.html,\SML optimizers,\Sprimary,\S,\Sverified_current
\SS049,\Sofficial_documentation,\SKeras optimizers,\STensorFlow,\S,\S2026-07-13,\Shttps://www.tensorflow.org/api_docs/python/tf/keras/optimizers,\SML optimizers,\Sprimary,\S,\Sverified_current
\SS050,\Sofficial_documentation,\SDrake MathematicalProgram,\SDrake,\S,\S2026-07-13,\Shttps://drake.mit.edu/doxygen_cxx/group__solvers.html,\Srobotics optimization,\Sprimary,\S,\Sverified_current
\SS051,\Sofficial_documentation,\SJuMP Documentation,\SJuMP,\S,\S2026-07-13,\Shttps://jump.dev/JuMP.jl/stable/,\SJulia modeling,\Sprimary,\S,\Sverified_current
\SS052,\Sofficial_documentation,\SOptim.jl,\SJuliaNLSolvers,\S,\S2026-07-13,\Shttps://julianlsolvers.github.io/Optim.jl/stable/,\SJulia continuous optimization,\Sprimary,\S,\Sverified_current
\SS053,\Sofficial_documentation,\SMiniZinc Documentation,\SMiniZinc,\S,\S2026-07-13,\Shttps://docs.minizinc.dev/en/stable/,\Sconstraint modeling,\Sprimary,\S,\Sverified_current
\SS054,\Suniversity_material,\SNEOS Guide: Optimization Problem Types,\SNEOS,\S,\S2026-07-13,\Shttps://neos-guide.org/guide/types/,\Sproblem classes,\Shigh,\S,\Sverified_current
\SS055,\Stextbook,\SConvex Optimization,\SBoyd and Vandenberghe,\I2004,\S2026-07-13,\Shttps://web.stanford.edu/~boyd/cvxbook/,\Sconvexity/duality/conic,\Shigh,\S,\Snot_time_sensitive
\SS056,\Stextbook,\SNumerical Optimization,\SNocedal and Wright,\I2006,\S2026-07-13,\Shttps://link.springer.com/book/10.1007/978-0-387-40065-5,\Scontinuous optimization,\Shigh,\S,\Snot_time_sensitive
\SS057,\Soriginal_paper,\SA new approach to variable metric algorithms,\SFletcher,\I1970,\S2026-07-13,\Shttps://doi.org/10.1093/comjnl/13.3.317,\SBFGS,\Sprimary,\S,\Shistorical_primary
\SS058,\Soriginal_paper,\SThe CMA Evolution Strategy: A Tutorial,\SHansen,\I2016,\S2026-07-13,\Shttps://arxiv.org/abs/1604.00772,\SCMA-ES,\Sprimary,\S,\Shistorical_primary
\SS059,\Soriginal_paper,\SA Tutorial on Bayesian Optimization,\SFrazier,\I2018,\S2026-07-13,\Shttps://arxiv.org/abs/1807.02811,\SBO,\Sprimary,\S,\Shistorical_primary
\SS060,\Soriginal_paper,\SMesh Adaptive Direct Search,\SAudet and Dennis,\I2006,\S2026-07-13,\Shttps://doi.org/10.1137/040603371,\SMADS,\Sprimary,\S,\Shistorical_primary
\SS061,\Soriginal_paper,\SDistributed Optimization via ADMM,\SBoyd et al.,\I2011,\S2026-07-13,\Shttps://web.stanford.edu/~boyd/papers/admm_distr_stats.html,\SADMM,\Sprimary,\S,\Shistorical_primary
\SS062,\Soriginal_paper,\SOSQP: Operator Splitting QP Solver,\SStellato et al.,\I2020,\S2026-07-13,\Shttps://web.stanford.edu/~boyd/papers/osqp.html,\SOSQP,\Sprimary,\S,\Shistorical_primary
\SS063,\Soriginal_paper,\SA Simplex Method for Function Minimization,\SNelder and Mead,\I1965,\S2026-07-13,\Shttps://doi.org/10.1093/comjnl/7.4.308,\SNelder-Mead,\Sprimary,\S,\Shistorical_primary
\SS064,\Soriginal_paper,\SSLSQP software package,\SKraft,\I1988,\S2026-07-13,\Shttps://degenerateconic.com/uploads/2018/03/DFVLR_FB_88_28.pdf,\SSLSQP,\Sprimary,\S,\Shistorical_primary
\SS065,\Soriginal_paper,\SLimited Memory Algorithm for Bound Constrained Optimization,\SByrd et al.,\I1995,\S2026-07-13,\Shttps://doi.org/10.1137/0916069,\SL-BFGS-B,\Sprimary,\S,\Shistorical_primary
\SS066,\Soriginal_paper,\SProximal Algorithms,\SParikh and Boyd,\I2014,\S2026-07-13,\Shttps://web.stanford.edu/~boyd/papers/prox_algs.html,\Sproximal methods,\Sprimary,\S,\Shistorical_primary
\SS067,\Soriginal_paper,\SFISTA,\SBeck and Teboulle,\I2009,\S2026-07-13,\Shttps://doi.org/10.1137/080716542,\SFISTA,\Sprimary,\S,\Shistorical_primary
\SS068,\Soriginal_paper,\SNSGA-II,\SDeb et al.,\I2002,\S2026-07-13,\Shttps://doi.org/10.1109/4235.996017,\SNSGA-II,\Sprimary,\S,\Shistorical_primary
\SS069,\Soriginal_paper,\SHyperband,\SLi et al.,\I2018,\S2026-07-13,\Shttps://jmlr.org/papers/v18/16-558.html,\SHyperband,\Sprimary,\S,\Shistorical_primary
\SS070,\Soriginal_paper,\SAdam,\SKingma and Ba,\I2014,\S2026-07-13,\Shttps://arxiv.org/abs/1412.6980,\SAdam,\Sprimary,\S,\Shistorical_primary
\SS071,\Stextbook,\SOptimization Algorithms on Matrix Manifolds,\SAbsil et al.,\I2008,\S2026-07-13,\Shttps://press.princeton.edu/books/hardcover/9780691132983/optimization-algorithms-on-matrix-manifolds,\Smanifold optimization,\Shigh,\S,\Snot_time_sensitive
\SS072,\Soriginal_paper,\SSHGO,\SEndres et al.,\I2018,\S2026-07-13,\Shttps://doi.org/10.1007/s10898-018-0645-y,\SSHGO,\Sprimary,\S,\Shistorical_primary
\SS073,\Soriginal_paper,\SDIRECT,\SJones et al.,\I1993,\S2026-07-13,\Shttps://doi.org/10.1007/BF00941892,\SDIRECT,\Sprimary,\S,\Shistorical_primary
\SS074,\Soriginal_paper,\SDifferential Evolution,\SStorn and Price,\I1997,\S2026-07-13,\Shttps://doi.org/10.1023/A:1008202821328,\SDE,\Sprimary,\S,\Shistorical_primary
\SS075,\Soriginal_paper,\SPractical Bayesian Optimization of ML Algorithms,\SSnoek et al.,\I2012,\S2026-07-13,\Shttps://proceedings.neurips.cc/paper/2012/hash/05311655a15b75fab86956663e1819cd-Abstract.html,\SHPO BO,\Sprimary,\S,\Shistorical_primary
\SS076,\Soriginal_paper,\Sacados framework,\SVerschueren et al.,\I2022,\S2026-07-13,\Shttps://doi.org/10.1007/s12532-021-00208-8,\Sacados,\Sprimary,\S,\Shistorical_primary
\SS077,\Sofficial_documentation,\SCeres Bibliography,\SGoogle,\S,\S2026-07-13,\Shttps://ceres-solver.readthedocs.io/latest/bibliography.html,\SCeres methods,\Sprimary,\S,\Sverified_current
\SS078,\Sofficial_documentation,\SOR-Tools Linear Optimization,\SGoogle,\S,\S2026-07-13,\Shttps://developers.google.com/optimization/lp,\SLP/GLOP/PDLP,\Sprimary,\S,\Sverified_current
\SS079,\Sofficial_documentation,\SOR-Tools MIP,\SGoogle,\S,\S2026-07-13,\Shttps://developers.google.com/optimization/mip/mip_example,\SMIP/CP-SAT guidance,\Sprimary,\S,\Sverified_current
\SS080,\Sofficial_documentation,\Sscipy.optimize.root,\SSciPy,\S,\S2026-07-13,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.root.html,\Sroot finding,\Sprimary,\S,\Sverified_current
\SS081,\Sofficial_documentation,\SDefine and solve a problem by using Solver,\SMicrosoft,\S,\S2026-07-13,\Shttps://support.microsoft.com/en-us/office/define-and-solve-a-problem-by-using-solver-5d1a388f-079d-43ac-a7eb-f63e45925040,\SExcel Solver,\Sprimary,\S,\Sverified_current
\SS082,\Sofficial_repository,\SSciPy Releases,\SSciPy,\S,\S2026-07-13,\Shttps://github.com/scipy/scipy/releases,\SCurrent SciPy release metadata,\Sprimary,\S,\Sverified_current
\SS083,\Sofficial_repository,\SHiGHS Releases,\SHiGHS,\S,\S2026-07-13,\Shttps://github.com/ERGO-Code/HiGHS/releases,\SCurrent HiGHS release metadata,\Sprimary,\S,\Sverified_current
\SS084,\Sofficial_repository,\SOSQP Repository,\SOSQP,\S,\S2026-07-13,\Shttps://github.com/osqp/OSQP,"\SCore version, license, and maintenance metadata",\Sprimary,\S,\Sverified_current
\SS085,\Sofficial_repository,\SOSQP Python Releases,\SOSQP,\S,\S2026-07-13,\Shttps://github.com/osqp/osqp-python/releases,\SPython wrapper release metadata,\Sprimary,\S,\Sverified_current
\SS086,\Sofficial_repository,\SCVXPY Releases,\SCVXPY,\S,\S2026-07-13,\Shttps://github.com/cvxpy/cvxpy/releases,\SCurrent CVXPY release metadata,\Sprimary,\S,\Sverified_current
\SS087,\Sofficial_repository,\SIpopt Releases,\SCOIN-OR,\S,\S2026-07-13,\Shttps://github.com/coin-or/Ipopt/releases,\SCurrent Ipopt release metadata,\Sprimary,\S,\Sverified_current
\SS088,\Sofficial_repository,\SOR-Tools Releases,\SGoogle,\S,\S2026-07-13,\Shttps://github.com/google/or-tools/releases,\SCurrent OR-Tools release metadata,\Sprimary,\S,\Sverified_current
\SS089,\Sofficial_repository,\SSCIP Releases,\SSCIP Optimization Suite,\S,\S2026-07-13,\Shttps://github.com/scipopt/scip/releases,\SCurrent SCIP release metadata,\Sprimary,\S,\Sverified_current
\SS090,\Sofficial_repository,\SNevergrad Releases,\SMeta / facebookresearch,\S,\S2026-07-13,\Shttps://github.com/facebookresearch/nevergrad/releases,\SCurrent Nevergrad release metadata,\Sprimary,\S,\Sverified_current
\SS091,\Sofficial_repository,\SPymanopt Releases,\SPymanopt,\S,\S2026-07-13,\Shttps://github.com/pymanopt/pymanopt/releases,\SCurrent Pymanopt release metadata,\Sprimary,\S,\Sverified_current
\SS092,\Sofficial_repository,\SManopt MATLAB Repository README,\SManopt,\S,\S2026-07-13,\Shttps://github.com/NicolasBoumal/manopt,\SLicense and current distribution metadata,\Sprimary,\S,\Sverified_current
\SS093,\Sofficial_repository,\SJAXopt Repository Status,\SGoogle,\S,\S2026-07-13,\Shttps://github.com/google/jaxopt,\SMaintenance status and latest release metadata,\Sprimary,\S,\Sverified_current
\SS094,\Sofficial_repository,\SNOMAD Repository,\SNOMAD / GERAD,\S,\S2026-07-13,\Shttps://github.com/bbopt/nomad,\SLicense and current release metadata,\Sprimary,\S,\Sverified_current
\SS095,\Sofficial_repository,\SManopt.jl Repository,\SJuliaManifolds,\S,\S2026-07-13,\Shttps://github.com/JuliaManifolds/Manopt.jl,"\SImplementation, license, and current release metadata",\Sprimary,\S,\Sverified_current
\SS096,\Soriginal_paper,"\SA Subspace, Interior, and Conjugate Gradient Method for Large-Scale Bound-Constrained Minimization Problems","\SBranch, Coleman, and Li",\S1999-01-01,\S2026-07-16,\Shttps://doi.org/10.1137/S1064827595289108,\STrust Region Reflective / STIR bound-constrained trust-region method,\Sprimary,\N,\Shistorical_primary
\SS097,\Sofficial_documentation,\Sscipy.optimize.curve_fit,\SSciPy,\N,\S2026-07-16,\Shttps://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.curve_fit.html,\Scurve_fit method selection and bounds-dependent defaults,\Sprimary,\N,\Sverified_current
