problem_feature_map_id,problem_id,feature_id,feature_value_id,value_numeric,value_text,truth_status,is_defining,conditions,confidence,source_ids,last_verified
\SPFM00017,\SPA002,\SF_CONVEXITY,\SFV0019,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00018,\SPA002,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00019,\SPA002,\SF_DERIVATIVE_ACCESS,\SFV0035,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00020,\SPA002,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00021,\SPA002,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00022,\SPA002,\SF_EVALUATION_COST,\SFV0059,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00023,\SPA002,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00024,\SPA002,\SF_SOLUTION_GOAL,\SFV0071,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00025,\SPA002,\SF_SCALE_STRUCTURE,\SFV0076,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00026,\SPA002,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00027,\SPA002,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00028,\SPA002,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S056,\S2026-07-13
\SPFM00029,\SPA002,\SF_STRUCTURE_SPARSE,\N,\S,\S,\Syes,\Sconditional,\SArchetype-level inferred structure; confirm on the concrete instance.,\Smedium,\SS054;S056,\S2026-07-13
\SPFM00030,\SPA003,\SF_VARIABLE_DOMAIN,\SFV0006,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00031,\SPA003,\SF_OBJECTIVE_FORM,\SFV0012,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00032,\SPA003,\SF_CONVEXITY,\SFV0022,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00033,\SPA003,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00034,\SPA003,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00035,\SPA003,\SF_CONSTRAINT_CLASS,\SFV0050,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00036,\SPA003,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00037,\SPA003,\SF_EVALUATION_COST,\SFV0059,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00038,\SPA003,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00039,\SPA003,\SF_SOLUTION_GOAL,\SFV0071,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00040,\SPA003,\SF_SCALE_STRUCTURE,\SFV0079,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00041,\SPA003,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00042,\SPA003,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00043,\SPA003,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS054;S071,\S2026-07-13
\SPFM00044,\SPA003,\SF_STRUCTURE_QP,\N,\S,\S,\Syes,\Sconditional,\SArchetype-level inferred structure; confirm on the concrete instance.,\Smedium,\SS054;S071,\S2026-07-13
\SPFM00045,\SPA004,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00046,\SPA004,\SF_OBJECTIVE_FORM,\SFV0017,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00047,\SPA004,\SF_CONVEXITY,\SFV0023,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00048,\SPA004,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00049,\SPA004,\SF_DERIVATIVE_ACCESS,\SFV0035,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00050,\SPA004,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00051,\SPA004,\SF_DIMENSION_CONTEXT,\SFV0055,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00052,\SPA004,\SF_EVALUATION_COST,\SFV0060,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00053,\SPA004,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00054,\SPA004,\SF_SOLUTION_GOAL,\SFV0068,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00055,\SPA004,\SF_SCALE_STRUCTURE,\SFV0076,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00056,\SPA004,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00057,\SPA004,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00058,\SPA004,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS080;S056,\S2026-07-13
\SPFM00059,\SPA004,\SF_STRUCTURE_SPARSE,\N,\S,\S,\Syes,\Sconditional,\SArchetype-level inferred structure; confirm on the concrete instance.,\Smedium,\SS080;S056,\S2026-07-13
\SPFM00060,\SPA005,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00061,\SPA005,\SF_OBJECTIVE_FORM,\SFV0013,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00062,\SPA005,\SF_CONVEXITY,\SFV0019,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00063,\SPA005,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00064,\SPA005,\SF_DERIVATIVE_ACCESS,\SFV0035,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00065,\SPA005,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00066,\SPA005,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00067,\SPA005,\SF_EVALUATION_COST,\SFV0059,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00068,\SPA005,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00069,\SPA005,\SF_SOLUTION_GOAL,\SFV0071,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00070,\SPA005,\SF_SCALE_STRUCTURE,\SFV0076,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00071,\SPA005,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00072,\SPA005,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00073,\SPA005,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS003;S056,\S2026-07-13
\SPFM00074,\SPA005,\SF_STRUCTURE_NONLINEAR_LEAST_SQUARES,\N,\S,\S,\Syes,\Sconditional,\SArchetype-level inferred structure; confirm on the concrete instance.,\Smedium,\SS003;S056,\S2026-07-13
\SPFM00075,\SPA005,\SF_STRUCTURE_SPARSE,\N,\S,\S,\Syes,\Sconditional,\SArchetype-level inferred structure; confirm on the concrete instance.,\Smedium,\SS003;S056,\S2026-07-13
\SPFM00076,\SPA006,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00077,\SPA006,\SF_OBJECTIVE_FORM,\SFV0015,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00078,\SPA006,\SF_CONVEXITY,\SFV0022,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00079,\SPA006,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00080,\SPA006,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00081,\SPA006,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00082,\SPA006,\SF_DIMENSION_CONTEXT,\SFV0054,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00083,\SPA006,\SF_EVALUATION_COST,\SFV0059,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00084,\SPA006,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00085,\SPA006,\SF_SOLUTION_GOAL,\SFV0068,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00086,\SPA006,\SF_SCALE_STRUCTURE,\SFV0075,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00087,\SPA006,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00088,\SPA006,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00089,\SPA006,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S056,\S2026-07-13
\SPFM00090,\SPA007,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00091,\SPA007,\SF_OBJECTIVE_FORM,\SFV0015,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00092,\SPA007,\SF_CONVEXITY,\SFV0022,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00093,\SPA007,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00094,\SPA007,\SF_DERIVATIVE_ACCESS,\SFV0031,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00095,\SPA007,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00096,\SPA007,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00097,\SPA007,\SF_EVALUATION_COST,\SFV0060,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00098,\SPA007,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00099,\SPA007,\SF_SOLUTION_GOAL,\SFV0068,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00100,\SPA007,\SF_SCALE_STRUCTURE,\SFV0076,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00101,\SPA007,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00102,\SPA007,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00103,\SPA007,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS019;S046;S056,\S2026-07-13
\SPFM00104,\SPA007,\SF_STRUCTURE_SPARSE,\N,\S,\S,\Syes,\Sconditional,\SArchetype-level inferred structure; confirm on the concrete instance.,\Smedium,\SS019;S046;S056,\S2026-07-13
\SPFM00105,\SPA008,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00106,\SPA008,\SF_OBJECTIVE_FORM,\SFV0015,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00107,\SPA008,\SF_CONVEXITY,\SFV0022,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00108,\SPA008,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00109,\SPA008,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00110,\SPA008,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00111,\SPA008,\SF_DIMENSION_CONTEXT,\SFV0055,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00112,\SPA008,\SF_EVALUATION_COST,\SFV0059,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00113,\SPA008,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00114,\SPA008,\SF_SOLUTION_GOAL,\SFV0068,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00115,\SPA008,\SF_SCALE_STRUCTURE,\SFV0075,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00116,\SPA008,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00117,\SPA008,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00118,\SPA008,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS002;S065,\S2026-07-13
\SPFM00119,\SPA009,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00120,\SPA009,\SF_OBJECTIVE_FORM,\SFV0015,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00121,\SPA009,\SF_CONVEXITY,\SFV0022,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00122,\SPA009,\SF_SMOOTHNESS,\SFV0024,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00123,\SPA009,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00124,\SPA009,\SF_CONSTRAINT_CLASS,\SFV0045,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00125,\SPA009,\SF_DIMENSION_CONTEXT,\SFV0055,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00126,\SPA009,\SF_EVALUATION_COST,\SFV0060,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00127,\SPA009,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00128,\SPA009,\SF_SOLUTION_GOAL,\SFV0068,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00129,\SPA009,\SF_SCALE_STRUCTURE,\SFV0076,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00130,\SPA009,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00131,\SPA009,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00132,\SPA009,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00133,\SPA009,\SF_STRUCTURE_SPARSE,\N,\S,\S,\Syes,\Sconditional,\SArchetype-level inferred structure; confirm on the concrete instance.,\Smedium,\SS017;S029;S030;S056,\S2026-07-13
\SPFM00134,\SPA010,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00135,\SPA010,\SF_OBJECTIVE_FORM,\SFV0014,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00136,\SPA010,\SF_CONVEXITY,\SFV0019,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00137,\SPA010,\SF_SMOOTHNESS,\SFV0026,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00138,\SPA010,\SF_DERIVATIVE_ACCESS,\SFV0034,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00139,\SPA010,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00140,\SPA010,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00141,\SPA010,\SF_EVALUATION_COST,\SFV0059,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00142,\SPA010,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00143,\SPA010,\SF_SOLUTION_GOAL,\SFV0069,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00144,\SPA010,\SF_SCALE_STRUCTURE,\SFV0078,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00145,\SPA010,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00146,\SPA010,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00147,\SPA010,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS055;S066;S067,\S2026-07-13
\SPFM00148,\SPA010,\SF_STRUCTURE_SEPARABLE,\N,\S,\S,\Syes,\Sconditional,\SArchetype-level inferred structure; confirm on the concrete instance.,\Smedium,\SS055;S066;S067,\S2026-07-13
\SPFM00149,\SPA011,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00150,\SPA011,\SF_OBJECTIVE_FORM,\SFV0015,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00151,\SPA011,\SF_CONVEXITY,\SFV0022,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00152,\SPA011,\SF_SMOOTHNESS,\SFV0026,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00153,\SPA011,\SF_DERIVATIVE_ACCESS,\SFV0037,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00154,\SPA011,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00155,\SPA011,\SF_DIMENSION_CONTEXT,\SFV0054,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00156,\SPA011,\SF_EVALUATION_COST,\SFV0059,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00157,\SPA011,\SF_NOISE_LEVEL,\SFV0063,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00158,\SPA011,\SF_SOLUTION_GOAL,\SFV0068,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00159,\SPA011,\SF_SCALE_STRUCTURE,\SFV0075,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00160,\SPA011,\SF_EVALUATION_RELIABILITY,\SFV0080,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00161,\SPA011,\SF_REPEATED_SOLVE,\SFV0085,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00162,\SPA011,\SF_PARALLEL_BUDGET,\SFV0089,\S,\S,\Syes,\Syes,\S,\Shigh,\SS018;S031;S060,\S2026-07-13
\SPFM00163,\SPA012,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\S,\Syes,\Syes,\S,\Shigh,\SS031;S033,\S2026-07-13
\SPFM00164,\SPA012,\SF_OBJECTIVE_FORM,\SFV0016,\S,\S,\Syes,\Syes,\S,\Shigh,\SS031;S033,\S2026-07-13
\SPFM00165,\SPA012,\SF_CONVEXITY,\SFV0022,\S,\S,\Syes,\Syes,\S,\Shigh,\SS031;S033,\S2026-07-13
\SPFM00166,\SPA012,\SF_SMOOTHNESS,\SFV0027,\S,\S,\Syes,\Syes,\S,\Shigh,\SS031;S033,\S2026-07-13
\SPFM00167,\SPA012,\SF_DERIVATIVE_ACCESS,\SFV0037,\S,\S,\Syes,\Syes,\S,\Shigh,\SS031;S033,\S2026-07-13
\SPFM00168,\SPA012,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\S,\Syes,\Syes,\S,\Shigh,\SS031;S033,\S2026-07-13
\SPFM00169,\SPA012,\SF_DIMENSION_CONTEXT,\SFV0054,\S,\S,\Syes,\Syes,\S,\Shigh,\SS031;S033,\S2026-07-13
