term_id,term_ja,term_en,definition,common_confusion,related_entity_ids,source_ids,confidence,last_verified
\SG026,\S自動微分,\SAutomatic differentiation,\S計算graphへchain ruleを機械適用する微分。,\Ssymbolic/finite differenceとは異なる。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG027,\S数値微分,\SNumerical differentiation,\S関数値差等でderivativeを近似する。,\S評価可能でも実用的とは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG028,\Scomplex-step微分,\SComplex-step differentiation,\S複素摂動の虚部から一階微分を高精度推定。,\Scodeが複素数・非解析operationに対応する必要。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG029,\S劣勾配,\SSubgradient,\S凸非smooth関数のgradient一般化。,\S任意の非凸非smooth関数へ同じ保証では使えない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG030,\SJacobian,\SJacobian,\Svector値関数の一階偏微分行列。,\S残差/制約のどちらのJacobianか明示。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG031,\SHessian,\SHessian,\Sscalar関数の二階偏微分行列。,\SLagrangian Hessianと目的Hessianを区別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG032,\SHessian-vector積,\SHessian-vector product,\SHessianを形成せずvectorへ作用させる演算。,\Sdense Hessianが得られることと同一ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG033,\Sblack-box最適化,\SBlack-box optimization,\S内部式を十分利用せず評価interfaceから最適化する総称。,\S単一problem classではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG034,\Sderivative-free optimization,\SDerivative-free optimization,\S明示的derivativeを使わない最適化。,\SBayesian optimizationだけを指さない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG035,\Sdirect search,\SDirect search,\Spoll/pattern/simplex等で直接候補点を評価するDFO。,\Spopulation evolutionaryと同一ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG036,\SBayesian optimization,\SBayesian optimization,\Sprobabilistic surrogateとacquisitionで評価点を選ぶ。,\Sposterior uncertaintyは最適性証明ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG037,\Ssurrogate model,\SSurrogate model,\S高価な関数を近似する統計・機械学習model。,\S真の目的と置換したまま検証しないのは危険。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG038,\Sacquisition function,\SAcquisition function,\Ssurrogateに基づき次の評価価値を定義する関数。,\Sacquisition自身の最適化失敗に注意。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG039,\Snoise,\SEvaluation noise,\S同一点でも評価値が変動する性質。,\Sdeterministicな数値誤差/timeoutと分ける。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG040,\Sevaluation failure,\SEvaluation failure,\SNaN、exception、simulation crash等で有効値が得られない事象。,\S単なる大きい目的値とは異なる。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG041,\Sevaluation budget,\SEvaluation budget,\S実評価回数・時間・resourceの上限。,\Siteration limitとは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG042,\Siteration,\SIteration,\Salgorithmの更新単位。,\S一反復の評価数・線形代数費は手法で異なる。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG043,\Swall-clock time,\SWall-clock time,\Sparallelismや待ち時間を含む実経過時間。,\SCPU time/評価回数と別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG044,\Swarm start,\SWarm start,\S前回解・basis・factorization・stateを初期化に再利用。,\Sproblem変化で逆効果もある。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG045,\Sanytime algorithm,\SAnytime algorithm,\S中断時にも可行/候補解を返し時間とともに改善。,\S常にvalid boundを返すとは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG046,\Ssparsity,\SSparsity,\Smatrix/Jacobian/Hessianの多くがzeroである構造。,\S保存形式だけでなくsolverが利用するか確認。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG047,\Sblock structure,\SBlock structure,\S変数・制約・scenario・時間に分離blockがある性質。,\S自動的に並列化されるとは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG048,\Sconditioning,\SConditioning,\S入力誤差・丸めに対する解/計算の感度。,\Salgorithm収束率だけの意味ではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG049,\Sscaling,\SScaling,\S変数・目的・制約の代表桁を調整すること。,\S最適解の意味を変えない変換とweight変更を区別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG050,\Spreconditioning,\SPreconditioning,\S線形系/gradient幾何を変換して条件を改善。,\S単なるdata normalizationより広い。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG051,\Sline search,\SLine search,\S探索方向上のstep lengthを選ぶ大域化。,\S一変数global optimizationとは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG052,\Strust region,\STrust region,\S局所modelを信頼する領域内でstepを選ぶ。,\Sparameter boundsとは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG053,\Squasi-Newton,\SQuasi-Newton method,\Sgradient差からHessian/逆Hessianを近似。,\SNewton法と同じ二階情報を要求しない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG054,\Sproximal operator,\SProximal operator,\S関数と二乗距離の和の近接最小化写像。,\S一般目的全体を解くことと同じではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG055,\Sprojection,\SProjection,\S点を可行集合の最近点等へ写す操作。,\S非凸集合では一意とは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG056,\SADMM,\SAlternating direction method of multipliers,\S分離問題をprimal更新とdual更新に分ける手法。,\S任意の非凸問題で大域保証はない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG057,\Spenalty method,\SPenalty method,\S制約違反を目的へ加える。,\S有限penaltyで可行性が保証されない場合。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG058,\Sbarrier method,\SBarrier method,\S制約境界へ近づくcostを加えて内部から解く。,\S初期strict feasibilityの要否は実装で異なる。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG059,\SLagrangian relaxation,\SLagrangian relaxation,\S一部制約をdual multiplierで目的へ移す緩和。,\S単なるpenalty tuningとは異なる。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG060,\SLP,\SLinear programming,\S線形目的・線形制約の連続最適化。,\Sinteger変数を含むとMILP。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG061,\SQP,\SQuadratic programming,\S二次目的と通常線形制約の問題。,\SQがPSDか非凸かで保証が変わる。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG062,\SQCQP,\SQuadratically constrained quadratic program,\S二次目的・二次制約を持つ問題。,\Sconvex/nonconvexを区別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG063,\Sconic optimization,\SConic optimization,\Scone membershipで制約を表す凸最適化。,\Sすべての非線形制約を自動的に扱うわけではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG064,\SSOCP,\SSecond-order cone program,\S二次cone制約を持つ凸問題。,\S一般nonconvex quadratic制約とは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG065,\SSDP,\SSemidefinite program,\S半正定値matrix変数/制約を持つ凸問題。,\S大規模でmemoryが課題。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG066,\SMILP,\SMixed-integer linear program,\S連続/整数変数と線形目的・制約。,\SBig-M定式化品質が重要。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG067,\SMINLP,\SMixed-integer nonlinear program,\S整数と非線形を併せ持つ問題。,\S凸MINLPと非凸global MINLPを区別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG068,\Sbranch-and-bound,\SBranch and bound,\S領域分枝とvalid boundで探索をprune。,\S有限時間で証明完了するとは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG069,\Sbranch-and-cut,\SBranch and cut,\Sbranch-and-boundへcut生成を統合。,\Scut数が多ければ常に良いわけではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG070,\SCP-SAT,\SConstraint programming with SAT techniques,\S整数/Boolean制約をpropagation・learning等で解く。,\S実数variableをnativeには扱わない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG071,\Sdynamic programming,\SDynamic programming,\S最適部分構造をBellman再帰で利用。,\Sstate explosionに注意。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG072,\Snonlinear least squares,\SNonlinear least squares,\S残差vectorの二乗和を最小化。,\S一般scalar目的へ潰すと構造を失う。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG073,\Srobust loss,\SRobust loss,\S外れ値の影響を抑える損失。,\Srobust optimizationの不確実性集合とは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG074,\Smanifold optimization,\SManifold optimization,\S多様体の接空間・retractionを用いる最適化。,\S単にequalitiesをpenalty化する方法とは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG075,\Soptimal control,\SOptimal control,\S動力学下でstate/control trajectoryを最適化。,\Sstatic NLPへflat化するだけでは構造を失う。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG076,\Sdirect collocation,\SDirect collocation,\Smesh上のstate/controlとdynamics defectを同時最適化。,\Ssimulation-only shootingとは異なる。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG077,\Smultiobjective optimization,\SMulti-objective optimization,\S複数目的のPareto trade-offを扱う。,\Sweight付き和一回だけでは集合を表さない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG078,\SPareto dominance,\SPareto dominance,\S全目的で悪化せず少なくとも一つ改善する関係。,\S目的方向と許容差を明示。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG079,\Shypervolume,\SHypervolume,\Sreference pointまでの支配volumeでPareto集合を評価。,\Sreference point/normalizationに依存。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG080,\Shyperparameter optimization,\SHyperparameter optimization,\S学習/algorithmの外側parameterをblack-box評価で選ぶ。,\Smodel weightsの通常trainingとは別。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG081,\Smulti-fidelity,\SMulti-fidelity optimization,\S低cost近似・少resource評価を組み合わせる。,\Sfidelity間順位が保存されるとは限らない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG082,\Sunknown,\SUnknown,\S確認に必要な根拠が不足している状態。,\Snoではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG083,\Snot_applicable,\SNot applicable,\S概念が対象に意味を持たない状態。,\Sunknownではない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SG084,\Simplementation_dependent,\SImplementation dependent,\Ssoftware/version/option/backendで値が変わる状態。,\S曖昧なyes/noで固定しない。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
