case_feature_map_id,case_id,feature_id,feature_value_id,value_text,truth_status,notes,source_ids,confidence,last_verified
\SCFM00015,\SEC002,\SF_DERIVATIVE_ACCESS,\SFV0031,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00016,\SEC002,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00017,\SEC002,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00018,\SEC002,\SF_EVALUATION_COST,\SFV0060,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00019,\SEC002,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00020,\SEC002,\SF_SOLUTION_GOAL,\SFV0068,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00021,\SEC003,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00022,\SEC003,\SF_OBJECTIVE_FORM,\SFV0015,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00023,\SEC003,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00024,\SEC003,\SF_SMOOTHNESS,\SFV0024,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00025,\SEC003,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00026,\SEC003,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00027,\SEC003,\SF_DIMENSION_CONTEXT,\SFV0054,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00028,\SEC003,\SF_EVALUATION_COST,\SFV0059,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00029,\SEC003,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00030,\SEC003,\SF_SOLUTION_GOAL,\SFV0068,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00031,\SEC004,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00032,\SEC004,\SF_OBJECTIVE_FORM,\SFV0016,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00033,\SEC004,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00034,\SEC004,\SF_SMOOTHNESS,\SFV0029,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00035,\SEC004,\SF_DERIVATIVE_ACCESS,\SFV0037,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00036,\SEC004,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00037,\SEC004,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00038,\SEC004,\SF_EVALUATION_COST,\SFV0061,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00039,\SEC004,\SF_NOISE_LEVEL,\SFV0067,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00040,\SEC004,\SF_SOLUTION_GOAL,\SFV0070,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00041,\SEC005,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00042,\SEC005,\SF_OBJECTIVE_FORM,\SFV0016,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00043,\SEC005,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00044,\SEC005,\SF_SMOOTHNESS,\SFV0026,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00045,\SEC005,\SF_DERIVATIVE_ACCESS,\SFV0037,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00046,\SEC005,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00047,\SEC005,\SF_DIMENSION_CONTEXT,\SFV0054,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00048,\SEC005,\SF_EVALUATION_COST,\SFV0060,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00049,\SEC005,\SF_NOISE_LEVEL,\SFV0065,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00050,\SEC005,\SF_SOLUTION_GOAL,\SFV0070,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS032;S035;S059,\Smedium,\S2026-07-13
\SCFM00051,\SEC006,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00052,\SEC006,\SF_OBJECTIVE_FORM,\SFV0016,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00053,\SEC006,\SF_CONVEXITY,\SFV0023,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00054,\SEC006,\SF_SMOOTHNESS,\SFV0029,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00055,\SEC006,\SF_DERIVATIVE_ACCESS,\SFV0037,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00056,\SEC006,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00057,\SEC006,\SF_DIMENSION_CONTEXT,\SFV0053,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00058,\SEC006,\SF_EVALUATION_COST,\SFV0062,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00059,\SEC006,\SF_NOISE_LEVEL,\SFV0064,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00060,\SEC006,\SF_SOLUTION_GOAL,\SFV0070,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS035;S059;S075,\Smedium,\S2026-07-13
\SCFM00061,\SEC007,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00062,\SEC007,\SF_OBJECTIVE_FORM,\SFV0016,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00063,\SEC007,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00064,\SEC007,\SF_SMOOTHNESS,\SFV0029,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00065,\SEC007,\SF_DERIVATIVE_ACCESS,\SFV0037,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00066,\SEC007,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00067,\SEC007,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00068,\SEC007,\SF_EVALUATION_COST,\SFV0061,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00069,\SEC007,\SF_NOISE_LEVEL,\SFV0067,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00070,\SEC007,\SF_SOLUTION_GOAL,\SFV0070,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS033;S035,\Smedium,\S2026-07-13
\SCFM00071,\SEC008,\SF_VARIABLE_DOMAIN,\SFV0005,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00072,\SEC008,\SF_OBJECTIVE_FORM,\SFV0011,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00073,\SEC008,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00074,\SEC008,\SF_SMOOTHNESS,\SFV0028,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00075,\SEC008,\SF_DERIVATIVE_ACCESS,\SFV0038,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00076,\SEC008,\SF_CONSTRAINT_CLASS,\SFV0045,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00077,\SEC008,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00078,\SEC008,\SF_EVALUATION_COST,\SFV0059,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00079,\SEC008,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00080,\SEC008,\SF_SOLUTION_GOAL,\SFV0072,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS005;S016;S021;S024,\Smedium,\S2026-07-13
\SCFM00081,\SEC009,\SF_VARIABLE_DOMAIN,\SFV0005,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00082,\SEC009,\SF_OBJECTIVE_FORM,\SFV0015,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00083,\SEC009,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00084,\SEC009,\SF_SMOOTHNESS,\SFV0028,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00085,\SEC009,\SF_DERIVATIVE_ACCESS,\SFV0038,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00086,\SEC009,\SF_CONSTRAINT_CLASS,\SFV0045,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00087,\SEC009,\SF_DIMENSION_CONTEXT,\SFV0055,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00088,\SEC009,\SF_EVALUATION_COST,\SFV0060,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00089,\SEC009,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00090,\SEC009,\SF_SOLUTION_GOAL,\SFV0071,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S029,\Smedium,\S2026-07-13
\SCFM00091,\SEC010,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00092,\SEC010,\SF_OBJECTIVE_FORM,\SFV0011,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00093,\SEC010,\SF_CONVEXITY,\SFV0019,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00094,\SEC010,\SF_SMOOTHNESS,\SFV0024,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00095,\SEC010,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00096,\SEC010,\SF_CONSTRAINT_CLASS,\SFV0043,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00097,\SEC010,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00098,\SEC010,\SF_EVALUATION_COST,\SFV0059,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00099,\SEC010,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00100,\SEC010,\SF_SOLUTION_GOAL,\SFV0071,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS004;S016;S055,\Smedium,\S2026-07-13
\SCFM00101,\SEC011,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00102,\SEC011,\SF_OBJECTIVE_FORM,\SFV0012,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00103,\SEC011,\SF_CONVEXITY,\SFV0019,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00104,\SEC011,\SF_SMOOTHNESS,\SFV0024,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00105,\SEC011,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00106,\SEC011,\SF_CONSTRAINT_CLASS,\SFV0043,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00107,\SEC011,\SF_DIMENSION_CONTEXT,\SFV0056,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00108,\SEC011,\SF_EVALUATION_COST,\SFV0059,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00109,\SEC011,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00110,\SEC011,\SF_SOLUTION_GOAL,\SFV0071,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS012;S016;S062,\Smedium,\S2026-07-13
\SCFM00111,\SEC012,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00112,\SEC012,\SF_OBJECTIVE_FORM,\SFV0012,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00113,\SEC012,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00114,\SEC012,\SF_SMOOTHNESS,\SFV0024,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00115,\SEC012,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00116,\SEC012,\SF_CONSTRAINT_CLASS,\SFV0045,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00117,\SEC012,\SF_DIMENSION_CONTEXT,\SFV0055,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00118,\SEC012,\SF_EVALUATION_COST,\SFV0059,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00119,\SEC012,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00120,\SEC012,\SF_SOLUTION_GOAL,\SFV0071,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS021;S024;S028,\Smedium,\S2026-07-13
\SCFM00121,\SEC013,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00122,\SEC013,\SF_OBJECTIVE_FORM,\SFV0013,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00123,\SEC013,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00124,\SEC013,\SF_SMOOTHNESS,\SFV0024,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00125,\SEC013,\SF_DERIVATIVE_ACCESS,\SFV0035,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00126,\SEC013,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00127,\SEC013,\SF_DIMENSION_CONTEXT,\SFV0055,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00128,\SEC013,\SF_EVALUATION_COST,\SFV0060,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00129,\SEC013,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00130,\SEC013,\SF_SOLUTION_GOAL,\SFV0068,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00131,\SEC014,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00132,\SEC014,\SF_OBJECTIVE_FORM,\SFV0013,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00133,\SEC014,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00134,\SEC014,\SF_SMOOTHNESS,\SFV0025,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00135,\SEC014,\SF_DERIVATIVE_ACCESS,\SFV0035,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00136,\SEC014,\SF_CONSTRAINT_CLASS,\SFV0042,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00137,\SEC014,\SF_DIMENSION_CONTEXT,\SFV0055,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00138,\SEC014,\SF_EVALUATION_COST,\SFV0060,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00139,\SEC014,\SF_NOISE_LEVEL,\SFV0064,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00140,\SEC014,\SF_SOLUTION_GOAL,\SFV0068,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS003;S041,\Smedium,\S2026-07-13
\SCFM00141,\SEC015,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS055;S066,\Smedium,\S2026-07-13
\SCFM00142,\SEC015,\SF_OBJECTIVE_FORM,\SFV0015,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS055;S066,\Smedium,\S2026-07-13
\SCFM00143,\SEC015,\SF_CONVEXITY,\SFV0019,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS055;S066,\Smedium,\S2026-07-13
\SCFM00144,\SEC015,\SF_SMOOTHNESS,\SFV0024,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS055;S066,\Smedium,\S2026-07-13
\SCFM00145,\SEC015,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS055;S066,\Smedium,\S2026-07-13
