fit_id,problem_or_feature_id,target_type,method_id,fit_level,beginner_priority,applicable_conditions,required_conditions,favorable_conditions,unfavorable_conditions,exclusion_conditions,expected_strengths,expected_weaknesses,evaluation_budget_notes,dimensionality_notes,noise_notes,constraint_notes,initialization_notes,guarantee_notes,tuning_notes,rationale,evidence_source_ids,confidence,last_verified
\SPMF00067,\SPA014,\Sproblem,\SM_TURBO_SAASBO,\Sstrongly_recommended,\Ssecond_try,\S形式次元は高いが有効次元が低い可能性。,\S評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,\S高価な評価の節約;不確実性活用;条件付き空間対応の変種,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価が安価で大量可能;極端高次元;再現不能noiseを未model化,\S高価な評価の節約;不確実性活用;条件付き空間対応の変種,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\Sobservation noise、heteroskedasticity、replicationをsurrogateへ明示。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=high。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,\S非常に高価な低次元評価の主要特徴（simulation、bounds、none_available、very_expensive）に対し、高次元局所Bayesian最適化は高価な評価の節約;不確実性活用;条件付き空間対応の変種。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_SURROGATE;ALT_GENERIC_OPT を確認する。,\SS035;S059;S075;S034;S036;S037;S038;S069,\Shigh,\S2026-07-13
\SPMF00068,\SPA014,\Sproblem,\SM_DIRECT,\Srecommended,\Sexpert_guidance_recommended,\S複数start局所法で解が不安定。,\S有限探索領域と十分な評価予算。証明型では追加構造。,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\S高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\S1評価が非常に高価なためpopulation/領域探索の総評価数を事前見積りし、surrogateまたはmulti-fidelityを優先。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=lower_than_single_start。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=medium。停止条件は evaluation_budget;time_budget;global_gap_if_available;stall。,\S非常に高価な低次元評価の主要特徴（simulation、bounds、none_available、very_expensive）に対し、DIRECTは多峰性;複数解候補;局所法の初期値依存を緩和。ただし評価費大;証明が弱い;次元の呪い。 汎用最適化の前に ALT_SURROGATE;ALT_GENERIC_OPT を確認する。,\SS035;S059;S075;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SPMF00069,\SPA014,\Sproblem,\SM_CMA_ES,\Sconditional,\Sexpert_guidance_recommended,\S局所DFOが初期値依存。,\S評価予算と妥当な変数表現・境界・乱数管理。,\S微分不要;不連続・多峰性;並列性;柔軟な表現,\S大量評価;証明なし;parameter・encoding依存,\S評価が極端に高価で低予算;厳密証明;高次元で構造利用可能,\S微分不要;不連続・多峰性;並列性;柔軟な表現,\S大量評価;証明なし;parameter・encoding依存,\S1評価が非常に高価なためpopulation/領域探索の総評価数を事前見積りし、surrogateまたはmulti-fidelityを優先。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=high。停止条件は evaluation_budget;time;stall;diversity。,\S非常に高価な低次元評価の主要特徴（simulation、bounds、none_available、very_expensive）に対し、CMA-ESは微分不要;不連続・多峰性;並列性;柔軟な表現。ただし大量評価;証明なし;parameter・encoding依存。 汎用最適化の前に ALT_SURROGATE;ALT_GENERIC_OPT を確認する。,\SS035;S059;S075;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SPMF00070,\SPA014,\Sproblem,\SM_DIFFERENTIAL_EVOLUTION,\Sgenerally_unsuitable,\Savoid_as_default,\S複数start局所法で解が不安定。,\S有限探索領域と十分な評価予算。証明型では追加構造。,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\S問題の主要構造・変数型・保証要求と不整合。,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\S1評価が非常に高価なためpopulation/領域探索の総評価数を事前見積りし、surrogateまたはmulti-fidelityを優先。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=lower_than_single_start。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=medium。停止条件は evaluation_budget;time_budget;global_gap_if_available;stall。,\S非常に高価な低次元評価の主要特徴（simulation、bounds、none_available、very_expensive）に対し、差分進化は多峰性;複数解候補;局所法の初期値依存を緩和。ただし評価費大;証明が弱い;次元の呪い。 汎用最適化の前に ALT_SURROGATE;ALT_GENERIC_OPT を確認する。,\SS035;S059;S075;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SPMF00071,\SPA015,\Sproblem,\SM_TURBO_SAASBO,\Sdefault_choice,\Sfirst_try,\S形式次元は高いが有効次元が低い可能性。,\S評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,\S高価な評価の節約;不確実性活用;条件付き空間対応の変種,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価が安価で大量可能;極端高次元;再現不能noiseを未model化,\S高価な評価の節約;不確実性活用;条件付き空間対応の変種,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\Sobservation noise、heteroskedasticity、replicationをsurrogateへ明示。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=high。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,\S高次元black-boxの主要特徴（simulation、bounds、none_available、expensive）に対し、高次元局所Bayesian最適化は高価な評価の節約;不確実性活用;条件付き空間対応の変種。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_DECOMPOSITION;ALT_SURROGATE を確認する。,\SS033;S035;S034;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SPMF00072,\SPA015,\Sproblem,\SM_SPSA,\Sstrongly_recommended,\Ssecond_try,\S高次元・noiseあり・評価予算から座標差分が不可能。,\S評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,\S微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,\S高次元で評価数が急増;局所解;停止判定が弱い,\S高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,\S微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,\S高次元で評価数が急増;局所解;停止判定が弱い,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S高次元では評価数・population・幾何維持が急増。低有効次元、block、random embedding等を検討。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\Stuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,\S高次元black-boxの主要特徴（simulation、bounds、none_available、expensive）に対し、同時摂動確率近似は微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_DECOMPOSITION;ALT_SURROGATE を確認する。,\SS033;S035;S002;S018;S031;S060;S063;S056,\Shigh,\S2026-07-13
\SPMF00073,\SPA015,\Sproblem,\SM_CMA_ES,\Srecommended,\Sexpert_guidance_recommended,\S局所DFOが初期値依存。,\S評価予算と妥当な変数表現・境界・乱数管理。,\S微分不要;不連続・多峰性;並列性;柔軟な表現,\S大量評価;証明なし;parameter・encoding依存,\S評価が極端に高価で低予算;厳密証明;高次元で構造利用可能,\S微分不要;不連続・多峰性;並列性;柔軟な表現,\S大量評価;証明なし;parameter・encoding依存,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S高次元では評価数・population・幾何維持が急増。低有効次元、block、random embedding等を検討。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=high。停止条件は evaluation_budget;time;stall;diversity。,\S高次元black-boxの主要特徴（simulation、bounds、none_available、expensive）に対し、CMA-ESは微分不要;不連続・多峰性;並列性;柔軟な表現。ただし大量評価;証明なし;parameter・encoding依存。 汎用最適化の前に ALT_DECOMPOSITION;ALT_SURROGATE を確認する。,\SS033;S035;S032;S040;S058;S074,\Smedium,\S2026-07-13
\SPMF00074,\SPA015,\Sproblem,\SM_DIFFERENTIAL_EVOLUTION,\Sconditional,\Sexpert_guidance_recommended,\S複数start局所法で解が不安定。,\S有限探索領域と十分な評価予算。証明型では追加構造。,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\S高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S高次元では評価数・population・幾何維持が急増。低有効次元、block、random embedding等を検討。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=lower_than_single_start。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=medium。停止条件は evaluation_budget;time_budget;global_gap_if_available;stall。,\S高次元black-boxの主要特徴（simulation、bounds、none_available、expensive）に対し、差分進化は多峰性;複数解候補;局所法の初期値依存を緩和。ただし評価費大;証明が弱い;次元の呪い。 汎用最適化の前に ALT_DECOMPOSITION;ALT_SURROGATE を確認する。,\SS033;S035;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SPMF00075,\SPA015,\Sproblem,\SM_BAYESIAN_OPT_GP,\Sgenerally_unsuitable,\Savoid_as_default,\Srandom/evolutionary searchでは予算不足。,\S評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,\S高価な評価の節約;不確実性活用;条件付き空間対応の変種,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S問題の主要構造・変数型・保証要求と不整合。,\S高価な評価の節約;不確実性活用;条件付き空間対応の変種,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\Sobservation noise、heteroskedasticity、replicationをsurrogateへ明示。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=high。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,\S高次元black-boxの主要特徴（simulation、bounds、none_available、expensive）に対し、Gaussian process Bayesian optimizationは高価な評価の節約;不確実性活用;条件付き空間対応の変種。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_DECOMPOSITION;ALT_SURROGATE を確認する。,\SS033;S035;S034;S036;S037;S038;S059;S069;S075,\Smedium,\S2026-07-13
\SPMF00076,\SPA016,\Sproblem,\SM_MADS,\Sdefault_choice,\Sfirst_try,\S低中次元、微分不能/評価失敗、black-box制約。,\S評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,\S微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,\S高次元で評価数が急増;局所解;停止判定が弱い,\S高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,\S微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,\S高次元で評価数が急増;局所解;停止判定が弱い,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\Stuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,\S失敗・NaNを伴うsimulationの主要特徴（simulation、implicit、none_available、expensive）に対し、mesh adaptive direct searchは微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_FEASIBILITY;ALT_SURROGATE を確認する。,\SS031;S035;S002;S018;S060;S063,\Shigh,\S2026-07-13
\SPMF00077,\SPA016,\Sproblem,\SM_RANDOM_SEARCH,\Sstrongly_recommended,\Ssecond_try,\Sbaseline、低相関のHPO、多数並列。,\S評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,\S実装単純;並列;model misspecificationなし,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価が安価で大量可能;極端高次元;再現不能noiseを未model化,\S実装単純;並列;model misspecificationなし,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\Sobservation noise、heteroskedasticity、replicationをsurrogateへ明示。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=low。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,\S失敗・NaNを伴うsimulationの主要特徴（simulation、implicit、none_available、expensive）に対し、random searchは実装単純;並列;model misspecificationなし。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_FEASIBILITY;ALT_SURROGATE を確認する。,\SS031;S035;S034;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SPMF00078,\SPA016,\Sproblem,\SM_CMA_ES,\Srecommended,\Sexpert_guidance_recommended,\S局所DFOが初期値依存。,\S評価予算と妥当な変数表現・境界・乱数管理。,\S微分不要;不連続・多峰性;並列性;柔軟な表現,\S大量評価;証明なし;parameter・encoding依存,\S離散/graph変数を直接扱わない。連続緩和だけでは整数可行性を保証しない。,\S微分不要;不連続・多峰性;並列性;柔軟な表現,\S大量評価;証明なし;parameter・encoding依存,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=high。停止条件は evaluation_budget;time;stall;diversity。,\S失敗・NaNを伴うsimulationの主要特徴（simulation、implicit、none_available、expensive）に対し、CMA-ESは微分不要;不連続・多峰性;並列性;柔軟な表現。ただし大量評価;証明なし;parameter・encoding依存。 汎用最適化の前に ALT_FEASIBILITY;ALT_SURROGATE を確認する。,\SS031;S035;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SPMF00079,\SPA016,\Sproblem,\SM_BAYESIAN_OPT_GP,\Sconditional,\Sexpert_guidance_recommended,\Srandom/evolutionary searchでは予算不足。,\S評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,\S高価な評価の節約;不確実性活用;条件付き空間対応の変種,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価が安価で大量可能;極端高次元;再現不能noiseを未model化,\S高価な評価の節約;不確実性活用;条件付き空間対応の変種,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\Sobservation noise、heteroskedasticity、replicationをsurrogateへ明示。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\Stuning difficulty=high。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,\S失敗・NaNを伴うsimulationの主要特徴（simulation、implicit、none_available、expensive）に対し、Gaussian process Bayesian optimizationは高価な評価の節約;不確実性活用;条件付き空間対応の変種。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_FEASIBILITY;ALT_SURROGATE を確認する。,\SS031;S035;S034;S036;S037;S038;S059;S069;S075,\Smedium,\S2026-07-13
\SPMF00080,\SPA016,\Sproblem,\SM_BFGS,\Sgenerally_unsuitable,\Savoid_as_default,\S数値微分が安価か、自動微分を追加できる。,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S問題の主要構造・変数型・保証要求と不整合。 離散/graph変数を直接扱わない。連続緩和だけでは整数可行性を保証しない。 noiseが局所model・停止判定を破壊する。,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\Snoise floor以下のgradient/line-search判定は不可信。replication、common random numbers、stochastic/DFOへ切替を検討。,\Snative制約対応が弱い。変数変換・射影・penaltyの妥当性と最終可行性を別途検証。,\Sinitialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\Stuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,\S失敗・NaNを伴うsimulationの主要特徴（simulation、implicit、none_available、expensive）に対し、BFGS法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_FEASIBILITY;ALT_SURROGATE を確認する。,\SS031;S035;S002;S056;S057,\Smedium,\S2026-07-13
\SPMF00081,\SPA017,\Sproblem,\SM_DUAL_SIMPLEX,\Sdefault_choice,\Sfirst_try,\S再最適化・MIP node LP・変更後にdual可行basisが利用可能。,\S問題が対応する標準形に表現され、凸性・cone条件が満たされる。,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\Sblack-box;一般非凸を凸として誤分類;係数が不正確,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=low。複数startまたはwarm startの必要性をproblem instanceで確認。,\Sモデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,\Stuning difficulty=low_to_medium。停止条件は primal_dual_feasibility;duality_gap;time;node_or_iteration_limit。,\S線形計画の主要特徴（linear、linear、analytic_gradient、cheap）に対し、dual simplex法は大域性;gap/dual;疎性;成熟solver。ただし形式に入らない非線形・非凸には不適;数値スケール・退化。 汎用最適化の前に ALT_SPECIALIZED;ALT_GRAPH を確認する。,\SS004;S016;S055;S010;S012;S013;S014;S062,\Shigh,\S2026-07-13
\SPMF00082,\SPA017,\Sproblem,\SM_SIMPLEX,\Sstrongly_recommended,\Ssecond_try,\SLP/QP/錐構造が明示できる。,\S問題が対応する標準形に表現され、凸性・cone条件が満たされる。,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\Sblack-box;一般非凸を凸として誤分類;係数が不正確,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=low。複数startまたはwarm startの必要性をproblem instanceで確認。,\Sモデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,\Stuning difficulty=low_to_medium。停止条件は primal_dual_feasibility;duality_gap;time;node_or_iteration_limit。,\S線形計画の主要特徴（linear、linear、analytic_gradient、cheap）に対し、primal simplex法は大域性;gap/dual;疎性;成熟solver。ただし形式に入らない非線形・非凸には不適;数値スケール・退化。 汎用最適化の前に ALT_SPECIALIZED;ALT_GRAPH を確認する。,\SS004;S016;S055;S010;S012;S013;S014;S062,\Shigh,\S2026-07-13
\SPMF00083,\SPA017,\Sproblem,\SM_BARRIER_LP_QP,\Srecommended,\Sexpert_guidance_recommended,\S一般NLPへ落とす前に構造変換可能。,\S問題が対応する標準形に表現され、凸性・cone条件が満たされる。,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\Sblack-box;一般非凸を凸として誤分類;係数が不正確,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=low。複数startまたはwarm startの必要性をproblem instanceで確認。,\Sモデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,\Stuning difficulty=low_to_medium。停止条件は primal_dual_feasibility;duality_gap;time;node_or_iteration_limit。,\S線形計画の主要特徴（linear、linear、analytic_gradient、cheap）に対し、primal-dual barrier法は大域性;gap/dual;疎性;成熟solver。ただし形式に入らない非線形・非凸には不適;数値スケール・退化。 汎用最適化の前に ALT_SPECIALIZED;ALT_GRAPH を確認する。,\SS004;S016;S055;S010;S012;S013;S014;S062,\Smedium,\S2026-07-13
\SPMF00084,\SPA017,\Sproblem,\SM_PDLP,\Sconditional,\Sexpert_guidance_recommended,\S一般NLPへ落とす前に構造変換可能。,\S問題が対応する標準形に表現され、凸性・cone条件が満たされる。,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\Sblack-box;一般非凸を凸として誤分類;係数が不正確,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=low。複数startまたはwarm startの必要性をproblem instanceで確認。,\Sモデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,\Stuning difficulty=low_to_medium。停止条件は primal_dual_feasibility;duality_gap;time;node_or_iteration_limit。,\S線形計画の主要特徴（linear、linear、analytic_gradient、cheap）に対し、primal-dual hybrid gradient for LPは大域性;gap/dual;疎性;成熟solver。ただし形式に入らない非線形・非凸には不適;数値スケール・退化。 汎用最適化の前に ALT_SPECIALIZED;ALT_GRAPH を確認する。,\SS004;S016;S055;S010;S012;S013;S014;S062;S078,\Smedium,\S2026-07-13
\SPMF00085,\SPA017,\Sproblem,\SM_SQP,\Sgenerally_unsuitable,\Savoid_as_default,\S微分不要法では評価回数が多すぎる。,\S制約・目的が滑らか。適切な制約資格条件と数値スケーリング。,\S一般制約を直接扱う;KKT診断;疎性利用,\S微分とスケーリングに敏感;非凸では局所解;可行性が難しいと停滞,\S問題の主要構造・変数型・保証要求と不整合。,\S一般制約を直接扱う;KKT診断;疎性利用,\S微分とスケーリングに敏感;非凸では局所解;可行性が難しいと停滞,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S初期可行性、許容違反、最終primal residual、制約scaleを記録。,\Sinitialization sensitivity=medium_to_high_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=high。停止条件は KKT_residual;primal_feasibility;dual_feasibility;complementarity;budget。,\S線形計画の主要特徴（linear、linear、analytic_gradient、cheap）に対し、逐次二次計画法は一般制約を直接扱う;KKT診断;疎性利用。ただし微分とスケーリングに敏感;非凸では局所解;可行性が難しいと停滞。 汎用最適化の前に ALT_SPECIALIZED;ALT_GRAPH を確認する。,\SS004;S016;S055;S017;S029;S030;S056;S064,\Smedium,\S2026-07-13
