sheet_name,table_name,purpose,primary_key,foreign_keys,row_count,column_count,normalization_role,derived_or_base,update_frequency,notes
\S21_alternative_checks,\Salternative_solution_checks,\S汎用最適化前に検討する代替解法。,\Salternative_id,\S,\I18,\I12,\Sentity,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S22_problem_alternative_map,\Sproblem_alternative_map,\Sproblemと代替解法checkのmany-to-many。,\Sproblem_alternative_map_id,\Sproblem_id->01_problem_archetypes.problem_id;alternative_id->21_alternative_checks.alternative_id,\I96,\I9,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S23_case_feature_map,\Scase_feature_map,\Sscenarioとfeature/valueのmany-to-many。,\Scase_feature_map_id,\Scase_id->14_example_cases.case_id;feature_id->02_problem_features.feature_id;feature_value_id->03_feature_values.feature_value_id,\I280,\I10,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S24_case_method_map,\Scase_method_map,\Sscenarioと第一/第二/回避手法の関係。,\Scase_method_map_id,\Scase_id->14_example_cases.case_id;method_id->04_methods.method_id;fit_id->08_problem_method_fit.fit_id,\I84,\I9,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S25_case_implementation_map,\Scase_implementation_map,\Sscenarioと代表実装の関係。,\Scase_implementation_map_id,\Scase_id->14_example_cases.case_id;implementation_id->06_implementations.implementation_id,\I71,\I9,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S26_case_alternative_map,\Scase_alternative_map,\Sscenarioと事前代替checkの関係。,\Scase_alternative_map_id,\Scase_id->14_example_cases.case_id;alternative_id->21_alternative_checks.alternative_id,\I48,\I8,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S27_evidence_links,\Sevidence_links,\Ssourceと主張対象のcanonical provenance relation。,\Sevidence_link_id,\Ssource_id->15_sources.source_id,\I4193,\I9,\Sevidence,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S28_schema_dictionary,\Sschema_dictionary,\S全列の型、必須性、PK/FK、統制語彙、例、注意。,\Sschema_field_id,\S,\I487,\I15,\Sdocumentation,\Sderived,\Son_schema_change,\SGenerated from table registry plus semantic mappings.
\S29_sheet_catalog,\Ssheet_catalog,\S全sheet/tableの目的とkey・row count。,\Ssheet_name,\S,\I33,\I11,\Sdocumentation,\Sderived,\Son_schema_change,\SGenerated catalog.
\S30_model_revisions,\Smodel_revisions,\Sscenario検証で判明したmodel変更と理由。,\Srevision_id,\S,\I6,\I7,\Sgovernance,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S31_version_history,\Sversion_history,\Sdataset release/version履歴。,\Sversion,\S,\I2,\I7,\Sgovernance,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S32_release_checks,\Srelease_checks,\SReleaseごとの実行可能な品質検証結果。,\Scheck_id,\S,\I12,\I9,\Squality_control,\Sderived,\Seach_release,"\SStatus is generated from executable validation, not manual assertion."
