diagnostic_id,name_ja,name_en,category,metric_name,definition_or_formula,interpretation,warning_threshold,recommended_action,collection_cost,applicable_method_ids,applicable_problem_ids,related_failure_mode_ids,source_ids,confidence,last_verified
D011,trust-region model比,Trust-region model agreement,local_solver,rho_ratio,(f(x)-f(x+s))/(m(0)-m(s)),1付近はmodel良好、負値/小値はmodel不良。,noiseが分母・分子を支配する場合は不可信。,radius、derivative、noise handlingを見直す。,low,M_TRUST_NCG;M_TRUST_KRYLOV;M_COBYQA,,FM020,S056,high,2026-07-13
D012,simplex/補間geometry,Simplex or interpolation geometry,dfo,geometry_quality,volume/poisedness/condition of interpolation set,退化すると方向探索・modelが不可信。,実装固有metric。,restart、rescale、geometry repair。,moderate,M_NELDER_MEAD,,FM021,S031;S063,high,2026-07-13
D013,ADMM primal/dual残差,ADMM residual balance,first_order,admm_residuals,r_k=Ax+Bz-c; s_k=rho A^T B(z_k-z_{k-1}),両残差のbalanceと収束を別々に見る。,rho変更時のscaled/unscaled定義を記録。,adaptive rho、scaling、subproblem accuracy。,low,M_ADMM;M_ADMM_QP,,FM026,S012;S061;S062,high,2026-07-13
D014,MIP gap,MIP optimality gap,discrete,mip_gap,"|incumbent-bound| / max(1,|incumbent|)",incumbent品質と証明残差。,solver定義・min/max・zero objectiveで差がある。,time/node/cut/branching/formulationを改善。,low,,,,S005;S016;S021;S024,high,2026-07-13
D015,root relaxation gap,Root relaxation gap,discrete,root_gap,gap between best integer incumbent and root relaxation bound,大きいほど定式化/relaxationが弱い可能性。,初期incumbent不在時は別metric。,Big-M強化、valid inequalities、extended formulation。,low,M_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND,,FM029,S021;S024,high,2026-07-13
D016,Big-M妥当性,Big-M audit,discrete,big_m_tightness,M / smallest valid bound estimate,過大Mは数値性とrelaxationを悪化。,validity proofとunitを記録。,bound propagation、indicator constraints、perspective。,moderate,M_BRANCH_CUT;M_CP_SAT,,FM028,S021;S024,high,2026-07-13
D017,対称性指標,Symmetry indicators,discrete,symmetry_count,equivalent variable/solution orbits detected,対称性は重複branchを増やす。,検出は不完全でもよい。,symmetry-breaking constraints、canonical ordering。,moderate,M_BRANCH_CUT;M_CP_SAT,,FM030,S021;S022,high,2026-07-13
D018,CP propagation統計,CP propagation statistics,constraint_programming,propagation_rate,"propagations/conflict, domain reductions, branches",domainが縮まらずbranchesだけ増えると弱いmodel。,solverごとに統計定義が異なる。,global constraints、redundant constraints、search strategy。,low,M_CP_SEARCH;M_CP_SAT,,FM032,S022;S053,high,2026-07-13
D019,surrogate交差検証,Surrogate cross-validation,surrogate,surrogate_cv_error,out-of-sample RMSE/rank loss/log likelihood,model misspecificationを検出。,adaptive dataなので通常CVの独立性に注意。,transform、kernel/model、trust region、random baseline。,moderate,M_BAYESIAN_OPT_GP;M_SMAC_RF,,FM033,S035;S059,high,2026-07-13
D020,surrogate校正,Surrogate uncertainty calibration,surrogate,coverage_calibration,empirical coverage of predictive intervals,不確実性が過小/過大かを見る。,small sampleでは区間が広い。,noise model、prior、ensemble、replication。,moderate,M_BAYESIAN_OPT_GP,,FM034,S035;S059,high,2026-07-13
D021,acquisition健全性,Acquisition optimization health,surrogate,acquisition_health,"duplicate rate, optimizer restarts, acquisition value",同一点・境界への固着や局所最適化失敗を検出。,batch pending pointsを考慮。,multi-start、raw samples、constraints、fallback random。,moderate,M_BAYESIAN_OPT_GP;M_TURBO_SAASBO,,FM035,S035,high,2026-07-13
D022,population多様性,Population diversity,evolutionary,population_diversity,pairwise distance / entropy / covariance eigenvalues,collapseはpremature convergenceの兆候。,mixed variablesでは距離定義を明示。,restart、mutation、niching、population増加。,low,M_CMA_ES;M_GENETIC_ALGORITHM;M_NSGA_II,,FM037,S032;S039;S058,high,2026-07-13
D023,seed間変動,Across-seed variability,stochastic,seed_variance,distribution of best value/feasibility/time across seeds,単一runの偶然を検出。,同じbudget・hardware条件で比較。,複数seed、median/quantile、reproducibility log。,high,stochastic methods,,FM038,S034;S038,high,2026-07-13
D024,評価budget台帳,Evaluation budget ledger,budget,evaluation_ledger,"objective, constraint, gradient-equivalent calls and wall time",iteration数と実評価費を分離。,cached/parallel/failed evaluationsも数える。,budget-based stoppingとmethod比較を修正。,low,M_NELDER_MEAD;M_MADS;M_COBYQA;all,,FM022;FM023,S056;S059,high,2026-07-13
D025,評価失敗率,Evaluation failure rate,evaluation,failure_rate,failed evaluations / attempted evaluations,可行領域modelとrobustnessを評価。,failure reasonをNaN/timeout/exceptionに分解。,domain guard、safe exploration、failure classifier。,low,M_BAYESIAN_OPT_GP;M_CMA_ES;M_MADS,,FM005,S031;S035,high,2026-07-13
D026,timeout/censoring,Timeout and censoring,evaluation,timeout_rate,timeouts and censored objective distribution,timeout値を悪いobjectiveと同一視するとbias。,cutoff policyとright-censoringを記録。,adaptive cutoff、censor-aware model、resource cap。,moderate,M_TPE;M_SMAC_RF;M_BAYESIAN_OPT_GP,,FM006,S037;S038,high,2026-07-13
D027,NaN/Inf監査,NaN/Inf audit,evaluation,nonfinite_rate,"count and location of NaN/Inf in f,c,g,J,H",domain/overflow/solver failureを区別。,penalty置換前の原因を保存。,input validation、stable numerics、safe wrapper。,low,all,,FM004,S002;S031,high,2026-07-13
D028,status整合性,Solver status consistency,reporting,status_consistency,"status vs recomputed feasibility, stationarity, gap",success flagの誤読を防ぐ。,solver/versionごとにstatus意味が異なる。,raw status/message/residualを保存し再検証。,low,all implementations;M_SIMPLEX;M_DUAL_SIMPLEX,,FM025;FM027,S002;S016;S017,high,2026-07-13
D029,warm-start効果,Warm-start effectiveness,repeated,warm_start_gain,cold time/iterations minus warm time/iterations; quality delta,warm startが速いか、bias/失敗を生まないか。,problem変化量と共に記録。,reset条件、state validation、cold fallback。,moderate,M_ADMM_QP;M_INTERIOR_POINT_NLP;M_MULTIPLE_SHOOTING,,FM042,S012;S043,high,2026-07-13
D030,trajectory defect,Trajectory dynamics defect,optimal_control,dynamics_defect,max/weighted norm of discretized dynamics residual,離散trajectoryの動力学可行性。,integrator/mesh/orderに依存。,mesh refinement、multiple shooting、integrator改善。,high,M_DIRECT_COLLOCATION;M_MULTIPLE_SHOOTING,,FM040,S042;S043,high,2026-07-13
D031,mesh収束,Mesh refinement convergence,optimal_control,mesh_convergence,solution/cost/constraint change under mesh refinement,離散化artifactを検出。,局所解のbasin変化と離散化誤差を分ける。,adaptive mesh、higher-order collocation。,high,M_DIRECT_COLLOCATION;M_MULTIPLE_SHOOTING,,FM040,S042;S050,high,2026-07-13
D032,多様体可行性,Manifold feasibility,manifold,manifold_residual,orthogonality/determinant/unit-norm/retraction residual,intrinsic constraintが数値的に保たれているか。,representationごとのresidualを使用。,retraction、projection、parameterizationを修正。,low,M_RIEMANNIAN_GRADIENT;M_BFGS,,FM041,S044;S045;S071,high,2026-07-13
D033,validation generalization,Validation generalization,machine_learning,generalization_gap,validation metric - training metric over time,overfit/early stoppingを検出。,data leakage・distribution shiftを別確認。,regularization、split修正、early stopping。,low,M_HYPERBAND_ASHA;M_PBT,,FM036,S048;S049,high,2026-07-13
D034,Pareto quality,Pareto-set quality,multiobjective,pareto_quality,"hypervolume, epsilon indicator, spacing, coverage",収束と多様性を複数metricで評価。,reference point/normalizationで値が変わる。,reference directions、budget、normalization。,moderate,,,,S039;S068,high,2026-07-13
D035,再現性record,Reproducibility record,governance,reproducibility_completeness,"seed, version, hardware, options, data hash, code hash completeness",再現に必要なmetadataの欠落を検出。,deterministic flagだけでは不足。,experiment manifestとartifact保存。,low,,,,S034;S038,high,2026-07-13
D036,目的scale/weight監査,Objective scaling and weights,numerical,objective_scale_audit,"term magnitudes, gradients, chosen weights",一項が他項を意図せず支配していないか。,Pareto/penalty/regularizationで特に重要。,nondimensionalize、weight sensitivity、lexicographic。,moderate,all,,FM008,S055;S056,high,2026-07-13
D037,可行性phase-I,Feasibility phase-I,constraint,phase1_objective,minimum aggregate constraint violation,不整合か、初期値/solverの問題かを分離。,penalty normとscaleを明示。,IIS、constraint isolation、relaxation。,moderate,all constrained,,FM014,S016;S021;S024,high,2026-07-13
D038,primal/dual bound整合,Bound consistency,certificate,bound_consistency,"primal bound, dual/lower bound, monotonicity, sign",証明値の方向・gap計算誤りを防ぐ。,min/max変換とobjective offsetを記録。,solver-native valuesを保存し再計算。,low,,,,S016;S021;S024,high,2026-07-13
D039,HPO leakage監査,HPO leakage audit,machine_learning,leakage_checks,"reuse of test labels, preprocessing fit scope, nested CV compliance",最適化がtest setへ過適合するのを防ぐ。,validation noiseとleakageを区別。,nested evaluation、sealed test、pipeline encapsulation。,high,M_TPE;M_BAYESIAN_OPT_GP;M_HYPERBAND_ASHA,,FM039,S034;S075,high,2026-07-13
D040,inner-solver精度,Inner solver accuracy,nested,inner_solver_residual,inner residual/tolerance vs outer progress,inexact inner solveがouter derivative/modelを壊すか。,adaptive tolerance policyを記録。,forcing sequence、warm start、failure propagation。,high,M_ADMM_QP;M_INTERIOR_POINT_NLP;M_MULTIPLE_SHOOTING,,FM042,S056,high,2026-07-13
D041,global保証整合,Global guarantee alignment,governance,guarantee_alignment,required certificate vs method/solver provided certificate,『global search』と『global proof』の混同を検出。,model assumptions/convexity/terminationも含む。,certificate-capable formulation/solverへ切替。,low,M_BFGS;M_SQP;M_INTERIOR_POINT_NLP;M_CMA_ES;M_DIFFERENTIAL_EVOLUTION;M_BAYESIAN_OPT_GP,,FM016;FM017,S021;S024;S055,high,2026-07-13
D042,black-box subclass確認,Black-box subclass audit,governance,black_box_profile,"dimension,cost,noise,parallelism,failure,variable type,smoothness fields complete",black-boxを単一classとして扱う誤りを防ぐ。,unknownは許容し未確認を明示。,追加実験/質問でprofileを埋める。,low,,,,S031;S035;S059,high,2026-07-13
