problem_id,name_ja,name_en,summary,domain_group,canonical_form,primary_variable_type,objective_structure,constraint_structure,convexity,smoothness,derivative_access,typical_dimension,typical_evaluation_cost,typical_noise,evaluation_reliability,solution_requirement,special_structure,repeated_solve_mode,parallel_budget,generic_optimization_appropriate,alternative_check_ids,example_domains,first_questions,source_ids,confidence,last_verified
PA011,一般非滑らか局所,General nonsmooth local,一般非滑らか局所。変数=continuous、目的=general_nonlinear、制約=bounds。,continuous_nlp,minimize general_nonlinear; subject to bounds,continuous,general_nonlinear,bounds,nonconvex,nonsmooth,none_available,low,cheap,deterministic,reliable,local_stationary,dense,one_off,serial,conditional,ALT_GENERIC_OPT,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S018;S031;S060,high,2026-07-13
PA012,不連続決定論black-box,Discontinuous deterministic black box,不連続決定論black-box。変数=continuous、目的=simulation、制約=bounds。,black_box,minimize simulation; subject to bounds,continuous,simulation,bounds,nonconvex,discontinuous,none_available,low,moderate,deterministic,reliable,global_candidate,dense,one_off,serial,conditional,ALT_SURROGATE;ALT_SIMULATION_SEARCH,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S031;S033,high,2026-07-13
PA013,noiseを含むblack-box,Noisy black box,noiseを含むblack-box。変数=continuous、目的=simulation、制約=bounds。,black_box,minimize simulation; subject to bounds,continuous,simulation,bounds,nonconvex,nonsmooth,none_available,low,moderate,moderate_noise,reliable,global_candidate,dense,one_off,serial,conditional,ALT_SURROGATE;ALT_STAT_INFERENCE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S032;S035;S059,high,2026-07-13
PA014,非常に高価な低次元評価,Very expensive low-dimensional,非常に高価な低次元評価。変数=continuous、目的=simulation、制約=bounds。,black_box,minimize simulation; subject to bounds,continuous,simulation,bounds,unknown,unknown,none_available,very_low,very_expensive,small_noise,reliable,global_candidate,dense,one_off,serial,conditional,ALT_SURROGATE;ALT_GENERIC_OPT,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S035;S059;S075,high,2026-07-13
PA015,高次元black-box,High-dimensional black box,高次元black-box。変数=continuous、目的=simulation、制約=bounds。,black_box,minimize simulation; subject to bounds,continuous,simulation,bounds,nonconvex,unknown,none_available,high,expensive,unknown,reliable,global_candidate,dense,one_off,serial,conditional,ALT_DECOMPOSITION;ALT_SURROGATE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S033;S035,high,2026-07-13
PA016,失敗・NaNを伴うsimulation,Failed-evaluation simulation,失敗・NaNを伴うsimulation。変数=mixed、目的=simulation、制約=implicit。,black_box,minimize simulation; subject to implicit,mixed,simulation,implicit,nonconvex,discontinuous,none_available,medium,expensive,unknown,reliable,feasible_only,dense,one_off,serial,conditional,ALT_FEASIBILITY;ALT_SURROGATE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S031;S035,high,2026-07-13
PA017,線形計画,Linear program,線形計画。変数=continuous、目的=linear、制約=linear。,linear_conic,minimize linear; subject to linear,continuous,linear,linear,convex,smooth,analytic_gradient,high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_SPECIALIZED;ALT_GRAPH,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S004;S016;S055,high,2026-07-13
PA018,凸二次計画,Convex QP,凸二次計画。変数=continuous、目的=quadratic、制約=linear。,linear_conic,minimize quadratic; subject to linear,continuous,quadratic,linear,convex,smooth,analytic_gradient,high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_SPECIALIZED;ALT_PROJECTION_PROX,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S012;S016;S062,high,2026-07-13
PA019,非凸QP/QCQP,Nonconvex QP/QCQP,非凸QP/QCQP。変数=continuous、目的=quadratic、制約=mixed。,global_nonconvex,minimize quadratic; subject to mixed,continuous,quadratic,mixed,nonconvex,smooth,analytic_gradient,medium,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_RELAXATION;ALT_GENERIC_OPT,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S021;S024;S028,high,2026-07-13
PA020,二次錐計画,SOCP,二次錐計画。変数=continuous、目的=linear、制約=conic。,linear_conic,minimize linear; subject to conic,continuous,linear,conic,convex,smooth,analytic_gradient,high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S010;S013;S014;S028;S055,high,2026-07-13
PA021,半正定値計画,SDP,半正定値計画。変数=psd_matrix、目的=linear、制約=semidefinite。,linear_conic,minimize linear; subject to semidefinite,psd_matrix,linear,semidefinite,convex,smooth,analytic_gradient,medium,moderate,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_RELAXATION;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S015;S028;S055,high,2026-07-13
PA022,一般錐最適化,General conic,一般錐最適化。変数=continuous、目的=quadratic、制約=conic。,linear_conic,minimize quadratic; subject to conic,continuous,quadratic,conic,convex,smooth,analytic_gradient,high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S010;S013;S014;S028,high,2026-07-13
PA023,混合整数線形計画,MILP,混合整数線形計画。変数=mixed、目的=linear、制約=mixed。,discrete,minimize linear; subject to mixed,mixed,linear,mixed,nonconvex,discrete_valued,not_differentiable,high,cheap,deterministic,reliable,optimality_gap,sparse,one_off,serial,conditional,ALT_GRAPH;ALT_DYNAMIC_PROGRAMMING;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S005;S016;S021;S024,high,2026-07-13
PA024,混合整数二次計画,MIQP,混合整数二次計画。変数=mixed、目的=quadratic、制約=mixed。,discrete,minimize quadratic; subject to mixed,mixed,quadratic,mixed,nonconvex,discrete_valued,not_differentiable,medium,cheap,deterministic,reliable,optimality_gap,sparse,one_off,serial,conditional,ALT_RELAXATION;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S021;S024;S028,high,2026-07-13
PA025,混合整数非線形計画,MINLP,混合整数非線形計画。変数=mixed、目的=general_nonlinear、制約=mixed。,discrete,minimize general_nonlinear; subject to mixed,mixed,general_nonlinear,mixed,nonconvex,discrete_valued,not_differentiable,medium,moderate,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_RELAXATION;ALT_DECOMPOSITION,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S021;S029,high,2026-07-13
PA026,制約programming型scheduling,CP scheduling,制約programming型scheduling。変数=mixed、目的=discrete、制約=combinatorial。,discrete,minimize discrete; subject to combinatorial,mixed,discrete,combinatorial,nonconvex,discrete_valued,not_differentiable,high,cheap,deterministic,reliable,feasible_only,block,one_off,serial,conditional,ALT_FEASIBILITY;ALT_DYNAMIC_PROGRAMMING,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S022;S053,high,2026-07-13
PA027,SAT・MaxSAT,SAT/MaxSAT,SAT・MaxSAT。変数=binary、目的=discrete、制約=logical。,discrete,minimize discrete; subject to logical,binary,discrete,logical,nonconvex,discrete_valued,not_differentiable,very_high,cheap,deterministic,reliable,feasible_only,sparse,one_off,serial,conditional,ALT_FEASIBILITY;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S022;S053,high,2026-07-13
PA028,network flow,Network flow,network flow。変数=graph、目的=linear、制約=combinatorial。,graph,minimize linear; subject to combinatorial,graph,linear,combinatorial,convex,discrete_valued,not_differentiable,high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_GRAPH,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054,high,2026-07-13
PA029,最短路,Shortest path,最短路。変数=graph、目的=linear、制約=combinatorial。,graph,minimize linear; subject to combinatorial,graph,linear,combinatorial,convex,discrete_valued,not_differentiable,very_high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_GRAPH;ALT_DYNAMIC_PROGRAMMING,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054,high,2026-07-13
PA030,割当・matching,Assignment/matching,割当・matching。変数=binary、目的=linear、制約=combinatorial。,graph,minimize linear; subject to combinatorial,binary,linear,combinatorial,convex,discrete_valued,not_differentiable,high,cheap,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_GRAPH,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054,high,2026-07-13
PA031,配送routing,Vehicle routing,配送routing。変数=graph、目的=discrete、制約=combinatorial。,graph,minimize discrete; subject to combinatorial,graph,discrete,combinatorial,nonconvex,discrete_valued,not_differentiable,high,moderate,deterministic,reliable,feasible_only,sparse,one_off,serial,conditional,ALT_GRAPH;ALT_DYNAMIC_PROGRAMMING,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S023;S024,high,2026-07-13
PA032,knapsack・set cover,Knapsack/set cover,knapsack・set cover。変数=binary、目的=linear、制約=combinatorial。,discrete,minimize linear; subject to combinatorial,binary,linear,combinatorial,nonconvex,discrete_valued,not_differentiable,high,cheap,deterministic,reliable,optimality_gap,sparse,one_off,serial,conditional,ALT_DYNAMIC_PROGRAMMING;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S021;S022,high,2026-07-13
PA033,非線形最小二乗,Nonlinear least squares,非線形最小二乗。変数=continuous、目的=sum_of_squares、制約=bounds。,least_squares,minimize sum_of_squares; subject to bounds,continuous,sum_of_squares,bounds,nonconvex,smooth,jacobian,medium,moderate,deterministic,reliable,local_stationary,sparse,one_off,serial,conditional,ALT_LEAST_SQUARES,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S003;S041,high,2026-07-13
PA034,外れ値を含むrobust regression,Robust regression,外れ値を含むrobust regression。変数=continuous、目的=sum_of_squares、制約=bounds。,least_squares,minimize sum_of_squares; subject to bounds,continuous,sum_of_squares,bounds,convex,piecewise_smooth,jacobian,medium,moderate,small_noise,reliable,convex_global,sparse,one_off,serial,conditional,ALT_LEAST_SQUARES;ALT_STAT_INFERENCE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S003;S041,high,2026-07-13
PA035,L1・sparse regularization,L1 sparse regularization,L1・sparse regularization。変数=continuous、目的=composite、制約=unconstrained。,convex_composite,minimize composite; subject to unconstrained,continuous,composite,unconstrained,convex,nonsmooth,subgradient,very_high,cheap,deterministic,reliable,convex_global,separable,one_off,serial,conditional,ALT_PROJECTION_PROX,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S055;S066;S067,high,2026-07-13
PA036,単体上の最適化,Simplex optimization,単体上の最適化。変数=continuous、目的=general_nonlinear、制約=manifold。,geometry,minimize general_nonlinear; subject to manifold,continuous,general_nonlinear,manifold,convex,smooth,analytic_gradient,high,cheap,deterministic,reliable,local_stationary,sparse,one_off,serial,conditional,ALT_PROJECTION_PROX,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S055;S066,high,2026-07-13
PA037,SO(3)/SE(3)上の最適化,SO(3)/SE(3) optimization,SO(3)/SE(3)上の最適化。変数=manifold、目的=sum_of_squares、制約=manifold。,geometry,minimize sum_of_squares; subject to manifold,manifold,sum_of_squares,manifold,nonconvex,smooth,automatic_differentiation,medium,moderate,deterministic,reliable,local_stationary,block,one_off,serial,conditional,ALT_EIGEN;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S041;S044;S071,high,2026-07-13
PA038,多目的連続最適化,Multiobjective continuous,多目的連続最適化。変数=continuous、目的=multiobjective、制約=bounds。,multiobjective,minimize multiobjective; subject to bounds,continuous,multiobjective,bounds,nonconvex,unknown,none_available,medium,moderate,deterministic,reliable,pareto_set,dense,one_off,serial,conditional,ALT_STAT_INFERENCE;ALT_GENERIC_OPT,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S039;S068,high,2026-07-13
PA039,hyperparameter optimization,HPO,hyperparameter optimization。変数=mixed、目的=simulation、制約=bounds。,black_box,minimize simulation; subject to bounds,mixed,simulation,bounds,nonconvex,unknown,none_available,medium,expensive,moderate_noise,reliable,global_candidate,dense,one_off,serial,conditional,ALT_SURROGATE;ALT_STAT_INFERENCE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S034;S035;S037;S038,high,2026-07-13
PA040,neural network学習,Neural network training,neural network学習。変数=continuous、目的=general_nonlinear、制約=unconstrained。,machine_learning,minimize general_nonlinear; subject to unconstrained,continuous,general_nonlinear,unconstrained,nonconvex,smooth,stochastic_gradient,very_high,moderate,moderate_noise,reliable,local_stationary,block,one_off,serial,conditional,ALT_STAT_INFERENCE;ALT_DECOMPOSITION,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S047;S048;S049;S070,high,2026-07-13
PA041,大規模確率的ERM,Large stochastic ERM,大規模確率的ERM。変数=continuous、目的=general_nonlinear、制約=unconstrained。,machine_learning,minimize general_nonlinear; subject to unconstrained,continuous,general_nonlinear,unconstrained,convex,smooth,stochastic_gradient,very_high,cheap,moderate_noise,reliable,convex_global,separable,one_off,serial,conditional,ALT_DECOMPOSITION,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S047;S048;S049,high,2026-07-13
PA042,最適制御,Optimal control,最適制御。変数=trajectory、目的=general_nonlinear、制約=dynamics。,optimal_control,minimize general_nonlinear; subject to dynamics,trajectory,general_nonlinear,dynamics,nonconvex,smooth,automatic_differentiation,high,expensive,deterministic,reliable,local_stationary,block,one_off,serial,conditional,ALT_SPECIALIZED;ALT_DECOMPOSITION,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S042;S043;S076,high,2026-07-13
PA043,model predictive control,MPC,model predictive control。変数=trajectory、目的=quadratic、制約=dynamics。,optimal_control,minimize quadratic; subject to dynamics,trajectory,quadratic,dynamics,convex,smooth,analytic_gradient,high,cheap,deterministic,reliable,local_stationary,block,one_off,serial,conditional,ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S012;S043;S076,high,2026-07-13
PA044,軌道最適化,Trajectory optimization,軌道最適化。変数=trajectory、目的=general_nonlinear、制約=dynamics。,optimal_control,minimize general_nonlinear; subject to dynamics,trajectory,general_nonlinear,dynamics,nonconvex,smooth,automatic_differentiation,high,expensive,deterministic,reliable,local_stationary,block,one_off,serial,conditional,ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S042;S043;S050,high,2026-07-13
PA045,PDE制約付き最適化,PDE-constrained,PDE制約付き最適化。変数=continuous、目的=general_nonlinear、制約=implicit。,scientific,minimize general_nonlinear; subject to implicit,continuous,general_nonlinear,implicit,nonconvex,smooth,hessian_vector_product,huge_sparse,very_expensive,deterministic,reliable,local_stationary,sparse,one_off,serial,conditional,ALT_DECOMPOSITION;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S017;S019;S056,high,2026-07-13
PA046,bilevel optimization,Bilevel optimization,bilevel optimization。変数=mixed、目的=general_nonlinear、制約=mixed。,advanced,minimize general_nonlinear; subject to mixed,mixed,general_nonlinear,mixed,nonconvex,smooth,automatic_differentiation,medium,expensive,deterministic,reliable,global_candidate,block,one_off,serial,conditional,ALT_RELAXATION;ALT_DECOMPOSITION,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054,high,2026-07-13
PA047,game・equilibrium・VI,Game/equilibrium/VI,game・equilibrium・VI。変数=continuous、目的=general_nonlinear、制約=mixed。,advanced,minimize general_nonlinear; subject to mixed,continuous,general_nonlinear,mixed,nonconvex,smooth,analytic_gradient,high,moderate,deterministic,reliable,local_stationary,block,one_off,serial,conditional,ALT_ROOT;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054;S055,high,2026-07-13
PA048,相補性問題,Complementarity,相補性問題。変数=continuous、目的=general_nonlinear、制約=nonlinear。,advanced,minimize general_nonlinear; subject to nonlinear,continuous,general_nonlinear,nonlinear,nonconvex,nonsmooth,jacobian,medium,moderate,deterministic,reliable,local_stationary,sparse,one_off,serial,conditional,ALT_ROOT;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054;S056,high,2026-07-13
PA049,確率計画,Stochastic programming,確率計画。変数=mixed、目的=general_nonlinear、制約=mixed。,uncertainty,minimize general_nonlinear; subject to mixed,mixed,general_nonlinear,mixed,convex,smooth,stochastic_gradient,high,expensive,moderate_noise,reliable,convex_global,block,one_off,serial,conditional,ALT_DECOMPOSITION;ALT_STAT_INFERENCE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054;S061,high,2026-07-13
PA050,robust optimization,Robust optimization,robust optimization。変数=mixed、目的=general_nonlinear、制約=mixed。,uncertainty,minimize general_nonlinear; subject to mixed,mixed,general_nonlinear,mixed,convex,smooth,analytic_gradient,high,moderate,deterministic,reliable,global_proof,sparse,one_off,serial,conditional,ALT_RELAXATION;ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S055,high,2026-07-13
PA051,分散・合意最適化,Distributed consensus,分散・合意最適化。変数=continuous、目的=composite、制約=mixed。,distributed,minimize composite; subject to mixed,continuous,composite,mixed,convex,smooth,analytic_gradient,very_high,moderate,deterministic,reliable,convex_global,separable,one_off,serial,conditional,ALT_DECOMPOSITION,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S061,high,2026-07-13
PA052,online optimization,Online optimization,online optimization。変数=continuous、目的=general_nonlinear、制約=bounds。,online,minimize general_nonlinear; subject to bounds,continuous,general_nonlinear,bounds,convex,smooth,stochastic_gradient,high,cheap,moderate_noise,reliable,local_stationary,separable,one_off,serial,conditional,ALT_STAT_INFERENCE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S054,high,2026-07-13
PA053,反復parametric optimization,Repeated parametric,反復parametric optimization。変数=continuous、目的=quadratic、制約=mixed。,repeated,minimize quadratic; subject to mixed,continuous,quadratic,mixed,convex,smooth,analytic_gradient,high,cheap,deterministic,reliable,convex_global,sparse,one_off,serial,conditional,ALT_SPECIALIZED,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S012;S016;S043,high,2026-07-13
PA054,実験計画,Design of experiments,実験計画。変数=continuous、目的=general_nonlinear、制約=bounds。,statistics,minimize general_nonlinear; subject to bounds,continuous,general_nonlinear,bounds,convex,smooth,none_available,low,very_expensive,small_noise,reliable,global_candidate,dense,one_off,serial,conditional,ALT_STAT_INFERENCE;ALT_SURROGATE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S035;S055;S059,high,2026-07-13
PA055,逆問題,Inverse problem,逆問題。変数=continuous、目的=sum_of_squares、制約=mixed。,scientific,minimize sum_of_squares; subject to mixed,continuous,sum_of_squares,mixed,nonconvex,smooth,jacobian,very_high,very_expensive,small_noise,reliable,local_stationary,sparse,one_off,serial,conditional,ALT_LEAST_SQUARES;ALT_PROJECTION_PROX,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S003;S041;S056,high,2026-07-13
PA056,外れ値を含むparameter estimation,Robust parameter estimation,外れ値を含むparameter estimation。変数=continuous、目的=sum_of_squares、制約=bounds。,statistics,minimize sum_of_squares; subject to bounds,continuous,sum_of_squares,bounds,nonconvex,piecewise_smooth,jacobian,medium,moderate,small_noise,reliable,local_stationary,dense,one_off,serial,conditional,ALT_LEAST_SQUARES;ALT_STAT_INFERENCE,,変数型、制約、微分、評価費、noise、次元、必要保証を確認。,S003;S041,high,2026-07-13
