case_implementation_map_id,case_id,implementation_id,role,sequence,notes,source_ids,confidence,last_verified
CIM0018,EC008,I_SCIP,representative,2,Representative implementation; exact capability/version/options must be verified.,S021,high,2026-07-13
CIM0019,EC008,I_ORTOOLS_CPSAT,representative,3,Representative implementation; exact capability/version/options must be verified.,S022;S079,high,2026-07-13
CIM0020,EC008,I_GUROBI,representative,4,Representative implementation; exact capability/version/options must be verified.,S024,high,2026-07-13
CIM0021,EC009,I_SCIP,representative,1,Representative implementation; exact capability/version/options must be verified.,S021,high,2026-07-13
CIM0022,EC009,I_KNITRO,representative,2,Representative implementation; exact capability/version/options must be verified.,S029,high,2026-07-13
CIM0023,EC009,I_GUROBI,representative,3,Representative implementation; exact capability/version/options must be verified.,S024,high,2026-07-13
CIM0024,EC010,I_SCIPY_LINPROG_HIGHS,representative,1,Representative implementation; exact capability/version/options must be verified.,S004;S016,high,2026-07-13
CIM0025,EC010,I_HIGHS_NATIVE,representative,2,Representative implementation; exact capability/version/options must be verified.,S016,high,2026-07-13
CIM0026,EC010,I_ORTOOLS_GLOP,representative,3,Representative implementation; exact capability/version/options must be verified.,S078,high,2026-07-13
CIM0027,EC011,I_OSQP,representative,1,Representative implementation; exact capability/version/options must be verified.,S012;S062,high,2026-07-13
CIM0028,EC011,I_CLARABEL,representative,2,Representative implementation; exact capability/version/options must be verified.,S014,high,2026-07-13
CIM0029,EC011,I_GUROBI,representative,3,Representative implementation; exact capability/version/options must be verified.,S024,high,2026-07-13
CIM0030,EC012,I_GUROBI,representative,1,Representative implementation; exact capability/version/options must be verified.,S024,high,2026-07-13
CIM0031,EC012,I_SCIP,representative,2,Representative implementation; exact capability/version/options must be verified.,S021,high,2026-07-13
CIM0032,EC012,I_MOSEK,representative,3,Representative implementation; exact capability/version/options must be verified.,S028,high,2026-07-13
CIM0033,EC013,I_SCIPY_LEAST_SQUARES_LM,representative,1,Representative implementation; exact capability/version/options must be verified.,S003,high,2026-07-13
CIM0034,EC013,I_CERES,representative,2,Representative implementation; exact capability/version/options must be verified.,S041;S077,high,2026-07-13
CIM0035,EC014,I_CERES,representative,1,Representative implementation; exact capability/version/options must be verified.,S041;S077,high,2026-07-13
CIM0036,EC014,I_SCIPY_LEAST_SQUARES_TRF,representative,2,Representative implementation; exact capability/version/options must be verified.,S003,high,2026-07-13
CIM0037,EC015,I_JAXOPT,representative,1,Representative implementation; exact capability/version/options must be verified.,S046,high,2026-07-13
CIM0038,EC015,I_CVXPY,representative,2,Representative implementation; exact capability/version/options must be verified.,S010;S011,high,2026-07-13
CIM0039,EC016,I_PYMANOPT,representative,1,Representative implementation; exact capability/version/options must be verified.,S044,high,2026-07-13
CIM0040,EC016,I_MANOPT_MATLAB,representative,2,Representative implementation; exact capability/version/options must be verified.,S045,medium,2026-07-13
CIM0041,EC016,I_CERES,representative,4,Representative implementation; exact capability/version/options must be verified.,S041;S077,high,2026-07-13
CIM0042,EC017,I_PYMOO,representative,1,Representative implementation; exact capability/version/options must be verified.,S039,high,2026-07-13
CIM0043,EC017,I_CVXPY,representative,2,Representative implementation; exact capability/version/options must be verified.,S010;S011,high,2026-07-13
CIM0044,EC018,I_ORTOOLS_CPSAT,representative,1,Representative implementation; exact capability/version/options must be verified.,S022;S079,high,2026-07-13
CIM0045,EC018,I_MINIZINC,representative,2,Representative implementation; exact capability/version/options must be verified.,S053,high,2026-07-13
CIM0046,EC018,I_CPLEX,representative,3,Representative implementation; exact capability/version/options must be verified.,S025,high,2026-07-13
CIM0047,EC019,I_ORTOOLS_ROUTING,representative,1,Representative implementation; exact capability/version/options must be verified.,S023,high,2026-07-13
CIM0048,EC019,I_GUROBI,representative,2,Representative implementation; exact capability/version/options must be verified.,S024,high,2026-07-13
CIM0049,EC020,I_CASADI,representative,1,Representative implementation; exact capability/version/options must be verified.,S042,high,2026-07-13
CIM0050,EC020,I_ACADOS,representative,2,Representative implementation; exact capability/version/options must be verified.,S043;S076,high,2026-07-13
CIM0051,EC020,I_DRAKE,representative,3,Representative implementation; exact capability/version/options must be verified.,S050,high,2026-07-13
CIM0052,EC021,I_PYTORCH_OPTIM,representative,1,Representative implementation; exact capability/version/options must be verified.,S048,high,2026-07-13
CIM0053,EC021,I_TENSORFLOW_OPTIM,representative,2,Representative implementation; exact capability/version/options must be verified.,S049,high,2026-07-13
CIM0054,EC021,I_OPTAX,representative,3,Representative implementation; exact capability/version/options must be verified.,S047,high,2026-07-13
CIM0055,EC022,I_OPTUNA,representative,1,Representative implementation; exact capability/version/options must be verified.,S034,high,2026-07-13
CIM0056,EC022,I_RAY_TUNE,representative,2,Representative implementation; exact capability/version/options must be verified.,S038,high,2026-07-13
CIM0057,EC022,I_SMAC3,representative,3,Representative implementation; exact capability/version/options must be verified.,S037,high,2026-07-13
CIM0058,EC023,I_GUROBI,representative,1,Representative implementation; exact capability/version/options must be verified.,S024,high,2026-07-13
CIM0059,EC023,I_SCIP,representative,2,Representative implementation; exact capability/version/options must be verified.,S021,high,2026-07-13
CIM0060,EC023,I_HIGHS_NATIVE,representative,3,Representative implementation; exact capability/version/options must be verified.,S016,high,2026-07-13
CIM0061,EC024,I_ORTOOLS_ROUTING,representative,1,Representative implementation; exact capability/version/options must be verified.,S023,high,2026-07-13
CIM0062,EC024,I_ORTOOLS_CPSAT,representative,2,Representative implementation; exact capability/version/options must be verified.,S022;S079,high,2026-07-13
CIM0063,EC025,I_OSQP,representative,1,Representative implementation; exact capability/version/options must be verified.,S012;S062,high,2026-07-13
CIM0064,EC025,I_ACADOS,representative,2,Representative implementation; exact capability/version/options must be verified.,S043;S076,high,2026-07-13
CIM0065,EC026,I_PETSC_TAO,representative,1,Representative implementation; exact capability/version/options must be verified.,S019,high,2026-07-13
CIM0066,EC026,I_IPOPT,representative,2,Representative implementation; exact capability/version/options must be verified.,S017,high,2026-07-13
CIM0067,EC027,I_NOMAD,representative,1,Representative implementation; exact capability/version/options must be verified.,S031,medium,2026-07-13
CIM0068,EC027,I_NEVERGRAD,representative,2,Representative implementation; exact capability/version/options must be verified.,S033,high,2026-07-13
CIM0069,EC028,I_SCIPY_LEAST_SQUARES_TRF,representative,1,Representative implementation; exact capability/version/options must be verified.,S003,high,2026-07-13
CIM0070,EC028,I_CERES,representative,2,Representative implementation; exact capability/version/options must be verified.,S041;S077,high,2026-07-13
CIM0071,EC016,I_MANOPT_JL,representative,3,Julia-native representative implementation for Riemannian optimization.,S095,high,2026-07-13
