case_id,title_ja,problem_id,problem_features_summary,alternative_solution_ids,first_choice_method_id,second_choice_method_id,avoid_method_id,decision_reason,additional_information_needed,representative_implementation_ids,expected_failures,switch_decision,validation_result,model_revision_notes,source_ids,confidence,last_verified
EC011,凸二次計画問題,PA018,PSD Hessian、線形制約、同種QPを反復。,ALT_SPECIALIZED;ALT_PROJECTION_PROX,M_ADMM_QP,M_ACTIVE_SET_QP,M_BFGS,OSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,PSD確認、求める精度、warm-start変化量。,I_OSQP;I_CLARABEL;I_GUROBI,ADMM残差不均衡、stale warm start。,高精度/gap停滞ならconic IPMへ。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S012;S016;S062;S004;S010;S013;S014;S055,high,2026-07-13
EC012,非凸二次計画問題,PA019,indefinite Q、bounds/線形制約、大域証明必須。,ALT_RELAXATION,M_SPATIAL_BRANCH_BOUND,M_MULTISTART,M_ADMM_QP,空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,変数bounds、quadratic structure、許容gap。,I_GUROBI;I_SCIP;I_MOSEK,誤ってPSD扱い、weak relaxation、tree explosion。,bounds強化/SDP・McCormick緩和を検討。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S021;S024;S028;S005;S016;S025;S006;S007;S008;S009;S072;S073;S074;S056,high,2026-07-13
EC013,非線形最小二乗問題,PA033,100残差・10変数、Jacobianあり、boundsなし。,ALT_LEAST_SQUARES,M_LEVENBERG_MARQUARDT,M_GAUSS_NEWTON,M_NELDER_MEAD,残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,rank、残差scale、robust loss、bounds。,I_SCIPY_LEAST_SQUARES_LM;I_CERES,rank deficiency、外れ値、悪い初期値。,bounds/疎ならTRF、rank不良ならregularization。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S003;S041;S002;S056,high,2026-07-13
EC014,外れ値を含むparameter推定,PA056,非線形残差、外れ値5%、Jacobianあり。,ALT_LEAST_SQUARES;ALT_STAT_INFERENCE,M_GAUSS_NEWTON,M_BUNDLE,M_CMA_ES,robust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,outlier model、loss scale、uncertainty。,I_CERES;I_SCIPY_LEAST_SQUARES_TRF,squared loss支配、loss tuning bias。,residual diagnostics不良なら統計model再設計。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S003;S041;S002;S056;S055;S061;S066;S067,high,2026-07-13
EC015,単体上の最適化,PA036,x≥0、sum x=1、高次元、滑らかな凸目的。,ALT_PROJECTION_PROX,M_MIRROR_DESCENT,M_PROJECTED_GRADIENT,M_LBFGS,entropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,境界解、sparsity、projection/prox cost。,I_JAXOPT;I_CVXPY,zero成分、scale、projection誤差。,projectionが高価ならmirror/dual parameterization。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S055;S066;S061;S067;S017;S029;S030;S056;S064,high,2026-07-13
EC016,SO(3)上の最適化,PA037,rotation変数、smooth residual、常時orthogonalityが必要。,ALT_EIGEN;ALT_SPECIALIZED,M_RIEMANNIAN_TRUST_REGION,M_RIEMANNIAN_GRADIENT,M_BFGS,多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,representation、retraction、複数rotation、初期値。,I_PYMANOPT;I_MANOPT_MATLAB;I_CERES;I_MANOPT_JL,gimbal lock、orthogonality drift、局所解。,closed-form Wahba/eigen解が使えるならそちらを先に。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S041;S044;S071;S045;S095,high,2026-07-13
EC017,多目的最適化,PA038,3目的、nonconvex black-box、bounds、Pareto集合が必要。,ALT_STAT_INFERENCE,M_NSGA_II,M_EPSILON_CONSTRAINT,M_WEIGHTED_SUM,NSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,目的scale、reference point、評価budget、選好。,I_PYMOO;I_CVXPY,poor coverage、hypervolume基準依存。,選好が明確になればscalarizationへ。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S039;S068;S055,high,2026-07-13
EC018,scheduling,PA026,job-shop、resource/no-overlap、整数時間、可行解を早く。,ALT_FEASIBILITY;ALT_DYNAMIC_PROGRAMMING,M_CP_SAT,M_BRANCH_CUT,M_GENETIC_ALGORITHM,global scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,horizon、calendar、setup、soft constraints。,I_ORTOOLS_CPSAT;I_MINIZINC;I_CPLEX,weak propagation、symmetry、整数scale。,branches爆発ならglobal constraints/search strategy/model分解。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S022;S053;S079;S005;S016;S021;S024;S025;S028,high,2026-07-13
EC019,routing,PA031,VRP、time windows、1000 stops、良い可行解を10分以内。,ALT_GRAPH;ALT_DYNAMIC_PROGRAMMING,M_LOCAL_SEARCH_COMBINATORIAL,M_CP_SAT,M_BRANCH_CUT,大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,fleet、distance metric、time windows、optimality requirement。,I_ORTOOLS_ROUTING;I_GUROBI,不可行初期route、局所停滞、metric誤り。,証明が必要/小規模ならMILP/branch-cutへ。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S023;S024;S054;S022;S053;S079,high,2026-07-13
EC020,最適制御・軌道最適化,PA042,非線形動力学、path constraints、長horizon、AD可能。,ALT_SPECIALIZED;ALT_DECOMPOSITION,M_DIRECT_COLLOCATION,M_MULTIPLE_SHOOTING,M_BFGS,dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,integrator、mesh、initial trajectory、realtime。,I_CASADI;I_ACADOS;I_DRAKE,trajectory defect、mesh artifact、unstable rollout。,mesh refinementで解が変わるなら離散化を改善。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S042;S043;S076;S050,high,2026-07-13
EC021,neural network学習,PA040,数百万parameter、mini-batch AD、GPU、nonconvex。,ALT_STAT_INFERENCE;ALT_DECOMPOSITION,M_ADAMW,M_MOMENTUM_SGD,M_BFGS,GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,batch、schedule、regularization、validation、memory。,I_PYTORCH_OPTIM;I_TENSORFLOW_OPTIM;I_OPTAX,overfit、divergence、seed variance。,validation停滞・memory制約でoptimizer/scheduleを切替。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S047;S048;S049;S070,high,2026-07-13
EC022,hyperparameter最適化,PA039,カテゴリ/条件付き含む30変数、trial 1時間、parallel 20。,ALT_SURROGATE;ALT_STAT_INFERENCE,M_TPE,M_HYPERBAND_ASHA,M_CMA_ES,mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,learning curve、noise、failure、validation protocol。,I_OPTUNA;I_RAY_TUNE;I_SMAC3,early stopping bias、data leakage、failed trials。,curve非比較ならpruningを弱めBO/full-budgetへ。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S034;S035;S037;S038;S036;S059;S069;S075,high,2026-07-13
EC023,解の厳密な証明が必要,PA023,MILP、regulatory audit、最適性gap 0.1%以内。,ALT_SPECIALIZED,M_BRANCH_CUT,M_CP_SAT,M_GENETIC_ALGORITHM,incumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,数値許容差、time、model correctness、license。,I_GUROBI;I_SCIP;I_HIGHS_NATIVE,status/gap誤読、Big-M、numerics。,deadlineでgap未達なら未証明として明示。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S005;S016;S021;S024;S025;S028;S022;S053;S079,high,2026-07-13
EC024,良い実行可能解を早く得ることが重要,PA031,大規模routing/scheduling、hard deadline、証明不要。,ALT_FEASIBILITY;ALT_GRAPH,M_LOCAL_SEARCH_COMBINATORIAL,M_CP_SAT,M_SPATIAL_BRANCH_BOUND,anytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,最低品質、deadline、restart、可行性repair。,I_ORTOOLS_ROUTING;I_ORTOOLS_CPSAT,可行解なし、局所停滞、再現性。,incumbent未生成ならconstructive heuristic/constraint relaxation。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S023;S024;S054;S022;S053;S079,high,2026-07-13
EC025,反復MPC,PA043,同じ構造の凸QPを100Hz、parameterのみ変化、warm start可。,ALT_SPECIALIZED,M_ADMM_QP,M_ACTIVE_SET_QP,M_DIFFERENTIAL_EVOLUTION,factorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,deadline worst-case、stability、solver failure fallback。,I_OSQP;I_ACADOS,stale warm start、残差未達、deadline miss。,cold fallbackとfeasible backup controllerを用意。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S012;S043;S076;S004;S010;S013;S014;S016;S055;S062,high,2026-07-13
EC026,PDE制約付き最適化,PA045,数百万自由度、adjoint/HVP可、1solve高価、sparse distributed。,ALT_DECOMPOSITION;ALT_SPECIALIZED,M_NEWTON_CG,M_TRUST_KRYLOV,M_DIFFERENTIAL_EVOLUTION,adjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,adjoint consistency、mesh independence、preconditioner。,I_PETSC_TAO;I_IPOPT,inner solve不安定、mesh dependence、bad gradient。,adjoint check後、inexact Newton forcing/preconditioner改善。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S017;S019;S056;S002;S057;S003,high,2026-07-13
EC027,評価失敗を伴うsimulation,PA016,混合変数、20%でsimulation crash/timeout、制約暗黙。,ALT_FEASIBILITY;ALT_SURROGATE,M_MADS,M_RANDOM_SEARCH,M_BFGS,failure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,failure分類、安全領域、retry、determinism。,I_NOMAD;I_NEVERGRAD,failure masking、可行率低、timeout bias。,可行率が低ければfeasibility classifier/phase-Iを先行。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S031;S035;S002;S018;S060;S063;S034;S036;S037;S038;S059;S069;S075,high,2026-07-13
EC028,求根問題を最適化に見せた例,PA004,F(x)=0が目的、square residualをscalar化しようとしている。,ALT_ROOT;ALT_LEAST_SQUARES,M_GAUSS_NEWTON,M_LEVENBERG_MARQUARDT,M_DIFFERENTIAL_EVOLUTION,まずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,square/overdetermined、Jacobian、multiple roots、bounds。,I_SCIPY_LEAST_SQUARES_TRF;I_CERES,normal equation conditioning、局所root、rank deficiency。,root residualが下がらずrank不良ならregularization/model確認。,pass,代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,S080;S056;S002;S003;S041,high,2026-07-13
