rule_id,question_id,answer_condition,condition_expression,action_type,action_target_type,action_target_ids,priority_effect,explanation,warnings,next_question_id,stop_or_continue,source_ids,confidence,last_verified
R024,Q04,logical_or_combinatorial,answer(Q04) contains 'logical_or_combinatorial',promote_method,method,M_CP_SAT;M_CP_SEARCH;M_BRANCH_CUT,high,logical/global constraintをnativeに表現。,,Q05,continue,S054;S055;S056,high,2026-07-13
R025,Q04,conic_or_psd,answer(Q04) contains 'conic_or_psd',promote_method,method,M_PRIMAL_DUAL_CONIC;M_BARRIER_LP_QP,high,SOCP/SDP等のcone solverを優先。,,Q05,continue,S054;S055;S056,high,2026-07-13
R026,Q04,dynamics_or_manifold,answer(Q04) contains 'dynamics_or_manifold',recommend_alternative,alternative,ALT_SPECIALIZED,high,trajectory/manifold構造をintrinsicに扱う。,,Q05,continue,S054;S055;S056,high,2026-07-13
R027,Q04,implicit_or_failure,answer(Q04) contains 'implicit_or_failure',promote_method,method,M_MADS;M_BAYESIAN_OPT_GP;M_RANDOM_SEARCH,medium,evaluation failureを明示的な可行性情報として扱える手法。,NaNを単なる巨大penaltyにするだけではmodelを歪める。,Q05,continue,S054;S055;S056,high,2026-07-13
R028,Q05,analytic_gradient,answer(Q05) contains 'analytic_gradient',promote_method,method,M_BFGS;M_LBFGS;M_SQP;M_INTERIOR_POINT_NLP,high,信頼できる一階法/準Newton/NLPを優先。,,Q06,continue,S054;S055;S056,high,2026-07-13
R029,Q05,autodiff,answer(Q05) contains 'autodiff',promote_method,method,M_LBFGS;M_NEWTON_CG;M_TRUST_KRYLOV;M_ADAMW,high,ADでdimension scalingを改善。,gradient checkとnondifferentiable op確認。,Q06,continue,S054;S055;S056,high,2026-07-13
R030,Q05,jacobian_or_hvp,answer(Q05) contains 'jacobian_or_hvp',promote_method,method,M_GAUSS_NEWTON;M_TRUST_KRYLOV;M_NEWTON_CG,high,構造化二階近似・Krylov法が有力。,,Q06,continue,S054;S055;S056,high,2026-07-13
R031,Q05,numerical_difference_only,answer(Q05) contains 'numerical_difference_only',promote_method,method,M_BFGS;M_LBFGSB;M_SLSQP,medium,低中次元で評価安価なら数値微分付き局所法。,実質評価数≈O(n)以上、scale/step/noiseを検証。,Q06,continue,S054;S055;S056,high,2026-07-13
R032,Q05,stochastic_gradient,answer(Q05) contains 'stochastic_gradient',promote_method,method,M_SGD;M_MOMENTUM_SGD;M_ADAMW,high,mini-batch/online向け。,,Q06,continue,S054;S055;S056,high,2026-07-13
R033,Q05,unreliable_or_none,answer(Q05) contains 'unreliable_or_none',promote_method,method,M_MADS;M_COBYQA;M_CMA_ES;M_BAYESIAN_OPT_GP,high,微分不要法へ。評価費と次元で分岐。,,Q06,continue,S054;S055;S056,high,2026-07-13
R034,Q05,not_differentiable,answer(Q05) contains 'not_differentiable',exclude_method,method,M_NEWTON;M_BFGS;M_INTERIOR_POINT_NLP,high,滑らかさを前提とするmethodを既定候補から外す。,piecewise smoothならgeneralized/prox structureを追加確認。,Q06,continue,S054;S055;S056,high,2026-07-13
R035,Q06,milliseconds_or_less,answer(Q06) contains 'milliseconds_or_less',promote_method,method,M_MULTISTART;M_DIFFERENTIAL_EVOLUTION;M_CMA_ES,medium,多評価型探索もbudget内に入り得る。,局所解で十分なら無駄な大域探索をしない。,Q07,continue,S054;S055;S056,high,2026-07-13
R036,Q06,seconds,answer(Q06) contains 'seconds',warn,feature,F_BUDGET_MAX_EVALUATIONS,none,評価回数とparallel数からwall-clock上限を先に計算。,,Q07,continue,S054;S055;S056,high,2026-07-13
R037,Q06,minutes,answer(Q06) contains 'minutes',promote_method,method,M_BAYESIAN_OPT_GP;M_TPE;M_RANDOM_SEARCH,high,surrogateまたは慎重なdesignを検討。,,Q07,continue,S054;S055;S056,high,2026-07-13
R038,Q06,hours_or_more,answer(Q06) contains 'hours_or_more',promote_method,method,M_BAYESIAN_OPT_GP;M_TURBO_SAASBO,high,低評価予算・parallel/batch・multi-fidelityを優先。,population法のdefault評価数は危険。,Q07,continue,S054;S055;S056,high,2026-07-13
R039,Q06,unknown,answer(Q06) contains 'unknown',ask_followup,feature,F_TIME_OBJECTIVE_SEC;F_TIME_GRADIENT_SEC,none,小規模pilotで各評価費を計測。,,Q07,continue,S054;S055;S056,high,2026-07-13
R040,Q07,deterministic_reliable,answer(Q07) contains 'deterministic_reliable',include_problem,problem,PA006;PA014;PA017,candidate,deterministic停止基準とfinite differenceが比較的使いやすい。,,Q08,continue,S054;S055;S056,high,2026-07-13
R041,Q07,small_noise,answer(Q07) contains 'small_noise',promote_method,method,M_CMA_ES;M_BAYESIAN_OPT_GP;M_SPSA,medium,noise-aware探索とreplicationを検討。,,Q08,continue,S054;S055;S056,high,2026-07-13
R042,Q07,large_noise,answer(Q07) contains 'large_noise',exclude_method,method,M_BFGS;M_NEWTON;M_SLSQP,high,deterministic derivative/line-searchを既定候補から外す。,sample average/CRNでnoiseを下げられるか確認。,Q08,continue,S054;S055;S056,high,2026-07-13
R043,Q07,random_seeded,answer(Q07) contains 'random_seeded',warn,feature,F_NUMERICAL_NONDETERMINISTIC,none,seed、replicate、common random numbers、parallel nondeterminismを記録。,,Q08,continue,S054;S055;S056,high,2026-07-13
R044,Q07,occasional_failure,answer(Q07) contains 'occasional_failure',promote_method,method,M_MADS;M_BAYESIAN_OPT_GP;M_RANDOM_SEARCH,medium,failed evaluationをstatusとして扱う。,,Q08,continue,S054;S055;S056,high,2026-07-13
R045,Q07,frequent_failure,answer(Q07) contains 'frequent_failure',recommend_alternative,alternative,ALT_FEASIBILITY;ALT_SURROGATE,high,まず可行領域model/phase-I、安全探索を構築。,,Q08,continue,S054;S055;S056,high,2026-07-13
R046,Q07,timeout_possible,answer(Q07) contains 'timeout_possible',warn,feature,F_EVALUATION_RELIABILITY,none,censoringを単なるobjective値として扱わず、timeout policyを定義。,,Q08,continue,S054;S055;S056,high,2026-07-13
R047,Q08,under_10,answer(Q08) contains 'under_10',promote_method,method,M_BFGS;M_NELDER_MEAD;M_DIRECT;M_BAYESIAN_OPT_GP,medium,低次元ではdense/DFO/surrogateが現実的。,,Q09,continue,S054;S055;S056,high,2026-07-13
R048,Q08,10_to_100,answer(Q08) contains '10_to_100',include_problem,problem,PA006;PA011;PA014,candidate,評価費とderivativeでlocal/DFO/BOを比較。,,Q09,continue,S054;S055;S056,high,2026-07-13
R049,Q08,100_to_10000,answer(Q08) contains '100_to_10000',promote_method,method,M_LBFGS;M_LBFGSB;M_NEWTON_CG;M_SPSA,high,low-memory/HVP/stochastic estimationを優先。,,Q09,continue,S054;S055;S056,high,2026-07-13
R050,Q08,over_10000,answer(Q08) contains 'over_10000',exclude_method,method,M_NELDER_MEAD;M_CMA_ES;M_BAYESIAN_OPT_GP,high,default dense geometry/covariance/GPを外す。,有効次元や特殊構造がある場合は例外。,Q09,continue,S054;S055;S056,high,2026-07-13
R051,Q08,huge_sparse_or_distributed,answer(Q08) contains 'huge_sparse_or_distributed',promote_method,method,M_NEWTON_CG;M_TRUST_KRYLOV;M_ADMM;M_SGD;M_PDLP,high,疎HVP、分解、first-order、distributedを優先。,,Q09,continue,S054;S055;S056,high,2026-07-13
R052,Q08,unknown,answer(Q08) contains 'unknown',ask_followup,feature,F_NUM_VARIABLES;F_NUM_NONZEROS,none,n、m、nnz、block、sample、scenarioを数える。,,Q09,continue,S054;S055;S056,high,2026-07-13
R053,Q09,local_is_fine,answer(Q09) contains 'local_is_fine',promote_method,method,M_BFGS;M_LBFGS;M_INTERIOR_POINT_NLP;M_GAUSS_NEWTON,high,高速な局所法を優先。,,Q10,continue,S054;S055;S056,high,2026-07-13
R054,Q09,global_candidate_desired,answer(Q09) contains 'global_candidate_desired',promote_method,method,M_MULTISTART;M_DIFFERENTIAL_EVOLUTION;M_CMA_ES;M_BAYESIAN_OPT_GP,high,証明なしのglobal candidate探索。,,Q10,continue,S054;S055;S056,high,2026-07-13
R055,Q09,multiple_distinct_solutions,answer(Q09) contains 'multiple_distinct_solutions',promote_method,method,M_MULTISTART;M_NSGA_II;M_CMA_ES,medium,diversity保存と重複判定を設計。,,Q10,continue,S054;S055;S056,high,2026-07-13
R056,Q09,unknown,answer(Q09) contains 'unknown',ask_followup,feature,F_GUARANTEE_LOCAL_OK;F_GUARANTEE_GLOBAL_DESIRED,none,意思決定上必要な保証と失敗costを確認。,,Q10,continue,S054;S055;S056,high,2026-07-13
R057,Q10,no_certificate_needed,answer(Q10) contains 'no_certificate_needed',include_problem,problem,PA006;PA013;PA039,candidate,局所・heuristic・statistical methodも候補。,,Q11,continue,S054;S055;S056,high,2026-07-13
R058,Q10,gap_desired,answer(Q10) contains 'gap_desired',promote_method,method,M_BRANCH_CUT;M_PRIMAL_DUAL_CONIC;M_SIMPLEX,high,bound/gapを返すexact/convex solverを優先。,,Q11,continue,S054;S055;S056,high,2026-07-13
R059,Q10,global_proof_required,answer(Q10) contains 'global_proof_required',promote_method,method,M_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND;M_PRIMAL_DUAL_CONIC,high,problem classに応じたcertificate-capable solver。,nonconvex continuousの証明はrelaxationと計算量を要する。,Q11,continue,S054;S055;S056,high,2026-07-13
R060,Q10,feasible_solution_first,answer(Q10) contains 'feasible_solution_first',promote_method,method,M_CP_SAT;M_LOCAL_SEARCH_COMBINATORIAL;M_BRANCH_CUT,high,anytime incumbent/可行性重視。,,Q11,continue,S054;S055;S056,high,2026-07-13
R061,Q10,approximation_guarantee,answer(Q10) contains 'approximation_guarantee',recommend_alternative,alternative,ALT_SPECIALIZED;ALT_DYNAMIC_PROGRAMMING,high,問題固有の近似algorithm/relaxationの存在を調査。,,Q11,continue,S054;S055;S056,high,2026-07-13
R062,Q10,unknown,answer(Q10) contains 'unknown',ask_followup,feature,F_SOLUTION_GOAL,none,『良い』の定義、許容gap、deadlineを具体化。,,Q11,continue,S054;S055;S056,high,2026-07-13
R063,Q11,least_squares,answer(Q11) contains 'least_squares',promote_method,method,M_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT,high,残差構造を使用。,,Q12,continue,S054;S055;S056,high,2026-07-13
R064,Q11,lp_qp_conic,answer(Q11) contains 'lp_qp_conic',promote_method,method,M_SIMPLEX;M_ADMM_QP;M_PRIMAL_DUAL_CONIC,high,標準形専用solver。,,Q12,continue,S054;S055;S056,high,2026-07-13
R065,Q11,graph_flow_path_matching,answer(Q11) contains 'graph_flow_path_matching',recommend_alternative,alternative,ALT_GRAPH,high,graph専用algorithmを汎用solverより先に評価。,,Q12,continue,S054;S055;S056,high,2026-07-13
R066,Q11,scheduling_routing,answer(Q11) contains 'scheduling_routing',promote_method,method,M_CP_SAT;M_CP_SEARCH;M_LOCAL_SEARCH_COMBINATORIAL,high,global constraints/近傍構造を利用。,,Q12,continue,S054;S055;S056,high,2026-07-13
R067,Q11,prox_separable,answer(Q11) contains 'prox_separable',promote_method,method,M_PROX_GRADIENT;M_FISTA;M_ADMM,high,prox/分離構造を利用。,,Q12,continue,S054;S055;S056,high,2026-07-13
R068,Q11,optimal_control,answer(Q11) contains 'optimal_control',promote_method,method,M_DIRECT_COLLOCATION;M_MULTIPLE_SHOOTING;M_ILQR_DDP,high,dynamicsとtime sparsityを保持。,,Q12,continue,S054;S055;S056,high,2026-07-13
R069,Q11,manifold,answer(Q11) contains 'manifold',promote_method,method,M_RIEMANNIAN_GRADIENT;M_RIEMANNIAN_TRUST_REGION,high,intrinsic geometryで可行性を維持。,,Q12,continue,S054;S055;S056,high,2026-07-13
R070,Q11,stochastic_or_robust,answer(Q11) contains 'stochastic_or_robust',recommend_alternative,alternative,ALT_DECOMPOSITION;ALT_STAT_INFERENCE,medium,scenario/decomposition/robust counterpartを検討。,,Q12,continue,S054;S055;S056,high,2026-07-13
R071,Q11,none_known,answer(Q11) contains 'none_known',warn,alternative,ALT_GENERIC_OPT,none,専用構造なしとして暫定。modelを再点検。,,Q12,continue,S054;S055;S056,high,2026-07-13
R072,Q12,one_off,answer(Q12) contains 'one_off',include_problem,problem,PA006;PA017;PA039,candidate,setup costとsolve costを合わせて選ぶ。,,,continue,S054;S055;S056,high,2026-07-13
R073,Q12,repeated_similar,answer(Q12) contains 'repeated_similar',promote_method,method,M_ADMM_QP;M_ACTIVE_SET_QP;M_LBFGS;M_INTERIOR_POINT_NLP,high,warm start、factorization、parameterized modelを利用。,,,continue,S054;S055;S056,high,2026-07-13
R074,Q12,online_or_realtime,answer(Q12) contains 'online_or_realtime',promote_method,method,M_MIRROR_DESCENT;M_SGD;M_ADMM_QP;M_ILQR_DDP,high,deadline・bounded iteration・warm startを優先。,,,continue,S054;S055;S056,high,2026-07-13
R075,Q12,parallel_evaluations,answer(Q12) contains 'parallel_evaluations',promote_method,method,M_DIFFERENTIAL_EVOLUTION;M_CMA_ES;M_RANDOM_SEARCH;M_NSGA_II,medium,batch/population評価のwall-clockを短縮。,,,continue,S054;S055;S056,high,2026-07-13
R076,Q12,distributed,answer(Q12) contains 'distributed',promote_method,method,M_ADMM;M_SGD;M_PDLP,medium,通信費・同期/非同期・fault toleranceを含める。,,,continue,S054;S055;S056,high,2026-07-13
R077,Q12,gpu_available,answer(Q12) contains 'gpu_available',promote_method,method,M_ADAMW;M_SGD;M_BAYESIAN_OPT_GP,medium,tensor/AD/linear algebraがGPUに適合する場合。,solver自体のGPU supportは実装依存。,,continue,S054;S055;S056,high,2026-07-13
R078,Q12,warm_start_available,answer(Q12) contains 'warm_start_available',promote_method,method,M_ACTIVE_SET_QP;M_ADMM_QP;M_DUAL_SIMPLEX;M_INTERIOR_POINT_NLP,medium,前解・basis・stateを再利用。,problem変化が大きいとstale warm startになり得る。,,continue,S054;S055;S056,high,2026-07-13
