vocab_name,value_code,label_ja,definition,sort_order,deprecated,notes
exactness,exact_with_tolerance,許容差内厳密法,証明と数値許容差,1,no,
exactness,local_numerical,局所数値法,局所解,2,no,
exactness,approximation,近似法,近似保証等,3,no,
exactness,heuristic,ヒューリスティック,保証より探索,4,no,
exactness,metaheuristic,メタヒューリスティック,汎用確率探索,5,no,
exactness,statistical,統計的探索,サロゲート等,6,no,
difficulty,low,低,開始しやすい,1,no,
difficulty,medium,中,基本調整が必要,2,no,
difficulty,high,高,高度な調整,3,no,
difficulty,expert,専門家,専門知識が前提,4,no,
support_level,native,ネイティブ,直接対応,1,no,
support_level,via_wrapper,ラッパー経由,モデリング層経由,2,no,
support_level,emulated,変換で対応,変数変換等,3,no,
support_level,partial,部分対応,制限あり,4,no,
support_level,experimental,実験的,継続性注意,5,no,
support_level,not_supported,非対応,利用不可,6,no,
support_level,unknown,不明,未確認,7,no,
source_type,official_documentation,公式ドキュメント,公式API/マニュアル,1,no,
source_type,official_repository,公式リポジトリ,公式コード,2,no,
source_type,vendor_manual,ベンダーマニュアル,商用公式資料,3,no,
source_type,original_paper,原著論文,手法原典,4,no,
source_type,textbook,教科書,専門書,5,no,
source_type,university_material,大学資料,大学公開資料,6,no,
source_type,standard,標準・仕様,規格,7,no,
source_type,official_issue,公式Issue,公式議論,8,no,
source_quality,primary,一次,直接一次情報,1,no,
source_quality,high,高品質,権威ある二次情報,2,no,
source_quality,supporting,補助,一次情報補完,3,no,
commercial_model,open_source,OSS,無償OSS,1,no,
commercial_model,commercial,商用,有償,2,no,
commercial_model,commercial_with_free_tiers,商用・無償枠,学術等,3,no,
commercial_model,freeware,無償配布,無償,4,no,
commercial_model,modeling_layer,モデリング層,backend依存,5,no,
commercial_model,unknown,不明,未確認,6,no,
maintenance_status,active,活発,現行,1,no,
maintenance_status,active_docs_verified,文書更新確認,現行文書確認,2,no,
maintenance_status,mature,成熟,安定,3,no,
maintenance_status,limited_support,限定,保守限定,4,no,
maintenance_status,legacy,レガシー,新規採用慎重,5,no,
maintenance_status,unknown,不明,未確認,6,no,
relation_type,is_a,上位概念,分類親子,1,no,
relation_type,variant_of,変種,変種関係,2,no,
relation_type,implementation_alias_of,実装別名,API名,3,no,
relation_type,uses_subroutine,内部利用,部分問題に利用,4,no,
relation_type,hybrid_of,混合,複数手法,5,no,
relation_type,related,関連,非階層関連,6,no,
rule_action_type,include_problem,問題追加,候補に入れる,1,no,
rule_action_type,exclude_problem,問題除外,候補から外す,2,no,
rule_action_type,promote_method,手法昇格,優先度を上げる,3,no,
rule_action_type,demote_method,手法降格,優先度を下げる,4,no,
rule_action_type,exclude_method,手法除外,非適合,5,no,
rule_action_type,recommend_alternative,代替推奨,専用法を示す,6,no,
rule_action_type,ask_followup,追加質問,分岐,7,no,
rule_action_type,warn,警告,注意を出す,8,no,
severity,info,情報,判断補助,1,no,
severity,warning,注意,品質低下の可能性,2,no,
severity,high,高,信頼性を大きく損なう,3,no,
severity,critical,重大,結果が無効になり得る,4,no,
currentness_status,verified_current,現行確認,アクセス日に現行確認,1,no,
currentness_status,not_time_sensitive,時点非依存,理論資料,2,no,
currentness_status,historical_primary,歴史的一次資料,原著,3,no,
validation_result,pass,合格,矛盾なし,1,no,
validation_result,partial,一部合格,追加条件必要,2,no,
validation_result,fail,不合格,修正必要,3,no,
priority_level,critical,最優先,安全・正確性,1,no,
priority_level,high,高,次期優先,2,no,
priority_level,medium,中,計画追加,3,no,
priority_level,low,低,余力時,4,no,
backlog_status,open,未着手,未着手,1,no,
backlog_status,in_progress,進行中,作業中,2,no,
backlog_status,done,完了,反映済み,3,no,
backlog_status,deferred,延期,延期,4,no,
target_type,problem,問題,問題アーキタイプ,1,no,
target_type,method,手法,アルゴリズム,2,no,
target_type,implementation,実装,ソフトウェア,3,no,
case_method_role,first_choice,第一候補,第一候補,1,no,
case_method_role,second_choice,第二候補,第二候補,2,no,
case_method_role,avoid,回避,既定では回避,3,no,
alternative_priority,precheck,事前確認,汎用最適化前,1,no,
implementation_role,representative,代表実装,代表例,1,no,
decision_action_target_type,problem,問題,problem_archetypes IDを参照する,1,no,
decision_action_target_type,method,手法,methods IDを参照する,2,no,
decision_action_target_type,alternative,代替解法,alternative_solution_checks IDを参照する,3,no,
decision_action_target_type,feature,特徴,problem_features IDを参照する,4,no,
decision_action_target_type,none,対象なし,ID targetを持たない,5,no,
check_status,pass,合格,検証条件を満たした,1,no,
check_status,warn,警告,利用可能だが追跡課題がある,2,no,
check_status,fail,失敗,releaseを阻害する不整合,3,no,
check_status,not_run,未実行,検証を実行していない,4,no,
