feature_value_id,feature_id,value_code,label_ja,label_en,sort_order,definition,lower_bound,upper_bound,unit,conditions,notes
FV0077,F_SCALE_STRUCTURE,block,ブロック,Block,3,ブロック,,,,,
FV0078,F_SCALE_STRUCTURE,separable,分離可能,Separable,4,分離可能,,,,,
FV0079,F_SCALE_STRUCTURE,low_rank,低ランク,Low rank,5,低ランク,,,,,
FV0080,F_EVALUATION_RELIABILITY,reliable,安定,Reliable,1,安定,,,,,
FV0081,F_EVALUATION_RELIABILITY,nondeterministic,非決定,Nondeterministic,2,非決定,,,,,
FV0082,F_EVALUATION_RELIABILITY,occasional_failure,時々失敗,Occasional failure,3,時々失敗,,,,,
FV0083,F_EVALUATION_RELIABILITY,frequent_failure,頻繁に失敗,Frequent failure,4,頻繁に失敗,,,,,
FV0084,F_EVALUATION_RELIABILITY,timeout_possible,timeoutあり,Timeout possible,5,timeoutあり,,,,,
FV0085,F_REPEATED_SOLVE,one_off,単発,One-off,1,単発,,,,,
FV0086,F_REPEATED_SOLVE,repeated_similar,類似問題反復,Repeated similar,2,類似問題反復,,,,,
FV0087,F_REPEATED_SOLVE,online,オンライン,Online,3,オンライン,,,,,
FV0088,F_REPEATED_SOLVE,real_time,実時間,Real-time,4,実時間,,,,,
FV0089,F_PARALLEL_BUDGET,serial,逐次,Serial,1,逐次,,,,,
FV0090,F_PARALLEL_BUDGET,small_parallel,小規模並列,Small parallel,2,小規模並列,,,,,
FV0091,F_PARALLEL_BUDGET,massive_parallel,大量並列,Massive parallel,3,大量並列,,,,,
FV0092,F_PARALLEL_BUDGET,distributed,分散,Distributed,4,分散,,,,,
FV0093,F_OBJECTIVE_FORM,discrete,離散目的,Discrete objective,8,離散構造・組合せ構造によって定義される目的。,,,,combinatorial or discrete decision structure,v0.2.0: existing case values were promoted from free text to controlled enum.
