sheet_name,table_name,purpose,primary_key,foreign_keys,row_count,column_count,normalization_role,derived_or_base,update_frequency,notes
14_example_cases,example_cases,28の具体的検証scenario。,case_id,problem_id->01_problem_archetypes.problem_id;first_choice_method_id->04_methods.method_id;second_choice_method_id->04_methods.method_id;avoid_method_id->04_methods.method_id,28,18,validation,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
15_sources,sources,公式資料・原著・教科書等のprovenance。,source_id,,95,11,evidence,base,quarterly_or_on_release,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
16_glossary,glossary,用語定義と混同しやすい境界。,term_id,,84,9,documentation,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
17_beginner_view,beginner_view,scenario別の第一/第二候補、注意、切替条件。,view_id,case_id->14_example_cases.case_id;first_method_id->04_methods.method_id;second_method_id->04_methods.method_id,28,15,view,derived,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
18_advanced_view,advanced_view,問題特徴×手法×fit×実装をflat表示する専門家view。,problem_id+method_id,problem_id->01_problem_archetypes.problem_id;method_id->04_methods.method_id,280,25,view,derived,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
19_backlog,backlog,調査不足・追加対象・maintenance計画。,backlog_id,,38,13,governance,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
20_controlled_vocab,controlled_vocab,fit/status/confidence等の統制語彙。,vocab_name+value_code,,129,7,lookup,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
21_alternative_checks,alternative_solution_checks,汎用最適化前に検討する代替解法。,alternative_id,,18,12,entity,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
22_problem_alternative_map,problem_alternative_map,problemと代替解法checkのmany-to-many。,problem_alternative_map_id,problem_id->01_problem_archetypes.problem_id;alternative_id->21_alternative_checks.alternative_id,96,9,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
23_case_feature_map,case_feature_map,scenarioとfeature/valueのmany-to-many。,case_feature_map_id,case_id->14_example_cases.case_id;feature_id->02_problem_features.feature_id;feature_value_id->03_feature_values.feature_value_id,280,10,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
24_case_method_map,case_method_map,scenarioと第一/第二/回避手法の関係。,case_method_map_id,case_id->14_example_cases.case_id;method_id->04_methods.method_id;fit_id->08_problem_method_fit.fit_id,84,9,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
25_case_implementation_map,case_implementation_map,scenarioと代表実装の関係。,case_implementation_map_id,case_id->14_example_cases.case_id;implementation_id->06_implementations.implementation_id,71,9,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
26_case_alternative_map,case_alternative_map,scenarioと事前代替checkの関係。,case_alternative_map_id,case_id->14_example_cases.case_id;alternative_id->21_alternative_checks.alternative_id,48,8,bridge,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
27_evidence_links,evidence_links,sourceと主張対象のcanonical provenance relation。,evidence_link_id,source_id->15_sources.source_id,4193,9,evidence,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
30_model_revisions,model_revisions,scenario検証で判明したmodel変更と理由。,revision_id,,6,7,governance,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
31_version_history,version_history,dataset release/version履歴。,version,,2,7,governance,base,as_needed,Semicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
28_schema_dictionary,schema_dictionary,全列の型、必須性、PK/FK、統制語彙、例、注意。,schema_field_id,,487,15,documentation,derived,on_schema_change,Generated from table registry plus semantic mappings.
29_sheet_catalog,sheet_catalog,全sheet/tableの目的とkey・row count。,sheet_name,,33,11,documentation,derived,on_schema_change,Generated catalog.
32_release_checks,release_checks,Releaseごとの実行可能な品質検証結果。,check_id,,12,9,quality_control,derived,each_release,"Status is generated from executable validation, not manual assertion."
