case_method_map_id,case_id,method_id,role,fit_id,rationale,source_ids,confidence,last_verified
CMM0057,EC019,M_BRANCH_CUT,avoid,PMF00153,avoid: noiseを含むblack-box;曖昧なlogic;巨大Big-M / 大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,S023;S024;S005;S016;S021;S025;S028,medium,2026-07-13
CMM0058,EC020,M_DIRECT_COLLOCATION,first_choice,PMF00206,dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,S042;S043;S076;S050,high,2026-07-13
CMM0059,EC020,M_MULTIPLE_SHOOTING,second_choice,PMF00207,dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,S042;S043;S076;S050,high,2026-07-13
CMM0060,EC020,M_BFGS,avoid,,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,S042;S043;S076;S002;S056;S057,medium,2026-07-13
CMM0061,EC021,M_ADAMW,first_choice,PMF00196,GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,S047;S048;S049;S070,high,2026-07-13
CMM0062,EC021,M_MOMENTUM_SGD,second_choice,PMF00197,GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,S047;S048;S049;S070,high,2026-07-13
CMM0063,EC021,M_BFGS,avoid,,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,S047;S048;S049;S070;S002;S056;S057,medium,2026-07-13
CMM0064,EC022,M_TPE,first_choice,PMF00191,mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,S034;S035;S037;S038;S036;S059;S069;S075,high,2026-07-13
CMM0065,EC022,M_HYPERBAND_ASHA,second_choice,PMF00193,mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,S034;S035;S037;S038;S036;S059;S069;S075,high,2026-07-13
CMM0066,EC022,M_CMA_ES,avoid,,avoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,S034;S035;S037;S038;S032;S033;S040;S058;S074,medium,2026-07-13
CMM0067,EC023,M_BRANCH_CUT,first_choice,PMF00111,incumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,S005;S016;S021;S024;S025;S028,high,2026-07-13
CMM0068,EC023,M_CP_SAT,second_choice,PMF00112,incumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,S005;S016;S021;S024;S022;S053;S079,high,2026-07-13
CMM0069,EC023,M_GENETIC_ALGORITHM,avoid,,avoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / incumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,S005;S016;S021;S024;S032;S033;S040;S058;S074,medium,2026-07-13
CMM0070,EC024,M_LOCAL_SEARCH_COMBINATORIAL,first_choice,PMF00151,anytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,S023;S024;S054,high,2026-07-13
CMM0071,EC024,M_CP_SAT,second_choice,PMF00152,anytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,S023;S024;S022;S053;S079,high,2026-07-13
CMM0072,EC024,M_SPATIAL_BRANCH_BOUND,avoid,,avoid: noiseを含むblack-box;曖昧なlogic;巨大Big-M / anytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,S023;S024;S005;S016;S021;S025;S028,medium,2026-07-13
CMM0073,EC025,M_ADMM_QP,first_choice,PMF00211,factorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,S012;S043;S076;S004;S010;S013;S014;S016;S055;S062,high,2026-07-13
CMM0074,EC025,M_ACTIVE_SET_QP,second_choice,,factorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,S012;S043;S076;S004;S010;S013;S014;S016;S055;S062,high,2026-07-13
CMM0075,EC025,M_DIFFERENTIAL_EVOLUTION,avoid,,avoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / factorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,S012;S043;S076;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
CMM0076,EC026,M_NEWTON_CG,first_choice,PMF00221,adjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,S017;S019;S056;S002;S057,high,2026-07-13
CMM0077,EC026,M_TRUST_KRYLOV,second_choice,PMF00222,adjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,S017;S019;S056;S002;S003,high,2026-07-13
CMM0078,EC026,M_DIFFERENTIAL_EVOLUTION,avoid,PMF00225,avoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / adjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,S017;S019;S056;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
CMM0079,EC027,M_MADS,first_choice,PMF00076,failure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,S031;S035;S002;S018;S060;S063,high,2026-07-13
CMM0080,EC027,M_RANDOM_SEARCH,second_choice,PMF00077,failure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,S031;S035;S034;S036;S037;S038;S059;S069;S075,high,2026-07-13
CMM0081,EC027,M_BFGS,avoid,PMF00080,avoid: 不連続;評価ノイズが勾配を支配;離散変数 / failure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,S031;S035;S002;S056;S057,medium,2026-07-13
CMM0082,EC028,M_GAUSS_NEWTON,first_choice,PMF00016,まずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,S080;S056;S002;S003;S041,high,2026-07-13
CMM0083,EC028,M_LEVENBERG_MARQUARDT,second_choice,PMF00017,まずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,S080;S056;S002;S003;S041,high,2026-07-13
CMM0084,EC028,M_DIFFERENTIAL_EVOLUTION,avoid,,avoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / まずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,S080;S056;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
