fit_id,problem_or_feature_id,target_type,method_id,fit_level,beginner_priority,applicable_conditions,required_conditions,favorable_conditions,unfavorable_conditions,exclusion_conditions,expected_strengths,expected_weaknesses,evaluation_budget_notes,dimensionality_notes,noise_notes,constraint_notes,initialization_notes,guarantee_notes,tuning_notes,rationale,evidence_source_ids,confidence,last_verified
PMF00011,PA003,problem,M_RIEMANNIAN_TRUST_REGION,conditional,expert_guidance_recommended,多様体上で二階曲率と頑健な局所収束が必要。,変数の多様体構造、接空間射影、retraction、Riemann metricが定義可能。,制約をintrinsicに維持;座標冗長性を減らす,幾何実装;chart singularity;追加制約,多様体構造が不要;不連続;離散変数,制約をintrinsicに維持;座標冗長性を減らす,幾何実装;chart singularity;追加制約,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=high_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,tuning difficulty=high。停止条件は Riemannian_gradient_norm;step_norm;cost_change;budget。,固有値・特異値問題の主要特徴（quadratic、manifold、analytic_gradient、cheap）に対し、Riemann trust-region法は制約をintrinsicに維持;座標冗長性を減らす。ただし幾何実装;chart singularity;追加制約。 汎用最適化の前に ALT_EIGEN を確認する。,S054;S071;S044;S045,medium,2026-07-13
PMF00012,PA003,problem,M_RIEMANNIAN_GRADIENT,viable,expert_guidance_recommended,SO(3)、球面、Stiefel等が本質で常時可行性が必要。,変数の多様体構造、接空間射影、retraction、Riemann metricが定義可能。,制約をintrinsicに維持;座標冗長性を減らす,幾何実装;chart singularity;追加制約,多様体構造が不要;不連続;離散変数,制約をintrinsicに維持;座標冗長性を減らす,幾何実装;chart singularity;追加制約,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=high_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,tuning difficulty=high。停止条件は Riemannian_gradient_norm;step_norm;cost_change;budget。,固有値・特異値問題の主要特徴（quadratic、manifold、analytic_gradient、cheap）に対し、Riemann勾配法は制約をintrinsicに維持;座標冗長性を減らす。ただし幾何実装;chart singularity;追加制約。 汎用最適化の前に ALT_EIGEN を確認する。,S054;S071;S044;S045,high,2026-07-13
PMF00013,PA003,problem,M_NEWTON_CG,conditional,expert_guidance_recommended,数値微分が安価か、自動微分を追加できる。,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,不連続;評価ノイズが勾配を支配;離散変数,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,native制約対応が弱い。変数変換・射影・penaltyの妥当性と最終可行性を別途検証。,initialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,tuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,固有値・特異値問題の主要特徴（quadratic、manifold、analytic_gradient、cheap）に対し、Newton-CG法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_EIGEN を確認する。,S054;S071;S002;S056;S057,medium,2026-07-13
PMF00014,PA003,problem,M_BFGS,last_resort,avoid_as_default,数値微分が安価か、自動微分を追加できる。,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,不連続;評価ノイズが勾配を支配;離散変数,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,native制約対応が弱い。変数変換・射影・penaltyの妥当性と最終可行性を別途検証。,initialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,tuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,固有値・特異値問題の主要特徴（quadratic、manifold、analytic_gradient、cheap）に対し、BFGS法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_EIGEN を確認する。,S054;S071;S002;S056;S057,medium,2026-07-13
PMF00015,PA003,problem,M_GENETIC_ALGORITHM,generally_unsuitable,avoid_as_default,局所DFOが初期値依存。,評価予算と妥当な変数表現・境界・乱数管理。,微分不要;不連続・多峰性;並列性;柔軟な表現,大量評価;証明なし;parameter・encoding依存,問題の主要構造・変数型・保証要求と不整合。,微分不要;不連続・多峰性;並列性;柔軟な表現,大量評価;証明なし;parameter・encoding依存,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,高次元では評価数・population・幾何維持が急増。低有効次元、block、random embedding等を検討。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,初期可行性、許容違反、最終primal residual、制約scaleを記録。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,tuning difficulty=high。停止条件は evaluation_budget;time;stall;diversity。,固有値・特異値問題の主要特徴（quadratic、manifold、analytic_gradient、cheap）に対し、遺伝的algorithmは微分不要;不連続・多峰性;並列性;柔軟な表現。ただし大量評価;証明なし;parameter・encoding依存。 汎用最適化の前に ALT_EIGEN を確認する。,S054;S071;S032;S033;S040;S058;S074,medium,2026-07-13
PMF00016,PA004,problem,M_GAUSS_NEWTON,conditional,expert_guidance_recommended,非線形二乗和でJacobianが得られる。,局所モデルと微分情報が利用可能。,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,不連続;強いノイズ;微分不能,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は gradient_norm;trust_radius;model_reduction;budget。,方程式の求根の主要特徴（equation_residual、unconstrained、jacobian、moderate）に対し、Gauss–Newton法はNewton型の速さと大域化;不定Hessianに対処可能。ただし部分問題と微分の品質に依存;実装が複雑。 汎用最適化の前に ALT_ROOT;ALT_LEAST_SQUARES を確認する。,S080;S056;S002;S003;S041,medium,2026-07-13
PMF00017,PA004,problem,M_LEVENBERG_MARQUARDT,viable,expert_guidance_recommended,中小規模の滑らかな無制約非線形最小二乗。,局所モデルと微分情報が利用可能。,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,不連続;強いノイズ;微分不能,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は gradient_norm;trust_radius;model_reduction;budget。,方程式の求根の主要特徴（equation_residual、unconstrained、jacobian、moderate）に対し、Levenberg–Marquardt法はNewton型の速さと大域化;不定Hessianに対処可能。ただし部分問題と微分の品質に依存;実装が複雑。 汎用最適化の前に ALT_ROOT;ALT_LEAST_SQUARES を確認する。,S080;S056;S002;S003;S041,high,2026-07-13
PMF00018,PA004,problem,M_NEWTON,conditional,expert_guidance_recommended,数値微分が安価か、自動微分を追加できる。,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,不連続;評価ノイズが勾配を支配;離散変数,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,方程式の求根の主要特徴（equation_residual、unconstrained、jacobian、moderate）に対し、Newton法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_ROOT;ALT_LEAST_SQUARES を確認する。,S080;S056;S002;S057,medium,2026-07-13
PMF00019,PA004,problem,M_BFGS,last_resort,avoid_as_default,数値微分が安価か、自動微分を追加できる。,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,不連続;評価ノイズが勾配を支配;離散変数,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,tuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,方程式の求根の主要特徴（equation_residual、unconstrained、jacobian、moderate）に対し、BFGS法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_ROOT;ALT_LEAST_SQUARES を確認する。,S080;S056;S002;S057,medium,2026-07-13
PMF00020,PA004,problem,M_RANDOM_SEARCH,generally_unsuitable,avoid_as_default,random/evolutionary searchでは予算不足。,評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,実装単純;並列;model misspecificationなし,高次元・非定常・model misspecification;acquisition最適化;証明ではない,問題の主要構造・変数型・保証要求と不整合。,実装単純;並列;model misspecificationなし,高次元・非定常・model misspecification;acquisition最適化;証明ではない,評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,tuning difficulty=low。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,方程式の求根の主要特徴（equation_residual、unconstrained、jacobian、moderate）に対し、random searchは実装単純;並列;model misspecificationなし。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_ROOT;ALT_LEAST_SQUARES を確認する。,S080;S056;S034;S035;S036;S037;S038;S059;S069;S075,medium,2026-07-13
PMF00021,PA005,problem,M_GAUSS_NEWTON,default_choice,first_try,非線形二乗和でJacobianが得られる。,局所モデルと微分情報が利用可能。,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,不連続;強いノイズ;微分不能,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,dense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,initialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,tuning difficulty=medium。停止条件は gradient_norm;trust_radius;model_reduction;budget。,線形最小二乗の主要特徴（sum_of_squares、unconstrained、jacobian、cheap）に対し、Gauss–Newton法はNewton型の速さと大域化;不定Hessianに対処可能。ただし部分問題と微分の品質に依存;実装が複雑。 汎用最適化の前に ALT_LEAST_SQUARES;ALT_LINEAR_SYSTEM を確認する。,S003;S056;S002;S041,high,2026-07-13
