method_implementation_map_id,method_id,implementation_id,support_level,api_name,method_selector,implementation_notes,limitations,source_ids,confidence,last_verified
MIM00032,M_PRIMAL_DUAL_CONIC,I_CLARABEL,native,clarabel.DefaultSolver / wrappers,,homogeneous embeddingを必要としないinterior-point conic solver。対応coneとwrapper差を確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S014,high,2026-07-13
MIM00033,M_BARRIER_LP_QP,I_CLARABEL,native,clarabel.DefaultSolver / wrappers,,homogeneous embeddingを必要としないinterior-point conic solver。対応coneとwrapper差を確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S014,high,2026-07-13
MIM00034,M_PRIMAL_DUAL_CONIC,I_CVXPY,via_wrapper,cvxpy.Problem.solve,solver=...,CVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S010;S011,high,2026-07-13
MIM00035,M_ADMM_QP,I_CVXPY,via_wrapper,cvxpy.Problem.solve,solver=...,CVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S010;S011,high,2026-07-13
MIM00036,M_BRANCH_CUT,I_CVXPY,via_wrapper,cvxpy.Problem.solve,solver=...,CVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S010;S011,high,2026-07-13
MIM00037,M_BARRIER_LP_QP,I_CVXPY,via_wrapper,cvxpy.Problem.solve,solver=...,CVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S010;S011,high,2026-07-13
MIM00038,M_BARRIER_LP_QP,I_CVXOPT,native,cvxopt.solvers.lp/qp/conelp/coneqp,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S015,high,2026-07-13
MIM00039,M_PRIMAL_DUAL_CONIC,I_CVXOPT,native,cvxopt.solvers.lp/qp/conelp/coneqp,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S015,high,2026-07-13
MIM00040,M_INTERIOR_POINT_NLP,I_IPOPT,native,cyipopt.minimize_ipopt / native NLP interface,,滑らかなNLPのみ。sparse derivativeと線形solver選択が性能を左右。非凸では局所KKT点。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S017,high,2026-07-13
MIM00041,M_NELDER_MEAD,I_NLOPT,native,nlopt.opt,algorithm enum,algorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S018,high,2026-07-13
MIM00042,M_COBYLA,I_NLOPT,native,nlopt.opt,algorithm enum,algorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S018,high,2026-07-13
MIM00043,M_AUGMENTED_LAGRANGIAN,I_NLOPT,native,nlopt.opt,algorithm enum,algorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S018,high,2026-07-13
MIM00044,M_DIRECT,I_NLOPT,native,nlopt.opt,algorithm enum,algorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S018,high,2026-07-13
MIM00045,M_LBFGS,I_NLOPT,native,nlopt.opt,algorithm enum,algorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S018,high,2026-07-13
MIM00046,M_NEWTON_CG,I_PETSC_TAO,native,petsc4py.PETSc.TAO / C API,tao_type,distributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S019,high,2026-07-13
MIM00047,M_LBFGS,I_PETSC_TAO,native,petsc4py.PETSc.TAO / C API,tao_type,distributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S019,high,2026-07-13
MIM00048,M_TRUST_NCG,I_PETSC_TAO,native,petsc4py.PETSc.TAO / C API,tao_type,distributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S019,high,2026-07-13
MIM00049,M_PROJECTED_GRADIENT,I_PETSC_TAO,native,petsc4py.PETSc.TAO / C API,tao_type,distributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S019,high,2026-07-13
MIM00050,M_BRANCH_CUT,I_PYOMO,via_wrapper,pyomo.environ.SolverFactory,solver name,Pyomoはmodeling layer。選択solverのlicense・capability・statusを別rowで評価。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S020,high,2026-07-13
MIM00051,M_INTERIOR_POINT_NLP,I_PYOMO,via_wrapper,pyomo.environ.SolverFactory,solver name,Pyomoはmodeling layer。選択solverのlicense・capability・statusを別rowで評価。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S020,high,2026-07-13
MIM00052,M_OUTER_APPROX_MINLP,I_PYOMO,via_wrapper,pyomo.environ.SolverFactory,solver name,Pyomoはmodeling layer。選択solverのlicense・capability・statusを別rowで評価。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S020,high,2026-07-13
MIM00053,M_BRANCH_CUT,I_SCIP,native,pyscipopt.Model / native API,,MIPとMINLPで保証・nonconvex handlingが異なる。plugin ecosystemとproblem classを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S021,high,2026-07-13
MIM00054,M_SPATIAL_BRANCH_BOUND,I_SCIP,native,pyscipopt.Model / native API,,MIPとMINLPで保証・nonconvex handlingが異なる。plugin ecosystemとproblem classを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S021,high,2026-07-13
MIM00055,M_OUTER_APPROX_MINLP,I_SCIP,native,pyscipopt.Model / native API,,MIPとMINLPで保証・nonconvex handlingが異なる。plugin ecosystemとproblem classを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S021,high,2026-07-13
MIM00056,M_CP_SAT,I_ORTOOLS_CPSAT,native,ortools.sat.python.cp_model.CpSolver,,CP-SATは整数のみ。実数はscaleして整数化し、丸めとoverflow/係数scaleを検証。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S022;S079,high,2026-07-13
MIM00057,M_CDCL_SAT,I_ORTOOLS_CPSAT,native,ortools.sat.python.cp_model.CpSolver,,CP-SATは整数のみ。実数はscaleして整数化し、丸めとoverflow/係数scaleを検証。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S022;S079,high,2026-07-13
MIM00058,M_LOCAL_SEARCH_COMBINATORIAL,I_ORTOOLS_ROUTING,native,ortools.constraint_solver.pywrapcp.RoutingModel,,巨大routingで良質解を早く得るheuristic中心。最適性証明と成功statusを混同しない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S023,high,2026-07-13
MIM00059,M_CP_SEARCH,I_ORTOOLS_ROUTING,native,ortools.constraint_solver.pywrapcp.RoutingModel,,巨大routingで良質解を早く得るheuristic中心。最適性証明と成功statusを混同しない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S023,high,2026-07-13
MIM00060,M_SIMPLEX,I_ORTOOLS_GLOP,native,pywraplp.Solver.CreateSolver,GLOP,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S078,high,2026-07-13
MIM00061,M_DUAL_SIMPLEX,I_ORTOOLS_GLOP,native,pywraplp.Solver.CreateSolver,GLOP,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S078,high,2026-07-13
MIM00062,M_PDLP,I_ORTOOLS_PDLP,native,pywraplp.Solver.CreateSolver / MathOpt,PDLP,一次法で巨大LP向け。高精度・small LPではsimplex/IPMも比較。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S078,high,2026-07-13
MIM00063,M_SIMPLEX,I_GUROBI,native,gurobipy.Model.optimize,,"status, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S024,high,2026-07-13
MIM00064,M_BARRIER_LP_QP,I_GUROBI,native,gurobipy.Model.optimize,,"status, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S024,high,2026-07-13
MIM00065,M_BRANCH_CUT,I_GUROBI,native,gurobipy.Model.optimize,,"status, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S024,high,2026-07-13
MIM00066,M_SPATIAL_BRANCH_BOUND,I_GUROBI,native,gurobipy.Model.optimize,,"status, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S024,high,2026-07-13
MIM00067,M_SIMPLEX,I_CPLEX,native,docplex / cplex API,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S025,high,2026-07-13
MIM00068,M_BARRIER_LP_QP,I_CPLEX,native,docplex / cplex API,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S025,high,2026-07-13
MIM00069,M_BRANCH_CUT,I_CPLEX,native,docplex / cplex API,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S025,high,2026-07-13
MIM00070,M_BRANCH_CUT,I_CBC,native,cbc / cylp / PuLP backend,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S026,high,2026-07-13
MIM00071,M_SIMPLEX,I_GLPK,native,glpsol / swiglpk,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S027,high,2026-07-13
MIM00072,M_BARRIER_LP_QP,I_GLPK,native,glpsol / swiglpk,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S027,high,2026-07-13
MIM00073,M_BRANCH_CUT,I_GLPK,native,glpsol / swiglpk,,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S027,high,2026-07-13
MIM00074,M_PRIMAL_DUAL_CONIC,I_MOSEK,native,mosek / Fusion API,,錐/SDPの代表的商用solver。problem reformulationとcone supportを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S028,high,2026-07-13
MIM00075,M_BARRIER_LP_QP,I_MOSEK,native,mosek / Fusion API,,錐/SDPの代表的商用solver。problem reformulationとcone supportを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S028,high,2026-07-13
MIM00076,M_BRANCH_CUT,I_MOSEK,native,mosek / Fusion API,,錐/SDPの代表的商用solver。problem reformulationとcone supportを確認。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S028,high,2026-07-13
MIM00077,M_INTERIOR_POINT_NLP,I_KNITRO,native,knitro Python/native APIs,algorithm option,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S029,high,2026-07-13
MIM00078,M_SQP,I_KNITRO,native,knitro Python/native APIs,algorithm option,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S029,high,2026-07-13
MIM00079,M_ACTIVE_SET,I_KNITRO,native,knitro Python/native APIs,algorithm option,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S029,high,2026-07-13
MIM00080,M_BRANCH_BOUND,I_KNITRO,native,knitro Python/native APIs,algorithm option,,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S029,high,2026-07-13
MIM00081,M_SQP,I_SNOPT,native,snopt interfaces,,疎SQP。derivative option・major/minor iterations・feasibility tolerancesを理解して使用。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S030,high,2026-07-13
MIM00082,M_MADS,I_NOMAD,native,PyNomad.optimize / native,,評価失敗/cache/constraint handlingを明示。ライセンス文字列は一次資料で再確認backlog。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S031,medium,2026-07-13
MIM00083,M_CMA_ES,I_PYCMA,native,cma.fmin2 / cma.CMAEvolutionStrategy,,seed、population、sigma、bounds、restart、noise handlingを記録。標準CMAはO(n²) memory/linear algebra。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S032,high,2026-07-13
MIM00084,M_CMA_ES,I_NEVERGRAD,native,nevergrad.optimization.optimizerlib,,portfolio名はalgorithm familyと同一視しない。instrumentation/constraint handling/parallel budgetで挙動が変わる。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S033,high,2026-07-13
MIM00085,M_DIFFERENTIAL_EVOLUTION,I_NEVERGRAD,native,nevergrad.optimization.optimizerlib,,portfolio名はalgorithm familyと同一視しない。instrumentation/constraint handling/parallel budgetで挙動が変わる。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S033,high,2026-07-13
MIM00086,M_PARTICLE_SWARM,I_NEVERGRAD,native,nevergrad.optimization.optimizerlib,,portfolio名はalgorithm familyと同一視しない。instrumentation/constraint handling/parallel budgetで挙動が変わる。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S033,high,2026-07-13
MIM00087,M_RANDOM_SEARCH,I_NEVERGRAD,native,nevergrad.optimization.optimizerlib,,portfolio名はalgorithm familyと同一視しない。instrumentation/constraint handling/parallel budgetで挙動が変わる。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S033,high,2026-07-13
MIM00088,M_TPE,I_OPTUNA,native,optuna.create_study / Study.optimize,sampler/pruner,sampler、pruner、storage、trial stateを別要素として記録。pruningはlearning curve biasを検証。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S034,high,2026-07-13
MIM00089,M_RANDOM_SEARCH,I_OPTUNA,native,optuna.create_study / Study.optimize,sampler/pruner,sampler、pruner、storage、trial stateを別要素として記録。pruningはlearning curve biasを検証。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S034,high,2026-07-13
MIM00090,M_HYPERBAND_ASHA,I_OPTUNA,native,optuna.create_study / Study.optimize,sampler/pruner,sampler、pruner、storage、trial stateを別要素として記録。pruningはlearning curve biasを検証。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S034,high,2026-07-13
MIM00091,M_BAYESIAN_OPT_GP,I_OPTUNA,native,optuna.create_study / Study.optimize,sampler/pruner,sampler、pruner、storage、trial stateを別要素として記録。pruningはlearning curve biasを検証。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S034,high,2026-07-13
MIM00092,M_BAYESIAN_OPT_GP,I_BOTORCH,native,botorch / optimize_acqf,model/acquisition,posterior uncertaintyは最適性証明ではない。outcome transform、noise model、acquisition optimizationを検査。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S035,high,2026-07-13
MIM00093,M_TURBO_SAASBO,I_BOTORCH,native,botorch / optimize_acqf,model/acquisition,posterior uncertaintyは最適性証明ではない。outcome transform、noise model、acquisition optimizationを検査。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S035,high,2026-07-13
MIM00094,M_BAYESIAN_OPT_GP,I_AX,native,ax.service / AxClient,,service/modelbridge層。generation strategyとunderlying BoTorch modelを分離して記録。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S036,high,2026-07-13
MIM00095,M_TURBO_SAASBO,I_AX,native,ax.service / AxClient,,service/modelbridge層。generation strategyとunderlying BoTorch modelを分離して記録。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S036,high,2026-07-13
MIM00096,M_RANDOM_SEARCH,I_AX,native,ax.service / AxClient,,service/modelbridge層。generation strategyとunderlying BoTorch modelを分離して記録。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S036,high,2026-07-13
MIM00097,M_SMAC_RF,I_SMAC3,native,smac.HyperparameterOptimizationFacade,,scenario、intensifier、runhistory、budget/fidelityを明示。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S037,high,2026-07-13
MIM00098,M_RANDOM_SEARCH,I_SMAC3,native,smac.HyperparameterOptimizationFacade,,scenario、intensifier、runhistory、budget/fidelityを明示。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S037,high,2026-07-13
MIM00099,M_RANDOM_SEARCH,I_RAY_TUNE,native,ray.tune.Tuner,search_alg/scheduler,Tuneはorchestration layer。search algorithmとschedulerを同一手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S038,high,2026-07-13
MIM00100,M_HYPERBAND_ASHA,I_RAY_TUNE,native,ray.tune.Tuner,search_alg/scheduler,Tuneはorchestration layer。search algorithmとschedulerを同一手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S038,high,2026-07-13
MIM00101,M_PBT,I_RAY_TUNE,native,ray.tune.Tuner,search_alg/scheduler,Tuneはorchestration layer。search algorithmとschedulerを同一手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S038,high,2026-07-13
MIM00102,M_BAYESIAN_OPT_GP,I_RAY_TUNE,native,ray.tune.Tuner,search_alg/scheduler,Tuneはorchestration layer。search algorithmとschedulerを同一手法として扱わない。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S038,high,2026-07-13
MIM00103,M_NSGA_II,I_PYMOO,native,pymoo.optimize.minimize,algorithm object,termination、reference directions、constraint violation、performance indicatorsを明示。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S039,high,2026-07-13
MIM00104,M_NSGA_III,I_PYMOO,native,pymoo.optimize.minimize,algorithm object,termination、reference directions、constraint violation、performance indicatorsを明示。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S039,high,2026-07-13
MIM00105,M_MOEA_D,I_PYMOO,native,pymoo.optimize.minimize,algorithm object,termination、reference directions、constraint violation、performance indicatorsを明示。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S039,high,2026-07-13
MIM00106,M_GENETIC_ALGORITHM,I_PYMOO,native,pymoo.optimize.minimize,algorithm object,termination、reference directions、constraint violation、performance indicatorsを明示。,機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,S039,high,2026-07-13
