implementation_id,library_name,solver_name,api_name,method_selector,language,license,commercial_model,free_use_conditions,open_source,os_support,problem_formats,variable_support,constraint_support,analytic_derivatives,autodiff,numerical_diff,sparse_support,parallelism,gpu_support,warm_start,callback,termination_controls,initialization,constraint_violation_reporting,optimality_info,dual_variables,optimality_gap,sensitivity_info,status_codes,major_options,default_safety,documentation_quality,beginner_usability,maintenance_status,last_release,last_verified,official_docs_url,official_repo_url,usage_example,notes,supported_method_ids,implementation_differences,source_ids,confidence
I_SCIPY_LINPROG_HIGHS,SciPy/HiGHS,HiGHS LP,scipy.optimize.linprog,highs;highs-ds;highs-ipm,Python,BSD-3-Clause + MIT backend,open_source,Open-source license terms apply.,yes,cross_platform,LP,continuous,bounds;linear equalities/inequalities,not_applicable,no,not_applicable,yes,backend_dependent,no,limited_api,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,yes,partial,yes,tolerances;limits;scaling;verbosity;method_specific_options,good,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.linprog.html,https://github.com/scipy/scipy,"scipy.optimize.linprog(..., method='highs;highs-ds;highs-ipm')",LPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。 Bundled HiGHS backend version follows the SciPy distribution; do not equate it automatically with the latest standalone HiGHS.,M_SIMPLEX;M_DUAL_SIMPLEX;M_BARRIER_LP_QP,,S004;S016;S082,high
I_SCIPY_MILP_HIGHS,SciPy/HiGHS,HiGHS MIP,scipy.optimize.milp,HiGHS,Python,BSD-3-Clause + MIT backend,open_source,Open-source license terms apply.,yes,cross_platform,MILP,continuous;integer;binary,bounds;linear,not_applicable,no,not_applicable,yes,backend_dependent,no,limited_api,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,partial_relaxation,yes,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,good,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.milp.html,https://github.com/scipy/scipy,"scipy.optimize.milp(..., method='HiGHS')",integrality・MIP gap・time/node limitを明示。Big-Mとrelaxation品質を診断。 Bundled HiGHS backend version follows the SciPy distribution; do not equate it automatically with the latest standalone HiGHS.,M_BRANCH_CUT;M_BRANCH_BOUND,,S005;S016;S082,high
I_SCIPY_DIFFERENTIAL_EVOLUTION,SciPy,Differential Evolution,scipy.optimize.differential_evolution,,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,bounded global black-box,continuous;integrality option by version,bounds;constraints_by_api,no,no,no,no,yes_workers/vectorized,no,population_or_x0,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,high,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.differential_evolution.html,https://github.com/scipy/scipy,scipy.optimize.differential_evolution(...),population × generationsが評価数。並列/seed/polish/constraint処理を記録。,M_DIFFERENTIAL_EVOLUTION,,S006;S082,high
I_SCIPY_SHGO,SciPy,SHGO,scipy.optimize.shgo,,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,bounded low-dimensional global optimization,continuous,bounds;constraints,optional_local_solver,no,implementation_dependent,no,limited,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,method_specific,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.shgo.html,https://github.com/scipy/scipy,scipy.optimize.shgo(...),,M_SHGO,,S007;S072;S082,high
I_SCIPY_DIRECT,SciPy,DIRECT,scipy.optimize.direct,,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,bounded deterministic global black-box,continuous,bounds,no,no,no,no,limited,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.direct.html,https://github.com/scipy/scipy,scipy.optimize.direct(...),,M_DIRECT,,S008;S073;S082,high
I_SCIPY_DUAL_ANNEALING,SciPy,Dual Annealing,scipy.optimize.dual_annealing,,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,bounded stochastic global black-box,continuous,bounds,optional_local_solver,no,implementation_dependent,no,limited,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.dual_annealing.html,https://github.com/scipy/scipy,scipy.optimize.dual_annealing(...),,M_SIMULATED_ANNEALING,,S009;S082,high
I_SCIPY_BASINHOPPING,SciPy,Basin-hopping,scipy.optimize.basinhopping,,Python,BSD-3-Clause,open_source,Open-source license terms apply.,yes,cross_platform,stochastic globalized local optimization,continuous,local_solver_dependent,local_solver_dependent,no,local_solver_dependent,local_solver_dependent,limited,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,SciPy 1.18.0,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,https://github.com/scipy/scipy,scipy.optimize.basinhopping(...),,M_BASIN_HOPPING;M_MULTISTART,,S001;S002;S082,high
I_HIGHS_NATIVE,HiGHS,HiGHS,highspy.Highs / C++ API,,Python;C++;C#;Julia;others,MIT,open_source,Open-source license terms apply.,yes,cross_platform,LP;MIP;convex QP,continuous;integer;binary,bounds;linear;quadratic objective,not_applicable,no,not_applicable,yes,yes_by_solver,no,yes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,yes,partial,yes,tolerances;limits;scaling;verbosity;method_specific_options,good,high,medium,active_docs_verified,1.15.1,2026-07-13,https://highs.dev/,https://github.com/ERGO-Code/HiGHS,highspy.Highs / C++ API(...),Native APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,M_SIMPLEX;M_DUAL_SIMPLEX;M_BARRIER_LP_QP;M_BRANCH_CUT,,S016;S083,high
I_OSQP,OSQP,OSQP,osqp.OSQP / native APIs,,Python;C;C++;Julia;Matlab;others,Apache-2.0,open_source,Open-source license terms apply.,yes,cross_platform,convex QP,continuous,linear constraints;bounds,not_applicable,no,not_applicable,yes,linear_algebra_backend,no,yes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,yes,partial,yes,tolerances;limits;scaling;verbosity;method_specific_options,good_for_convex_qp,high,high,active_docs_verified,core 1.0.0; Python wrapper 1.1.3,2026-07-13,https://osqp.org/docs/,https://github.com/osqp/osqp,osqp.OSQP / native APIs(...),P must be positive semidefinite. factorization caching・warm startは反復QP/MPCで有効。 Core and language-wrapper versions are tracked separately.,M_ADMM_QP,,S012;S062;S084;S085,high
I_SCS,SCS,Splitting Conic Solver,scs.solve / native APIs,,Python;C;Julia;Matlab;others,MIT,open_source,Open-source license terms apply.,yes,cross_platform,conic programs,continuous;cone variables,linear cone constraints,not_applicable,no,not_applicable,yes,linear_algebra_backend,optional_indirect_backend_by_build,yes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,yes,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,3.2.11 (docs observed),2026-07-13,https://www.cvxgrp.org/scs/,https://github.com/cvxgrp/scs,scs.solve / native APIs(...),一次法。非常に大規模/中精度に有力だが、status inaccurateとresidualを確認。,M_ADMM;M_PRIMAL_DUAL_CONIC,,S013,high
I_CLARABEL,Clarabel,Clarabel,clarabel.DefaultSolver / wrappers,,Rust;Python;Julia;R;C,Apache-2.0,open_source,Open-source license terms apply.,yes,cross_platform,LP;QP;SOCP;exponential/power cone,continuous;cone variables,linear cone constraints,not_applicable,no,not_applicable,yes,linear_algebra_backend,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,yes,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,good,high,medium,active_docs_verified,unknown,2026-07-13,https://clarabel.org/stable/,https://github.com/oxfordcontrol/Clarabel.rs,clarabel.DefaultSolver / wrappers(...),homogeneous embeddingを必要としないinterior-point conic solver。対応coneとwrapper差を確認。,M_PRIMAL_DUAL_CONIC;M_BARRIER_LP_QP,,S014,high
I_CVXPY,CVXPY,Disciplined convex programming modeler,cvxpy.Problem.solve,solver=...,Python,Apache-2.0,modeling_layer,Open-source license terms apply.,yes,cross_platform,Modeling layer; backend-dependent LP/QP/conic/MIP,continuous;integer;boolean;complex by atoms,DCP/DGP/DQCP and backend constraints,symbolic_canonicalization,partial_DPP/derivative_features,no,yes,backend_dependent,backend_dependent,yes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes_for_supported_constraints,backend_dependent,conditional_DPP,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional_backend_selection,high,high,active_docs_verified,1.9.1,2026-07-13,https://www.cvxpy.org/,https://github.com/cvxpy/cvxpy,"cvxpy.Problem.solve(..., method='solver=...')",CVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,M_PRIMAL_DUAL_CONIC;M_ADMM_QP;M_BRANCH_CUT;M_BARRIER_LP_QP,,S010;S011;S086,high
I_CVXOPT,CVXOPT,CVXOPT solvers,cvxopt.solvers.lp/qp/conelp/coneqp,,Python;C extensions,GPL-3.0,open_source,Open-source license terms apply.,yes,cross_platform,LP;convex QP;conic,continuous;cone variables,linear;conic,not_applicable,no,not_applicable,yes,BLAS_backend,no,partial,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,yes,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,unknown,2026-07-13,https://cvxopt.org/,https://github.com/cvxopt/cvxopt,cvxopt.solvers.lp/qp/conelp/coneqp(...),,M_BARRIER_LP_QP;M_PRIMAL_DUAL_CONIC,,S015,high
I_IPOPT,Ipopt,Ipopt,cyipopt.minimize_ipopt / native NLP interface,,C++;Python wrappers;Julia;AMPL;others,EPL-2.0,open_source,Open-source license terms apply.,yes,cross_platform,large-scale smooth NLP,continuous,bounds;linear;nonlinear,yes_required/recommended,via_modeling_tool,external_or_limited,yes,linear_solver_dependent,no,yes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,KKT_not_global_gap,via_tools,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,3.14.19,2026-07-13,https://coin-or.github.io/Ipopt/,https://github.com/coin-or/Ipopt,cyipopt.minimize_ipopt / native NLP interface(...),滑らかなNLPのみ。sparse derivativeと線形solver選択が性能を左右。非凸では局所KKT点。,M_INTERIOR_POINT_NLP,,S017;S087,high
I_NLOPT,NLopt,NLopt algorithms,nlopt.opt,algorithm enum,C;C++;Python;Julia;Matlab;others,LGPL-2.1+,open_source,Open-source license terms apply.,yes,cross_platform,local/global continuous optimization,continuous,bounds;nonlinear constraints by algorithm,algorithm_dependent,external,external,limited,limited,no,via_initial_guess,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,algorithm_selection_required,high,medium,active_docs_verified,unknown,2026-07-13,https://nlopt.readthedocs.io/en/latest/,https://github.com/stevengj/nlopt,"nlopt.opt(..., method='algorithm enum')",algorithm enumごとに微分・制約・局所/大域が異なる。データ上は一つの手法として扱わない。,M_NELDER_MEAD;M_COBYLA;M_AUGMENTED_LAGRANGIAN;M_DIRECT;M_LBFGS,,S018,high
I_PETSC_TAO,PETSc TAO,TAO,petsc4py.PETSc.TAO / C API,tao_type,C;C++;Fortran;Python,BSD-2-Clause,open_source,Open-source license terms apply.,yes,cross_platform,large-scale parallel continuous optimization,continuous;distributed vectors,unconstrained;bounds;some constraints,yes,external,limited,yes_distributed,MPI,yes_via_PETSc_backends,yes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,method_dependent,no,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,expert_configuration,high,expert,active_docs_verified,unknown,2026-07-13,https://petsc.org/release/overview/tao/,https://gitlab.com/petsc/petsc,"petsc4py.PETSc.TAO / C API(..., method='tao_type')",distributed data structures/linear solvers/preconditionersまで含めて設計する大規模HPC向け。,M_NEWTON_CG;M_LBFGS;M_TRUST_NCG;M_PROJECTED_GRADIENT,,S019,high
I_PYOMO,Pyomo,Pyomo modeler,pyomo.environ.SolverFactory,solver name,Python,BSD-3-Clause,modeling_layer,Open-source license terms apply.,yes,cross_platform,LP;MIP;NLP;MINLP;stochastic extensions via backend,continuous;integer;binary,algebraic constraints;backend-dependent,symbolic_model,symbolic_derivatives,backend_dependent,backend_dependent,backend_dependent,backend_dependent,backend_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,backend_dependent,backend_dependent,backend_dependent,yes,tolerances;limits;scaling;verbosity;method_specific_options,solver_selection_required,high,medium,active_docs_verified,unknown,2026-07-13,https://pyomo.readthedocs.io/en/stable/,https://github.com/Pyomo/pyomo,"pyomo.environ.SolverFactory(..., method='solver name')",Pyomoはmodeling layer。選択solverのlicense・capability・statusを別rowで評価。,M_BRANCH_CUT;M_INTERIOR_POINT_NLP;M_OUTER_APPROX_MINLP,,S020,high
I_SCIP,SCIP Optimization Suite,SCIP / PySCIPOpt,pyscipopt.Model / native API,,C;C++;Python;Java;others,Apache-2.0,open_source,Open-source license terms apply.,yes,cross_platform,MIP;MIQP;MINLP;constraint integer programming,continuous;integer;binary,linear;quadratic;nonlinear;logical plugins,symbolic_expression_or_callbacks,implementation_dependent,implementation_dependent,yes,limited/core_and_concurrent_components,no,yes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes_relaxations,yes,limited,yes,tolerances;limits;scaling;verbosity;method_specific_options,good_but_modeling_expert_for_MINLP,high,medium,active_docs_verified,10.0.0,2026-07-13,https://www.scipopt.org/doc/html/,https://github.com/scipopt/scip,pyscipopt.Model / native API(...),MIPとMINLPで保証・nonconvex handlingが異なる。plugin ecosystemとproblem classを確認。,M_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND;M_OUTER_APPROX_MINLP,,S021;S089,high
I_ORTOOLS_CPSAT,Google OR-Tools,CP-SAT,ortools.sat.python.cp_model.CpSolver,,Python;C++;Java;C#,Apache-2.0,open_source,Open-source license terms apply.,yes,cross_platform,integer/Boolean linear optimization;scheduling,integer;binary,integer linear;Boolean;global scheduling,not_applicable,no,not_applicable,yes,yes,no,hints,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,bound_only,yes,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,good,high,high,active_docs_verified,9.15,2026-07-13,https://developers.google.com/optimization/cp/cp_solver,https://github.com/google/or-tools,ortools.sat.python.cp_model.CpSolver(...),CP-SATは整数のみ。実数はscaleして整数化し、丸めとoverflow/係数scaleを検証。,M_CP_SAT;M_CDCL_SAT,,S022;S079;S088,high
I_ORTOOLS_ROUTING,Google OR-Tools,Routing solver,ortools.constraint_solver.pywrapcp.RoutingModel,,Python;C++;Java;C#,Apache-2.0,open_source,Open-source license terms apply.,yes,cross_platform,VRP/TSP/routing with dimensions,routing indices;integer decisions,routing;capacity;time windows;pickup-delivery,not_applicable,no,not_applicable,yes,limited,no,initial_routes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,no,usually_no_global_certificate,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,9.15,2026-07-13,https://developers.google.com/optimization/routing,https://github.com/google/or-tools,ortools.constraint_solver.pywrapcp.RoutingModel(...),巨大routingで良質解を早く得るheuristic中心。最適性証明と成功statusを混同しない。,M_LOCAL_SEARCH_COMBINATORIAL;M_CP_SEARCH,,S023;S088,high
I_ORTOOLS_GLOP,Google OR-Tools,GLOP,pywraplp.Solver.CreateSolver,GLOP,Python;C++;Java;C#,Apache-2.0,open_source,Open-source license terms apply.,yes,cross_platform,LP,continuous,bounds;linear,not_applicable,no,not_applicable,yes,limited,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,yes,partial,yes,tolerances;limits;scaling;verbosity;method_specific_options,good,high,high,active_docs_verified,9.15,2026-07-13,https://developers.google.com/optimization/lp,https://github.com/google/or-tools,"pywraplp.Solver.CreateSolver(..., method='GLOP')",,M_SIMPLEX;M_DUAL_SIMPLEX,,S078;S088,high
I_ORTOOLS_PDLP,Google OR-Tools,PDLP,pywraplp.Solver.CreateSolver / MathOpt,PDLP,Python;C++;Java;C#,Apache-2.0,open_source,Open-source license terms apply.,yes,cross_platform,very large LP,continuous,bounds;linear,not_applicable,no,not_applicable,yes,yes,no,implementation_dependent,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes,yes,no,yes,tolerances;limits;scaling;verbosity;method_specific_options,conditional,high,medium,active_docs_verified,9.15,2026-07-13,https://developers.google.com/optimization/lp,https://github.com/google/or-tools,"pywraplp.Solver.CreateSolver / MathOpt(..., method='PDLP')",一次法で巨大LP向け。高精度・small LPではsimplex/IPMも比較。,M_PDLP,,S078;S088,high
I_GUROBI,Gurobi Optimizer,Gurobi,gurobipy.Model.optimize,,Python;C;C++;Java;C#;R;Matlab,Proprietary,commercial_with_free_tiers,Restricted academic/evaluation/cloud conditions; verify current license.,no,cross_platform,LP;QP;QCP;MIP;MIQP;MIQCP;selected nonlinear,continuous;integer;binary;semi-continuous;semi-integer,bounds;linear;quadratic;indicator;SOS;general constraints,model_based,no,not_applicable,yes,yes,no_or_feature_dependent,yes,implementation_dependent,tolerance;iteration_limit;time_or_evaluation_limit_by_api,initial_guess_or_model_dependent,yes,yes,yes_for_continuous/relaxation,yes,yes_for_supported_models,yes,tolerances;limits;scaling;verbosity;method_specific_options,good,high,high,active_docs_verified,unknown,2026-07-13,https://docs.gurobi.com/projects/optimizer/en/current/,,gurobipy.Model.optimize(...),"status, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",M_SIMPLEX;M_BARRIER_LP_QP;M_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND,,S024,high
