backlog_id,area,priority,issue,proposed_action,acceptance_criteria,dependencies,status,target_version,owner,source_ids,notes,created_date
B018,methods,medium,stochastic second-order/variance reduction追加,SVRG/SAGA/Shampoo/K-FAC等一次資料調査,ML family拡充,,open,future,unassigned,,,2026-07-13
B019,methods,medium,online convex optimization/regret table追加,mirror descent/FTRL/ONSの保証を構造化,online view追加,,open,future,unassigned,,,2026-07-13
B020,methods,medium,federated optimization実装・通信model追加,FedAvg等をmethod/implementation分離,communication diagnostics追加,,open,future,unassigned,,,2026-07-13
B021,data_model,high,method assumptionを原子feature predicateへ正規化,required_conditionsをexpression ASTへ移行,rule engineで機械評価可能,,open,0.2+,unassigned,,,2026-07-13
B022,data_model,high,versioned source claim tableとsupersession追加,claim validity intervalとreplaced_byを追加,historical reproducibility確保,,open,0.2+,unassigned,,,2026-07-13
B023,data_model,high,implementation option table正規化,option name/type/default/version/impactを別table化,API-specific view生成可能,,open,0.2+,unassigned,,,2026-07-13
B024,data_model,medium,license/use conditionをlegal metadataへ分離,SPDX、commercial tiers、academic condition、jurisdiction notes,license filterが可能,,open,future,unassigned,,,2026-07-13
B025,data_model,medium,benchmark context schema追加,hardware、instance distribution、budget、toleranceを必須化,文脈なしrankingを防止,,open,future,unassigned,,,2026-07-13
B026,data_model,medium,dynamic dimension/budget thresholds,method × cost × dimensionのpiecewise rules,fixed low/high label依存を削減,,open,future,unassigned,,,2026-07-13
B027,validation,critical,foreign-key・vocabulary・source link CI,JSON Schema/SQL constraints/test suiteを作成,全releaseで0 error,,done,0.2.0,unassigned,,Executable SQLite full-load and integrity checks added to release_checks.,2026-07-13
B028,validation,high,公式API smoke tests,代表callをpinned environmentsで実行,status/options differencesが検知される,,open,0.2+,unassigned,,,2026-07-13
B029,validation,high,20+ scenario regression testsのrule engine化,expected first/second/avoidをassert,schema/rule変更のregressionを検知,,open,0.2+,unassigned,,,2026-07-13
B030,validation,medium,cross-solver numerical test set,LP/QP/NLP/MIP/LSの小規模instances,residual/status mappingを比較,,open,future,unassigned,,,2026-07-13
B031,views,medium,SciPy-only executable recipes追加,problem→function→method→options examples,copyable examplesとtests,,open,future,unassigned,,,2026-07-13
B032,views,medium,Python OSS-only / commercial / GPU views追加,license・backend filtersから自動生成,filtersでview再生成,,open,future,unassigned,,,2026-07-13
B033,views,medium,Excel GUI diagnostic form追加,12質問からrule結果を表示,macroなしでも候補2件とwarning表示,,open,future,unassigned,,,2026-07-13
B034,governance,high,quarterly maintenance cadenceとowner assignment,release/source review checklist,last_verified期限超過alert,,open,0.2+,unassigned,,,2026-07-13
B035,governance,medium,community contribution schema・review policy,pull request templateとevidence requirements,未確認情報がconfidence付きで追加可能,,open,future,unassigned,,,2026-07-13
B036,localization,low,日本語表示名・専門用語review,分野専門家による用語統一,glossaryとUI表記の差異解消,,open,future,unassigned,,,2026-07-13
B037,interoperability,medium,JSON SchemaとOpenAPI出力,型・enum・FKをmachine schemaへ,web app/AI retrievalでvalidation可能,,open,future,unassigned,,,2026-07-13
B038,interoperability,medium,RDF/knowledge graph export,entity/relation/source provenanceをRDF化,SPARQLで階層・根拠検索可能,,open,future,unassigned,,,2026-07-13
