evidence_link_id,source_id,target_table,target_id,supported_field,claim_summary,evidence_role,confidence,last_verified
EL000048,S028,problem_archetypes,PA019,row,非凸QP/QCQP。変数=continuous、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000049,S010,problem_archetypes,PA020,row,二次錐計画。変数=continuous、目的=linear、制約=conic。,supporting_or_primary,high,2026-07-13
EL000050,S013,problem_archetypes,PA020,row,二次錐計画。変数=continuous、目的=linear、制約=conic。,supporting_or_primary,high,2026-07-13
EL000051,S014,problem_archetypes,PA020,row,二次錐計画。変数=continuous、目的=linear、制約=conic。,supporting_or_primary,high,2026-07-13
EL000052,S028,problem_archetypes,PA020,row,二次錐計画。変数=continuous、目的=linear、制約=conic。,supporting_or_primary,high,2026-07-13
EL000053,S055,problem_archetypes,PA020,row,二次錐計画。変数=continuous、目的=linear、制約=conic。,supporting_or_primary,high,2026-07-13
EL000054,S015,problem_archetypes,PA021,row,半正定値計画。変数=psd_matrix、目的=linear、制約=semidefinite。,supporting_or_primary,high,2026-07-13
EL000055,S028,problem_archetypes,PA021,row,半正定値計画。変数=psd_matrix、目的=linear、制約=semidefinite。,supporting_or_primary,high,2026-07-13
EL000056,S055,problem_archetypes,PA021,row,半正定値計画。変数=psd_matrix、目的=linear、制約=semidefinite。,supporting_or_primary,high,2026-07-13
EL000057,S010,problem_archetypes,PA022,row,一般錐最適化。変数=continuous、目的=quadratic、制約=conic。,supporting_or_primary,high,2026-07-13
EL000058,S013,problem_archetypes,PA022,row,一般錐最適化。変数=continuous、目的=quadratic、制約=conic。,supporting_or_primary,high,2026-07-13
EL000059,S014,problem_archetypes,PA022,row,一般錐最適化。変数=continuous、目的=quadratic、制約=conic。,supporting_or_primary,high,2026-07-13
EL000060,S028,problem_archetypes,PA022,row,一般錐最適化。変数=continuous、目的=quadratic、制約=conic。,supporting_or_primary,high,2026-07-13
EL000061,S005,problem_archetypes,PA023,row,混合整数線形計画。変数=mixed、目的=linear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000062,S016,problem_archetypes,PA023,row,混合整数線形計画。変数=mixed、目的=linear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000063,S021,problem_archetypes,PA023,row,混合整数線形計画。変数=mixed、目的=linear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000064,S024,problem_archetypes,PA023,row,混合整数線形計画。変数=mixed、目的=linear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000065,S021,problem_archetypes,PA024,row,混合整数二次計画。変数=mixed、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000066,S024,problem_archetypes,PA024,row,混合整数二次計画。変数=mixed、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000067,S028,problem_archetypes,PA024,row,混合整数二次計画。変数=mixed、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000068,S021,problem_archetypes,PA025,row,混合整数非線形計画。変数=mixed、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000069,S029,problem_archetypes,PA025,row,混合整数非線形計画。変数=mixed、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000070,S022,problem_archetypes,PA026,row,制約programming型scheduling。変数=mixed、目的=discrete、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000071,S053,problem_archetypes,PA026,row,制約programming型scheduling。変数=mixed、目的=discrete、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000072,S022,problem_archetypes,PA027,row,SAT・MaxSAT。変数=binary、目的=discrete、制約=logical。,supporting_or_primary,high,2026-07-13
EL000073,S053,problem_archetypes,PA027,row,SAT・MaxSAT。変数=binary、目的=discrete、制約=logical。,supporting_or_primary,high,2026-07-13
EL000074,S054,problem_archetypes,PA028,row,network flow。変数=graph、目的=linear、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000075,S054,problem_archetypes,PA029,row,最短路。変数=graph、目的=linear、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000076,S054,problem_archetypes,PA030,row,割当・matching。変数=binary、目的=linear、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000077,S023,problem_archetypes,PA031,row,配送routing。変数=graph、目的=discrete、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000078,S024,problem_archetypes,PA031,row,配送routing。変数=graph、目的=discrete、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000079,S021,problem_archetypes,PA032,row,knapsack・set cover。変数=binary、目的=linear、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000080,S022,problem_archetypes,PA032,row,knapsack・set cover。変数=binary、目的=linear、制約=combinatorial。,supporting_or_primary,high,2026-07-13
EL000081,S003,problem_archetypes,PA033,row,非線形最小二乗。変数=continuous、目的=sum_of_squares、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000082,S041,problem_archetypes,PA033,row,非線形最小二乗。変数=continuous、目的=sum_of_squares、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000083,S003,problem_archetypes,PA034,row,外れ値を含むrobust regression。変数=continuous、目的=sum_of_squares、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000084,S041,problem_archetypes,PA034,row,外れ値を含むrobust regression。変数=continuous、目的=sum_of_squares、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000085,S055,problem_archetypes,PA035,row,L1・sparse regularization。変数=continuous、目的=composite、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000086,S066,problem_archetypes,PA035,row,L1・sparse regularization。変数=continuous、目的=composite、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000087,S067,problem_archetypes,PA035,row,L1・sparse regularization。変数=continuous、目的=composite、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000088,S055,problem_archetypes,PA036,row,単体上の最適化。変数=continuous、目的=general_nonlinear、制約=manifold。,supporting_or_primary,high,2026-07-13
EL000089,S066,problem_archetypes,PA036,row,単体上の最適化。変数=continuous、目的=general_nonlinear、制約=manifold。,supporting_or_primary,high,2026-07-13
EL000090,S041,problem_archetypes,PA037,row,SO(3)/SE(3)上の最適化。変数=manifold、目的=sum_of_squares、制約=manifold。,supporting_or_primary,high,2026-07-13
EL000091,S044,problem_archetypes,PA037,row,SO(3)/SE(3)上の最適化。変数=manifold、目的=sum_of_squares、制約=manifold。,supporting_or_primary,high,2026-07-13
EL000092,S071,problem_archetypes,PA037,row,SO(3)/SE(3)上の最適化。変数=manifold、目的=sum_of_squares、制約=manifold。,supporting_or_primary,high,2026-07-13
EL000093,S039,problem_archetypes,PA038,row,多目的連続最適化。変数=continuous、目的=multiobjective、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000094,S068,problem_archetypes,PA038,row,多目的連続最適化。変数=continuous、目的=multiobjective、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000095,S034,problem_archetypes,PA039,row,hyperparameter optimization。変数=mixed、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000096,S035,problem_archetypes,PA039,row,hyperparameter optimization。変数=mixed、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000097,S037,problem_archetypes,PA039,row,hyperparameter optimization。変数=mixed、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000098,S038,problem_archetypes,PA039,row,hyperparameter optimization。変数=mixed、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000099,S047,problem_archetypes,PA040,row,neural network学習。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000100,S048,problem_archetypes,PA040,row,neural network学習。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000101,S049,problem_archetypes,PA040,row,neural network学習。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000102,S070,problem_archetypes,PA040,row,neural network学習。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000103,S047,problem_archetypes,PA041,row,大規模確率的ERM。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000104,S048,problem_archetypes,PA041,row,大規模確率的ERM。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000105,S049,problem_archetypes,PA041,row,大規模確率的ERM。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000106,S042,problem_archetypes,PA042,row,最適制御。変数=trajectory、目的=general_nonlinear、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000107,S043,problem_archetypes,PA042,row,最適制御。変数=trajectory、目的=general_nonlinear、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000108,S076,problem_archetypes,PA042,row,最適制御。変数=trajectory、目的=general_nonlinear、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000109,S012,problem_archetypes,PA043,row,model predictive control。変数=trajectory、目的=quadratic、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000110,S043,problem_archetypes,PA043,row,model predictive control。変数=trajectory、目的=quadratic、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000111,S076,problem_archetypes,PA043,row,model predictive control。変数=trajectory、目的=quadratic、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000112,S042,problem_archetypes,PA044,row,軌道最適化。変数=trajectory、目的=general_nonlinear、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000113,S043,problem_archetypes,PA044,row,軌道最適化。変数=trajectory、目的=general_nonlinear、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000114,S050,problem_archetypes,PA044,row,軌道最適化。変数=trajectory、目的=general_nonlinear、制約=dynamics。,supporting_or_primary,high,2026-07-13
EL000115,S017,problem_archetypes,PA045,row,PDE制約付き最適化。変数=continuous、目的=general_nonlinear、制約=implicit。,supporting_or_primary,high,2026-07-13
EL000116,S019,problem_archetypes,PA045,row,PDE制約付き最適化。変数=continuous、目的=general_nonlinear、制約=implicit。,supporting_or_primary,high,2026-07-13
EL000117,S056,problem_archetypes,PA045,row,PDE制約付き最適化。変数=continuous、目的=general_nonlinear、制約=implicit。,supporting_or_primary,high,2026-07-13
EL000118,S054,problem_archetypes,PA046,row,bilevel optimization。変数=mixed、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000119,S054,problem_archetypes,PA047,row,game・equilibrium・VI。変数=continuous、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000120,S055,problem_archetypes,PA047,row,game・equilibrium・VI。変数=continuous、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000121,S054,problem_archetypes,PA048,row,相補性問題。変数=continuous、目的=general_nonlinear、制約=nonlinear。,supporting_or_primary,high,2026-07-13
EL000122,S056,problem_archetypes,PA048,row,相補性問題。変数=continuous、目的=general_nonlinear、制約=nonlinear。,supporting_or_primary,high,2026-07-13
EL000123,S054,problem_archetypes,PA049,row,確率計画。変数=mixed、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000124,S061,problem_archetypes,PA049,row,確率計画。変数=mixed、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000125,S055,problem_archetypes,PA050,row,robust optimization。変数=mixed、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000126,S061,problem_archetypes,PA051,row,分散・合意最適化。変数=continuous、目的=composite、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000127,S054,problem_archetypes,PA052,row,online optimization。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000128,S012,problem_archetypes,PA053,row,反復parametric optimization。変数=continuous、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000129,S016,problem_archetypes,PA053,row,反復parametric optimization。変数=continuous、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000130,S043,problem_archetypes,PA053,row,反復parametric optimization。変数=continuous、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000131,S035,problem_archetypes,PA054,row,実験計画。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000132,S055,problem_archetypes,PA054,row,実験計画。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000133,S059,problem_archetypes,PA054,row,実験計画。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000134,S003,problem_archetypes,PA055,row,逆問題。変数=continuous、目的=sum_of_squares、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000135,S041,problem_archetypes,PA055,row,逆問題。変数=continuous、目的=sum_of_squares、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000136,S056,problem_archetypes,PA055,row,逆問題。変数=continuous、目的=sum_of_squares、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000137,S003,problem_archetypes,PA056,row,外れ値を含むparameter estimation。変数=continuous、目的=sum_of_squares、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000138,S041,problem_archetypes,PA056,row,外れ値を含むparameter estimation。変数=continuous、目的=sum_of_squares、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000139,S054,problem_features,F_VARIABLE_DOMAIN,row,変数領域,supporting_or_primary,high,2026-07-13
EL000140,S056,problem_features,F_VARIABLE_DOMAIN,row,変数領域,supporting_or_primary,high,2026-07-13
EL000141,S054,problem_features,F_OBJECTIVE_FORM,row,目的関数形式,supporting_or_primary,high,2026-07-13
EL000142,S056,problem_features,F_OBJECTIVE_FORM,row,目的関数形式,supporting_or_primary,high,2026-07-13
EL000143,S054,problem_features,F_CONVEXITY,row,凸性,supporting_or_primary,high,2026-07-13
EL000144,S056,problem_features,F_CONVEXITY,row,凸性,supporting_or_primary,high,2026-07-13
EL000145,S054,problem_features,F_SMOOTHNESS,row,滑らかさ,supporting_or_primary,high,2026-07-13
EL000146,S056,problem_features,F_SMOOTHNESS,row,滑らかさ,supporting_or_primary,high,2026-07-13
EL000147,S054,problem_features,F_DERIVATIVE_ACCESS,row,微分情報,supporting_or_primary,high,2026-07-13
EL000148,S056,problem_features,F_DERIVATIVE_ACCESS,row,微分情報,supporting_or_primary,high,2026-07-13
EL000149,S054,problem_features,F_CONSTRAINT_CLASS,row,制約クラス,supporting_or_primary,high,2026-07-13
EL000150,S056,problem_features,F_CONSTRAINT_CLASS,row,制約クラス,supporting_or_primary,high,2026-07-13
EL000151,S054,problem_features,F_DIMENSION_CONTEXT,row,次元文脈,supporting_or_primary,high,2026-07-13
EL000152,S056,problem_features,F_DIMENSION_CONTEXT,row,次元文脈,supporting_or_primary,high,2026-07-13
EL000153,S054,problem_features,F_EVALUATION_COST,row,評価費,supporting_or_primary,high,2026-07-13
EL000154,S056,problem_features,F_EVALUATION_COST,row,評価費,supporting_or_primary,high,2026-07-13
EL000155,S054,problem_features,F_NOISE_LEVEL,row,ノイズ,supporting_or_primary,high,2026-07-13
EL000156,S056,problem_features,F_NOISE_LEVEL,row,ノイズ,supporting_or_primary,high,2026-07-13
EL000157,S054,problem_features,F_SOLUTION_GOAL,row,解要求,supporting_or_primary,high,2026-07-13
EL000158,S056,problem_features,F_SOLUTION_GOAL,row,解要求,supporting_or_primary,high,2026-07-13
EL000159,S054,problem_features,F_SCALE_STRUCTURE,row,規模・構造,supporting_or_primary,high,2026-07-13
EL000160,S056,problem_features,F_SCALE_STRUCTURE,row,規模・構造,supporting_or_primary,high,2026-07-13
EL000161,S054,problem_features,F_EVALUATION_RELIABILITY,row,評価信頼性,supporting_or_primary,high,2026-07-13
EL000162,S056,problem_features,F_EVALUATION_RELIABILITY,row,評価信頼性,supporting_or_primary,high,2026-07-13
EL000163,S054,problem_features,F_REPEATED_SOLVE,row,反復求解,supporting_or_primary,high,2026-07-13
EL000164,S056,problem_features,F_REPEATED_SOLVE,row,反復求解,supporting_or_primary,high,2026-07-13
EL000165,S054,problem_features,F_PARALLEL_BUDGET,row,並列予算,supporting_or_primary,high,2026-07-13
EL000166,S056,problem_features,F_PARALLEL_BUDGET,row,並列予算,supporting_or_primary,high,2026-07-13
EL000167,S054,problem_features,F_VARIABLE_CONTINUOUS,row,continuous,supporting_or_primary,high,2026-07-13
EL000168,S055,problem_features,F_VARIABLE_CONTINUOUS,row,continuous,supporting_or_primary,high,2026-07-13
EL000169,S056,problem_features,F_VARIABLE_CONTINUOUS,row,continuous,supporting_or_primary,high,2026-07-13
EL000170,S054,problem_features,F_VARIABLE_INTEGER,row,integer,supporting_or_primary,high,2026-07-13
EL000171,S055,problem_features,F_VARIABLE_INTEGER,row,integer,supporting_or_primary,high,2026-07-13
EL000172,S056,problem_features,F_VARIABLE_INTEGER,row,integer,supporting_or_primary,high,2026-07-13
EL000173,S054,problem_features,F_VARIABLE_BINARY,row,binary,supporting_or_primary,high,2026-07-13
EL000174,S055,problem_features,F_VARIABLE_BINARY,row,binary,supporting_or_primary,high,2026-07-13
EL000175,S056,problem_features,F_VARIABLE_BINARY,row,binary,supporting_or_primary,high,2026-07-13
EL000176,S054,problem_features,F_VARIABLE_CATEGORICAL,row,categorical,supporting_or_primary,high,2026-07-13
EL000177,S055,problem_features,F_VARIABLE_CATEGORICAL,row,categorical,supporting_or_primary,high,2026-07-13
EL000178,S056,problem_features,F_VARIABLE_CATEGORICAL,row,categorical,supporting_or_primary,high,2026-07-13
EL000179,S054,problem_features,F_VARIABLE_ORDINAL,row,ordinal,supporting_or_primary,high,2026-07-13
EL000180,S055,problem_features,F_VARIABLE_ORDINAL,row,ordinal,supporting_or_primary,high,2026-07-13
EL000181,S056,problem_features,F_VARIABLE_ORDINAL,row,ordinal,supporting_or_primary,high,2026-07-13
EL000182,S054,problem_features,F_VARIABLE_MIXED,row,mixed,supporting_or_primary,high,2026-07-13
EL000183,S055,problem_features,F_VARIABLE_MIXED,row,mixed,supporting_or_primary,high,2026-07-13
EL000184,S056,problem_features,F_VARIABLE_MIXED,row,mixed,supporting_or_primary,high,2026-07-13
EL000185,S054,problem_features,F_VARIABLE_COMPLEX,row,complex,supporting_or_primary,high,2026-07-13
EL000186,S055,problem_features,F_VARIABLE_COMPLEX,row,complex,supporting_or_primary,high,2026-07-13
EL000187,S056,problem_features,F_VARIABLE_COMPLEX,row,complex,supporting_or_primary,high,2026-07-13
EL000188,S054,problem_features,F_VARIABLE_MATRIX,row,matrix,supporting_or_primary,high,2026-07-13
EL000189,S055,problem_features,F_VARIABLE_MATRIX,row,matrix,supporting_or_primary,high,2026-07-13
EL000190,S056,problem_features,F_VARIABLE_MATRIX,row,matrix,supporting_or_primary,high,2026-07-13
EL000191,S054,problem_features,F_VARIABLE_PSD_MATRIX,row,psd matrix,supporting_or_primary,high,2026-07-13
EL000192,S055,problem_features,F_VARIABLE_PSD_MATRIX,row,psd matrix,supporting_or_primary,high,2026-07-13
EL000193,S056,problem_features,F_VARIABLE_PSD_MATRIX,row,psd matrix,supporting_or_primary,high,2026-07-13
EL000194,S054,problem_features,F_VARIABLE_PROBABILITY_DISTRIBUTION,row,probability distribution,supporting_or_primary,high,2026-07-13
EL000195,S055,problem_features,F_VARIABLE_PROBABILITY_DISTRIBUTION,row,probability distribution,supporting_or_primary,high,2026-07-13
EL000196,S056,problem_features,F_VARIABLE_PROBABILITY_DISTRIBUTION,row,probability distribution,supporting_or_primary,high,2026-07-13
EL000197,S054,problem_features,F_VARIABLE_FUNCTION,row,function,supporting_or_primary,high,2026-07-13
EL000198,S055,problem_features,F_VARIABLE_FUNCTION,row,function,supporting_or_primary,high,2026-07-13
EL000199,S056,problem_features,F_VARIABLE_FUNCTION,row,function,supporting_or_primary,high,2026-07-13
EL000200,S054,problem_features,F_VARIABLE_TRAJECTORY,row,trajectory,supporting_or_primary,high,2026-07-13
EL000201,S055,problem_features,F_VARIABLE_TRAJECTORY,row,trajectory,supporting_or_primary,high,2026-07-13
EL000202,S056,problem_features,F_VARIABLE_TRAJECTORY,row,trajectory,supporting_or_primary,high,2026-07-13
EL000203,S054,problem_features,F_VARIABLE_GRAPH,row,graph,supporting_or_primary,high,2026-07-13
EL000204,S055,problem_features,F_VARIABLE_GRAPH,row,graph,supporting_or_primary,high,2026-07-13
EL000205,S056,problem_features,F_VARIABLE_GRAPH,row,graph,supporting_or_primary,high,2026-07-13
EL000206,S054,problem_features,F_VARIABLE_PERMUTATION,row,permutation,supporting_or_primary,high,2026-07-13
EL000207,S055,problem_features,F_VARIABLE_PERMUTATION,row,permutation,supporting_or_primary,high,2026-07-13
EL000208,S056,problem_features,F_VARIABLE_PERMUTATION,row,permutation,supporting_or_primary,high,2026-07-13
