method_id,name_ja,name_en,aliases,method_family_id,method_level,summary,problem_classes,required_assumptions,derivative_information,variable_types,constraint_support,convex_fit,nonconvex_applicability,solution_scope,determinism,exactness,theoretical_guarantee,optimality_certificate,scalability,memory_tendency,per_iteration_cost,evaluation_pattern,parallelism,initialization_sensitivity,hyperparameter_sensitivity,scaling_sensitivity,noise_robustness,discontinuity_robustness,constraint_violation_handling,warm_start,online_use,strengths,weaknesses,typical_failures,avoid_conditions,first_choice_conditions,second_choice_conditions,switch_signals,beginner_level,tuning_difficulty,implementation_difficulty,explainability,stopping_criteria,diagnostic_metrics,related_method_ids,parent_method_id,child_method_ids,reference_source_ids,confidence,last_verified
MF_CONSTRAINT_PROGRAMMING,制約programming・SAT,Constraint programming and SAT,,MF_CONSTRAINT_PROGRAMMING,family,domain propagation、learning、searchを用いて論理・組合せ制約の可行性と最適化を扱う手法群。,scheduling;logical;SAT;finite_domain,有限domainと強い制約表現。整数化・時間離散化の意味が妥当。,none,binary;integer;finite_domain,logical;global_constraints;linear_integer,not_applicable,native_discrete,global_certificate,implementation_dependent,exact_with_tolerance,有限探索完了時にSAT/UNSATまたは最適性証明。,bound_or_unsat_proof_implementation_dependent,highly_instance_dependent,medium_to_high,propagation + conflict analysis + branching。,node/conflict count。,implementation_dependent,low,medium,integer_coefficient_scaling,not_applicable,native_discrete,only_feasible_assignments_or_propagated_partial_assignments,implementation_dependent,conditional,論理・scheduling global constraints;可行性探索;証明,弱いpropagationで爆発;実数・滑らか構造の利用は弱い,weak_propagation;symmetry;large_domains;integer_scaling,本質的に連続滑らか;実数精度を整数scaleで表せない,論理・resource・scheduling制約が中心。,MILP定式化の緩和が弱い。,conflict/node増大;domainが縮まらない;整数scaleが過大。,medium,medium,medium,high,optimality_gap;time;conflicts;solutions,conflicts;branches;propagations;best_bound;feasible_solutions,,,M_CP_SEARCH;M_CP_SAT;M_CDCL_SAT,S022;S053,high,2026-07-13
MF_GRAPH_DP,graph専用法・動的計画法,Graph algorithms and dynamic programming,,MF_GRAPH_DP,family,最短路、flow、matching、段階構造などの特殊構造を利用する専用アルゴリズム群。,graph;network;sequential_decision;small_state_space,最適部分構造、network構造、または対応するgraph表現。,none,graph;discrete;state_action,structure_specific,not_applicable_or_integral_polytope,structure_specific,global_certificate,deterministic,exact_with_tolerance,対応構造では多項式時間または擬多項式時間の厳密解。,algorithm_specific,very_high_when_structure_matches,low_to_high_state_space,edge/vertex/state transitions。,black-box評価ではなく構造を走査。,method_specific,low,low,low_to_medium,not_applicable,native_discrete,structure_specific,conditional,yes_by_dynamic_variant,汎用最適化より速く強い保証;解釈しやすい,構造が崩れると適用不能;state explosion,state_explosion;negative_cycle_or_invalid_assumption;structure_mismatch,追加制約が専用構造を破壊;状態次元が巨大,既知のflow/path/matching/DP構造。,MILP化前に専用法を確認。,状態数爆発;side constraintsが多数;memory超過。,low_to_medium,low,medium,high,algorithm_completion;budget_for_approximate_variants,states;edges;labels;memory;optimality_condition,,,M_DYNAMIC_PROGRAMMING;M_NETWORK_SIMPLEX;M_HUNGARIAN;M_DIJKSTRA_ASTAR;M_LOCAL_SEARCH_COMBINATORIAL,S054,high,2026-07-13
MF_MULTI_OBJECTIVE,多目的最適化,Multi-objective optimization,,MF_MULTI_OBJECTIVE,family,複数目的のtrade-offをscalarizationまたはpopulationで探索し、Pareto解集合を近似・生成する手法群。,multiobjective;Pareto,目的の方向・scale・意思決定者の選好または十分な評価予算。,method_dependent,continuous;integer;mixed_by_backend,backend_or_evolutionary_handling,scalarization_strong_in_convex_case,yes,pareto,hybrid,approximation,scalarizationは条件下でPareto解。population法は有限予算で近似集合。,Pareto_stationarity_or_gap_method_specific,low_to_medium_objective_count,medium_to_high_archive,複数解またはscalarized solves。,単目的より多くの評価。,high_for_population_or_weights,medium,high,very_high,medium,method_dependent,backend_or_feasibility_ranking,yes,conditional,trade-off可視化;複数選択肢,目的scale/metric依存;高目的数で可視化・探索困難,poor_coverage;objective_scaling;wrong_preference;archive_explosion,実際には単一utilityが明確;評価予算が極小,複数目的のtrade-off自体が成果物。,選好を明示できるならscalarization。,Pareto coverage不足;解が極端;意思決定不能。,medium,high,medium,medium,evaluation_budget;hypervolume_stall;coverage;backend_gap,hypervolume;spacing;epsilon_indicator;feasible_fraction,,,M_WEIGHTED_SUM;M_EPSILON_CONSTRAINT;M_NSGA_II;M_NSGA_III;M_MOEA_D,S039;S068,high,2026-07-13
MF_STOCHASTIC_ML,確率勾配・機械学習最適化,Stochastic-gradient and ML optimization,,MF_STOCHASTIC_ML,family,mini-batch勾配とmomentum・adaptive momentsを用いて大規模学習目的を逐次更新する手法群。,machine_learning;stochastic_ERM;neural_network,unbiasedまたは有用なstochastic gradient、学習率schedule、batch sampling。,stochastic_gradient;automatic_differentiation,continuous_high_dimensional,usually_unconstrained;simple_projection,strong_theory,yes_stationary_training,local,stochastic,local_numerical,凸/非凸でgradient normやregret等の保証。実装・schedule依存。,training_gradient_or_loss_not_global_certificate,very_high_GPU_distributed,low_SGD_to_high_adaptive_states,one mini-batch forward/backward。,非常に多数の安価なstochastic steps。,high_GPU_data_model_parallel,high_nonconvex,high,medium_to_high,designed_for_stochastic_noise,low,projection_or_penalty,yes,yes,巨大次元・data;GPU;online,学習率・batch・regularization依存;真の最適性診断が弱い,divergence;plateau;overfitting;bad_learning_rate;saddle,小規模高精度凸問題;厳密gap必須;勾配が不正,大規模data/NNでmini-batch ADが利用可能。,full-batch L-BFGS等がmemory/計算で重い。,validation悪化;gradient explosion;loss停滞;seed variance大。,medium,high,low_with_framework,medium,validation_metric;gradient_norm_estimate;epoch_budget;early_stopping,train_loss;validation_loss;gradient_norm;learning_rate;seed_variance,,,M_SGD;M_MOMENTUM_SGD;M_ADAM;M_ADAMW,S047;S048;S049;S070,high,2026-07-13
MF_OPTIMAL_CONTROL,最適制御・軌道最適化,Optimal control and trajectory optimization,,MF_OPTIMAL_CONTROL,family,動力学制約をshooting、collocation、Riccati型再帰等で離散化・解法に組み込む手法群。,optimal_control;MPC;trajectory;dynamics,動力学model・離散化・境界条件が妥当。導関数または線形化が利用可能。,jacobian;automatic_differentiation;linearization,trajectory;control;state,dynamics;path;bounds;boundary,strong_for_linear_quadratic,yes_local_only,local,deterministic,local_numerical,離散化問題のKKT解。連続問題との誤差は離散化とregularityに依存。,KKT_residual;dynamics_defect;costate_residual,high_with_sparse_banded_structure,medium_to_high,simulation/sensitivity + sparse NLP or Riccati recursion。,trajectory rolloutとderivative。,time_or_scenario_parallel_by_method,high_nonconvex,high,very_high,low_model_based,low,defects;multiple_shooting;barrier,yes_critical_for_MPC,yes_by_realtime_variant,動力学構造;疎性;MPC warm start,model/discretization error;initial trajectory;path constraints,trajectory_defect;unstable_rollout;bad_linearization;mesh_too_coarse,動力学が未同定;不連続eventを無処理;高いmodel mismatch,動力学制約が本質でtrajectoryを最適化。,汎用NLPにflat化すると疎性が失われる。,defect停滞;rollout発散;mesh refinementで解が変化。,expert,expert,expert,high,KKT_residual;dynamics_defect;cost_change;realtime_deadline,defect_norm;constraint_violation;KKT;mesh_error;rollout_stability,,,M_DIRECT_SHOOTING;M_MULTIPLE_SHOOTING;M_DIRECT_COLLOCATION;M_ILQR_DDP,S042;S043;S050;S076,high,2026-07-13
MF_MANIFOLD,Riemann多様体最適化,Riemannian manifold optimization,,MF_MANIFOLD,family,球面、Stiefel、Grassmann、SO(3)等の幾何をretraction・Riemann勾配として利用する手法群。,manifold;matrix_factorization;rotations,変数の多様体構造、接空間射影、retraction、Riemann metricが定義可能。,Riemannian_gradient;Hessian_or_HVP_optional,manifold;matrix;Lie_group,manifold_intrinsic;additional_constraints_limited,geodesic_convex_by_problem,yes_local_only,local,deterministic,local_numerical,標準仮定下でRiemannian stationary pointへの収束。,Riemannian_gradient_norm,medium_to_high_by_structure,medium,接空間演算、retraction、線形代数。,目的・Riemann gradient・必要に応じHessian。,linear_algebra_parallelism,high_nonconvex,medium,medium_to_high,low,low,intrinsic_feasibility_by_retraction,yes,conditional,制約をintrinsicに維持;座標冗長性を減らす,幾何実装;chart singularity;追加制約,wrong_gradient_projection;retraction_error;coordinate_singularity;poor_initialization,多様体構造が不要;不連続;離散変数,SO(3)、球面、Stiefel等が本質で常時可行性が必要。,Euclidean parameterizationでsingularityや制約違反。,Riemann gradient検査不一致;retraction後誤差;chart依存。,expert,high,expert,high,Riemannian_gradient_norm;step_norm;cost_change;budget,Riemannian_gradient_norm;retraction_error;orthogonality_error,,,M_RIEMANNIAN_GRADIENT;M_RIEMANNIAN_TRUST_REGION,S044;S045;S071,high,2026-07-13
M_GRADIENT_DESCENT,最急降下法,Gradient descent,steepest descent,MF_SMOOTH_LOCAL,variant,勾配の負方向へstepを進める最も基本的な一階法。,連続;滑らか;局所最適化,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,gradient;optional_hessian_or_hvp,continuous,unconstrained;bounds_by_variant,strong,yes_local_only,local,deterministic,local_numerical,仮定下で停留点への収束。凸なら大域解、強凸なら一意解に関する保証を持つ変種がある。,first_order_residual;second_order_optional,medium_to_very_high_by_variant,low_to_high_by_curvature_model,勾配と線形代数。Hessian利用時は高い。,1回以上の目的・勾配評価。線探索で追加評価。,limited_with_linear_algebra_parallelism,medium_nonconvex,low_to_medium,high,low,low,family_dependent,yes,conditional,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,line_search_failure;bad_gradient;ill_conditioning;saddle_point,不連続;評価ノイズが勾配を支配;離散変数,滑らかで信頼できる勾配があり、局所解でよい。,数値微分が安価か、自動微分を追加できる。,勾配検査不一致;反復停滞;線探索失敗;初期値で解が大きく変わる。,medium,medium,medium,high,gradient_norm;step_norm;objective_change;budget,gradient_norm;line_search_steps;condition_estimate;function_evaluations,,MF_SMOOTH_LOCAL,,S002;S056;S057,high,2026-07-13
M_NLCG,非線形共役勾配法,Nonlinear conjugate gradient,NLCG,MF_SMOOTH_LOCAL,variant,過去の方向を共役化し、低memoryで滑らかな無制約問題を解く。,連続;滑らか;局所最適化,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,gradient;optional_hessian_or_hvp,continuous,unconstrained;bounds_by_variant,strong,yes_local_only,local,deterministic,local_numerical,仮定下で停留点への収束。凸なら大域解、強凸なら一意解に関する保証を持つ変種がある。,first_order_residual;second_order_optional,very_high,low,勾配と線形代数。Hessian利用時は高い。,1回以上の目的・勾配評価。線探索で追加評価。,limited_with_linear_algebra_parallelism,medium_nonconvex,low_to_medium,high,low,low,family_dependent,yes,conditional,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,line_search_failure;bad_gradient;ill_conditioning;saddle_point,不連続;評価ノイズが勾配を支配;離散変数,滑らかで信頼できる勾配があり、局所解でよい。,数値微分が安価か、自動微分を追加できる。,勾配検査不一致;反復停滞;線探索失敗;初期値で解が大きく変わる。,medium,medium,medium,high,gradient_norm;step_norm;objective_change;budget,gradient_norm;line_search_steps;condition_estimate;function_evaluations,,MF_SMOOTH_LOCAL,,S002;S056;S057,high,2026-07-13
M_NEWTON,Newton法,Newton's method,Newton,MF_SMOOTH_LOCAL,variant,Hessianを用いる二階局所法。良い近傍では高速。,連続;滑らか;局所最適化,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,gradient;hessian,continuous,unconstrained;bounds_by_variant,strong,yes_local_only,local,deterministic,local_numerical,仮定下で停留点への収束。凸なら大域解、強凸なら一意解に関する保証を持つ変種がある。,first_order_residual;second_order_optional,low_to_medium,low_to_high_by_curvature_model,Hessian構築と線形系解法。,1回以上の目的・勾配評価。線探索で追加評価。,limited_with_linear_algebra_parallelism,high,low_to_medium,high,low,low,family_dependent,yes,conditional,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,line_search_failure;bad_gradient;ill_conditioning;saddle_point,不連続;評価ノイズが勾配を支配;離散変数,滑らかで信頼できる勾配があり、局所解でよい。,数値微分が安価か、自動微分を追加できる。,勾配検査不一致;反復停滞;線探索失敗;初期値で解が大きく変わる。,medium,medium,medium,high,gradient_norm;step_norm;objective_change;budget,gradient_norm;line_search_steps;condition_estimate;function_evaluations,,MF_SMOOTH_LOCAL,,S002;S056;S057,high,2026-07-13
M_NEWTON_CG,Newton-CG法,Newton conjugate-gradient,truncated Newton;Newton-CG,MF_SMOOTH_LOCAL,variant,Hessian-vector積とCGでNewton方向を近似し大規模化する。,連続;滑らか;局所最適化,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,gradient;hvp,continuous,unconstrained;bounds_by_variant,strong,yes_local_only,local,deterministic,local_numerical,仮定下で停留点への収束。凸なら大域解、強凸なら一意解に関する保証を持つ変種がある。,first_order_residual;second_order_optional,high,low_to_medium,勾配と線形代数。Hessian利用時は高い。,1回以上の目的・勾配評価。線探索で追加評価。,limited_with_linear_algebra_parallelism,medium_nonconvex,low_to_medium,high,low,low,family_dependent,yes,conditional,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,line_search_failure;bad_gradient;ill_conditioning;saddle_point,不連続;評価ノイズが勾配を支配;離散変数,滑らかで信頼できる勾配があり、局所解でよい。,数値微分が安価か、自動微分を追加できる。,勾配検査不一致;反復停滞;線探索失敗;初期値で解が大きく変わる。,medium,medium,medium,high,gradient_norm;step_norm;objective_change;budget,gradient_norm;line_search_steps;condition_estimate;function_evaluations,,MF_SMOOTH_LOCAL,,S002;S056;S057,high,2026-07-13
M_BFGS,BFGS法,BFGS,quasi-Newton,MF_SMOOTH_LOCAL,variant,gradient差からdense逆Hessian近似を更新する準Newton法。,連続;滑らか;局所最適化,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,gradient;optional_hessian_or_hvp,continuous,unconstrained;bounds_by_variant,strong,yes_local_only,local,deterministic,local_numerical,仮定下で停留点への収束。凸なら大域解、強凸なら一意解に関する保証を持つ変種がある。,first_order_residual;second_order_optional,low_to_medium,high_O(n2),勾配と線形代数。Hessian利用時は高い。,1回以上の目的・勾配評価。線探索で追加評価。,limited_with_linear_algebra_parallelism,medium_nonconvex,low_to_medium,high,low,low,family_dependent,yes,conditional,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,line_search_failure;bad_gradient;ill_conditioning;saddle_point,不連続;評価ノイズが勾配を支配;離散変数,滑らかな中小規模無制約問題で勾配が信頼できる。,数値微分が安価か、自動微分を追加できる。,勾配検査不一致;反復停滞;線探索失敗;初期値で解が大きく変わる。,low,medium,medium,high,gradient_norm;step_norm;objective_change;budget,gradient_norm;line_search_steps;condition_estimate;function_evaluations,,MF_SMOOTH_LOCAL,,S002;S056;S057,high,2026-07-13
M_LBFGS,L-BFGS法,Limited-memory BFGS,L-BFGS,MF_SMOOTH_LOCAL,variant,少数の更新vectorだけを保持する大規模向け準Newton法。,連続;滑らか;局所最適化,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,gradient;optional_hessian_or_hvp,continuous,unconstrained;bounds_by_variant,strong,yes_local_only,local,deterministic,local_numerical,仮定下で停留点への収束。凸なら大域解、強凸なら一意解に関する保証を持つ変種がある。,first_order_residual;second_order_optional,very_high,low_O(mn),勾配と線形代数。Hessian利用時は高い。,1回以上の目的・勾配評価。線探索で追加評価。,limited_with_linear_algebra_parallelism,medium_nonconvex,low_to_medium,high,low,low,family_dependent,yes,conditional,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,line_search_failure;bad_gradient;ill_conditioning;saddle_point,不連続;評価ノイズが勾配を支配;離散変数,滑らかで信頼できる勾配があり、局所解でよい。,数値微分が安価か、自動微分を追加できる。,勾配検査不一致;反復停滞;線探索失敗;初期値で解が大きく変わる。,low,medium,medium,high,gradient_norm;step_norm;objective_change;budget,gradient_norm;line_search_steps;condition_estimate;function_evaluations,,MF_SMOOTH_LOCAL,,S002;S056;S057;S065,high,2026-07-13
M_LBFGSB,L-BFGS-B法,L-BFGS-B,limited-memory bound-constrained BFGS,MF_SMOOTH_LOCAL,variant,L-BFGSを上下限制約へ拡張。,連続;滑らか;局所最適化,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,gradient;optional_hessian_or_hvp,continuous,bounds,strong,yes_local_only,local,deterministic,local_numerical,仮定下で停留点への収束。凸なら大域解、強凸なら一意解に関する保証を持つ変種がある。,first_order_residual;second_order_optional,very_high,low_O(mn),勾配と線形代数。Hessian利用時は高い。,1回以上の目的・勾配評価。線探索で追加評価。,limited_with_linear_algebra_parallelism,medium_nonconvex,low_to_medium,high,low,low,family_dependent,yes,conditional,滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,line_search_failure;bad_gradient;ill_conditioning;saddle_point,不連続;評価ノイズが勾配を支配;離散変数,高次元・滑らか・上下限制約・信頼できる勾配。,数値微分が安価か、自動微分を追加できる。,勾配検査不一致;反復停滞;線探索失敗;初期値で解が大きく変わる。,low,medium,medium,high,gradient_norm;step_norm;objective_change;budget,gradient_norm;line_search_steps;condition_estimate;function_evaluations,,MF_SMOOTH_LOCAL,,S002;S056;S057;S065,high,2026-07-13
M_TRUST_NCG,trust-ncg,Trust-region Newton-CG,trust-ncg,MF_TRUST_REGION,variant,Newton-CGでtrust-region部分問題を解く。,連続;滑らか;局所最適化;最小二乗,局所モデルと微分情報が利用可能。,gradient;hessian_or_hvp,continuous,unconstrained;bounds_or_general_by_variant,strong,yes_local_only,local,deterministic,local_numerical,標準仮定下で一階/二階停留点への大域的収束理論を持つ変種がある。,first_order_residual;model_agreement,medium_to_very_high_by_subproblem_solver,medium,モデル構築と信頼領域部分問題。HVP/Krylovで大規模化可能。,通常1試行点ごとに目的評価;拒否時は追加。,linear_algebra_parallelism,medium,medium,high,low_to_medium,low,variant_dependent,yes,conditional,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,trust_radius_collapse;bad_model;ill_conditioning,不連続;強いノイズ;微分不能,HVP/Jacobianが得られ、Newton系を安定に使いたい。,線探索が不安定または曲率が重要。,半径が縮小し続ける;モデル改善比が悪い;部分問題が支配的。,medium,medium,high,high,gradient_norm;trust_radius;model_reduction;budget,actual_predicted_ratio;trust_radius;cg_iterations;rejected_steps,,MF_TRUST_REGION,,S002;S003;S056,high,2026-07-13
M_TRUST_KRYLOV,trust-krylov,Trust-region Krylov,trust-krylov,MF_TRUST_REGION,variant,Krylov部分空間でtrust-region部分問題を近似する大規模法。,連続;滑らか;局所最適化;最小二乗,局所モデルと微分情報が利用可能。,gradient;hvp,continuous,unconstrained;bounds_or_general_by_variant,strong,yes_local_only,local,deterministic,local_numerical,標準仮定下で一階/二階停留点への大域的収束理論を持つ変種がある。,first_order_residual;model_agreement,very_high,medium,モデル構築と信頼領域部分問題。HVP/Krylovで大規模化可能。,通常1試行点ごとに目的評価;拒否時は追加。,linear_algebra_parallelism,medium,medium,high,low_to_medium,low,variant_dependent,yes,conditional,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,trust_radius_collapse;bad_model;ill_conditioning,不連続;強いノイズ;微分不能,HVP/Jacobianが得られ、Newton系を安定に使いたい。,線探索が不安定または曲率が重要。,半径が縮小し続ける;モデル改善比が悪い;部分問題が支配的。,medium,medium,high,high,gradient_norm;trust_radius;model_reduction;budget,actual_predicted_ratio;trust_radius;cg_iterations;rejected_steps,,MF_TRUST_REGION,,S002;S003;S056,high,2026-07-13
M_TRUST_EXACT,厳密trust-region Newton法,Nearly exact trust-region,trust-exact,MF_TRUST_REGION,variant,dense Hessianを用いて部分問題を高精度に解く。,連続;滑らか;局所最適化;最小二乗,局所モデルと微分情報が利用可能。,gradient;hessian,continuous,unconstrained;bounds_or_general_by_variant,strong,yes_local_only,local,deterministic,local_numerical,標準仮定下で一階/二階停留点への大域的収束理論を持つ変種がある。,first_order_residual;model_agreement,low_to_medium,high,モデル構築と信頼領域部分問題。HVP/Krylovで大規模化可能。,通常1試行点ごとに目的評価;拒否時は追加。,linear_algebra_parallelism,medium,medium,high,low_to_medium,low,variant_dependent,yes,conditional,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,trust_radius_collapse;bad_model;ill_conditioning,不連続;強いノイズ;微分不能,HVP/Jacobianが得られ、Newton系を安定に使いたい。,線探索が不安定または曲率が重要。,半径が縮小し続ける;モデル改善比が悪い;部分問題が支配的。,medium,medium,high,high,gradient_norm;trust_radius;model_reduction;budget,actual_predicted_ratio;trust_radius;cg_iterations;rejected_steps,,MF_TRUST_REGION,,S002;S003;S056,high,2026-07-13
M_GAUSS_NEWTON,Gauss–Newton法,Gauss-Newton,GN,MF_TRUST_REGION,variant,残差JacobianからJᵀJを用いる非線形最小二乗専用法。,nonlinear_least_squares,局所モデルと微分情報が利用可能。,residual;jacobian,continuous,unconstrained;bounds_or_general_by_variant,strong,yes_local_only,local,deterministic,local_numerical,残差が小さくJacobianが適切なら局所的に高速。非凸では局所解。,first_order_residual;model_agreement,medium_to_very_high_by_subproblem_solver,medium,モデル構築と信頼領域部分問題。HVP/Krylovで大規模化可能。,通常1試行点ごとに目的評価;拒否時は追加。,linear_algebra_parallelism,medium,medium,high,low_to_medium,low,variant_dependent,yes,conditional,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,trust_radius_collapse;bad_model;ill_conditioning,不連続;強いノイズ;微分不能,非線形二乗和でJacobianが得られる。,線探索が不安定または曲率が重要。,半径が縮小し続ける;モデル改善比が悪い;部分問題が支配的。,medium,medium,high,high,gradient_norm;trust_radius;model_reduction;budget,actual_predicted_ratio;trust_radius;cg_iterations;rejected_steps,,MF_TRUST_REGION,,S002;S003;S056;S041,high,2026-07-13
M_LEVENBERG_MARQUARDT,Levenberg–Marquardt法,Levenberg-Marquardt,LM,MF_TRUST_REGION,variant,Gauss–Newtonにdampingを加えた非線形最小二乗法。,nonlinear_least_squares,局所モデルと微分情報が利用可能。,residual;jacobian,continuous,unconstrained_or_limited,strong,yes_local_only,local,deterministic,local_numerical,標準仮定下で一階/二階停留点への大域的収束理論を持つ変種がある。,first_order_residual;model_agreement,medium_to_very_high_by_subproblem_solver,medium,モデル構築と信頼領域部分問題。HVP/Krylovで大規模化可能。,通常1試行点ごとに目的評価;拒否時は追加。,linear_algebra_parallelism,medium,medium,high,low_to_medium,low,variant_dependent,yes,conditional,Newton型の速さと大域化;不定Hessianに対処可能,部分問題と微分の品質に依存;実装が複雑,trust_radius_collapse;bad_model;ill_conditioning,不連続;強いノイズ;微分不能,中小規模の滑らかな無制約非線形最小二乗。,線探索が不安定または曲率が重要。,半径が縮小し続ける;モデル改善比が悪い;部分問題が支配的。,medium,medium,high,high,gradient_norm;trust_radius;model_reduction;budget,actual_predicted_ratio;trust_radius;cg_iterations;rejected_steps,,MF_TRUST_REGION,,S002;S003;S056;S041,high,2026-07-13
M_SQP,逐次二次計画法,Sequential quadratic programming,SQP,MF_CONSTRAINED_NLP,variant,各反復でQP近似を解く制約付きNLP法。,continuous_nlp;constraints,制約・目的が滑らか。適切な制約資格条件と数値スケーリング。,gradient;jacobian;optional_hessian_or_hvp,continuous,bounds;linear;nonlinear,strong,yes_local_only,local,deterministic,local_numerical,正則性と二階条件等の下でKKT点への収束。凸問題では大域最適性。,KKT_residual;primal_dual_residual,medium_to_high_with_sparsity,medium_to_high,QP部分問題 + derivative評価。,目的・勾配・制約・Jacobianを反復評価。,sparse_linear_algebra,medium_to_high_nonconvex,medium,very_high,low,low,filter;merit;barrier;penalty_by_variant,implementation_dependent,conditional,一般制約を直接扱う;KKT診断;疎性利用,微分とスケーリングに敏感;非凸では局所解;可行性が難しいと停滞,infeasible_start;constraint_qualification_failure;bad_jacobian;poor_scaling,離散変数;不連続制約;強いノイズ,中規模の滑らかな制約NLPで高精度が必要。,微分不要法では評価回数が多すぎる。,KKT残差停滞;制約違反が減らない;正則化反復が増大。,medium,high,high,high,KKT_residual;primal_feasibility;dual_feasibility;complementarity;budget,constraint_violation;stationarity;complementarity;factorization_status,,MF_CONSTRAINED_NLP,,S017;S029;S030;S056;S064,high,2026-07-13
M_SLSQP,SLSQP,Sequential least-squares programming,SLSQP,MF_CONSTRAINED_NLP,variant,least-squares型QP subproblemを用いるSQP変種。,continuous_nlp;constraints,制約・目的が滑らか。適切な制約資格条件と数値スケーリング。,gradient;jacobian;optional_hessian_or_hvp,continuous,bounds;linear;nonlinear,strong,yes_local_only,local,deterministic,local_numerical,正則性と二階条件等の下でKKT点への収束。凸問題では大域最適性。,KKT_residual;primal_dual_residual,low_to_medium,medium_to_high,KKT系またはQP部分問題の解法。,目的・勾配・制約・Jacobianを反復評価。,sparse_linear_algebra,medium_to_high_nonconvex,medium,very_high,low,low,filter;merit;barrier;penalty_by_variant,implementation_dependent,conditional,一般制約を直接扱う;KKT診断;疎性利用,微分とスケーリングに敏感;非凸では局所解;可行性が難しいと停滞,infeasible_start;constraint_qualification_failure;bad_jacobian;poor_scaling,離散変数;不連続制約;強いノイズ,中小規模、bounds/等式/不等式を持つ滑らかなNLP。,微分不要法では評価回数が多すぎる。,KKT残差停滞;制約違反が減らない;正則化反復が増大。,low_to_medium,high,high,high,KKT_residual;primal_feasibility;dual_feasibility;complementarity;budget,constraint_violation;stationarity;complementarity;factorization_status,,MF_CONSTRAINED_NLP,,S017;S029;S030;S056;S064;S002,high,2026-07-13
M_INTERIOR_POINT_NLP,NLP内点法,Interior-point NLP,barrier NLP,MF_CONSTRAINED_NLP,variant,barrierとprimal-dual KKT系で大規模疎制約NLPを解く。,continuous_nlp;constraints,制約・目的が滑らか。適切な制約資格条件と数値スケーリング。,gradient;jacobian;optional_hessian_or_hvp,continuous,bounds;linear;nonlinear,strong,yes_local_only,local,deterministic,local_numerical,正則性と二階条件等の下でKKT点への収束。凸問題では大域最適性。,KKT_residual;primal_dual_residual,high_sparse,high_factorization,KKT系またはQP部分問題の解法。,目的・勾配・制約・Jacobianを反復評価。,sparse_linear_algebra,medium_to_high_nonconvex,medium,very_high,low,low,filter;merit;barrier;penalty_by_variant,implementation_dependent,conditional,一般制約を直接扱う;KKT診断;疎性利用,微分とスケーリングに敏感;非凸では局所解;可行性が難しいと停滞,infeasible_start;constraint_qualification_failure;bad_jacobian;poor_scaling,離散変数;不連続制約;強いノイズ,大規模疎で滑らかな一般制約NLP。,微分不要法では評価回数が多すぎる。,KKT残差停滞;制約違反が減らない;正則化反復が増大。,medium,high,high,high,KKT_residual;primal_feasibility;dual_feasibility;complementarity;budget,constraint_violation;stationarity;complementarity;factorization_status,,MF_CONSTRAINED_NLP,,S017;S029;S030;S056;S064,high,2026-07-13
