feature_id,feature_code,category,name_ja,name_en,value_type,unit,allowed_vocab_id,definition,why_it_matters,boundary_notes,source_ids,confidence,last_verified
F_VARIABLE_CONTINUOUS,variable.continuous,variable,continuous,Continuous,enum,,truth_status,continuous,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_INTEGER,variable.integer,variable,integer,Integer,enum,,truth_status,integer,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_BINARY,variable.binary,variable,binary,Binary,enum,,truth_status,binary,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_CATEGORICAL,variable.categorical,variable,categorical,Categorical,enum,,truth_status,categorical,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_ORDINAL,variable.ordinal,variable,ordinal,Ordinal,enum,,truth_status,ordinal,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_MIXED,variable.mixed,variable,mixed,Mixed,enum,,truth_status,mixed,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_COMPLEX,variable.complex,variable,complex,Complex,enum,,truth_status,complex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_MATRIX,variable.matrix,variable,matrix,Matrix,enum,,truth_status,matrix,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_PSD_MATRIX,variable.psd_matrix,variable,psd matrix,Psd Matrix,enum,,truth_status,psd matrix,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_PROBABILITY_DISTRIBUTION,variable.probability_distribution,variable,probability distribution,Probability Distribution,enum,,truth_status,probability distribution,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_FUNCTION,variable.function,variable,function,Function,enum,,truth_status,function,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_TRAJECTORY,variable.trajectory,variable,trajectory,Trajectory,enum,,truth_status,trajectory,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_GRAPH,variable.graph,variable,graph,Graph,enum,,truth_status,graph,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_PERMUTATION,variable.permutation,variable,permutation,Permutation,enum,,truth_status,permutation,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_SET,variable.set,variable,set,Set,enum,,truth_status,set,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_MANIFOLD,variable.manifold,variable,manifold,Manifold,enum,,truth_status,manifold,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_SIMPLEX,variable.simplex,variable,simplex,Simplex,enum,,truth_status,simplex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_SPHERE,variable.sphere,variable,sphere,Sphere,enum,,truth_status,sphere,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_VARIABLE_LIE_GROUP,variable.lie_group,variable,lie group,Lie Group,enum,,truth_status,lie group,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_LINEAR,objective.linear,objective,linear,Linear,enum,,truth_status,linear,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_QUADRATIC,objective.quadratic,objective,quadratic,Quadratic,enum,,truth_status,quadratic,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_SUM_OF_SQUARES,objective.sum_of_squares,objective,sum of squares,Sum Of Squares,enum,,truth_status,sum of squares,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_CONVEX,objective.convex,objective,convex,Convex,enum,,truth_status,convex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_STRONGLY_CONVEX,objective.strongly_convex,objective,strongly convex,Strongly Convex,enum,,truth_status,strongly convex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_QUASICONVEX,objective.quasiconvex,objective,quasiconvex,Quasiconvex,enum,,truth_status,quasiconvex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_NONCONVEX,objective.nonconvex,objective,nonconvex,Nonconvex,enum,,truth_status,nonconvex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_MULTIMODAL,objective.multimodal,objective,multimodal,Multimodal,enum,,truth_status,multimodal,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_NONSMOOTH,objective.nonsmooth,objective,nonsmooth,Nonsmooth,enum,,truth_status,nonsmooth,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_PIECEWISE_SMOOTH,objective.piecewise_smooth,objective,piecewise smooth,Piecewise Smooth,enum,,truth_status,piecewise smooth,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_DISCONTINUOUS,objective.discontinuous,objective,discontinuous,Discontinuous,enum,,truth_status,discontinuous,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_DISCRETE,objective.discrete,objective,discrete,Discrete,enum,,truth_status,discrete,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_NOISY,objective.noisy,objective,noisy,Noisy,enum,,truth_status,noisy,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_STOCHASTIC,objective.stochastic,objective,stochastic,Stochastic,enum,,truth_status,stochastic,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_TIME_VARYING,objective.time_varying,objective,time varying,Time Varying,enum,,truth_status,time varying,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_SIMULATION,objective.simulation,objective,simulation,Simulation,enum,,truth_status,simulation,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_EXPERIMENT,objective.experiment,objective,experiment,Experiment,enum,,truth_status,experiment,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_MAY_FAIL,objective.may_fail,objective,may fail,May Fail,enum,,truth_status,may fail,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_MISSING_OR_OUTLIER,objective.missing_or_outlier,objective,missing or outlier,Missing Or Outlier,enum,,truth_status,missing or outlier,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_MULTIOBJECTIVE,objective.multiobjective,objective,multiobjective,Multiobjective,enum,,truth_status,multiobjective,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_LEXICOGRAPHIC,objective.lexicographic,objective,lexicographic,Lexicographic,enum,,truth_status,lexicographic,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_OBJECTIVE_PENALIZED,objective.penalized,objective,penalized,Penalized,enum,,truth_status,penalized,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_ANALYTIC_GRADIENT,derivative.analytic_gradient,derivative,analytic gradient,Analytic Gradient,enum,,truth_status,analytic gradient,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_AUTODIFF,derivative.autodiff,derivative,autodiff,Autodiff,enum,,truth_status,autodiff,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_NUMERICAL,derivative.numerical,derivative,numerical,Numerical,enum,,truth_status,numerical,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_COMPLEX_STEP,derivative.complex_step,derivative,complex step,Complex Step,enum,,truth_status,complex step,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_SUBGRADIENT,derivative.subgradient,derivative,subgradient,Subgradient,enum,,truth_status,subgradient,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_STOCHASTIC_GRADIENT,derivative.stochastic_gradient,derivative,stochastic gradient,Stochastic Gradient,enum,,truth_status,stochastic gradient,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_GRADIENT_ESTIMATION,derivative.gradient_estimation,derivative,gradient estimation,Gradient Estimation,enum,,truth_status,gradient estimation,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_JACOBIAN,derivative.jacobian,derivative,jacobian,Jacobian,enum,,truth_status,jacobian,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_HESSIAN,derivative.hessian,derivative,hessian,Hessian,enum,,truth_status,hessian,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_HVP,derivative.hvp,derivative,hvp,Hvp,enum,,truth_status,hvp,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_UNRELIABLE,derivative.unreliable,derivative,unreliable,Unreliable,enum,,truth_status,unreliable,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_NOISY,derivative.noisy,derivative,noisy,Noisy,enum,,truth_status,noisy,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_NOT_DIFFERENTIABLE,derivative.not_differentiable,derivative,not differentiable,Not Differentiable,enum,,truth_status,not differentiable,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_NUMDIFF_BUDGET_LIMITED,derivative.numdiff_budget_limited,derivative,numdiff budget limited,Numdiff Budget Limited,enum,,truth_status,numdiff budget limited,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_NUMDIFF_SCALE_UNSTABLE,derivative.numdiff_scale_unstable,derivative,numdiff scale unstable,Numdiff Scale Unstable,enum,,truth_status,numdiff scale unstable,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_BRANCHING_INVALID,derivative.branching_invalid,derivative,branching invalid,Branching Invalid,enum,,truth_status,branching invalid,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_INTERNAL_RANDOMNESS,derivative.internal_randomness,derivative,internal randomness,Internal Randomness,enum,,truth_status,internal randomness,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_DERIVATIVE_INNER_ITERATION,derivative.inner_iteration,derivative,inner iteration,Inner Iteration,enum,,truth_status,inner iteration,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_NONE,constraint.none,constraint,none,None,enum,,truth_status,none,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_BOUNDS,constraint.bounds,constraint,bounds,Bounds,enum,,truth_status,bounds,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_LINEAR_EQUALITY,constraint.linear_equality,constraint,linear equality,Linear Equality,enum,,truth_status,linear equality,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_LINEAR_INEQUALITY,constraint.linear_inequality,constraint,linear inequality,Linear Inequality,enum,,truth_status,linear inequality,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_NONLINEAR_EQUALITY,constraint.nonlinear_equality,constraint,nonlinear equality,Nonlinear Equality,enum,,truth_status,nonlinear equality,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_NONLINEAR_INEQUALITY,constraint.nonlinear_inequality,constraint,nonlinear inequality,Nonlinear Inequality,enum,,truth_status,nonlinear inequality,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_CONVEX,constraint.convex,constraint,convex,Convex,enum,,truth_status,convex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_NONCONVEX,constraint.nonconvex,constraint,nonconvex,Nonconvex,enum,,truth_status,nonconvex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_LOGICAL,constraint.logical,constraint,logical,Logical,enum,,truth_status,logical,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_COMBINATORIAL,constraint.combinatorial,constraint,combinatorial,Combinatorial,enum,,truth_status,combinatorial,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_CHANCE,constraint.chance,constraint,chance,Chance,enum,,truth_status,chance,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_ROBUST,constraint.robust,constraint,robust,Robust,enum,,truth_status,robust,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_COMPLEMENTARITY,constraint.complementarity,constraint,complementarity,Complementarity,enum,,truth_status,complementarity,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_SEMIDEFINITE,constraint.semidefinite,constraint,semidefinite,Semidefinite,enum,,truth_status,semidefinite,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_SOC,constraint.soc,constraint,soc,Soc,enum,,truth_status,soc,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_SIMPLEX,constraint.simplex,constraint,simplex,Simplex,enum,,truth_status,simplex,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_NORM,constraint.norm,constraint,norm,Norm,enum,,truth_status,norm,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_MANIFOLD,constraint.manifold,constraint,manifold,Manifold,enum,,truth_status,manifold,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_DYNAMICS,constraint.dynamics,constraint,dynamics,Dynamics,enum,,truth_status,dynamics,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_PATH,constraint.path,constraint,path,Path,enum,,truth_status,path,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_PDE,constraint.pde,constraint,pde,Pde,enum,,truth_status,pde,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_IMPLICIT,constraint.implicit,constraint,implicit,Implicit,enum,,truth_status,implicit,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_EXPENSIVE,constraint.expensive,constraint,expensive,Expensive,enum,,truth_status,expensive,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_NOISY,constraint.noisy,constraint,noisy,Noisy,enum,,truth_status,noisy,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_FEASIBILITY_HARD,constraint.feasibility_hard,constraint,feasibility hard,Feasibility Hard,enum,,truth_status,feasibility hard,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_ALWAYS_FEASIBLE_REQUIRED,constraint.always_feasible_required,constraint,always feasible required,Always Feasible Required,enum,,truth_status,always feasible required,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_TEMPORARY_VIOLATION_ALLOWED,constraint.temporary_violation_allowed,constraint,temporary violation allowed,Temporary Violation Allowed,enum,,truth_status,temporary violation allowed,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_FEASIBLE_START_REQUIRED,constraint.feasible_start_required,constraint,feasible start required,Feasible Start Required,enum,,truth_status,feasible start required,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_EASY_FEASIBLE_GENERATION,constraint.easy_feasible_generation,constraint,easy feasible generation,Easy Feasible Generation,enum,,truth_status,easy feasible generation,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_PROJECTION_EASY,constraint.projection_easy,constraint,projection easy,Projection Easy,enum,,truth_status,projection easy,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_PROJECTION_EXPENSIVE,constraint.projection_expensive,constraint,projection expensive,Projection Expensive,enum,,truth_status,projection expensive,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_ELIMINABLE,constraint.eliminable,constraint,eliminable,Eliminable,enum,,truth_status,eliminable,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_PENALTY_SUITABLE,constraint.penalty_suitable,constraint,penalty suitable,Penalty Suitable,enum,,truth_status,penalty suitable,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_BARRIER_SUITABLE,constraint.barrier_suitable,constraint,barrier suitable,Barrier Suitable,enum,,truth_status,barrier suitable,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_CONSTRAINT_LAGRANGIAN_RELAXATION,constraint.lagrangian_relaxation,constraint,lagrangian relaxation,Lagrangian Relaxation,enum,,truth_status,lagrangian relaxation,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_REALTIME,budget.realtime,budget,realtime,Realtime,enum,,truth_status,realtime,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_ONLINE,budget.online,budget,online,Online,enum,,truth_status,online,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_OFFLINE,budget.offline,budget,offline,Offline,enum,,truth_status,offline,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_WARM_START,budget.warm_start,budget,warm start,Warm Start,enum,,truth_status,warm start,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_REPEATED,budget.repeated,budget,repeated,Repeated,enum,,truth_status,repeated,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_GPU,budget.gpu,budget,gpu,Gpu,enum,,truth_status,gpu,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_DISTRIBUTED,budget.distributed,budget,distributed,Distributed,enum,,truth_status,distributed,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_PARALLEL_EVALUATION,budget.parallel_evaluation,budget,parallel evaluation,Parallel Evaluation,enum,,truth_status,parallel evaluation,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_BUDGET_EARLY_GOOD_SOLUTION,budget.early_good_solution,budget,early good solution,Early Good Solution,enum,,truth_status,early good solution,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_LOCAL_OK,guarantee.local_ok,guarantee,local ok,Local Ok,enum,,truth_status,local ok,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_GLOBAL_DESIRED,guarantee.global_desired,guarantee,global desired,Global Desired,enum,,truth_status,global desired,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_GLOBAL_CERTIFICATE,guarantee.global_certificate,guarantee,global certificate,Global Certificate,enum,,truth_status,global certificate,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_FEASIBLE_ONLY,guarantee.feasible_only,guarantee,feasible only,Feasible Only,enum,,truth_status,feasible only,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_APPROXIMATION_GUARANTEE,guarantee.approximation_guarantee,guarantee,approximation guarantee,Approximation Guarantee,enum,,truth_status,approximation guarantee,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_OPTIMALITY_GAP,guarantee.optimality_gap,guarantee,optimality gap,Optimality Gap,enum,,truth_status,optimality gap,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_BOUNDS,guarantee.bounds,guarantee,bounds,Bounds,enum,,truth_status,bounds,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_EXACT_REQUIRED,guarantee.exact_required,guarantee,exact required,Exact Required,enum,,truth_status,exact required,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_HEURISTIC_OK,guarantee.heuristic_ok,guarantee,heuristic ok,Heuristic Ok,enum,,truth_status,heuristic ok,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_ANYTIME,guarantee.anytime,guarantee,anytime,Anytime,enum,,truth_status,anytime,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_REPRODUCIBILITY,guarantee.reproducibility,guarantee,reproducibility,Reproducibility,enum,,truth_status,reproducibility,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_MULTIPLE_SOLUTIONS,guarantee.multiple_solutions,guarantee,multiple solutions,Multiple Solutions,enum,,truth_status,multiple solutions,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_PARETO_SET,guarantee.pareto_set,guarantee,pareto set,Pareto Set,enum,,truth_status,pareto set,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_GUARANTEE_UNCERTAINTY,guarantee.uncertainty,guarantee,uncertainty,Uncertainty,enum,,truth_status,uncertainty,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_SCALING,numerical.scaling,numerical,scaling,Scaling,enum,,truth_status,scaling,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_ILL_CONDITIONED,numerical.ill_conditioned,numerical,ill conditioned,Ill Conditioned,enum,,truth_status,ill conditioned,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_UNIT_MISMATCH,numerical.unit_mismatch,numerical,unit mismatch,Unit Mismatch,enum,,truth_status,unit mismatch,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_OBJECTIVE_SCALE,numerical.objective_scale,numerical,objective scale,Objective Scale,enum,,truth_status,objective scale,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_FLAT_REGION,numerical.flat_region,numerical,flat region,Flat Region,enum,,truth_status,flat region,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_NARROW_VALLEY,numerical.narrow_valley,numerical,narrow valley,Narrow Valley,enum,,truth_status,narrow valley,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_SADDLE,numerical.saddle,numerical,saddle,Saddle,enum,,truth_status,saddle,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_MANY_LOCAL_OPTIMA,numerical.many_local_optima,numerical,many local optima,Many Local Optima,enum,,truth_status,many local optima,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_BOUNDARY_SOLUTION,numerical.boundary_solution,numerical,boundary solution,Boundary Solution,enum,,truth_status,boundary solution,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
F_NUMERICAL_SINGULAR,numerical.singular,numerical,singular,Singular,enum,,truth_status,singular,手法・実装・保証・計算費の選択を変える。,,S054;S055;S056,high,2026-07-13
