case_feature_map_id,case_id,feature_id,feature_value_id,value_text,truth_status,notes,source_ids,confidence,last_verified
CFM00044,EC005,F_SMOOTHNESS,FV0026,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00045,EC005,F_DERIVATIVE_ACCESS,FV0037,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00046,EC005,F_CONSTRAINT_CLASS,FV0042,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00047,EC005,F_DIMENSION_CONTEXT,FV0054,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00048,EC005,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00049,EC005,F_NOISE_LEVEL,FV0065,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00050,EC005,F_SOLUTION_GOAL,FV0070,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S032;S035;S059,medium,2026-07-13
CFM00051,EC006,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00052,EC006,F_OBJECTIVE_FORM,FV0016,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00053,EC006,F_CONVEXITY,FV0023,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00054,EC006,F_SMOOTHNESS,FV0029,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00055,EC006,F_DERIVATIVE_ACCESS,FV0037,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00056,EC006,F_CONSTRAINT_CLASS,FV0042,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00057,EC006,F_DIMENSION_CONTEXT,FV0053,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00058,EC006,F_EVALUATION_COST,FV0062,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00059,EC006,F_NOISE_LEVEL,FV0064,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00060,EC006,F_SOLUTION_GOAL,FV0070,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S035;S059;S075,medium,2026-07-13
CFM00061,EC007,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00062,EC007,F_OBJECTIVE_FORM,FV0016,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00063,EC007,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00064,EC007,F_SMOOTHNESS,FV0029,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00065,EC007,F_DERIVATIVE_ACCESS,FV0037,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00066,EC007,F_CONSTRAINT_CLASS,FV0042,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00067,EC007,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00068,EC007,F_EVALUATION_COST,FV0061,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00069,EC007,F_NOISE_LEVEL,FV0067,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00070,EC007,F_SOLUTION_GOAL,FV0070,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S033;S035,medium,2026-07-13
CFM00071,EC008,F_VARIABLE_DOMAIN,FV0005,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00072,EC008,F_OBJECTIVE_FORM,FV0011,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00073,EC008,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00074,EC008,F_SMOOTHNESS,FV0028,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00075,EC008,F_DERIVATIVE_ACCESS,FV0038,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00076,EC008,F_CONSTRAINT_CLASS,FV0045,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00077,EC008,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00078,EC008,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00079,EC008,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00080,EC008,F_SOLUTION_GOAL,FV0072,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S005;S016;S021;S024,medium,2026-07-13
CFM00081,EC009,F_VARIABLE_DOMAIN,FV0005,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00082,EC009,F_OBJECTIVE_FORM,FV0015,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00083,EC009,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00084,EC009,F_SMOOTHNESS,FV0028,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00085,EC009,F_DERIVATIVE_ACCESS,FV0038,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00086,EC009,F_CONSTRAINT_CLASS,FV0045,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00087,EC009,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00088,EC009,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00089,EC009,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00090,EC009,F_SOLUTION_GOAL,FV0071,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S029,medium,2026-07-13
CFM00091,EC010,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00092,EC010,F_OBJECTIVE_FORM,FV0011,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00093,EC010,F_CONVEXITY,FV0019,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00094,EC010,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00095,EC010,F_DERIVATIVE_ACCESS,FV0030,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00096,EC010,F_CONSTRAINT_CLASS,FV0043,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00097,EC010,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00098,EC010,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00099,EC010,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00100,EC010,F_SOLUTION_GOAL,FV0071,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S004;S016;S055,medium,2026-07-13
CFM00101,EC011,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00102,EC011,F_OBJECTIVE_FORM,FV0012,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00103,EC011,F_CONVEXITY,FV0019,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00104,EC011,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00105,EC011,F_DERIVATIVE_ACCESS,FV0030,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00106,EC011,F_CONSTRAINT_CLASS,FV0043,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00107,EC011,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00108,EC011,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00109,EC011,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00110,EC011,F_SOLUTION_GOAL,FV0071,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S012;S016;S062,medium,2026-07-13
CFM00111,EC012,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00112,EC012,F_OBJECTIVE_FORM,FV0012,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00113,EC012,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00114,EC012,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00115,EC012,F_DERIVATIVE_ACCESS,FV0030,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00116,EC012,F_CONSTRAINT_CLASS,FV0045,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00117,EC012,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00118,EC012,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00119,EC012,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00120,EC012,F_SOLUTION_GOAL,FV0071,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S021;S024;S028,medium,2026-07-13
CFM00121,EC013,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00122,EC013,F_OBJECTIVE_FORM,FV0013,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00123,EC013,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00124,EC013,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00125,EC013,F_DERIVATIVE_ACCESS,FV0035,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00126,EC013,F_CONSTRAINT_CLASS,FV0042,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00127,EC013,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00128,EC013,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00129,EC013,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00130,EC013,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00131,EC014,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00132,EC014,F_OBJECTIVE_FORM,FV0013,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00133,EC014,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00134,EC014,F_SMOOTHNESS,FV0025,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00135,EC014,F_DERIVATIVE_ACCESS,FV0035,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00136,EC014,F_CONSTRAINT_CLASS,FV0042,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00137,EC014,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00138,EC014,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00139,EC014,F_NOISE_LEVEL,FV0064,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00140,EC014,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S003;S041,medium,2026-07-13
CFM00141,EC015,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00142,EC015,F_OBJECTIVE_FORM,FV0015,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00143,EC015,F_CONVEXITY,FV0019,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00144,EC015,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00145,EC015,F_DERIVATIVE_ACCESS,FV0030,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00146,EC015,F_CONSTRAINT_CLASS,FV0050,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00147,EC015,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00148,EC015,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00149,EC015,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00150,EC015,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S055;S066,medium,2026-07-13
CFM00151,EC016,F_VARIABLE_DOMAIN,FV0008,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00152,EC016,F_OBJECTIVE_FORM,FV0013,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00153,EC016,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00154,EC016,F_SMOOTHNESS,FV0024,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00155,EC016,F_DERIVATIVE_ACCESS,FV0031,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00156,EC016,F_CONSTRAINT_CLASS,FV0050,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00157,EC016,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00158,EC016,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00159,EC016,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00160,EC016,F_SOLUTION_GOAL,FV0068,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S041;S044;S071,medium,2026-07-13
CFM00161,EC017,F_VARIABLE_DOMAIN,FV0001,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00162,EC017,F_OBJECTIVE_FORM,FV0018,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00163,EC017,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00164,EC017,F_SMOOTHNESS,FV0029,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00165,EC017,F_DERIVATIVE_ACCESS,FV0037,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00166,EC017,F_CONSTRAINT_CLASS,FV0042,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00167,EC017,F_DIMENSION_CONTEXT,FV0055,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00168,EC017,F_EVALUATION_COST,FV0060,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00169,EC017,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00170,EC017,F_SOLUTION_GOAL,FV0074,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S039;S068,medium,2026-07-13
CFM00171,EC018,F_VARIABLE_DOMAIN,FV0005,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00172,EC018,F_OBJECTIVE_FORM,FV0093,,yes,Inherited from representative archetype; concrete instance summary takes precedence.;v0.2.0 enum normalization,S022;S053,medium,2026-07-13
CFM00173,EC018,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00174,EC018,F_SMOOTHNESS,FV0028,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00175,EC018,F_DERIVATIVE_ACCESS,FV0038,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00176,EC018,F_CONSTRAINT_CLASS,FV0047,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00177,EC018,F_DIMENSION_CONTEXT,FV0056,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00178,EC018,F_EVALUATION_COST,FV0059,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00179,EC018,F_NOISE_LEVEL,FV0063,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00180,EC018,F_SOLUTION_GOAL,FV0073,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S022;S053,medium,2026-07-13
CFM00181,EC019,F_VARIABLE_DOMAIN,FV0010,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
CFM00182,EC019,F_OBJECTIVE_FORM,FV0093,,yes,Inherited from representative archetype; concrete instance summary takes precedence.;v0.2.0 enum normalization,S023;S024,medium,2026-07-13
CFM00183,EC019,F_CONVEXITY,FV0022,,yes,Inherited from representative archetype; concrete instance summary takes precedence.,S023;S024,medium,2026-07-13
