case_id,title_ja,problem_id,problem_features_summary,alternative_solution_ids,first_choice_method_id,second_choice_method_id,avoid_method_id,decision_reason,additional_information_needed,representative_implementation_ids,expected_failures,switch_decision,validation_result,model_revision_notes,source_ids,confidence,last_verified
\SEC011,\S凸二次計画問題,\SPA018,\SPSD Hessian、線形制約、同種QPを反復。,\SALT_SPECIALIZED;ALT_PROJECTION_PROX,\SM_ADMM_QP,\SM_ACTIVE_SET_QP,\SM_BFGS,\SOSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,\SPSD確認、求める精度、warm-start変化量。,\SI_OSQP;I_CLARABEL;I_GUROBI,\SADMM残差不均衡、stale warm start。,\S高精度/gap停滞ならconic IPMへ。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS012;S016;S062;S004;S010;S013;S014;S055,\Shigh,\S2026-07-13
\SEC012,\S非凸二次計画問題,\SPA019,\Sindefinite Q、bounds/線形制約、大域証明必須。,\SALT_RELAXATION,\SM_SPATIAL_BRANCH_BOUND,\SM_MULTISTART,\SM_ADMM_QP,\S空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,\S変数bounds、quadratic structure、許容gap。,\SI_GUROBI;I_SCIP;I_MOSEK,\S誤ってPSD扱い、weak relaxation、tree explosion。,\Sbounds強化/SDP・McCormick緩和を検討。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS021;S024;S028;S005;S016;S025;S006;S007;S008;S009;S072;S073;S074;S056,\Shigh,\S2026-07-13
\SEC013,\S非線形最小二乗問題,\SPA033,\S100残差・10変数、Jacobianあり、boundsなし。,\SALT_LEAST_SQUARES,\SM_LEVENBERG_MARQUARDT,\SM_GAUSS_NEWTON,\SM_NELDER_MEAD,\S残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,\Srank、残差scale、robust loss、bounds。,\SI_SCIPY_LEAST_SQUARES_LM;I_CERES,\Srank deficiency、外れ値、悪い初期値。,\Sbounds/疎ならTRF、rank不良ならregularization。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS003;S041;S002;S056,\Shigh,\S2026-07-13
\SEC014,\S外れ値を含むparameter推定,\SPA056,\S非線形残差、外れ値5%、Jacobianあり。,\SALT_LEAST_SQUARES;ALT_STAT_INFERENCE,\SM_GAUSS_NEWTON,\SM_BUNDLE,\SM_CMA_ES,\Srobust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,\Soutlier model、loss scale、uncertainty。,\SI_CERES;I_SCIPY_LEAST_SQUARES_TRF,\Ssquared loss支配、loss tuning bias。,\Sresidual diagnostics不良なら統計model再設計。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS003;S041;S002;S056;S055;S061;S066;S067,\Shigh,\S2026-07-13
\SEC015,\S単体上の最適化,\SPA036,\Sx≥0、sum x=1、高次元、滑らかな凸目的。,\SALT_PROJECTION_PROX,\SM_MIRROR_DESCENT,\SM_PROJECTED_GRADIENT,\SM_LBFGS,\Sentropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,\S境界解、sparsity、projection/prox cost。,\SI_JAXOPT;I_CVXPY,\Szero成分、scale、projection誤差。,\Sprojectionが高価ならmirror/dual parameterization。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS055;S066;S061;S067;S017;S029;S030;S056;S064,\Shigh,\S2026-07-13
\SEC016,\SSO(3)上の最適化,\SPA037,\Srotation変数、smooth residual、常時orthogonalityが必要。,\SALT_EIGEN;ALT_SPECIALIZED,\SM_RIEMANNIAN_TRUST_REGION,\SM_RIEMANNIAN_GRADIENT,\SM_BFGS,\S多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,\Srepresentation、retraction、複数rotation、初期値。,\SI_PYMANOPT;I_MANOPT_MATLAB;I_CERES;I_MANOPT_JL,\Sgimbal lock、orthogonality drift、局所解。,\Sclosed-form Wahba/eigen解が使えるならそちらを先に。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS041;S044;S071;S045;S095,\Shigh,\S2026-07-13
\SEC017,\S多目的最適化,\SPA038,\S3目的、nonconvex black-box、bounds、Pareto集合が必要。,\SALT_STAT_INFERENCE,\SM_NSGA_II,\SM_EPSILON_CONSTRAINT,\SM_WEIGHTED_SUM,\SNSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,\S目的scale、reference point、評価budget、選好。,\SI_PYMOO;I_CVXPY,\Spoor coverage、hypervolume基準依存。,\S選好が明確になればscalarizationへ。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS039;S068;S055,\Shigh,\S2026-07-13
\SEC018,\Sscheduling,\SPA026,\Sjob-shop、resource/no-overlap、整数時間、可行解を早く。,\SALT_FEASIBILITY;ALT_DYNAMIC_PROGRAMMING,\SM_CP_SAT,\SM_BRANCH_CUT,\SM_GENETIC_ALGORITHM,\Sglobal scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,\Shorizon、calendar、setup、soft constraints。,\SI_ORTOOLS_CPSAT;I_MINIZINC;I_CPLEX,\Sweak propagation、symmetry、整数scale。,\Sbranches爆発ならglobal constraints/search strategy/model分解。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS022;S053;S079;S005;S016;S021;S024;S025;S028,\Shigh,\S2026-07-13
\SEC019,\Srouting,\SPA031,\SVRP、time windows、1000 stops、良い可行解を10分以内。,\SALT_GRAPH;ALT_DYNAMIC_PROGRAMMING,\SM_LOCAL_SEARCH_COMBINATORIAL,\SM_CP_SAT,\SM_BRANCH_CUT,\S大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,\Sfleet、distance metric、time windows、optimality requirement。,\SI_ORTOOLS_ROUTING;I_GUROBI,\S不可行初期route、局所停滞、metric誤り。,\S証明が必要/小規模ならMILP/branch-cutへ。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS023;S024;S054;S022;S053;S079,\Shigh,\S2026-07-13
\SEC020,\S最適制御・軌道最適化,\SPA042,\S非線形動力学、path constraints、長horizon、AD可能。,\SALT_SPECIALIZED;ALT_DECOMPOSITION,\SM_DIRECT_COLLOCATION,\SM_MULTIPLE_SHOOTING,\SM_BFGS,\Sdynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,\Sintegrator、mesh、initial trajectory、realtime。,\SI_CASADI;I_ACADOS;I_DRAKE,\Strajectory defect、mesh artifact、unstable rollout。,\Smesh refinementで解が変わるなら離散化を改善。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS042;S043;S076;S050,\Shigh,\S2026-07-13
\SEC021,\Sneural network学習,\SPA040,\S数百万parameter、mini-batch AD、GPU、nonconvex。,\SALT_STAT_INFERENCE;ALT_DECOMPOSITION,\SM_ADAMW,\SM_MOMENTUM_SGD,\SM_BFGS,\SGPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,\Sbatch、schedule、regularization、validation、memory。,\SI_PYTORCH_OPTIM;I_TENSORFLOW_OPTIM;I_OPTAX,\Soverfit、divergence、seed variance。,\Svalidation停滞・memory制約でoptimizer/scheduleを切替。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS047;S048;S049;S070,\Shigh,\S2026-07-13
\SEC022,\Shyperparameter最適化,\SPA039,\Sカテゴリ/条件付き含む30変数、trial 1時間、parallel 20。,\SALT_SURROGATE;ALT_STAT_INFERENCE,\SM_TPE,\SM_HYPERBAND_ASHA,\SM_CMA_ES,\Smixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,\Slearning curve、noise、failure、validation protocol。,\SI_OPTUNA;I_RAY_TUNE;I_SMAC3,\Searly stopping bias、data leakage、failed trials。,\Scurve非比較ならpruningを弱めBO/full-budgetへ。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS034;S035;S037;S038;S036;S059;S069;S075,\Shigh,\S2026-07-13
\SEC023,\S解の厳密な証明が必要,\SPA023,\SMILP、regulatory audit、最適性gap 0.1%以内。,\SALT_SPECIALIZED,\SM_BRANCH_CUT,\SM_CP_SAT,\SM_GENETIC_ALGORITHM,\Sincumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,\S数値許容差、time、model correctness、license。,\SI_GUROBI;I_SCIP;I_HIGHS_NATIVE,\Sstatus/gap誤読、Big-M、numerics。,\Sdeadlineでgap未達なら未証明として明示。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS005;S016;S021;S024;S025;S028;S022;S053;S079,\Shigh,\S2026-07-13
\SEC024,\S良い実行可能解を早く得ることが重要,\SPA031,\S大規模routing/scheduling、hard deadline、証明不要。,\SALT_FEASIBILITY;ALT_GRAPH,\SM_LOCAL_SEARCH_COMBINATORIAL,\SM_CP_SAT,\SM_SPATIAL_BRANCH_BOUND,\Sanytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,\S最低品質、deadline、restart、可行性repair。,\SI_ORTOOLS_ROUTING;I_ORTOOLS_CPSAT,\S可行解なし、局所停滞、再現性。,\Sincumbent未生成ならconstructive heuristic/constraint relaxation。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS023;S024;S054;S022;S053;S079,\Shigh,\S2026-07-13
\SEC025,\S反復MPC,\SPA043,\S同じ構造の凸QPを100Hz、parameterのみ変化、warm start可。,\SALT_SPECIALIZED,\SM_ADMM_QP,\SM_ACTIVE_SET_QP,\SM_DIFFERENTIAL_EVOLUTION,\Sfactorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,\Sdeadline worst-case、stability、solver failure fallback。,\SI_OSQP;I_ACADOS,\Sstale warm start、残差未達、deadline miss。,\Scold fallbackとfeasible backup controllerを用意。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS012;S043;S076;S004;S010;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SEC026,\SPDE制約付き最適化,\SPA045,\S数百万自由度、adjoint/HVP可、1solve高価、sparse distributed。,\SALT_DECOMPOSITION;ALT_SPECIALIZED,\SM_NEWTON_CG,\SM_TRUST_KRYLOV,\SM_DIFFERENTIAL_EVOLUTION,\Sadjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,\Sadjoint consistency、mesh independence、preconditioner。,\SI_PETSC_TAO;I_IPOPT,\Sinner solve不安定、mesh dependence、bad gradient。,\Sadjoint check後、inexact Newton forcing/preconditioner改善。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS017;S019;S056;S002;S057;S003,\Shigh,\S2026-07-13
\SEC027,\S評価失敗を伴うsimulation,\SPA016,\S混合変数、20%でsimulation crash/timeout、制約暗黙。,\SALT_FEASIBILITY;ALT_SURROGATE,\SM_MADS,\SM_RANDOM_SEARCH,\SM_BFGS,\Sfailure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,\Sfailure分類、安全領域、retry、determinism。,\SI_NOMAD;I_NEVERGRAD,\Sfailure masking、可行率低、timeout bias。,\S可行率が低ければfeasibility classifier/phase-Iを先行。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS031;S035;S002;S018;S060;S063;S034;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SEC028,\S求根問題を最適化に見せた例,\SPA004,\SF(x)=0が目的、square residualをscalar化しようとしている。,\SALT_ROOT;ALT_LEAST_SQUARES,\SM_GAUSS_NEWTON,\SM_LEVENBERG_MARQUARDT,\SM_DIFFERENTIAL_EVOLUTION,\Sまずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,\Ssquare/overdetermined、Jacobian、multiple roots、bounds。,\SI_SCIPY_LEAST_SQUARES_TRF;I_CERES,\Snormal equation conditioning、局所root、rank deficiency。,\Sroot residualが下がらずrank不良ならregularization/model確認。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS080;S056;S002;S003;S041,\Shigh,\S2026-07-13
