problem_id,problem_name_ja,method_id,method_name_ja,method_family_id,fit_level,beginner_priority,variable_type,objective_structure,constraint_structure,convexity,smoothness,derivative_access,dimension_context,evaluation_cost,noise,solution_requirement,required_conditions,exclusion_conditions,guarantee_notes,budget_notes,representative_implementation_ids,evidence_source_ids,confidence,last_verified
\SPA003,\S固有値・特異値問題,\SM_BFGS,\SBFGS法,\SMF_SMOOTH_LOCAL,\Slast_resort,\Savoid_as_default,\Smatrix,\Squadratic,\Smanifold,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_BFGS;I_OPTIMJL,\SS054;S071;S002;S056;S057,\Smedium,\S2026-07-13
\SPA003,\S固有値・特異値問題,\SM_GENETIC_ALGORITHM,\S遺伝的algorithm,\SMF_EVOLUTIONARY,\Sgenerally_unsuitable,\Savoid_as_default,\Smatrix,\Squadratic,\Smanifold,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S評価予算と妥当な変数表現・境界・乱数管理。,\S問題の主要構造・変数型・保証要求と不整合。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_PYMOO;I_DEAP,\SS054;S071;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SPA003,\S固有値・特異値問題,\SM_NEWTON_CG,\SNewton-CG法,\SMF_SMOOTH_LOCAL,\Sconditional,\Sexpert_guidance_recommended,\Smatrix,\Squadratic,\Smanifold,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_PETSC_TAO,\SS054;S071;S002;S056;S057,\Smedium,\S2026-07-13
\SPA003,\S固有値・特異値問題,\SM_RIEMANNIAN_GRADIENT,\SRiemann勾配法,\SMF_MANIFOLD,\Sviable,\Sexpert_guidance_recommended,\Smatrix,\Squadratic,\Smanifold,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S変数の多様体構造、接空間射影、retraction、Riemann metricが定義可能。,\S多様体構造が不要;不連続;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_PYMANOPT;I_MANOPT_MATLAB,\SS054;S071;S044;S045,\Shigh,\S2026-07-13
\SPA003,\S固有値・特異値問題,\SM_RIEMANNIAN_TRUST_REGION,\SRiemann trust-region法,\SMF_MANIFOLD,\Sconditional,\Sexpert_guidance_recommended,\Smatrix,\Squadratic,\Smanifold,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S変数の多様体構造、接空間射影、retraction、Riemann metricが定義可能。,\S多様体構造が不要;不連続;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_PYMANOPT;I_MANOPT_MATLAB,\SS054;S071;S044;S045,\Smedium,\S2026-07-13
\SPA004,\S方程式の求根,\SM_BFGS,\SBFGS法,\SMF_SMOOTH_LOCAL,\Slast_resort,\Savoid_as_default,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sunknown,\Ssmooth,\Sjacobian,\Smedium,\Smoderate,\Sdeterministic,\Slocal_stationary,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_BFGS;I_OPTIMJL,\SS080;S056;S002;S057,\Smedium,\S2026-07-13
\SPA004,\S方程式の求根,\SM_GAUSS_NEWTON,\SGauss–Newton法,\SMF_TRUST_REGION,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sunknown,\Ssmooth,\Sjacobian,\Smedium,\Smoderate,\Sdeterministic,\Slocal_stationary,\S局所モデルと微分情報が利用可能。,\S不連続;強いノイズ;微分不能,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_LEAST_SQUARES_TRF;I_CERES;I_JAXOPT,\SS080;S056;S002;S003;S041,\Smedium,\S2026-07-13
\SPA004,\S方程式の求根,\SM_LEVENBERG_MARQUARDT,\SLevenberg–Marquardt法,\SMF_TRUST_REGION,\Sviable,\Sexpert_guidance_recommended,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sunknown,\Ssmooth,\Sjacobian,\Smedium,\Smoderate,\Sdeterministic,\Slocal_stationary,\S局所モデルと微分情報が利用可能。,\S不連続;強いノイズ;微分不能,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_LEAST_SQUARES_LM;I_CERES,\SS080;S056;S002;S003;S041,\Shigh,\S2026-07-13
\SPA004,\S方程式の求根,\SM_NEWTON,\SNewton法,\SMF_SMOOTH_LOCAL,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sunknown,\Ssmooth,\Sjacobian,\Smedium,\Smoderate,\Sdeterministic,\Slocal_stationary,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_OPTIMJL,\SS080;S056;S002;S057,\Smedium,\S2026-07-13
\SPA004,\S方程式の求根,\SM_RANDOM_SEARCH,\Srandom search,\SMF_SURROGATE_HPO,\Sgenerally_unsuitable,\Savoid_as_default,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sunknown,\Ssmooth,\Sjacobian,\Smedium,\Smoderate,\Sdeterministic,\Slocal_stationary,\S評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,\S問題の主要構造・変数型・保証要求と不整合。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\S評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,\SI_NEVERGRAD;I_OPTUNA;I_AX;I_SMAC3;I_RAY_TUNE,\SS080;S056;S034;S035;S036;S037;S038;S059;S069;S075,\Smedium,\S2026-07-13
\SPA005,\S線形最小二乗,\SM_ADAM,\SAdam,\SMF_STOCHASTIC_ML,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Ssum_of_squares,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\Sunbiasedまたは有用なstochastic gradient、学習率schedule、batch sampling。,\S小規模高精度凸問題;厳密gap必須;勾配が不正,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Sepoch/stepだけでなくsample処理数、forward/backward、validation費を追跡。,\SI_OPTAX;I_PYTORCH_OPTIM;I_TENSORFLOW_OPTIM,\SS003;S056;S047;S048;S049;S070,\Smedium,\S2026-07-13
\SPA005,\S線形最小二乗,\SM_CMA_ES,\SCMA-ES,\SMF_EVOLUTIONARY,\Sgenerally_unsuitable,\Savoid_as_default,\Scontinuous,\Ssum_of_squares,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S評価予算と妥当な変数表現・境界・乱数管理。,\S問題の主要構造・変数型・保証要求と不整合。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_PYCMA;I_NEVERGRAD,\SS003;S056;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SPA005,\S線形最小二乗,\SM_GAUSS_NEWTON,\SGauss–Newton法,\SMF_TRUST_REGION,\Sdefault_choice,\Sfirst_try,\Scontinuous,\Ssum_of_squares,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S局所モデルと微分情報が利用可能。,\S不連続;強いノイズ;微分不能,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_LEAST_SQUARES_TRF;I_CERES;I_JAXOPT,\SS003;S056;S002;S041,\Shigh,\S2026-07-13
\SPA005,\S線形最小二乗,\SM_LBFGS,\SL-BFGS法,\SMF_SMOOTH_LOCAL,\Srecommended,\Sexpert_guidance_recommended,\Scontinuous,\Ssum_of_squares,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_NLOPT;I_PETSC_TAO;I_JAXOPT;I_PYTORCH_OPTIM;I_OPTIMJL,\SS003;S056;S002;S057;S065,\Smedium,\S2026-07-13
\SPA005,\S線形最小二乗,\SM_LEVENBERG_MARQUARDT,\SLevenberg–Marquardt法,\SMF_TRUST_REGION,\Sstrongly_recommended,\Ssecond_try,\Scontinuous,\Ssum_of_squares,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sglobal_proof,\S局所モデルと微分情報が利用可能。,\S不連続;強いノイズ;微分不能,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_LEAST_SQUARES_LM;I_CERES,\SS003;S056;S002;S041,\Shigh,\S2026-07-13
\SPA006,\S滑らかな低次元無制約,\SM_BFGS,\SBFGS法,\SMF_SMOOTH_LOCAL,\Sdefault_choice,\Sfirst_try,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Slow,\Scheap,\Sdeterministic,\Slocal_stationary,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_BFGS;I_OPTIMJL,\SS002;S056;S057,\Shigh,\S2026-07-13
\SPA006,\S滑らかな低次元無制約,\SM_DIFFERENTIAL_EVOLUTION,\S差分進化,\SMF_GLOBAL_SEARCH,\Sgenerally_unsuitable,\Savoid_as_default,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Slow,\Scheap,\Sdeterministic,\Slocal_stationary,\S有限探索領域と十分な評価予算。証明型では追加構造。,\S問題の主要構造・変数型・保証要求と不整合。,\S大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_DIFFERENTIAL_EVOLUTION;I_NEVERGRAD,\SS002;S056;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SPA006,\S滑らかな低次元無制約,\SM_NELDER_MEAD,\SNelder–Mead単体法,\SMF_DFO_LOCAL,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Slow,\Scheap,\Sdeterministic,\Slocal_stationary,\S評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,\S高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_NELDER_MEAD;I_NLOPT;I_OPTIMJL,\SS002;S056;S018;S031;S060;S063,\Smedium,\S2026-07-13
\SPA006,\S滑らかな低次元無制約,\SM_NEWTON,\SNewton法,\SMF_SMOOTH_LOCAL,\Srecommended,\Sexpert_guidance_recommended,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Slow,\Scheap,\Sdeterministic,\Slocal_stationary,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_OPTIMJL,\SS002;S056;S057,\Smedium,\S2026-07-13
\SPA006,\S滑らかな低次元無制約,\SM_TRUST_EXACT,\S厳密trust-region Newton法,\SMF_TRUST_REGION,\Sstrongly_recommended,\Ssecond_try,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Slow,\Scheap,\Sdeterministic,\Slocal_stationary,\S局所モデルと微分情報が利用可能。,\S不連続;強いノイズ;微分不能,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S,\SS002;S056;S003,\Shigh,\S2026-07-13
\SPA007,\S高次元・勾配利用可能,\SM_BFGS,\SBFGS法,\SMF_SMOOTH_LOCAL,\Sconditional,\Sexpert_guidance_recommended,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Shigh,\Smoderate,\Sdeterministic,\Slocal_stationary,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_BFGS;I_OPTIMJL,\SS019;S046;S056;S002;S057,\Smedium,\S2026-07-13
\SPA007,\S高次元・勾配利用可能,\SM_LBFGS,\SL-BFGS法,\SMF_SMOOTH_LOCAL,\Sdefault_choice,\Sfirst_try,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Shigh,\Smoderate,\Sdeterministic,\Slocal_stationary,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_NLOPT;I_PETSC_TAO;I_JAXOPT;I_PYTORCH_OPTIM;I_OPTIMJL,\SS019;S046;S056;S002;S057;S065,\Shigh,\S2026-07-13
\SPA007,\S高次元・勾配利用可能,\SM_NELDER_MEAD,\SNelder–Mead単体法,\SMF_DFO_LOCAL,\Sgenerally_unsuitable,\Savoid_as_default,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Shigh,\Smoderate,\Sdeterministic,\Slocal_stationary,\S評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,\S問題の主要構造・変数型・保証要求と不整合。,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_NELDER_MEAD;I_NLOPT;I_OPTIMJL,\SS019;S046;S056;S002;S018;S031;S060;S063,\Smedium,\S2026-07-13
\SPA007,\S高次元・勾配利用可能,\SM_NEWTON_CG,\SNewton-CG法,\SMF_SMOOTH_LOCAL,\Sstrongly_recommended,\Ssecond_try,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Shigh,\Smoderate,\Sdeterministic,\Slocal_stationary,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_PETSC_TAO,\SS019;S046;S056;S002;S057,\Shigh,\S2026-07-13
\SPA007,\S高次元・勾配利用可能,\SM_TRUST_KRYLOV,\Strust-krylov,\SMF_TRUST_REGION,\Srecommended,\Sexpert_guidance_recommended,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Shigh,\Smoderate,\Sdeterministic,\Slocal_stationary,\S局所モデルと微分情報が利用可能。,\S不連続;強いノイズ;微分不能,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_TRUST_CONSTR;I_SCIPY_LEAST_SQUARES_TRF;I_CERES,\SS019;S046;S056;S002;S003,\Smedium,\S2026-07-13
\SPA008,\S上下限制約付き滑らか,\SM_ACTIVE_SET,\Sactive-set NLP/QP,\SMF_CONSTRAINED_NLP,\Srecommended,\Sexpert_guidance_recommended,\Scontinuous,\Sgeneral_nonlinear,\Sbounds,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Smedium,\Scheap,\Sdeterministic,\Slocal_stationary,\S制約・目的が滑らか。適切な制約資格条件と数値スケーリング。,\S離散変数;不連続制約;強いノイズ,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_KNITRO,\SS002;S065;S017;S029;S030;S056;S064;S012;S016,\Smedium,\S2026-07-13
\SPA008,\S上下限制約付き滑らか,\SM_LBFGSB,\SL-BFGS-B法,\SMF_SMOOTH_LOCAL,\Sdefault_choice,\Sfirst_try,\Scontinuous,\Sgeneral_nonlinear,\Sbounds,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Smedium,\Scheap,\Sdeterministic,\Slocal_stationary,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S不連続;評価ノイズが勾配を支配;離散変数,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_LBFGSB,\SS002;S065;S056;S057,\Shigh,\S2026-07-13
\SPA008,\S上下限制約付き滑らか,\SM_NELDER_MEAD,\SNelder–Mead単体法,\SMF_DFO_LOCAL,\Sgenerally_unsuitable,\Savoid_as_default,\Scontinuous,\Sgeneral_nonlinear,\Sbounds,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Smedium,\Scheap,\Sdeterministic,\Slocal_stationary,\S評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,\S問題の主要構造・変数型・保証要求と不整合。,\S非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\SI_SCIPY_NELDER_MEAD;I_NLOPT;I_OPTIMJL,\SS002;S065;S018;S031;S060;S063,\Smedium,\S2026-07-13
