case_method_map_id,case_id,method_id,role,fit_id,rationale,source_ids,confidence,last_verified
\SCMM0020,\SEC007,\SM_TURBO_SAASBO,\Ssecond_choice,\SPMF00071,\S通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,\SS033;S035;S034;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SCMM0021,\SEC007,\SM_BAYESIAN_OPT_GP,\Savoid,\SPMF00075,\Savoid: 評価が安価で大量可能;極端高次元;再現不能noiseを未model化 / 通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,\SS033;S035;S034;S036;S037;S038;S059;S069;S075,\Smedium,\S2026-07-13
\SCMM0022,\SEC008,\SM_BRANCH_CUT,\Sfirst_choice,\SPMF00111,\SMILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,\SS005;S016;S021;S024;S025;S028,\Shigh,\S2026-07-13
\SCMM0023,\SEC008,\SM_CP_SAT,\Ssecond_choice,\SPMF00112,\SMILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,\SS005;S016;S021;S024;S022;S053;S079,\Shigh,\S2026-07-13
\SCMM0024,\SEC008,\SM_SQP,\Savoid,\SPMF00115,\Savoid: 離散変数;不連続制約;強いノイズ / MILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,\SS005;S016;S021;S024;S017;S029;S030;S056;S064,\Smedium,\S2026-07-13
\SCMM0025,\SEC009,\SM_SPATIAL_BRANCH_BOUND,\Sfirst_choice,\SPMF00121,\Snonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,\SS021;S029;S005;S016;S024;S025;S028,\Shigh,\S2026-07-13
\SCMM0026,\SEC009,\SM_OUTER_APPROX_MINLP,\Ssecond_choice,\SPMF00122,\Snonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,\SS021;S029;S005;S016;S024;S025;S028,\Shigh,\S2026-07-13
\SCMM0027,\SEC009,\SM_GENETIC_ALGORITHM,\Savoid,\SPMF00124,\Savoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / nonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,\SS021;S029;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SCMM0028,\SEC010,\SM_DUAL_SIMPLEX,\Sfirst_choice,\SPMF00081,\SLP専用solverは大域性、dual、presolve、sparsityを提供。,\SS004;S016;S055;S010;S012;S013;S014;S062,\Shigh,\S2026-07-13
\SCMM0029,\SEC010,\SM_BARRIER_LP_QP,\Ssecond_choice,\SPMF00083,\SLP専用solverは大域性、dual、presolve、sparsityを提供。,\SS004;S016;S055;S010;S012;S013;S014;S062,\Shigh,\S2026-07-13
\SCMM0030,\SEC010,\SM_SQP,\Savoid,\SPMF00085,\Savoid: 離散変数;不連続制約;強いノイズ / LP専用solverは大域性、dual、presolve、sparsityを提供。,\SS004;S016;S055;S017;S029;S030;S056;S064,\Smedium,\S2026-07-13
\SCMM0031,\SEC011,\SM_ADMM_QP,\Sfirst_choice,\SPMF00086,\SOSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,\SS012;S016;S062;S004;S010;S013;S014;S055,\Shigh,\S2026-07-13
\SCMM0032,\SEC011,\SM_ACTIVE_SET_QP,\Ssecond_choice,\SPMF00087,\SOSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,\SS012;S016;S062;S004;S010;S013;S014;S055,\Shigh,\S2026-07-13
\SCMM0033,\SEC011,\SM_BFGS,\Savoid,\SPMF00090,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / OSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,\SS012;S016;S062;S002;S056;S057,\Smedium,\S2026-07-13
\SCMM0034,\SEC012,\SM_SPATIAL_BRANCH_BOUND,\Sfirst_choice,\SPMF00091,\S空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,\SS021;S024;S028;S005;S016;S025,\Shigh,\S2026-07-13
\SCMM0035,\SEC012,\SM_MULTISTART,\Ssecond_choice,\SPMF00093,\S空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,\SS021;S024;S028;S006;S007;S008;S009;S072;S073;S074;S056,\Shigh,\S2026-07-13
\SCMM0036,\SEC012,\SM_ADMM_QP,\Savoid,\N,\Savoid: black-box;一般非凸を凸として誤分類;係数が不正確 / 空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,\SS021;S024;S028;S004;S010;S012;S013;S014;S016;S055;S062,\Smedium,\S2026-07-13
\SCMM0037,\SEC013,\SM_LEVENBERG_MARQUARDT,\Sfirst_choice,\SPMF00161,\S残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,\SS003;S041;S002;S056,\Shigh,\S2026-07-13
\SCMM0038,\SEC013,\SM_GAUSS_NEWTON,\Ssecond_choice,\SPMF00162,\S残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,\SS003;S041;S002;S056,\Shigh,\S2026-07-13
\SCMM0039,\SEC013,\SM_NELDER_MEAD,\Savoid,\SPMF00165,\Savoid: 高次元かつ高価;厳密大域証明;離散混合を無変換で扱う / 残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,\SS003;S041;S002;S018;S031;S060;S063,\Smedium,\S2026-07-13
\SCMM0040,\SEC014,\SM_GAUSS_NEWTON,\Sfirst_choice,\SPMF00276,\Srobust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,\SS003;S041;S002;S056,\Shigh,\S2026-07-13
\SCMM0041,\SEC014,\SM_BUNDLE,\Ssecond_choice,\SPMF00278,\Srobust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,\SS003;S041;S055;S061;S066;S067;S056,\Shigh,\S2026-07-13
\SCMM0042,\SEC014,\SM_CMA_ES,\Savoid,\SPMF00280,\Savoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / robust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,\SS003;S041;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SCMM0043,\SEC015,\SM_MIRROR_DESCENT,\Sfirst_choice,\SPMF00176,\Sentropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,\SS055;S066;S061;S067,\Shigh,\S2026-07-13
\SCMM0044,\SEC015,\SM_PROJECTED_GRADIENT,\Ssecond_choice,\SPMF00177,\Sentropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,\SS055;S066;S017;S029;S030;S056;S064,\Shigh,\S2026-07-13
\SCMM0045,\SEC015,\SM_LBFGS,\Savoid,\SPMF00180,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / entropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,\SS055;S066;S002;S056;S057;S065,\Smedium,\S2026-07-13
\SCMM0046,\SEC016,\SM_RIEMANNIAN_TRUST_REGION,\Sfirst_choice,\SPMF00181,\S多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,\SS041;S044;S071;S045,\Shigh,\S2026-07-13
\SCMM0047,\SEC016,\SM_RIEMANNIAN_GRADIENT,\Ssecond_choice,\SPMF00182,\S多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,\SS041;S044;S071;S045,\Shigh,\S2026-07-13
\SCMM0048,\SEC016,\SM_BFGS,\Savoid,\SPMF00184,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / 多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,\SS041;S044;S071;S002;S056;S057,\Smedium,\S2026-07-13
\SCMM0049,\SEC017,\SM_NSGA_II,\Sfirst_choice,\SPMF00186,\SNSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,\SS039;S068,\Shigh,\S2026-07-13
\SCMM0050,\SEC017,\SM_EPSILON_CONSTRAINT,\Ssecond_choice,\SPMF00190,\SNSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,\SS039;S068;S055,\Shigh,\S2026-07-13
\SCMM0051,\SEC017,\SM_WEIGHTED_SUM,\Savoid,\SPMF00189,\Savoid: 実際には単一utilityが明確;評価予算が極小 / NSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,\SS039;S068;S055,\Smedium,\S2026-07-13
\SCMM0052,\SEC018,\SM_CP_SAT,\Sfirst_choice,\SPMF00126,\Sglobal scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,\SS022;S053;S079,\Shigh,\S2026-07-13
\SCMM0053,\SEC018,\SM_BRANCH_CUT,\Ssecond_choice,\SPMF00128,\Sglobal scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,\SS022;S053;S005;S016;S021;S024;S025;S028,\Shigh,\S2026-07-13
\SCMM0054,\SEC018,\SM_GENETIC_ALGORITHM,\Savoid,\SPMF00130,\Savoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / global scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,\SS022;S053;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SCMM0055,\SEC019,\SM_LOCAL_SEARCH_COMBINATORIAL,\Sfirst_choice,\SPMF00151,\S大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,\SS023;S024;S054,\Shigh,\S2026-07-13
\SCMM0056,\SEC019,\SM_CP_SAT,\Ssecond_choice,\SPMF00152,\S大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,\SS023;S024;S022;S053;S079,\Shigh,\S2026-07-13
\SCMM0057,\SEC019,\SM_BRANCH_CUT,\Savoid,\SPMF00153,\Savoid: noiseを含むblack-box;曖昧なlogic;巨大Big-M / 大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,\SS023;S024;S005;S016;S021;S025;S028,\Smedium,\S2026-07-13
\SCMM0058,\SEC020,\SM_DIRECT_COLLOCATION,\Sfirst_choice,\SPMF00206,\Sdynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,\SS042;S043;S076;S050,\Shigh,\S2026-07-13
\SCMM0059,\SEC020,\SM_MULTIPLE_SHOOTING,\Ssecond_choice,\SPMF00207,\Sdynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,\SS042;S043;S076;S050,\Shigh,\S2026-07-13
\SCMM0060,\SEC020,\SM_BFGS,\Savoid,\N,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,\SS042;S043;S076;S002;S056;S057,\Smedium,\S2026-07-13
\SCMM0061,\SEC021,\SM_ADAMW,\Sfirst_choice,\SPMF00196,\SGPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,\SS047;S048;S049;S070,\Shigh,\S2026-07-13
\SCMM0062,\SEC021,\SM_MOMENTUM_SGD,\Ssecond_choice,\SPMF00197,\SGPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,\SS047;S048;S049;S070,\Shigh,\S2026-07-13
\SCMM0063,\SEC021,\SM_BFGS,\Savoid,\N,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,\SS047;S048;S049;S070;S002;S056;S057,\Smedium,\S2026-07-13
\SCMM0064,\SEC022,\SM_TPE,\Sfirst_choice,\SPMF00191,\Smixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,\SS034;S035;S037;S038;S036;S059;S069;S075,\Shigh,\S2026-07-13
\SCMM0065,\SEC022,\SM_HYPERBAND_ASHA,\Ssecond_choice,\SPMF00193,\Smixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,\SS034;S035;S037;S038;S036;S059;S069;S075,\Shigh,\S2026-07-13
\SCMM0066,\SEC022,\SM_CMA_ES,\Savoid,\N,\Savoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,\SS034;S035;S037;S038;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SCMM0067,\SEC023,\SM_BRANCH_CUT,\Sfirst_choice,\SPMF00111,\Sincumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,\SS005;S016;S021;S024;S025;S028,\Shigh,\S2026-07-13
\SCMM0068,\SEC023,\SM_CP_SAT,\Ssecond_choice,\SPMF00112,\Sincumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,\SS005;S016;S021;S024;S022;S053;S079,\Shigh,\S2026-07-13
\SCMM0069,\SEC023,\SM_GENETIC_ALGORITHM,\Savoid,\N,\Savoid: 評価が極端に高価で低予算;厳密証明;高次元で構造利用可能 / incumbentとbound/gapを返すexact solver。GAは候補解で証明なし。,\SS005;S016;S021;S024;S032;S033;S040;S058;S074,\Smedium,\S2026-07-13
\SCMM0070,\SEC024,\SM_LOCAL_SEARCH_COMBINATORIAL,\Sfirst_choice,\SPMF00151,\Sanytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,\SS023;S024;S054,\Shigh,\S2026-07-13
\SCMM0071,\SEC024,\SM_CP_SAT,\Ssecond_choice,\SPMF00152,\Sanytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,\SS023;S024;S022;S053;S079,\Shigh,\S2026-07-13
\SCMM0072,\SEC024,\SM_SPATIAL_BRANCH_BOUND,\Savoid,\N,\Savoid: noiseを含むblack-box;曖昧なlogic;巨大Big-M / anytime heuristic/CPでincumbentを早く得る。global proof法だけに固執しない。,\SS023;S024;S005;S016;S021;S025;S028,\Smedium,\S2026-07-13
\SCMM0073,\SEC025,\SM_ADMM_QP,\Sfirst_choice,\SPMF00211,\Sfactorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,\SS012;S043;S076;S004;S010;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SCMM0074,\SEC025,\SM_ACTIVE_SET_QP,\Ssecond_choice,\N,\Sfactorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,\SS012;S043;S076;S004;S010;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SCMM0075,\SEC025,\SM_DIFFERENTIAL_EVOLUTION,\Savoid,\N,\Savoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / factorization再利用/warm start/固定iterationが重要。大域population法はdeadline不適。,\SS012;S043;S076;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SCMM0076,\SEC026,\SM_NEWTON_CG,\Sfirst_choice,\SPMF00221,\Sadjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,\SS017;S019;S056;S002;S057,\Shigh,\S2026-07-13
\SCMM0077,\SEC026,\SM_TRUST_KRYLOV,\Ssecond_choice,\SPMF00222,\Sadjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,\SS017;S019;S056;S002;S003,\Shigh,\S2026-07-13
\SCMM0078,\SEC026,\SM_DIFFERENTIAL_EVOLUTION,\Savoid,\SPMF00225,\Savoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / adjoint/HVPとKrylov/preconditionerでmatrix-free。population法は評価budget不適。,\SS017;S019;S056;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SCMM0079,\SEC027,\SM_MADS,\Sfirst_choice,\SPMF00076,\Sfailure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,\SS031;S035;S002;S018;S060;S063,\Shigh,\S2026-07-13
\SCMM0080,\SEC027,\SM_RANDOM_SEARCH,\Ssecond_choice,\SPMF00077,\Sfailure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,\SS031;S035;S034;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SCMM0081,\SEC027,\SM_BFGS,\Savoid,\SPMF00080,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / failure-aware direct search/feasibility処理。gradient法はnonfiniteで破綻。,\SS031;S035;S002;S056;S057,\Smedium,\S2026-07-13
\SCMM0082,\SEC028,\SM_GAUSS_NEWTON,\Sfirst_choice,\SPMF00016,\Sまずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,\SS080;S056;S002;S003;S041,\Shigh,\S2026-07-13
\SCMM0083,\SEC028,\SM_LEVENBERG_MARQUARDT,\Ssecond_choice,\SPMF00017,\Sまずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,\SS080;S056;S002;S003;S041,\Shigh,\S2026-07-13
\SCMM0084,\SEC028,\SM_DIFFERENTIAL_EVOLUTION,\Savoid,\N,\Savoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / まずroot solver。overdetermined/noisyならleast-squares。大域heuristicは構造を浪費。,\SS080;S056;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
