diagnostic_id,name_ja,name_en,category,metric_name,definition_or_formula,interpretation,warning_threshold,recommended_action,collection_cost,applicable_method_ids,applicable_problem_ids,related_failure_mode_ids,source_ids,confidence,last_verified
\SD014,\SMIP gap,\SMIP optimality gap,\Sdiscrete,\Smip_gap,"\S|incumbent-bound| / max(1,|incumbent|)",\Sincumbent品質と証明残差。,\Ssolver定義・min/max・zero objectiveで差がある。,\Stime/node/cut/branching/formulationを改善。,\Slow,\S,\S,\S,\SS005;S016;S021;S024,\Shigh,\S2026-07-13
\SD015,\Sroot relaxation gap,\SRoot relaxation gap,\Sdiscrete,\Sroot_gap,\Sgap between best integer incumbent and root relaxation bound,\S大きいほど定式化/relaxationが弱い可能性。,\S初期incumbent不在時は別metric。,\SBig-M強化、valid inequalities、extended formulation。,\Slow,\SM_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND,\S,\SFM029,\SS021;S024,\Shigh,\S2026-07-13
\SD016,\SBig-M妥当性,\SBig-M audit,\Sdiscrete,\Sbig_m_tightness,\SM / smallest valid bound estimate,\S過大Mは数値性とrelaxationを悪化。,\Svalidity proofとunitを記録。,\Sbound propagation、indicator constraints、perspective。,\Smoderate,\SM_BRANCH_CUT;M_CP_SAT,\S,\SFM028,\SS021;S024,\Shigh,\S2026-07-13
\SD017,\S対称性指標,\SSymmetry indicators,\Sdiscrete,\Ssymmetry_count,\Sequivalent variable/solution orbits detected,\S対称性は重複branchを増やす。,\S検出は不完全でもよい。,\Ssymmetry-breaking constraints、canonical ordering。,\Smoderate,\SM_BRANCH_CUT;M_CP_SAT,\S,\SFM030,\SS021;S022,\Shigh,\S2026-07-13
\SD018,\SCP propagation統計,\SCP propagation statistics,\Sconstraint_programming,\Spropagation_rate,"\Spropagations/conflict, domain reductions, branches",\Sdomainが縮まらずbranchesだけ増えると弱いmodel。,\Ssolverごとに統計定義が異なる。,\Sglobal constraints、redundant constraints、search strategy。,\Slow,\SM_CP_SEARCH;M_CP_SAT,\S,\SFM032,\SS022;S053,\Shigh,\S2026-07-13
\SD019,\Ssurrogate交差検証,\SSurrogate cross-validation,\Ssurrogate,\Ssurrogate_cv_error,\Sout-of-sample RMSE/rank loss/log likelihood,\Smodel misspecificationを検出。,\Sadaptive dataなので通常CVの独立性に注意。,\Stransform、kernel/model、trust region、random baseline。,\Smoderate,\SM_BAYESIAN_OPT_GP;M_SMAC_RF,\S,\SFM033,\SS035;S059,\Shigh,\S2026-07-13
\SD020,\Ssurrogate校正,\SSurrogate uncertainty calibration,\Ssurrogate,\Scoverage_calibration,\Sempirical coverage of predictive intervals,\S不確実性が過小/過大かを見る。,\Ssmall sampleでは区間が広い。,\Snoise model、prior、ensemble、replication。,\Smoderate,\SM_BAYESIAN_OPT_GP,\S,\SFM034,\SS035;S059,\Shigh,\S2026-07-13
\SD021,\Sacquisition健全性,\SAcquisition optimization health,\Ssurrogate,\Sacquisition_health,"\Sduplicate rate, optimizer restarts, acquisition value",\S同一点・境界への固着や局所最適化失敗を検出。,\Sbatch pending pointsを考慮。,\Smulti-start、raw samples、constraints、fallback random。,\Smoderate,\SM_BAYESIAN_OPT_GP;M_TURBO_SAASBO,\S,\SFM035,\SS035,\Shigh,\S2026-07-13
\SD022,\Spopulation多様性,\SPopulation diversity,\Sevolutionary,\Spopulation_diversity,\Spairwise distance / entropy / covariance eigenvalues,\Scollapseはpremature convergenceの兆候。,\Smixed variablesでは距離定義を明示。,\Srestart、mutation、niching、population増加。,\Slow,\SM_CMA_ES;M_GENETIC_ALGORITHM;M_NSGA_II,\S,\SFM037,\SS032;S039;S058,\Shigh,\S2026-07-13
\SD023,\Sseed間変動,\SAcross-seed variability,\Sstochastic,\Sseed_variance,\Sdistribution of best value/feasibility/time across seeds,\S単一runの偶然を検出。,\S同じbudget・hardware条件で比較。,\S複数seed、median/quantile、reproducibility log。,\Shigh,\Sstochastic methods,\S,\SFM038,\SS034;S038,\Shigh,\S2026-07-13
\SD024,\S評価budget台帳,\SEvaluation budget ledger,\Sbudget,\Sevaluation_ledger,"\Sobjective, constraint, gradient-equivalent calls and wall time",\Siteration数と実評価費を分離。,\Scached/parallel/failed evaluationsも数える。,\Sbudget-based stoppingとmethod比較を修正。,\Slow,\SM_NELDER_MEAD;M_MADS;M_COBYQA;all,\S,\SFM022;FM023,\SS056;S059,\Shigh,\S2026-07-13
\SD025,\S評価失敗率,\SEvaluation failure rate,\Sevaluation,\Sfailure_rate,\Sfailed evaluations / attempted evaluations,\S可行領域modelとrobustnessを評価。,\Sfailure reasonをNaN/timeout/exceptionに分解。,\Sdomain guard、safe exploration、failure classifier。,\Slow,\SM_BAYESIAN_OPT_GP;M_CMA_ES;M_MADS,\S,\SFM005,\SS031;S035,\Shigh,\S2026-07-13
\SD026,\Stimeout/censoring,\STimeout and censoring,\Sevaluation,\Stimeout_rate,\Stimeouts and censored objective distribution,\Stimeout値を悪いobjectiveと同一視するとbias。,\Scutoff policyとright-censoringを記録。,\Sadaptive cutoff、censor-aware model、resource cap。,\Smoderate,\SM_TPE;M_SMAC_RF;M_BAYESIAN_OPT_GP,\S,\SFM006,\SS037;S038,\Shigh,\S2026-07-13
\SD027,\SNaN/Inf監査,\SNaN/Inf audit,\Sevaluation,\Snonfinite_rate,"\Scount and location of NaN/Inf in f,c,g,J,H",\Sdomain/overflow/solver failureを区別。,\Spenalty置換前の原因を保存。,\Sinput validation、stable numerics、safe wrapper。,\Slow,\Sall,\S,\SFM004,\SS002;S031,\Shigh,\S2026-07-13
\SD028,\Sstatus整合性,\SSolver status consistency,\Sreporting,\Sstatus_consistency,"\Sstatus vs recomputed feasibility, stationarity, gap",\Ssuccess flagの誤読を防ぐ。,\Ssolver/versionごとにstatus意味が異なる。,\Sraw status/message/residualを保存し再検証。,\Slow,\Sall implementations;M_SIMPLEX;M_DUAL_SIMPLEX,\S,\SFM025;FM027,\SS002;S016;S017,\Shigh,\S2026-07-13
\SD029,\Swarm-start効果,\SWarm-start effectiveness,\Srepeated,\Swarm_start_gain,\Scold time/iterations minus warm time/iterations; quality delta,\Swarm startが速いか、bias/失敗を生まないか。,\Sproblem変化量と共に記録。,\Sreset条件、state validation、cold fallback。,\Smoderate,\SM_ADMM_QP;M_INTERIOR_POINT_NLP;M_MULTIPLE_SHOOTING,\S,\SFM042,\SS012;S043,\Shigh,\S2026-07-13
\SD030,\Strajectory defect,\STrajectory dynamics defect,\Soptimal_control,\Sdynamics_defect,\Smax/weighted norm of discretized dynamics residual,\S離散trajectoryの動力学可行性。,\Sintegrator/mesh/orderに依存。,\Smesh refinement、multiple shooting、integrator改善。,\Shigh,\SM_DIRECT_COLLOCATION;M_MULTIPLE_SHOOTING,\S,\SFM040,\SS042;S043,\Shigh,\S2026-07-13
\SD031,\Smesh収束,\SMesh refinement convergence,\Soptimal_control,\Smesh_convergence,\Ssolution/cost/constraint change under mesh refinement,\S離散化artifactを検出。,\S局所解のbasin変化と離散化誤差を分ける。,\Sadaptive mesh、higher-order collocation。,\Shigh,\SM_DIRECT_COLLOCATION;M_MULTIPLE_SHOOTING,\S,\SFM040,\SS042;S050,\Shigh,\S2026-07-13
\SD032,\S多様体可行性,\SManifold feasibility,\Smanifold,\Smanifold_residual,\Sorthogonality/determinant/unit-norm/retraction residual,\Sintrinsic constraintが数値的に保たれているか。,\Srepresentationごとのresidualを使用。,\Sretraction、projection、parameterizationを修正。,\Slow,\SM_RIEMANNIAN_GRADIENT;M_BFGS,\S,\SFM041,\SS044;S045;S071,\Shigh,\S2026-07-13
\SD033,\Svalidation generalization,\SValidation generalization,\Smachine_learning,\Sgeneralization_gap,\Svalidation metric - training metric over time,\Soverfit/early stoppingを検出。,\Sdata leakage・distribution shiftを別確認。,\Sregularization、split修正、early stopping。,\Slow,\SM_HYPERBAND_ASHA;M_PBT,\S,\SFM036,\SS048;S049,\Shigh,\S2026-07-13
\SD034,\SPareto quality,\SPareto-set quality,\Smultiobjective,\Spareto_quality,"\Shypervolume, epsilon indicator, spacing, coverage",\S収束と多様性を複数metricで評価。,\Sreference point/normalizationで値が変わる。,\Sreference directions、budget、normalization。,\Smoderate,\S,\S,\S,\SS039;S068,\Shigh,\S2026-07-13
\SD035,\S再現性record,\SReproducibility record,\Sgovernance,\Sreproducibility_completeness,"\Sseed, version, hardware, options, data hash, code hash completeness",\S再現に必要なmetadataの欠落を検出。,\Sdeterministic flagだけでは不足。,\Sexperiment manifestとartifact保存。,\Slow,\S,\S,\S,\SS034;S038,\Shigh,\S2026-07-13
\SD036,\S目的scale/weight監査,\SObjective scaling and weights,\Snumerical,\Sobjective_scale_audit,"\Sterm magnitudes, gradients, chosen weights",\S一項が他項を意図せず支配していないか。,\SPareto/penalty/regularizationで特に重要。,\Snondimensionalize、weight sensitivity、lexicographic。,\Smoderate,\Sall,\S,\SFM008,\SS055;S056,\Shigh,\S2026-07-13
\SD037,\S可行性phase-I,\SFeasibility phase-I,\Sconstraint,\Sphase1_objective,\Sminimum aggregate constraint violation,\S不整合か、初期値/solverの問題かを分離。,\Spenalty normとscaleを明示。,\SIIS、constraint isolation、relaxation。,\Smoderate,\Sall constrained,\S,\SFM014,\SS016;S021;S024,\Shigh,\S2026-07-13
\SD038,\Sprimal/dual bound整合,\SBound consistency,\Scertificate,\Sbound_consistency,"\Sprimal bound, dual/lower bound, monotonicity, sign",\S証明値の方向・gap計算誤りを防ぐ。,\Smin/max変換とobjective offsetを記録。,\Ssolver-native valuesを保存し再計算。,\Slow,\S,\S,\S,\SS016;S021;S024,\Shigh,\S2026-07-13
\SD039,\SHPO leakage監査,\SHPO leakage audit,\Smachine_learning,\Sleakage_checks,"\Sreuse of test labels, preprocessing fit scope, nested CV compliance",\S最適化がtest setへ過適合するのを防ぐ。,\Svalidation noiseとleakageを区別。,\Snested evaluation、sealed test、pipeline encapsulation。,\Shigh,\SM_TPE;M_BAYESIAN_OPT_GP;M_HYPERBAND_ASHA,\S,\SFM039,\SS034;S075,\Shigh,\S2026-07-13
\SD040,\Sinner-solver精度,\SInner solver accuracy,\Snested,\Sinner_solver_residual,\Sinner residual/tolerance vs outer progress,\Sinexact inner solveがouter derivative/modelを壊すか。,\Sadaptive tolerance policyを記録。,\Sforcing sequence、warm start、failure propagation。,\Shigh,\SM_ADMM_QP;M_INTERIOR_POINT_NLP;M_MULTIPLE_SHOOTING,\S,\SFM042,\SS056,\Shigh,\S2026-07-13
\SD041,\Sglobal保証整合,\SGlobal guarantee alignment,\Sgovernance,\Sguarantee_alignment,\Srequired certificate vs method/solver provided certificate,\S『global search』と『global proof』の混同を検出。,\Smodel assumptions/convexity/terminationも含む。,\Scertificate-capable formulation/solverへ切替。,\Slow,\SM_BFGS;M_SQP;M_INTERIOR_POINT_NLP;M_CMA_ES;M_DIFFERENTIAL_EVOLUTION;M_BAYESIAN_OPT_GP,\S,\SFM016;FM017,\SS021;S024;S055,\Shigh,\S2026-07-13
\SD042,\Sblack-box subclass確認,\SBlack-box subclass audit,\Sgovernance,\Sblack_box_profile,"\Sdimension,cost,noise,parallelism,failure,variable type,smoothness fields complete",\Sblack-boxを単一classとして扱う誤りを防ぐ。,\Sunknownは許容し未確認を明示。,\S追加実験/質問でprofileを埋める。,\Slow,\S,\S,\S,\SS031;S035;S059,\Shigh,\S2026-07-13
