feature_id,feature_code,category,name_ja,name_en,value_type,unit,allowed_vocab_id,definition,why_it_matters,boundary_notes,source_ids,confidence,last_verified
\SF_DERIVATIVE_COMPLEX_STEP,\Sderivative.complex_step,\Sderivative,\Scomplex step,\SComplex Step,\Senum,\S,\Struth_status,\Scomplex step,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_GRADIENT_ESTIMATION,\Sderivative.gradient_estimation,\Sderivative,\Sgradient estimation,\SGradient Estimation,\Senum,\S,\Struth_status,\Sgradient estimation,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_HESSIAN,\Sderivative.hessian,\Sderivative,\Shessian,\SHessian,\Senum,\S,\Struth_status,\Shessian,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_HVP,\Sderivative.hvp,\Sderivative,\Shvp,\SHvp,\Senum,\S,\Struth_status,\Shvp,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_INNER_ITERATION,\Sderivative.inner_iteration,\Sderivative,\Sinner iteration,\SInner Iteration,\Senum,\S,\Struth_status,\Sinner iteration,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_INTERNAL_RANDOMNESS,\Sderivative.internal_randomness,\Sderivative,\Sinternal randomness,\SInternal Randomness,\Senum,\S,\Struth_status,\Sinternal randomness,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_JACOBIAN,\Sderivative.jacobian,\Sderivative,\Sjacobian,\SJacobian,\Senum,\S,\Struth_status,\Sjacobian,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_NOISY,\Sderivative.noisy,\Sderivative,\Snoisy,\SNoisy,\Senum,\S,\Struth_status,\Snoisy,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_NOT_DIFFERENTIABLE,\Sderivative.not_differentiable,\Sderivative,\Snot differentiable,\SNot Differentiable,\Senum,\S,\Struth_status,\Snot differentiable,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_NUMDIFF_BUDGET_LIMITED,\Sderivative.numdiff_budget_limited,\Sderivative,\Snumdiff budget limited,\SNumdiff Budget Limited,\Senum,\S,\Struth_status,\Snumdiff budget limited,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_NUMDIFF_SCALE_UNSTABLE,\Sderivative.numdiff_scale_unstable,\Sderivative,\Snumdiff scale unstable,\SNumdiff Scale Unstable,\Senum,\S,\Struth_status,\Snumdiff scale unstable,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_NUMERICAL,\Sderivative.numerical,\Sderivative,\Snumerical,\SNumerical,\Senum,\S,\Struth_status,\Snumerical,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_STOCHASTIC_GRADIENT,\Sderivative.stochastic_gradient,\Sderivative,\Sstochastic gradient,\SStochastic Gradient,\Senum,\S,\Struth_status,\Sstochastic gradient,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_SUBGRADIENT,\Sderivative.subgradient,\Sderivative,\Ssubgradient,\SSubgradient,\Senum,\S,\Struth_status,\Ssubgradient,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DERIVATIVE_UNRELIABLE,\Sderivative.unreliable,\Sderivative,\Sunreliable,\SUnreliable,\Senum,\S,\Struth_status,\Sunreliable,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_DIMENSION_CONTEXT,\Sdimension_context,\Sscale,\S次元文脈,\SDimension context,\Senum,\S,\SF_DIMENSION_CONTEXT_values,\S次元文脈,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_EVALUATION_COST,\Sevaluation_cost,\Sbudget,\S評価費,\SEvaluation cost,\Senum,\S,\SF_EVALUATION_COST_values,\S評価費,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_EVALUATION_RELIABILITY,\Sevaluation_reliability,\Sevaluation,\S評価信頼性,\SEvaluation reliability,\Senum,\S,\SF_EVALUATION_RELIABILITY_values,\S評価信頼性,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_ANYTIME,\Sguarantee.anytime,\Sguarantee,\Sanytime,\SAnytime,\Senum,\S,\Struth_status,\Sanytime,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_APPROXIMATION_GUARANTEE,\Sguarantee.approximation_guarantee,\Sguarantee,\Sapproximation guarantee,\SApproximation Guarantee,\Senum,\S,\Struth_status,\Sapproximation guarantee,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_BOUNDS,\Sguarantee.bounds,\Sguarantee,\Sbounds,\SBounds,\Senum,\S,\Struth_status,\Sbounds,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_EXACT_REQUIRED,\Sguarantee.exact_required,\Sguarantee,\Sexact required,\SExact Required,\Senum,\S,\Struth_status,\Sexact required,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_FEASIBLE_ONLY,\Sguarantee.feasible_only,\Sguarantee,\Sfeasible only,\SFeasible Only,\Senum,\S,\Struth_status,\Sfeasible only,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_GLOBAL_CERTIFICATE,\Sguarantee.global_certificate,\Sguarantee,\Sglobal certificate,\SGlobal Certificate,\Senum,\S,\Struth_status,\Sglobal certificate,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_GLOBAL_DESIRED,\Sguarantee.global_desired,\Sguarantee,\Sglobal desired,\SGlobal Desired,\Senum,\S,\Struth_status,\Sglobal desired,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_HEURISTIC_OK,\Sguarantee.heuristic_ok,\Sguarantee,\Sheuristic ok,\SHeuristic Ok,\Senum,\S,\Struth_status,\Sheuristic ok,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_LOCAL_OK,\Sguarantee.local_ok,\Sguarantee,\Slocal ok,\SLocal Ok,\Senum,\S,\Struth_status,\Slocal ok,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_MULTIPLE_SOLUTIONS,\Sguarantee.multiple_solutions,\Sguarantee,\Smultiple solutions,\SMultiple Solutions,\Senum,\S,\Struth_status,\Smultiple solutions,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_OPTIMALITY_GAP,\Sguarantee.optimality_gap,\Sguarantee,\Soptimality gap,\SOptimality Gap,\Senum,\S,\Struth_status,\Soptimality gap,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_PARETO_SET,\Sguarantee.pareto_set,\Sguarantee,\Spareto set,\SPareto Set,\Senum,\S,\Struth_status,\Spareto set,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_REPRODUCIBILITY,\Sguarantee.reproducibility,\Sguarantee,\Sreproducibility,\SReproducibility,\Senum,\S,\Struth_status,\Sreproducibility,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_GUARANTEE_UNCERTAINTY,\Sguarantee.uncertainty,\Sguarantee,\Suncertainty,\SUncertainty,\Senum,\S,\Struth_status,\Suncertainty,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NOISE_LEVEL,\Snoise_level,\Sobjective,\Sノイズ,\SNoise level,\Senum,\S,\SF_NOISE_LEVEL_values,\Sノイズ,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_BOUNDARY_SOLUTION,\Snumerical.boundary_solution,\Snumerical,\Sboundary solution,\SBoundary Solution,\Senum,\S,\Struth_status,\Sboundary solution,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_FLAT_REGION,\Snumerical.flat_region,\Snumerical,\Sflat region,\SFlat Region,\Senum,\S,\Struth_status,\Sflat region,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_ILL_CONDITIONED,\Snumerical.ill_conditioned,\Snumerical,\Sill conditioned,\SIll Conditioned,\Senum,\S,\Struth_status,\Sill conditioned,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_INCONSISTENT_CONSTRAINTS,\Snumerical.inconsistent_constraints,\Snumerical,\Sinconsistent constraints,\SInconsistent Constraints,\Senum,\S,\Struth_status,\Sinconsistent constraints,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_INITIALIZATION_SENSITIVE,\Snumerical.initialization_sensitive,\Snumerical,\Sinitialization sensitive,\SInitialization Sensitive,\Senum,\S,\Struth_status,\Sinitialization sensitive,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_MANY_LOCAL_OPTIMA,\Snumerical.many_local_optima,\Snumerical,\Smany local optima,\SMany Local Optima,\Senum,\S,\Struth_status,\Smany local optima,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_NARROW_VALLEY,\Snumerical.narrow_valley,\Snumerical,\Snarrow valley,\SNarrow Valley,\Senum,\S,\Struth_status,\Snarrow valley,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_NONDETERMINISTIC,\Snumerical.nondeterministic,\Snumerical,\Snondeterministic,\SNondeterministic,\Senum,\S,\Struth_status,\Snondeterministic,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_NONIDENTIFIABLE,\Snumerical.nonidentifiable,\Snumerical,\Snonidentifiable,\SNonidentifiable,\Senum,\S,\Struth_status,\Snonidentifiable,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_OBJECTIVE_SCALE,\Snumerical.objective_scale,\Snumerical,\Sobjective scale,\SObjective Scale,\Senum,\S,\Struth_status,\Sobjective scale,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_RANK_DEFICIENT,\Snumerical.rank_deficient,\Snumerical,\Srank deficient,\SRank Deficient,\Senum,\S,\Struth_status,\Srank deficient,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_REDUNDANT_CONSTRAINTS,\Snumerical.redundant_constraints,\Snumerical,\Sredundant constraints,\SRedundant Constraints,\Senum,\S,\Struth_status,\Sredundant constraints,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_ROUNDOFF,\Snumerical.roundoff,\Snumerical,\Sroundoff,\SRoundoff,\Senum,\S,\Struth_status,\Sroundoff,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_SADDLE,\Snumerical.saddle,\Snumerical,\Ssaddle,\SSaddle,\Senum,\S,\Struth_status,\Ssaddle,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
\SF_NUMERICAL_SCALING,\Snumerical.scaling,\Snumerical,\Sscaling,\SScaling,\Senum,\S,\Struth_status,\Sscaling,\S手法・実装・保証・計算費の選択を変える。,\S,\SS054;S055;S056,\Shigh,\S2026-07-13
