implementation_id,library_name,solver_name,api_name,method_selector,language,license,commercial_model,free_use_conditions,open_source,os_support,problem_formats,variable_support,constraint_support,analytic_derivatives,autodiff,numerical_diff,sparse_support,parallelism,gpu_support,warm_start,callback,termination_controls,initialization,constraint_violation_reporting,optimality_info,dual_variables,optimality_gap,sensitivity_info,status_codes,major_options,default_safety,documentation_quality,beginner_usability,maintenance_status,last_release,last_verified,official_docs_url,official_repo_url,usage_example,notes,supported_method_ids,implementation_differences,source_ids,confidence
\SI_DEAP,\SDEAP,\SDEAP evolutionary framework,\Sdeap.algorithms / toolbox,\S,\SPython,\SLGPL-3.0,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Scustom evolutionary algorithms,\Sarbitrary encoded individuals,\Scustom penalty/repair,\Sno,\Sno,\Sno,\Snot_applicable,\Smap abstraction,\Sno,\Scustom_population,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Sno,\Sno,\Sno,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sframework_requires_design,\Shigh,\Sexpert,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://deap.readthedocs.io/en/master/,\Shttps://github.com/DEAP/deap,\Sdeap.algorithms / toolbox(...),\Sframeworkでありdefault solverではない。encoding/operator/fitness/constraint処理の妥当性は利用者責任。,\SM_GENETIC_ALGORITHM;M_PARTICLE_SWARM;M_NSGA_II,\S,\SS040,\Shigh
\SI_DRAKE,\SDrake,\SMathematicalProgram / trajectory optimization,\Spydrake.solvers.MathematicalProgram,\S,\SC++;Python,\SBSD-3-Clause,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Srobotics mathematical programs;trajectory optimization,\Scontinuous;binary by backend;rotations/trajectories,\Sbounds;linear;quadratic;nonlinear;PSD/SOC by backend,\Syes,\Syes_AutoDiffXd,\Sexternal,\Sbackend_dependent,\Sbackend_dependent,\Sno,\Sbackend_dependent,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Sbackend_dependent,\Sbackend_dependent,\Spartial,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Ssolver_selection_required,\Shigh,\Sexpert,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://drake.mit.edu/doxygen_cxx/group__solvers.html,\Shttps://github.com/RobotLocomotion/drake,\Spydrake.solvers.MathematicalProgram(...),\SMathematicalProgramと個別solver、geometry/trajectory classesを分離。,\SM_DIRECT_COLLOCATION;M_MULTIPLE_SHOOTING;M_INTERIOR_POINT_NLP;M_BRANCH_CUT,\S,\SS050,\Shigh
\SI_EXCEL_SOLVER,\SMicrosoft Excel,\SSolver add-in,\SExcel Solver UI,\S,\SExcel/VBA,\SProprietary bundled component,\Scommercial,\SAvailability depends on Microsoft 365/Office license and platform.,\Sno,\SWindows;macOS_feature_differences,\Ssmall spreadsheet LP/NLP/integer models,\Scontinuous;integer;binary,\Scell bounds;algebraic spreadsheet constraints,\Sno,\Sno,\Simplementation_dependent,\Sno,\Sno,\Sno,\Scurrent_cell_values,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Spartial_reports_by_method,\Slimited,\SLP_reports,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional,\Shigh,\Shigh,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://support.microsoft.com/en-us/office/define-and-solve-a-problem-by-using-solver-5d1a388f-079d-43ac-a7eb-f63e45925040,\S,\SExcel Solver UI(...),\S教育・小規模GUI用途。engine/version/option、scale、integer tolerance、status reportを保存し再現性を確保。,\SM_SIMPLEX;M_GRADIENT_DESCENT;M_BRANCH_BOUND,\S,\SS081,\Shigh
\SI_GLPK,\SGNU GLPK,\SGLPK,\Sglpsol / swiglpk,\S,\SC;command line;wrappers,\SGPL-3.0,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\SLP;MILP,\Scontinuous;integer;binary,\Sbounds;linear,\Snot_applicable,\Sno,\Snot_applicable,\Syes,\Slimited,\Sno,\Syes_for_basis,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\Syes,\Spartial,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional,\Shigh,\Smedium,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://www.gnu.org/software/glpk/,\Shttps://git.savannah.gnu.org/cgit/glpk.git,\Sglpsol / swiglpk(...),\S,\SM_SIMPLEX;M_BARRIER_LP_QP;M_BRANCH_CUT,\S,\SS027,\Shigh
\SI_GUROBI,\SGurobi Optimizer,\SGurobi,\Sgurobipy.Model.optimize,\S,\SPython;C;C++;Java;C#;R;Matlab,\SProprietary,\Scommercial_with_free_tiers,\SRestricted academic/evaluation/cloud conditions; verify current license.,\Sno,\Scross_platform,\SLP;QP;QCP;MIP;MIQP;MIQCP;selected nonlinear,\Scontinuous;integer;binary;semi-continuous;semi-integer,\Sbounds;linear;quadratic;indicator;SOS;general constraints,\Smodel_based,\Sno,\Snot_applicable,\Syes,\Syes,\Sno_or_feature_dependent,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes_for_continuous/relaxation,\Syes,\Syes_for_supported_models,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sgood,\Shigh,\Shigh,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://docs.gurobi.com/projects/optimizer/en/current/,\S,\Sgurobipy.Model.optimize(...),"\Sstatus, incumbent, bound, MIP gap, numeric warningsを区別。nonconvex設定とglobal保証範囲を公式manualで確認。",\SM_SIMPLEX;M_BARRIER_LP_QP;M_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND,\S,\SS024,\Shigh
\SI_HIGHS_NATIVE,\SHiGHS,\SHiGHS,\Shighspy.Highs / C++ API,\S,\SPython;C++;C#;Julia;others,\SMIT,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\SLP;MIP;convex QP,\Scontinuous;integer;binary,\Sbounds;linear;quadratic objective,\Snot_applicable,\Sno,\Snot_applicable,\Syes,\Syes_by_solver,\Sno,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\Syes,\Spartial,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sgood,\Shigh,\Smedium,\Sactive_docs_verified,\S1.15.1,\S2026-07-13,\Shttps://highs.dev/,\Shttps://github.com/ERGO-Code/HiGHS,\Shighspy.Highs / C++ API(...),\SNative APIはbasis/MIP start等をSciPy wrapperより広く公開する場合がある。,\SM_SIMPLEX;M_DUAL_SIMPLEX;M_BARRIER_LP_QP;M_BRANCH_CUT,\S,\SS016;S083,\Shigh
\SI_IPOPT,\SIpopt,\SIpopt,\Scyipopt.minimize_ipopt / native NLP interface,\S,\SC++;Python wrappers;Julia;AMPL;others,\SEPL-2.0,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Slarge-scale smooth NLP,\Scontinuous,\Sbounds;linear;nonlinear,\Syes_required/recommended,\Svia_modeling_tool,\Sexternal_or_limited,\Syes,\Slinear_solver_dependent,\Sno,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\SKKT_not_global_gap,\Svia_tools,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional,\Shigh,\Smedium,\Sactive_docs_verified,\S3.14.19,\S2026-07-13,\Shttps://coin-or.github.io/Ipopt/,\Shttps://github.com/coin-or/Ipopt,\Scyipopt.minimize_ipopt / native NLP interface(...),\S滑らかなNLPのみ。sparse derivativeと線形solver選択が性能を左右。非凸では局所KKT点。,\SM_INTERIOR_POINT_NLP,\S,\SS017;S087,\Shigh
\SI_JAXOPT,\SJAXopt,\SJAXopt,\Sjaxopt.*,\S,\SPython,\SApache-2.0,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Sdifferentiable optimization;first/second-order;implicit differentiation,\Scontinuous,\Sunconstrained;bounds;structured by solver,\Syes_via_JAX,\Syes,\Sno,\SJAX_dependent,\SJAX_vmap/pmap,\Syes_JAX,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Smethod_dependent,\Smethod_dependent,\Syes_implicit_diff,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional,\Shigh,\Smedium,\Slegacy,\S0.8.5,\S2026-07-13,\Shttps://jaxopt.github.io/stable/,\Shttps://github.com/google/jaxopt,\Sjaxopt.*(...),\Sofficial repository status/maintenance cadenceを確認。JAX compilation/static shapeとsolver differentiabilityに注意。 Official repository states that JAXopt is no longer maintained or developed; evaluate JAX/Optax alternatives before new adoption.,\SM_LBFGS;M_PROJECTED_GRADIENT;M_GAUSS_NEWTON;M_PROX_GRADIENT,\S,\SS046;S093,\Shigh
\SI_JUMP,\SJuMP,\SJuMP modeling language,\SJuMP.optimize!,\Soptimizer backend,\SJulia,\SMIT,\Smodeling_layer,\SOpen-source license terms apply.,\Syes,\Scross_platform,\SLP;QP;conic;NLP;MIP via MathOptInterface backends,\Scontinuous;integer;binary;cone variables,\Sbackend-dependent algebraic constraints,\Ssymbolic/AD,\Syes_for_NLP,\Sbackend_dependent,\Sbackend_dependent,\Sbackend_dependent,\Sbackend_dependent,\Sbackend_dependent,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Sbackend_dependent,\Sbackend_dependent,\Sextensions/backend,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Ssolver_selection_required,\Shigh,\Shigh,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://jump.dev/JuMP.jl/stable/,\Shttps://github.com/jump-dev/JuMP.jl,"\SJuMP.optimize!(..., method='optimizer backend')",\SJuMPはmodeling layer。MathOptInterface属性とbackend capabilityを別管理。,\SM_SIMPLEX;M_PRIMAL_DUAL_CONIC;M_BRANCH_CUT;M_INTERIOR_POINT_NLP,\S,\SS051,\Shigh
\SI_KNITRO,\SArtelys Knitro,\SKnitro,\Sknitro Python/native APIs,\Salgorithm option,\SPython;C;C++;Java;Fortran;Matlab;R,\SProprietary,\Scommercial_with_free_tiers,\SAcademic/evaluation/commercial terms vary.,\Sno,\Scross_platform,\Ssmooth NLP;least squares;MINLP,\Scontinuous;integer;binary,\Sbounds;linear;nonlinear;complementarity by features,\Syes,\Svia_modeling_tools,\Syes/options,\Syes,\Syes,\Sno,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\Syes_for_MINLP,\Syes_by_feature,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sgood,\Shigh,\Smedium,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://www.artelys.com/app/docs/knitro/,\S,"\Sknitro Python/native APIs(..., method='algorithm option')",\S,\SM_INTERIOR_POINT_NLP;M_SQP;M_ACTIVE_SET;M_BRANCH_BOUND,\S,\SS029,\Shigh
\SI_MANOPT_JL,\SManopt.jl,\SManopt.jl,\SManopt.jl solver functions,\S,\SJulia,\SMIT,\Sopen_source,\SOpen-source MIT license terms apply.,\Syes,\Scross_platform,\SRiemannian manifold optimization,\Smanifold variables,\Sintrinsic manifold constraint,\Syes,\Svia Julia ecosystem/extensions,\Sdiagnostic_tools,\Slinear_algebra_dependent,\SJulia/backend_dependent,\Sbackend_dependent,\Syes,\Sdecorators_and_recording,\Sstopping_criteria;iteration_limit;time_or_evaluation_limit_by_solver,\Sinitial_manifold_point,\Sintrinsic_feasibility_by_manifold,\Syes,\Sno,\Sno,\Sno,\Ssolver_state_and_stopping_reason,\Sretraction;vector_transport;stopping_criterion;stepsize;debug;record,\Sconditional,\Shigh,\Smedium,\Sactive_docs_verified,\S0.6.1,\S2026-07-13,\Shttps://manoptjl.org/,\Shttps://github.com/JuliaManifolds/Manopt.jl,\Susing Manopt; gradient_descent(...),"\SAPI and extension behavior can change by version; verify manifold, retraction, gradient/Hessian conventions, and backend.",\SM_RIEMANNIAN_GRADIENT;M_RIEMANNIAN_TRUST_REGION,\SJulia-native manifold ecosystem and configurable decorators/stopping criteria.,\SS095,\Shigh
\SI_MANOPT_MATLAB,\SManopt,\SManopt,\Strustregions / conjugategradient / steepestdescent,\S,\SMATLAB,\SGPL-3.0-or-later,\Sopen_source,\SOpen-source under GPL-3.0-or-later; redistribution and derivative works must follow GPL terms.,\Syes,\Scross_platform,\SRiemannian manifold optimization,\Smanifold variables,\Sintrinsic manifold constraint,\Syes,\Spartial/tools,\Syes_checkgradient,\Slinear_algebra_dependent,\SMATLAB/backend,\SMATLAB/backend,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Sno,\Sno,\Sno,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional,\Shigh,\Smedium,\Sactive_docs_verified,\S8.0,\S2026-07-13,\Shttps://www.manopt.org/,\Shttps://github.com/NicolasBoumal/manopt,\Strustregions / conjugategradient / steepestdescent(...),\SOfficial repository README states Manopt 8.0 and GPL version 3 or later.,\SM_RIEMANNIAN_GRADIENT;M_RIEMANNIAN_TRUST_REGION,\S,\SS045;S092,\Shigh
\SI_MINIZINC,\SMiniZinc,\SMiniZinc modeler,\Sminizinc command/API,\Ssolver backend,\SMiniZinc;Python/C#/Java interfaces,\SMPL-2.0,\Smodeling_layer,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Sconstraint programming;MIP;SAT via backend,\Sinteger;binary;finite domain;set;float by backend,\Sglobal/logical/algebraic constraints,\Snot_applicable,\Sno,\Snot_applicable,\Sbackend_dependent,\Sbackend_dependent,\Sno,\Sbackend_dependent,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Sbackend_dependent,\Sbackend_dependent,\Sno,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Ssolver_selection_required,\Shigh,\Shigh,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://docs.minizinc.dev/en/stable/,\Shttps://github.com/MiniZinc/libminizinc,"\Sminizinc command/API(..., method='solver backend')",\Smodel/flattening/backendの三層。global constraintがbackendで分解される差を確認。,\SM_CP_SEARCH;M_CP_SAT;M_BRANCH_CUT;M_CDCL_SAT,\S,\SS053,\Shigh
\SI_MOSEK,\SMOSEK,\SMOSEK Optimizer,\Smosek / Fusion API,\S,\SPython;C;C++;Java;.NET;Matlab;R,\SProprietary,\Scommercial_with_free_tiers,\SAcademic and trial conditions vary; verify current license.,\Sno,\Scross_platform,\SLP;QP;SOCP;SDP;exponential/power cone;MIP,\Scontinuous;integer;binary;cone/PSD variables,\Slinear;quadratic;conic;semidefinite,\Smodel_based,\Sno,\Snot_applicable,\Syes,\Syes,\Sno,\Syes_by_optimizer,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\Syes,\Simplementation_dependent,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sgood,\Shigh,\Smedium,\Sactive_docs_verified,\S11.2.2 (official docs observed),\S2026-07-13,\Shttps://docs.mosek.com/latest/pythonapi/index.html,\S,\Smosek / Fusion API(...),\S錐/SDPの代表的商用solver。problem reformulationとcone supportを確認。,\SM_PRIMAL_DUAL_CONIC;M_BARRIER_LP_QP;M_BRANCH_CUT,\S,\SS028,\Shigh
