rule_id,question_id,answer_condition,condition_expression,action_type,action_target_type,action_target_ids,priority_effect,explanation,warnings,next_question_id,stop_or_continue,source_ids,confidence,last_verified
\SR011,\SQ02,\Sexperiment_only,\Sanswer(Q02) contains 'experiment_only',\Spromote_method,\Smethod,\SM_BAYESIAN_OPT_GP;M_RANDOM_SEARCH,\Shigh,\S高価な実験ではsequential design/surrogateが有力。,\S安全制約・replication・driftをmodel化。,\SQ03,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR012,\SQ02,\Sunknown,\Sanswer(Q02) contains 'unknown',\Sask_followup,\Salternative,\SALT_GENERIC_OPT;ALT_ROOT;ALT_FEASIBILITY,\Snone,\S本当にoptimizationか、root/feasibility/closed-formかを先に整理。,\S,\SQ03,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR013,\SQ03,\Slinear,\Sanswer(Q03) contains 'linear',\Spromote_method,\Smethod,\SM_DUAL_SIMPLEX;M_SIMPLEX;M_BARRIER_LP_QP;M_PDLP,\Shigh,\SLP専用法を第一候補。,\S一般NLPへ渡すと構造と証明を失う。,\SQ04,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR014,\SQ03,\Squadratic,\Sanswer(Q03) contains 'quadratic',\Spromote_method,\Smethod,\SM_ADMM_QP;M_ACTIVE_SET_QP;M_BARRIER_LP_QP,\Shigh,\S凸性を確認してQP専用solverへ。,\S非凸Q/QCQPはglobal保証が別問題。,\SQ04,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR015,\SQ03,\Ssum_of_squares,\Sanswer(Q03) contains 'sum_of_squares',\Spromote_method,\Smethod,\SM_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT,\Shigh,\S残差/Jacobian構造を利用。,\S外れ値にはsquared lossだけでなくrobust lossを検討。,\SQ04,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR016,\SQ03,\Sgeneral_nonlinear,\Sanswer(Q03) contains 'general_nonlinear',\Sinclude_problem,\Sproblem,\SPA006;PA008;PA009,\Scandidate,\S滑らかさ・制約・微分・local/globalで分岐。,\S,\SQ04,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR017,\SQ03,\Smultiobjective,\Sanswer(Q03) contains 'multiobjective',\Spromote_method,\Smethod,\SM_WEIGHTED_SUM;M_EPSILON_CONSTRAINT;M_NSGA_II,\Shigh,\S選好が明示可能ならscalarization、Pareto集合ならMOEA等。,\S目的scaleとperformance metricを明示。,\SQ04,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR018,\SQ03,\Sequation_or_feasibility,\Sanswer(Q03) contains 'equation_or_feasibility',\Srecommend_alternative,\Salternative,\SALT_ROOT;ALT_FEASIBILITY,\Shigh,\Sroot/feasibilityを目的最小化へ変換する前に専用法。,\S,\SQ04,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR019,\SQ03,\Sunknown,\Sanswer(Q03) contains 'unknown',\Sask_followup,\Sfeature,\SF_OBJECTIVE_FORM,\Snone,\S式・residual・simulation traceを見てstructureを判定。,\S,\SQ04,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR020,\SQ04,\Snone,\Sanswer(Q04) contains 'none',\Spromote_method,\Smethod,\SM_BFGS;M_LBFGS;M_TRUST_KRYLOV,\Smedium,\S滑らかなら無制約局所法。,\S,\SQ05,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR021,\SQ04,\Sbounds,\Sanswer(Q04) contains 'bounds',\Spromote_method,\Smethod,\SM_LBFGSB;M_PROJECTED_GRADIENT;M_ADMM_QP,\Shigh,\Sboundsをnativeに処理。,\S,\SQ05,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR022,\SQ04,\Slinear,\Sanswer(Q04) contains 'linear',\Spromote_method,\Smethod,\SM_SLSQP;M_INTERIOR_POINT_NLP;M_ACTIVE_SET,\Smedium,\S一般NLPならnative linear constraints、線形目的ならLPへ。,\S,\SQ05,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR023,\SQ04,\Snonlinear,\Sanswer(Q04) contains 'nonlinear',\Spromote_method,\Smethod,\SM_INTERIOR_POINT_NLP;M_SQP;M_SLSQP,\Shigh,\SJacobianを持つ滑らかな制約NLPが基本。,\S微分不能/black-box constraintならMADS/COBYLA等へ。,\SQ05,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR024,\SQ04,\Slogical_or_combinatorial,\Sanswer(Q04) contains 'logical_or_combinatorial',\Spromote_method,\Smethod,\SM_CP_SAT;M_CP_SEARCH;M_BRANCH_CUT,\Shigh,\Slogical/global constraintをnativeに表現。,\S,\SQ05,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR025,\SQ04,\Sconic_or_psd,\Sanswer(Q04) contains 'conic_or_psd',\Spromote_method,\Smethod,\SM_PRIMAL_DUAL_CONIC;M_BARRIER_LP_QP,\Shigh,\SSOCP/SDP等のcone solverを優先。,\S,\SQ05,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR026,\SQ04,\Sdynamics_or_manifold,\Sanswer(Q04) contains 'dynamics_or_manifold',\Srecommend_alternative,\Salternative,\SALT_SPECIALIZED,\Shigh,\Strajectory/manifold構造をintrinsicに扱う。,\S,\SQ05,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR027,\SQ04,\Simplicit_or_failure,\Sanswer(Q04) contains 'implicit_or_failure',\Spromote_method,\Smethod,\SM_MADS;M_BAYESIAN_OPT_GP;M_RANDOM_SEARCH,\Smedium,\Sevaluation failureを明示的な可行性情報として扱える手法。,\SNaNを単なる巨大penaltyにするだけではmodelを歪める。,\SQ05,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR028,\SQ05,\Sanalytic_gradient,\Sanswer(Q05) contains 'analytic_gradient',\Spromote_method,\Smethod,\SM_BFGS;M_LBFGS;M_SQP;M_INTERIOR_POINT_NLP,\Shigh,\S信頼できる一階法/準Newton/NLPを優先。,\S,\SQ06,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR029,\SQ05,\Sautodiff,\Sanswer(Q05) contains 'autodiff',\Spromote_method,\Smethod,\SM_LBFGS;M_NEWTON_CG;M_TRUST_KRYLOV;M_ADAMW,\Shigh,\SADでdimension scalingを改善。,\Sgradient checkとnondifferentiable op確認。,\SQ06,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR030,\SQ05,\Sjacobian_or_hvp,\Sanswer(Q05) contains 'jacobian_or_hvp',\Spromote_method,\Smethod,\SM_GAUSS_NEWTON;M_TRUST_KRYLOV;M_NEWTON_CG,\Shigh,\S構造化二階近似・Krylov法が有力。,\S,\SQ06,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR031,\SQ05,\Snumerical_difference_only,\Sanswer(Q05) contains 'numerical_difference_only',\Spromote_method,\Smethod,\SM_BFGS;M_LBFGSB;M_SLSQP,\Smedium,\S低中次元で評価安価なら数値微分付き局所法。,\S実質評価数≈O(n)以上、scale/step/noiseを検証。,\SQ06,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR032,\SQ05,\Sstochastic_gradient,\Sanswer(Q05) contains 'stochastic_gradient',\Spromote_method,\Smethod,\SM_SGD;M_MOMENTUM_SGD;M_ADAMW,\Shigh,\Smini-batch/online向け。,\S,\SQ06,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR033,\SQ05,\Sunreliable_or_none,\Sanswer(Q05) contains 'unreliable_or_none',\Spromote_method,\Smethod,\SM_MADS;M_COBYQA;M_CMA_ES;M_BAYESIAN_OPT_GP,\Shigh,\S微分不要法へ。評価費と次元で分岐。,\S,\SQ06,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR034,\SQ05,\Snot_differentiable,\Sanswer(Q05) contains 'not_differentiable',\Sexclude_method,\Smethod,\SM_NEWTON;M_BFGS;M_INTERIOR_POINT_NLP,\Shigh,\S滑らかさを前提とするmethodを既定候補から外す。,\Spiecewise smoothならgeneralized/prox structureを追加確認。,\SQ06,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR035,\SQ06,\Smilliseconds_or_less,\Sanswer(Q06) contains 'milliseconds_or_less',\Spromote_method,\Smethod,\SM_MULTISTART;M_DIFFERENTIAL_EVOLUTION;M_CMA_ES,\Smedium,\S多評価型探索もbudget内に入り得る。,\S局所解で十分なら無駄な大域探索をしない。,\SQ07,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR036,\SQ06,\Sseconds,\Sanswer(Q06) contains 'seconds',\Swarn,\Sfeature,\SF_BUDGET_MAX_EVALUATIONS,\Snone,\S評価回数とparallel数からwall-clock上限を先に計算。,\S,\SQ07,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR037,\SQ06,\Sminutes,\Sanswer(Q06) contains 'minutes',\Spromote_method,\Smethod,\SM_BAYESIAN_OPT_GP;M_TPE;M_RANDOM_SEARCH,\Shigh,\Ssurrogateまたは慎重なdesignを検討。,\S,\SQ07,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR038,\SQ06,\Shours_or_more,\Sanswer(Q06) contains 'hours_or_more',\Spromote_method,\Smethod,\SM_BAYESIAN_OPT_GP;M_TURBO_SAASBO,\Shigh,\S低評価予算・parallel/batch・multi-fidelityを優先。,\Spopulation法のdefault評価数は危険。,\SQ07,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR039,\SQ06,\Sunknown,\Sanswer(Q06) contains 'unknown',\Sask_followup,\Sfeature,\SF_TIME_OBJECTIVE_SEC;F_TIME_GRADIENT_SEC,\Snone,\S小規模pilotで各評価費を計測。,\S,\SQ07,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR040,\SQ07,\Sdeterministic_reliable,\Sanswer(Q07) contains 'deterministic_reliable',\Sinclude_problem,\Sproblem,\SPA006;PA014;PA017,\Scandidate,\Sdeterministic停止基準とfinite differenceが比較的使いやすい。,\S,\SQ08,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR041,\SQ07,\Ssmall_noise,\Sanswer(Q07) contains 'small_noise',\Spromote_method,\Smethod,\SM_CMA_ES;M_BAYESIAN_OPT_GP;M_SPSA,\Smedium,\Snoise-aware探索とreplicationを検討。,\S,\SQ08,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR042,\SQ07,\Slarge_noise,\Sanswer(Q07) contains 'large_noise',\Sexclude_method,\Smethod,\SM_BFGS;M_NEWTON;M_SLSQP,\Shigh,\Sdeterministic derivative/line-searchを既定候補から外す。,\Ssample average/CRNでnoiseを下げられるか確認。,\SQ08,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR043,\SQ07,\Srandom_seeded,\Sanswer(Q07) contains 'random_seeded',\Swarn,\Sfeature,\SF_NUMERICAL_NONDETERMINISTIC,\Snone,\Sseed、replicate、common random numbers、parallel nondeterminismを記録。,\S,\SQ08,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR044,\SQ07,\Soccasional_failure,\Sanswer(Q07) contains 'occasional_failure',\Spromote_method,\Smethod,\SM_MADS;M_BAYESIAN_OPT_GP;M_RANDOM_SEARCH,\Smedium,\Sfailed evaluationをstatusとして扱う。,\S,\SQ08,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR045,\SQ07,\Sfrequent_failure,\Sanswer(Q07) contains 'frequent_failure',\Srecommend_alternative,\Salternative,\SALT_FEASIBILITY;ALT_SURROGATE,\Shigh,\Sまず可行領域model/phase-I、安全探索を構築。,\S,\SQ08,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR046,\SQ07,\Stimeout_possible,\Sanswer(Q07) contains 'timeout_possible',\Swarn,\Sfeature,\SF_EVALUATION_RELIABILITY,\Snone,\Scensoringを単なるobjective値として扱わず、timeout policyを定義。,\S,\SQ08,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR047,\SQ08,\Sunder_10,\Sanswer(Q08) contains 'under_10',\Spromote_method,\Smethod,\SM_BFGS;M_NELDER_MEAD;M_DIRECT;M_BAYESIAN_OPT_GP,\Smedium,\S低次元ではdense/DFO/surrogateが現実的。,\S,\SQ09,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR048,\SQ08,\S10_to_100,\Sanswer(Q08) contains '10_to_100',\Sinclude_problem,\Sproblem,\SPA006;PA011;PA014,\Scandidate,\S評価費とderivativeでlocal/DFO/BOを比較。,\S,\SQ09,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR049,\SQ08,\S100_to_10000,\Sanswer(Q08) contains '100_to_10000',\Spromote_method,\Smethod,\SM_LBFGS;M_LBFGSB;M_NEWTON_CG;M_SPSA,\Shigh,\Slow-memory/HVP/stochastic estimationを優先。,\S,\SQ09,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR050,\SQ08,\Sover_10000,\Sanswer(Q08) contains 'over_10000',\Sexclude_method,\Smethod,\SM_NELDER_MEAD;M_CMA_ES;M_BAYESIAN_OPT_GP,\Shigh,\Sdefault dense geometry/covariance/GPを外す。,\S有効次元や特殊構造がある場合は例外。,\SQ09,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR051,\SQ08,\Shuge_sparse_or_distributed,\Sanswer(Q08) contains 'huge_sparse_or_distributed',\Spromote_method,\Smethod,\SM_NEWTON_CG;M_TRUST_KRYLOV;M_ADMM;M_SGD;M_PDLP,\Shigh,\S疎HVP、分解、first-order、distributedを優先。,\S,\SQ09,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR052,\SQ08,\Sunknown,\Sanswer(Q08) contains 'unknown',\Sask_followup,\Sfeature,\SF_NUM_VARIABLES;F_NUM_NONZEROS,\Snone,\Sn、m、nnz、block、sample、scenarioを数える。,\S,\SQ09,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR053,\SQ09,\Slocal_is_fine,\Sanswer(Q09) contains 'local_is_fine',\Spromote_method,\Smethod,\SM_BFGS;M_LBFGS;M_INTERIOR_POINT_NLP;M_GAUSS_NEWTON,\Shigh,\S高速な局所法を優先。,\S,\SQ10,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR054,\SQ09,\Sglobal_candidate_desired,\Sanswer(Q09) contains 'global_candidate_desired',\Spromote_method,\Smethod,\SM_MULTISTART;M_DIFFERENTIAL_EVOLUTION;M_CMA_ES;M_BAYESIAN_OPT_GP,\Shigh,\S証明なしのglobal candidate探索。,\S,\SQ10,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR055,\SQ09,\Smultiple_distinct_solutions,\Sanswer(Q09) contains 'multiple_distinct_solutions',\Spromote_method,\Smethod,\SM_MULTISTART;M_NSGA_II;M_CMA_ES,\Smedium,\Sdiversity保存と重複判定を設計。,\S,\SQ10,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR056,\SQ09,\Sunknown,\Sanswer(Q09) contains 'unknown',\Sask_followup,\Sfeature,\SF_GUARANTEE_LOCAL_OK;F_GUARANTEE_GLOBAL_DESIRED,\Snone,\S意思決定上必要な保証と失敗costを確認。,\S,\SQ10,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR057,\SQ10,\Sno_certificate_needed,\Sanswer(Q10) contains 'no_certificate_needed',\Sinclude_problem,\Sproblem,\SPA006;PA013;PA039,\Scandidate,\S局所・heuristic・statistical methodも候補。,\S,\SQ11,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR058,\SQ10,\Sgap_desired,\Sanswer(Q10) contains 'gap_desired',\Spromote_method,\Smethod,\SM_BRANCH_CUT;M_PRIMAL_DUAL_CONIC;M_SIMPLEX,\Shigh,\Sbound/gapを返すexact/convex solverを優先。,\S,\SQ11,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR059,\SQ10,\Sglobal_proof_required,\Sanswer(Q10) contains 'global_proof_required',\Spromote_method,\Smethod,\SM_BRANCH_CUT;M_SPATIAL_BRANCH_BOUND;M_PRIMAL_DUAL_CONIC,\Shigh,\Sproblem classに応じたcertificate-capable solver。,\Snonconvex continuousの証明はrelaxationと計算量を要する。,\SQ11,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR060,\SQ10,\Sfeasible_solution_first,\Sanswer(Q10) contains 'feasible_solution_first',\Spromote_method,\Smethod,\SM_CP_SAT;M_LOCAL_SEARCH_COMBINATORIAL;M_BRANCH_CUT,\Shigh,\Sanytime incumbent/可行性重視。,\S,\SQ11,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR061,\SQ10,\Sapproximation_guarantee,\Sanswer(Q10) contains 'approximation_guarantee',\Srecommend_alternative,\Salternative,\SALT_SPECIALIZED;ALT_DYNAMIC_PROGRAMMING,\Shigh,\S問題固有の近似algorithm/relaxationの存在を調査。,\S,\SQ11,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR062,\SQ10,\Sunknown,\Sanswer(Q10) contains 'unknown',\Sask_followup,\Sfeature,\SF_SOLUTION_GOAL,\Snone,\S『良い』の定義、許容gap、deadlineを具体化。,\S,\SQ11,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR063,\SQ11,\Sleast_squares,\Sanswer(Q11) contains 'least_squares',\Spromote_method,\Smethod,\SM_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT,\Shigh,\S残差構造を使用。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR064,\SQ11,\Slp_qp_conic,\Sanswer(Q11) contains 'lp_qp_conic',\Spromote_method,\Smethod,\SM_SIMPLEX;M_ADMM_QP;M_PRIMAL_DUAL_CONIC,\Shigh,\S標準形専用solver。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR065,\SQ11,\Sgraph_flow_path_matching,\Sanswer(Q11) contains 'graph_flow_path_matching',\Srecommend_alternative,\Salternative,\SALT_GRAPH,\Shigh,\Sgraph専用algorithmを汎用solverより先に評価。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR066,\SQ11,\Sscheduling_routing,\Sanswer(Q11) contains 'scheduling_routing',\Spromote_method,\Smethod,\SM_CP_SAT;M_CP_SEARCH;M_LOCAL_SEARCH_COMBINATORIAL,\Shigh,\Sglobal constraints/近傍構造を利用。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR067,\SQ11,\Sprox_separable,\Sanswer(Q11) contains 'prox_separable',\Spromote_method,\Smethod,\SM_PROX_GRADIENT;M_FISTA;M_ADMM,\Shigh,\Sprox/分離構造を利用。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR068,\SQ11,\Soptimal_control,\Sanswer(Q11) contains 'optimal_control',\Spromote_method,\Smethod,\SM_DIRECT_COLLOCATION;M_MULTIPLE_SHOOTING;M_ILQR_DDP,\Shigh,\Sdynamicsとtime sparsityを保持。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR069,\SQ11,\Smanifold,\Sanswer(Q11) contains 'manifold',\Spromote_method,\Smethod,\SM_RIEMANNIAN_GRADIENT;M_RIEMANNIAN_TRUST_REGION,\Shigh,\Sintrinsic geometryで可行性を維持。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR070,\SQ11,\Sstochastic_or_robust,\Sanswer(Q11) contains 'stochastic_or_robust',\Srecommend_alternative,\Salternative,\SALT_DECOMPOSITION;ALT_STAT_INFERENCE,\Smedium,\Sscenario/decomposition/robust counterpartを検討。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR071,\SQ11,\Snone_known,\Sanswer(Q11) contains 'none_known',\Swarn,\Salternative,\SALT_GENERIC_OPT,\Snone,\S専用構造なしとして暫定。modelを再点検。,\S,\SQ12,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR072,\SQ12,\Sone_off,\Sanswer(Q12) contains 'one_off',\Sinclude_problem,\Sproblem,\SPA006;PA017;PA039,\Scandidate,\Ssetup costとsolve costを合わせて選ぶ。,\S,\S,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR073,\SQ12,\Srepeated_similar,\Sanswer(Q12) contains 'repeated_similar',\Spromote_method,\Smethod,\SM_ADMM_QP;M_ACTIVE_SET_QP;M_LBFGS;M_INTERIOR_POINT_NLP,\Shigh,\Swarm start、factorization、parameterized modelを利用。,\S,\S,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR074,\SQ12,\Sonline_or_realtime,\Sanswer(Q12) contains 'online_or_realtime',\Spromote_method,\Smethod,\SM_MIRROR_DESCENT;M_SGD;M_ADMM_QP;M_ILQR_DDP,\Shigh,\Sdeadline・bounded iteration・warm startを優先。,\S,\S,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR075,\SQ12,\Sparallel_evaluations,\Sanswer(Q12) contains 'parallel_evaluations',\Spromote_method,\Smethod,\SM_DIFFERENTIAL_EVOLUTION;M_CMA_ES;M_RANDOM_SEARCH;M_NSGA_II,\Smedium,\Sbatch/population評価のwall-clockを短縮。,\S,\S,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR076,\SQ12,\Sdistributed,\Sanswer(Q12) contains 'distributed',\Spromote_method,\Smethod,\SM_ADMM;M_SGD;M_PDLP,\Smedium,\S通信費・同期/非同期・fault toleranceを含める。,\S,\S,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR077,\SQ12,\Sgpu_available,\Sanswer(Q12) contains 'gpu_available',\Spromote_method,\Smethod,\SM_ADAMW;M_SGD;M_BAYESIAN_OPT_GP,\Smedium,\Stensor/AD/linear algebraがGPUに適合する場合。,\Ssolver自体のGPU supportは実装依存。,\S,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
\SR078,\SQ12,\Swarm_start_available,\Sanswer(Q12) contains 'warm_start_available',\Spromote_method,\Smethod,\SM_ACTIVE_SET_QP;M_ADMM_QP;M_DUAL_SIMPLEX;M_INTERIOR_POINT_NLP,\Smedium,\S前解・basis・stateを再利用。,\Sproblem変化が大きいとstale warm startになり得る。,\S,\Scontinue,\SS054;S055;S056,\Shigh,\S2026-07-13
