problem_id,name_ja,name_en,summary,domain_group,canonical_form,primary_variable_type,objective_structure,constraint_structure,convexity,smoothness,derivative_access,typical_dimension,typical_evaluation_cost,typical_noise,evaluation_reliability,solution_requirement,special_structure,repeated_solve_mode,parallel_budget,generic_optimization_appropriate,alternative_check_ids,example_domains,first_questions,source_ids,confidence,last_verified
\SPA017,\S線形計画,\SLinear program,\S線形計画。変数=continuous、目的=linear、制約=linear。,\Slinear_conic,\Sminimize linear; subject to linear,\Scontinuous,\Slinear,\Slinear,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED;ALT_GRAPH,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS004;S016;S055,\Shigh,\S2026-07-13
\SPA018,\S凸二次計画,\SConvex QP,\S凸二次計画。変数=continuous、目的=quadratic、制約=linear。,\Slinear_conic,\Sminimize quadratic; subject to linear,\Scontinuous,\Squadratic,\Slinear,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED;ALT_PROJECTION_PROX,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS012;S016;S062,\Shigh,\S2026-07-13
\SPA019,\S非凸QP/QCQP,\SNonconvex QP/QCQP,\S非凸QP/QCQP。変数=continuous、目的=quadratic、制約=mixed。,\Sglobal_nonconvex,\Sminimize quadratic; subject to mixed,\Scontinuous,\Squadratic,\Smixed,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Smedium,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_RELAXATION;ALT_GENERIC_OPT,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS021;S024;S028,\Shigh,\S2026-07-13
\SPA020,\S二次錐計画,\SSOCP,\S二次錐計画。変数=continuous、目的=linear、制約=conic。,\Slinear_conic,\Sminimize linear; subject to conic,\Scontinuous,\Slinear,\Sconic,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS010;S013;S014;S028;S055,\Shigh,\S2026-07-13
\SPA021,\S半正定値計画,\SSDP,\S半正定値計画。変数=psd_matrix、目的=linear、制約=semidefinite。,\Slinear_conic,\Sminimize linear; subject to semidefinite,\Spsd_matrix,\Slinear,\Ssemidefinite,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Smedium,\Smoderate,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_RELAXATION;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS015;S028;S055,\Shigh,\S2026-07-13
\SPA022,\S一般錐最適化,\SGeneral conic,\S一般錐最適化。変数=continuous、目的=quadratic、制約=conic。,\Slinear_conic,\Sminimize quadratic; subject to conic,\Scontinuous,\Squadratic,\Sconic,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS010;S013;S014;S028,\Shigh,\S2026-07-13
\SPA023,\S混合整数線形計画,\SMILP,\S混合整数線形計画。変数=mixed、目的=linear、制約=mixed。,\Sdiscrete,\Sminimize linear; subject to mixed,\Smixed,\Slinear,\Smixed,\Snonconvex,\Sdiscrete_valued,\Snot_differentiable,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Soptimality_gap,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_GRAPH;ALT_DYNAMIC_PROGRAMMING;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS005;S016;S021;S024,\Shigh,\S2026-07-13
\SPA024,\S混合整数二次計画,\SMIQP,\S混合整数二次計画。変数=mixed、目的=quadratic、制約=mixed。,\Sdiscrete,\Sminimize quadratic; subject to mixed,\Smixed,\Squadratic,\Smixed,\Snonconvex,\Sdiscrete_valued,\Snot_differentiable,\Smedium,\Scheap,\Sdeterministic,\Sreliable,\Soptimality_gap,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_RELAXATION;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS021;S024;S028,\Shigh,\S2026-07-13
\SPA025,\S混合整数非線形計画,\SMINLP,\S混合整数非線形計画。変数=mixed、目的=general_nonlinear、制約=mixed。,\Sdiscrete,\Sminimize general_nonlinear; subject to mixed,\Smixed,\Sgeneral_nonlinear,\Smixed,\Snonconvex,\Sdiscrete_valued,\Snot_differentiable,\Smedium,\Smoderate,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_RELAXATION;ALT_DECOMPOSITION,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS021;S029,\Shigh,\S2026-07-13
\SPA026,\S制約programming型scheduling,\SCP scheduling,\S制約programming型scheduling。変数=mixed、目的=discrete、制約=combinatorial。,\Sdiscrete,\Sminimize discrete; subject to combinatorial,\Smixed,\Sdiscrete,\Scombinatorial,\Snonconvex,\Sdiscrete_valued,\Snot_differentiable,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sfeasible_only,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_FEASIBILITY;ALT_DYNAMIC_PROGRAMMING,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS022;S053,\Shigh,\S2026-07-13
\SPA027,\SSAT・MaxSAT,\SSAT/MaxSAT,\SSAT・MaxSAT。変数=binary、目的=discrete、制約=logical。,\Sdiscrete,\Sminimize discrete; subject to logical,\Sbinary,\Sdiscrete,\Slogical,\Snonconvex,\Sdiscrete_valued,\Snot_differentiable,\Svery_high,\Scheap,\Sdeterministic,\Sreliable,\Sfeasible_only,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_FEASIBILITY;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS022;S053,\Shigh,\S2026-07-13
\SPA028,\Snetwork flow,\SNetwork flow,\Snetwork flow。変数=graph、目的=linear、制約=combinatorial。,\Sgraph,\Sminimize linear; subject to combinatorial,\Sgraph,\Slinear,\Scombinatorial,\Sconvex,\Sdiscrete_valued,\Snot_differentiable,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_GRAPH,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054,\Shigh,\S2026-07-13
\SPA029,\S最短路,\SShortest path,\S最短路。変数=graph、目的=linear、制約=combinatorial。,\Sgraph,\Sminimize linear; subject to combinatorial,\Sgraph,\Slinear,\Scombinatorial,\Sconvex,\Sdiscrete_valued,\Snot_differentiable,\Svery_high,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_GRAPH;ALT_DYNAMIC_PROGRAMMING,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054,\Shigh,\S2026-07-13
\SPA030,\S割当・matching,\SAssignment/matching,\S割当・matching。変数=binary、目的=linear、制約=combinatorial。,\Sgraph,\Sminimize linear; subject to combinatorial,\Sbinary,\Slinear,\Scombinatorial,\Sconvex,\Sdiscrete_valued,\Snot_differentiable,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_GRAPH,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054,\Shigh,\S2026-07-13
\SPA031,\S配送routing,\SVehicle routing,\S配送routing。変数=graph、目的=discrete、制約=combinatorial。,\Sgraph,\Sminimize discrete; subject to combinatorial,\Sgraph,\Sdiscrete,\Scombinatorial,\Snonconvex,\Sdiscrete_valued,\Snot_differentiable,\Shigh,\Smoderate,\Sdeterministic,\Sreliable,\Sfeasible_only,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_GRAPH;ALT_DYNAMIC_PROGRAMMING,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS023;S024,\Shigh,\S2026-07-13
\SPA032,\Sknapsack・set cover,\SKnapsack/set cover,\Sknapsack・set cover。変数=binary、目的=linear、制約=combinatorial。,\Sdiscrete,\Sminimize linear; subject to combinatorial,\Sbinary,\Slinear,\Scombinatorial,\Snonconvex,\Sdiscrete_valued,\Snot_differentiable,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Soptimality_gap,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_DYNAMIC_PROGRAMMING;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS021;S022,\Shigh,\S2026-07-13
\SPA033,\S非線形最小二乗,\SNonlinear least squares,\S非線形最小二乗。変数=continuous、目的=sum_of_squares、制約=bounds。,\Sleast_squares,\Sminimize sum_of_squares; subject to bounds,\Scontinuous,\Ssum_of_squares,\Sbounds,\Snonconvex,\Ssmooth,\Sjacobian,\Smedium,\Smoderate,\Sdeterministic,\Sreliable,\Slocal_stationary,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_LEAST_SQUARES,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS003;S041,\Shigh,\S2026-07-13
\SPA034,\S外れ値を含むrobust regression,\SRobust regression,\S外れ値を含むrobust regression。変数=continuous、目的=sum_of_squares、制約=bounds。,\Sleast_squares,\Sminimize sum_of_squares; subject to bounds,\Scontinuous,\Ssum_of_squares,\Sbounds,\Sconvex,\Spiecewise_smooth,\Sjacobian,\Smedium,\Smoderate,\Ssmall_noise,\Sreliable,\Sconvex_global,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_LEAST_SQUARES;ALT_STAT_INFERENCE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS003;S041,\Shigh,\S2026-07-13
\SPA035,\SL1・sparse regularization,\SL1 sparse regularization,\SL1・sparse regularization。変数=continuous、目的=composite、制約=unconstrained。,\Sconvex_composite,\Sminimize composite; subject to unconstrained,\Scontinuous,\Scomposite,\Sunconstrained,\Sconvex,\Snonsmooth,\Ssubgradient,\Svery_high,\Scheap,\Sdeterministic,\Sreliable,\Sconvex_global,\Sseparable,\Sone_off,\Sserial,\Sconditional,\SALT_PROJECTION_PROX,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS055;S066;S067,\Shigh,\S2026-07-13
\SPA036,\S単体上の最適化,\SSimplex optimization,\S単体上の最適化。変数=continuous、目的=general_nonlinear、制約=manifold。,\Sgeometry,\Sminimize general_nonlinear; subject to manifold,\Scontinuous,\Sgeneral_nonlinear,\Smanifold,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Slocal_stationary,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_PROJECTION_PROX,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS055;S066,\Shigh,\S2026-07-13
\SPA037,\SSO(3)/SE(3)上の最適化,\SSO(3)/SE(3) optimization,\SSO(3)/SE(3)上の最適化。変数=manifold、目的=sum_of_squares、制約=manifold。,\Sgeometry,\Sminimize sum_of_squares; subject to manifold,\Smanifold,\Ssum_of_squares,\Smanifold,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Smedium,\Smoderate,\Sdeterministic,\Sreliable,\Slocal_stationary,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_EIGEN;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS041;S044;S071,\Shigh,\S2026-07-13
\SPA038,\S多目的連続最適化,\SMultiobjective continuous,\S多目的連続最適化。変数=continuous、目的=multiobjective、制約=bounds。,\Smultiobjective,\Sminimize multiobjective; subject to bounds,\Scontinuous,\Smultiobjective,\Sbounds,\Snonconvex,\Sunknown,\Snone_available,\Smedium,\Smoderate,\Sdeterministic,\Sreliable,\Spareto_set,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_STAT_INFERENCE;ALT_GENERIC_OPT,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS039;S068,\Shigh,\S2026-07-13
\SPA039,\Shyperparameter optimization,\SHPO,\Shyperparameter optimization。変数=mixed、目的=simulation、制約=bounds。,\Sblack_box,\Sminimize simulation; subject to bounds,\Smixed,\Ssimulation,\Sbounds,\Snonconvex,\Sunknown,\Snone_available,\Smedium,\Sexpensive,\Smoderate_noise,\Sreliable,\Sglobal_candidate,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_SURROGATE;ALT_STAT_INFERENCE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS034;S035;S037;S038,\Shigh,\S2026-07-13
\SPA040,\Sneural network学習,\SNeural network training,\Sneural network学習。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Smachine_learning,\Sminimize general_nonlinear; subject to unconstrained,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sstochastic_gradient,\Svery_high,\Smoderate,\Smoderate_noise,\Sreliable,\Slocal_stationary,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_STAT_INFERENCE;ALT_DECOMPOSITION,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS047;S048;S049;S070,\Shigh,\S2026-07-13
\SPA041,\S大規模確率的ERM,\SLarge stochastic ERM,\S大規模確率的ERM。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Smachine_learning,\Sminimize general_nonlinear; subject to unconstrained,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Sconvex,\Ssmooth,\Sstochastic_gradient,\Svery_high,\Scheap,\Smoderate_noise,\Sreliable,\Sconvex_global,\Sseparable,\Sone_off,\Sserial,\Sconditional,\SALT_DECOMPOSITION,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS047;S048;S049,\Shigh,\S2026-07-13
\SPA042,\S最適制御,\SOptimal control,\S最適制御。変数=trajectory、目的=general_nonlinear、制約=dynamics。,\Soptimal_control,\Sminimize general_nonlinear; subject to dynamics,\Strajectory,\Sgeneral_nonlinear,\Sdynamics,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Shigh,\Sexpensive,\Sdeterministic,\Sreliable,\Slocal_stationary,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED;ALT_DECOMPOSITION,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS042;S043;S076,\Shigh,\S2026-07-13
\SPA043,\Smodel predictive control,\SMPC,\Smodel predictive control。変数=trajectory、目的=quadratic、制約=dynamics。,\Soptimal_control,\Sminimize quadratic; subject to dynamics,\Strajectory,\Squadratic,\Sdynamics,\Sconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Slocal_stationary,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS012;S043;S076,\Shigh,\S2026-07-13
\SPA044,\S軌道最適化,\STrajectory optimization,\S軌道最適化。変数=trajectory、目的=general_nonlinear、制約=dynamics。,\Soptimal_control,\Sminimize general_nonlinear; subject to dynamics,\Strajectory,\Sgeneral_nonlinear,\Sdynamics,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Shigh,\Sexpensive,\Sdeterministic,\Sreliable,\Slocal_stationary,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS042;S043;S050,\Shigh,\S2026-07-13
\SPA045,\SPDE制約付き最適化,\SPDE-constrained,\SPDE制約付き最適化。変数=continuous、目的=general_nonlinear、制約=implicit。,\Sscientific,\Sminimize general_nonlinear; subject to implicit,\Scontinuous,\Sgeneral_nonlinear,\Simplicit,\Snonconvex,\Ssmooth,\Shessian_vector_product,\Shuge_sparse,\Svery_expensive,\Sdeterministic,\Sreliable,\Slocal_stationary,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_DECOMPOSITION;ALT_SPECIALIZED,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS017;S019;S056,\Shigh,\S2026-07-13
\SPA046,\Sbilevel optimization,\SBilevel optimization,\Sbilevel optimization。変数=mixed、目的=general_nonlinear、制約=mixed。,\Sadvanced,\Sminimize general_nonlinear; subject to mixed,\Smixed,\Sgeneral_nonlinear,\Smixed,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Smedium,\Sexpensive,\Sdeterministic,\Sreliable,\Sglobal_candidate,\Sblock,\Sone_off,\Sserial,\Sconditional,\SALT_RELAXATION;ALT_DECOMPOSITION,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054,\Shigh,\S2026-07-13
